,location,date,variant,num_sequences,perc_sequences,num_sequences_total
1728,Aruba,2020-08-17,Alpha,0,0.0,4
1729,Aruba,2020-08-17,B.1.1.277,0,0.0,4
1730,Aruba,2020-08-17,B.1.1.302,0,0.0,4
1731,Aruba,2020-08-17,B.1.1.519,0,0.0,4
1732,Aruba,2020-08-17,B.1.160,0,0.0,4
1733,Aruba,2020-08-17,B.1.177,0,0.0,4
1734,Aruba,2020-08-17,B.1.221,0,0.0,4
1735,Aruba,2020-08-17,B.1.258,0,0.0,4
1736,Aruba,2020-08-17,B.1.367,0,0.0,4
1737,Aruba,2020-08-17,B.1.620,0,0.0,4
1738,Aruba,2020-08-17,Beta,0,0.0,4
1739,Aruba,2020-08-17,Delta,0,0.0,4
1740,Aruba,2020-08-17,Epsilon,0,0.0,4
1741,Aruba,2020-08-17,Eta,0,0.0,4
1742,Aruba,2020-08-17,Gamma,0,0.0,4
1743,Aruba,2020-08-17,Iota,0,0.0,4
1744,Aruba,2020-08-17,Kappa,0,0.0,4
1745,Aruba,2020-08-17,Lambda,0,0.0,4
1746,Aruba,2020-08-17,Mu,0,0.0,4
1747,Aruba,2020-08-17,Omicron,0,0.0,4
1748,Aruba,2020-08-17,S:677H.Robin1,0,0.0,4
1749,Aruba,2020-08-17,S:677P.Pelican,0,0.0,4
1750,Aruba,2020-08-17,others,4,100.0,4
1751,Aruba,2020-08-17,non_who,4,100.0,4
1752,Aruba,2020-08-31,Alpha,0,0.0,1
1753,Aruba,2020-08-31,B.1.1.277,0,0.0,1
1754,Aruba,2020-08-31,B.1.1.302,0,0.0,1
1755,Aruba,2020-08-31,B.1.1.519,0,0.0,1
1756,Aruba,2020-08-31,B.1.160,0,0.0,1
1757,Aruba,2020-08-31,B.1.177,0,0.0,1
1758,Aruba,2020-08-31,B.1.221,0,0.0,1
1759,Aruba,2020-08-31,B.1.258,0,0.0,1
1760,Aruba,2020-08-31,B.1.367,0,0.0,1
1761,Aruba,2020-08-31,B.1.620,0,0.0,1
1762,Aruba,2020-08-31,Beta,0,0.0,1
1763,Aruba,2020-08-31,Delta,0,0.0,1
1764,Aruba,2020-08-31,Epsilon,0,0.0,1
1765,Aruba,2020-08-31,Eta,0,0.0,1
1766,Aruba,2020-08-31,Gamma,0,0.0,1
1767,Aruba,2020-08-31,Iota,0,0.0,1
1768,Aruba,2020-08-31,Kappa,0,0.0,1
1769,Aruba,2020-08-31,Lambda,0,0.0,1
1770,Aruba,2020-08-31,Mu,0,0.0,1
1771,Aruba,2020-08-31,Omicron,0,0.0,1
1772,Aruba,2020-08-31,S:677H.Robin1,0,0.0,1
1773,Aruba,2020-08-31,S:677P.Pelican,0,0.0,1
1774,Aruba,2020-08-31,others,1,100.0,1
1775,Aruba,2020-08-31,non_who,1,100.0,1
1776,Aruba,2021-01-25,Alpha,1,3.85,26
