,location,date,variant,num_sequences,perc_sequences,num_sequences_total
2328,Australia,2020-05-11,Alpha,0,0.0,148
2329,Australia,2020-05-11,B.1.1.277,0,0.0,148
2330,Australia,2020-05-11,B.1.1.302,0,0.0,148
2331,Australia,2020-05-11,B.1.1.519,0,0.0,148
2332,Australia,2020-05-11,B.1.160,0,0.0,148
2333,Australia,2020-05-11,B.1.177,0,0.0,148
2334,Australia,2020-05-11,B.1.221,0,0.0,148
2335,Australia,2020-05-11,B.1.258,0,0.0,148
2336,Australia,2020-05-11,B.1.367,0,0.0,148
2337,Australia,2020-05-11,B.1.620,0,0.0,148
2338,Australia,2020-05-11,Beta,0,0.0,148
2339,Australia,2020-05-11,Delta,0,0.0,148
2340,Australia,2020-05-11,Epsilon,0,0.0,148
2341,Australia,2020-05-11,Eta,0,0.0,148
2342,Australia,2020-05-11,Gamma,0,0.0,148
2343,Australia,2020-05-11,Iota,0,0.0,148
2344,Australia,2020-05-11,Kappa,0,0.0,148
2345,Australia,2020-05-11,Lambda,0,0.0,148
2346,Australia,2020-05-11,Mu,0,0.0,148
2347,Australia,2020-05-11,Omicron,0,0.0,148
2348,Australia,2020-05-11,S:677H.Robin1,0,0.0,148
2349,Australia,2020-05-11,S:677P.Pelican,0,0.0,148
2350,Australia,2020-05-11,others,148,100.0,148
2351,Australia,2020-05-11,non_who,148,100.0,148
2352,Australia,2020-05-25,Alpha,0,0.0,103
2353,Australia,2020-05-25,B.1.1.277,0,0.0,103
2354,Australia,2020-05-25,B.1.1.302,0,0.0,103
2355,Australia,2020-05-25,B.1.1.519,0,0.0,103
2356,Australia,2020-05-25,B.1.160,0,0.0,103
2357,Australia,2020-05-25,B.1.177,0,0.0,103
2358,Australia,2020-05-25,B.1.221,0,0.0,103
2359,Australia,2020-05-25,B.1.258,0,0.0,103
2360,Australia,2020-05-25,B.1.367,0,0.0,103
2361,Australia,2020-05-25,B.1.620,0,0.0,103
2362,Australia,2020-05-25,Beta,0,0.0,103
2363,Australia,2020-05-25,Delta,0,0.0,103
2364,Australia,2020-05-25,Epsilon,0,0.0,103
2365,Australia,2020-05-25,Eta,0,0.0,103
2366,Australia,2020-05-25,Gamma,0,0.0,103
2367,Australia,2020-05-25,Iota,0,0.0,103
2368,Australia,2020-05-25,Kappa,0,0.0,103
2369,Australia,2020-05-25,Lambda,0,0.0,103
2370,Australia,2020-05-25,Mu,0,0.0,103
