,location,date,variant,num_sequences,perc_sequences,num_sequences_total
3384,Austria,2020-05-11,Alpha,0,0.0,34
3385,Austria,2020-05-11,B.1.1.277,0,0.0,34
3386,Austria,2020-05-11,B.1.1.302,0,0.0,34
3387,Austria,2020-05-11,B.1.1.519,0,0.0,34
3388,Austria,2020-05-11,B.1.160,0,0.0,34
3389,Austria,2020-05-11,B.1.177,0,0.0,34
3390,Austria,2020-05-11,B.1.221,0,0.0,34
3391,Austria,2020-05-11,B.1.258,0,0.0,34
3392,Austria,2020-05-11,B.1.367,0,0.0,34
3393,Austria,2020-05-11,B.1.620,0,0.0,34
3394,Austria,2020-05-11,Beta,0,0.0,34
3395,Austria,2020-05-11,Delta,0,0.0,34
3396,Austria,2020-05-11,Epsilon,0,0.0,34
3397,Austria,2020-05-11,Eta,0,0.0,34
3398,Austria,2020-05-11,Gamma,0,0.0,34
3399,Austria,2020-05-11,Iota,0,0.0,34
3400,Austria,2020-05-11,Kappa,0,0.0,34
3401,Austria,2020-05-11,Lambda,0,0.0,34
3402,Austria,2020-05-11,Mu,0,0.0,34
3403,Austria,2020-05-11,Omicron,0,0.0,34
3404,Austria,2020-05-11,S:677H.Robin1,0,0.0,34
3405,Austria,2020-05-11,S:677P.Pelican,0,0.0,34
3406,Austria,2020-05-11,others,34,100.0,34
3407,Austria,2020-05-11,non_who,34,100.0,34
3408,Austria,2020-05-25,Alpha,0,0.0,41
3409,Austria,2020-05-25,B.1.1.277,0,0.0,41
3410,Austria,2020-05-25,B.1.1.302,0,0.0,41
3411,Austria,2020-05-25,B.1.1.519,0,0.0,41
3412,Austria,2020-05-25,B.1.160,0,0.0,41
3413,Austria,2020-05-25,B.1.177,0,0.0,41
3414,Austria,2020-05-25,B.1.221,0,0.0,41
3415,Austria,2020-05-25,B.1.258,0,0.0,41
3416,Austria,2020-05-25,B.1.367,0,0.0,41
3417,Austria,2020-05-25,B.1.620,0,0.0,41
3418,Austria,2020-05-25,Beta,0,0.0,41
3419,Austria,2020-05-25,Delta,0,0.0,41
3420,Austria,2020-05-25,Epsilon,0,0.0,41
3421,Austria,2020-05-25,Eta,0,0.0,41
3422,Austria,2020-05-25,Gamma,0,0.0,41
3423,Austria,2020-05-25,Iota,0,0.0,41
3424,Austria,2020-05-25,Kappa,0,0.0,41
3425,Austria,2020-05-25,Lambda,0,0.0,41
3426,Austria,2020-05-25,Mu,0,0.0,41
3427,Austria,2020-05-25,Omicron,0,0.0,41
3428,Austria,2020-05-25,S:677H.Robin1,0,0.0,41
3429,Austria,2020-05-25,S:677P.Pelican,0,0.0,41
3430,Austria,2020-05-25,others,41,100.0,41
3431,Austria,2020-05-25,non_who,41,100.0,41
3432,Austria,2020-06-08,Alpha,0,0.0,1
3433,Austria,2020-06-08,B.1.1.277,0,0.0,1
3434,Austria,2020-06-08,B.1.1.302,0,0.0,1
3435,Austria,2020-06-08,B.1.1.519,0,0.0,1
3436,Austria,2020-06-08,B.1.160,0,0.0,1
3437,Austria,2020-06-08,B.1.177,0,0.0,1
3438,Austria,2020-06-08,B.1.221,0,0.0,1
3439,Austria,2020-06-08,B.1.258,0,0.0,1
3440,Austria,2020-06-08,B.1.367,0,0.0,1
3441,Austria,2020-06-08,B.1.620,0,0.0,1
3442,Austria,2020-06-08,Beta,0,0.0,1
3443,Austria,2020-06-08,Delta,0,0.0,1
3444,Austria,2020-06-08,Epsilon,0,0.0,1
3445,Austria,2020-06-08,Eta,0,0.0,1
3446,Austria,2020-06-08,Gamma,0,0.0,1
3447,Austria,2020-06-08,Iota,0,0.0,1
3448,Austria,2020-06-08,Kappa,0,0.0,1
3449,Austria,2020-06-08,Lambda,0,0.0,1
3450,Austria,2020-06-08,Mu,0,0.0,1
3451,Austria,2020-06-08,Omicron,0,0.0,1
3452,Austria,2020-06-08,S:677H.Robin1,0,0.0,1
3453,Austria,2020-06-08,S:677P.Pelican,0,0.0,1
3454,Austria,2020-06-08,others,1,100.0,1
3455,Austria,2020-06-08,non_who,1,100.0,1
3456,Austria,2020-06-22,Alpha,0,0.0,1
3457,Austria,2020-06-22,B.1.1.277,0,0.0,1
3458,Austria,2020-06-22,B.1.1.302,0,0.0,1
3459,Austria,2020-06-22,B.1.1.519,0,0.0,1
3460,Austria,2020-06-22,B.1.160,0,0.0,1
3461,Austria,2020-06-22,B.1.177,0,0.0,1
3462,Austria,2020-06-22,B.1.221,0,0.0,1
3463,Austria,2020-06-22,B.1.258,0,0.0,1
3464,Austria,2020-06-22,B.1.367,0,0.0,1
3465,Austria,2020-06-22,B.1.620,0,0.0,1
3466,Austria,2020-06-22,Beta,0,0.0,1
3467,Austria,2020-06-22,Delta,0,0.0,1
3468,Austria,2020-06-22,Epsilon,0,0.0,1
3469,Austria,2020-06-22,Eta,0,0.0,1
3470,Austria,2020-06-22,Gamma,0,0.0,1
3471,Austria,2020-06-22,Iota,0,0.0,1
3472,Austria,2020-06-22,Kappa,0,0.0,1
3473,Austria,2020-06-22,Lambda,0,0.0,1
3474,Austria,2020-06-22,Mu,0,0.0,1
3475,Austria,2020-06-22,Omicron,0,0.0,1
3476,Austria,2020-06-22,S:677H.Robin1,0,0.0,1
3477,Austria,2020-06-22,S:677P.Pelican,0,0.0,1
3478,Austria,2020-06-22,others,1,100.0,1
3479,Austria,2020-06-22,non_who,1,100.0,1
3480,Austria,2020-07-06,Alpha,0,0.0,2
3481,Austria,2020-07-06,B.1.1.277,0,0.0,2
3482,Austria,2020-07-06,B.1.1.302,0,0.0,2
3483,Austria,2020-07-06,B.1.1.519,0,0.0,2
3484,Austria,2020-07-06,B.1.160,0,0.0,2
3485,Austria,2020-07-06,B.1.177,0,0.0,2
3486,Austria,2020-07-06,B.1.221,0,0.0,2
3487,Austria,2020-07-06,B.1.258,0,0.0,2
3488,Austria,2020-07-06,B.1.367,0,0.0,2
3489,Austria,2020-07-06,B.1.620,0,0.0,2
3490,Austria,2020-07-06,Beta,0,0.0,2
3491,Austria,2020-07-06,Delta,0,0.0,2
3492,Austria,2020-07-06,Epsilon,0,0.0,2
3493,Austria,2020-07-06,Eta,0,0.0,2
3494,Austria,2020-07-06,Gamma,0,0.0,2
3495,Austria,2020-07-06,Iota,0,0.0,2
3496,Austria,2020-07-06,Kappa,0,0.0,2
3497,Austria,2020-07-06,Lambda,0,0.0,2
3498,Austria,2020-07-06,Mu,0,0.0,2
3499,Austria,2020-07-06,Omicron,0,0.0,2
3500,Austria,2020-07-06,S:677H.Robin1,0,0.0,2
3501,Austria,2020-07-06,S:677P.Pelican,0,0.0,2
3502,Austria,2020-07-06,others,2,100.0,2
3503,Austria,2020-07-06,non_who,2,100.0,2
3504,Austria,2020-07-20,Alpha,0,0.0,11
3505,Austria,2020-07-20,B.1.1.277,0,0.0,11
3506,Austria,2020-07-20,B.1.1.302,0,0.0,11
3507,Austria,2020-07-20,B.1.1.519,0,0.0,11
3508,Austria,2020-07-20,B.1.160,0,0.0,11
3509,Austria,2020-07-20,B.1.177,0,0.0,11
3510,Austria,2020-07-20,B.1.221,0,0.0,11
3511,Austria,2020-07-20,B.1.258,0,0.0,11
3512,Austria,2020-07-20,B.1.367,0,0.0,11
3513,Austria,2020-07-20,B.1.620,0,0.0,11
3514,Austria,2020-07-20,Beta,0,0.0,11
3515,Austria,2020-07-20,Delta,0,0.0,11
3516,Austria,2020-07-20,Epsilon,0,0.0,11
3517,Austria,2020-07-20,Eta,0,0.0,11
3518,Austria,2020-07-20,Gamma,0,0.0,11
3519,Austria,2020-07-20,Iota,0,0.0,11
3520,Austria,2020-07-20,Kappa,0,0.0,11
3521,Austria,2020-07-20,Lambda,0,0.0,11
3522,Austria,2020-07-20,Mu,0,0.0,11
3523,Austria,2020-07-20,Omicron,0,0.0,11
3524,Austria,2020-07-20,S:677H.Robin1,0,0.0,11
3525,Austria,2020-07-20,S:677P.Pelican,0,0.0,11
3526,Austria,2020-07-20,others,11,100.0,11
3527,Austria,2020-07-20,non_who,11,100.0,11
3528,Austria,2020-08-03,Alpha,0,0.0,9
3529,Austria,2020-08-03,B.1.1.277,0,0.0,9
3530,Austria,2020-08-03,B.1.1.302,0,0.0,9
3531,Austria,2020-08-03,B.1.1.519,0,0.0,9
3532,Austria,2020-08-03,B.1.160,0,0.0,9
3533,Austria,2020-08-03,B.1.177,0,0.0,9
3534,Austria,2020-08-03,B.1.221,0,0.0,9
3535,Austria,2020-08-03,B.1.258,0,0.0,9
3536,Austria,2020-08-03,B.1.367,1,11.11,9
3537,Austria,2020-08-03,B.1.620,0,0.0,9
3538,Austria,2020-08-03,Beta,0,0.0,9
3539,Austria,2020-08-03,Delta,0,0.0,9
3540,Austria,2020-08-03,Epsilon,0,0.0,9
3541,Austria,2020-08-03,Eta,0,0.0,9
3542,Austria,2020-08-03,Gamma,0,0.0,9
3543,Austria,2020-08-03,Iota,0,0.0,9
3544,Austria,2020-08-03,Kappa,0,0.0,9
3545,Austria,2020-08-03,Lambda,0,0.0,9
3546,Austria,2020-08-03,Mu,0,0.0,9
3547,Austria,2020-08-03,Omicron,0,0.0,9
3548,Austria,2020-08-03,S:677H.Robin1,0,0.0,9
3549,Austria,2020-08-03,S:677P.Pelican,0,0.0,9
3550,Austria,2020-08-03,others,8,88.89,9
3551,Austria,2020-08-03,non_who,9,100.0,9
3552,Austria,2020-08-17,Alpha,0,0.0,22
3553,Austria,2020-08-17,B.1.1.277,0,0.0,22
3554,Austria,2020-08-17,B.1.1.302,0,0.0,22
3555,Austria,2020-08-17,B.1.1.519,0,0.0,22
3556,Austria,2020-08-17,B.1.160,0,0.0,22
3557,Austria,2020-08-17,B.1.177,0,0.0,22
3558,Austria,2020-08-17,B.1.221,2,9.09,22
3559,Austria,2020-08-17,B.1.258,0,0.0,22
3560,Austria,2020-08-17,B.1.367,0,0.0,22
3561,Austria,2020-08-17,B.1.620,0,0.0,22
3562,Austria,2020-08-17,Beta,0,0.0,22
3563,Austria,2020-08-17,Delta,0,0.0,22
3564,Austria,2020-08-17,Epsilon,0,0.0,22
3565,Austria,2020-08-17,Eta,0,0.0,22
3566,Austria,2020-08-17,Gamma,0,0.0,22
3567,Austria,2020-08-17,Iota,0,0.0,22
3568,Austria,2020-08-17,Kappa,0,0.0,22
3569,Austria,2020-08-17,Lambda,0,0.0,22
3570,Austria,2020-08-17,Mu,0,0.0,22
3571,Austria,2020-08-17,Omicron,0,0.0,22
3572,Austria,2020-08-17,S:677H.Robin1,0,0.0,22
