,location,date,variant,num_sequences,perc_sequences,num_sequences_total
4416,Bahrain,2020-06-08,Alpha,0,0.0,1
4417,Bahrain,2020-06-08,B.1.1.277,0,0.0,1
4418,Bahrain,2020-06-08,B.1.1.302,0,0.0,1
4419,Bahrain,2020-06-08,B.1.1.519,0,0.0,1
4420,Bahrain,2020-06-08,B.1.160,0,0.0,1
4421,Bahrain,2020-06-08,B.1.177,0,0.0,1
4422,Bahrain,2020-06-08,B.1.221,0,0.0,1
4423,Bahrain,2020-06-08,B.1.258,0,0.0,1
4424,Bahrain,2020-06-08,B.1.367,0,0.0,1
4425,Bahrain,2020-06-08,B.1.620,0,0.0,1
4426,Bahrain,2020-06-08,Beta,0,0.0,1
4427,Bahrain,2020-06-08,Delta,0,0.0,1
4428,Bahrain,2020-06-08,Epsilon,0,0.0,1
4429,Bahrain,2020-06-08,Eta,0,0.0,1
4430,Bahrain,2020-06-08,Gamma,0,0.0,1
4431,Bahrain,2020-06-08,Iota,0,0.0,1
4432,Bahrain,2020-06-08,Kappa,0,0.0,1
4433,Bahrain,2020-06-08,Lambda,0,0.0,1
4434,Bahrain,2020-06-08,Mu,0,0.0,1
4435,Bahrain,2020-06-08,Omicron,0,0.0,1
4436,Bahrain,2020-06-08,S:677H.Robin1,0,0.0,1
4437,Bahrain,2020-06-08,S:677P.Pelican,0,0.0,1
4438,Bahrain,2020-06-08,others,1,100.0,1
4439,Bahrain,2020-06-08,non_who,1,100.0,1
4440,Bahrain,2020-06-22,Alpha,0,0.0,2
4441,Bahrain,2020-06-22,B.1.1.277,0,0.0,2
4442,Bahrain,2020-06-22,B.1.1.302,0,0.0,2
4443,Bahrain,2020-06-22,B.1.1.519,0,0.0,2
4444,Bahrain,2020-06-22,B.1.160,0,0.0,2
4445,Bahrain,2020-06-22,B.1.177,0,0.0,2
4446,Bahrain,2020-06-22,B.1.221,0,0.0,2
4447,Bahrain,2020-06-22,B.1.258,0,0.0,2
4448,Bahrain,2020-06-22,B.1.367,0,0.0,2
4449,Bahrain,2020-06-22,B.1.620,0,0.0,2
4450,Bahrain,2020-06-22,Beta,0,0.0,2
4451,Bahrain,2020-06-22,Delta,0,0.0,2
4452,Bahrain,2020-06-22,Epsilon,0,0.0,2
4453,Bahrain,2020-06-22,Eta,0,0.0,2
4454,Bahrain,2020-06-22,Gamma,0,0.0,2
4455,Bahrain,2020-06-22,Iota,0,0.0,2
4456,Bahrain,2020-06-22,Kappa,0,0.0,2
4457,Bahrain,2020-06-22,Lambda,0,0.0,2
4458,Bahrain,2020-06-22,Mu,0,0.0,2
4459,Bahrain,2020-06-22,Omicron,0,0.0,2
4460,Bahrain,2020-06-22,S:677H.Robin1,0,0.0,2
4461,Bahrain,2020-06-22,S:677P.Pelican,0,0.0,2
4462,Bahrain,2020-06-22,others,2,100.0,2
4463,Bahrain,2020-06-22,non_who,2,100.0,2
4464,Bahrain,2020-07-06,Alpha,0,0.0,11
4465,Bahrain,2020-07-06,B.1.1.277,0,0.0,11
4466,Bahrain,2020-07-06,B.1.1.302,0,0.0,11
4467,Bahrain,2020-07-06,B.1.1.519,0,0.0,11
4468,Bahrain,2020-07-06,B.1.160,0,0.0,11
4469,Bahrain,2020-07-06,B.1.177,0,0.0,11
4470,Bahrain,2020-07-06,B.1.221,0,0.0,11
4471,Bahrain,2020-07-06,B.1.258,0,0.0,11
4472,Bahrain,2020-07-06,B.1.367,0,0.0,11
4473,Bahrain,2020-07-06,B.1.620,0,0.0,11
4474,Bahrain,2020-07-06,Beta,0,0.0,11
4475,Bahrain,2020-07-06,Delta,0,0.0,11
4476,Bahrain,2020-07-06,Epsilon,0,0.0,11
4477,Bahrain,2020-07-06,Eta,0,0.0,11
4478,Bahrain,2020-07-06,Gamma,0,0.0,11
4479,Bahrain,2020-07-06,Iota,0,0.0,11
4480,Bahrain,2020-07-06,Kappa,0,0.0,11
4481,Bahrain,2020-07-06,Lambda,0,0.0,11
4482,Bahrain,2020-07-06,Mu,0,0.0,11
4483,Bahrain,2020-07-06,Omicron,0,0.0,11
4484,Bahrain,2020-07-06,S:677H.Robin1,0,0.0,11
4485,Bahrain,2020-07-06,S:677P.Pelican,0,0.0,11
4486,Bahrain,2020-07-06,others,11,100.0,11
4487,Bahrain,2020-07-06,non_who,11,100.0,11
4488,Bahrain,2020-08-03,Alpha,0,0.0,3
4489,Bahrain,2020-08-03,B.1.1.277,0,0.0,3
4490,Bahrain,2020-08-03,B.1.1.302,0,0.0,3
4491,Bahrain,2020-08-03,B.1.1.519,0,0.0,3
4492,Bahrain,2020-08-03,B.1.160,0,0.0,3
4493,Bahrain,2020-08-03,B.1.177,0,0.0,3
4494,Bahrain,2020-08-03,B.1.221,0,0.0,3
4495,Bahrain,2020-08-03,B.1.258,0,0.0,3
4496,Bahrain,2020-08-03,B.1.367,0,0.0,3
4497,Bahrain,2020-08-03,B.1.620,0,0.0,3
4498,Bahrain,2020-08-03,Beta,0,0.0,3
4499,Bahrain,2020-08-03,Delta,0,0.0,3
4500,Bahrain,2020-08-03,Epsilon,0,0.0,3
4501,Bahrain,2020-08-03,Eta,0,0.0,3
4502,Bahrain,2020-08-03,Gamma,0,0.0,3
4503,Bahrain,2020-08-03,Iota,0,0.0,3
4504,Bahrain,2020-08-03,Kappa,0,0.0,3
4505,Bahrain,2020-08-03,Lambda,0,0.0,3
4506,Bahrain,2020-08-03,Mu,0,0.0,3
4507,Bahrain,2020-08-03,Omicron,0,0.0,3
4508,Bahrain,2020-08-03,S:677H.Robin1,0,0.0,3
4509,Bahrain,2020-08-03,S:677P.Pelican,0,0.0,3
4510,Bahrain,2020-08-03,others,3,100.0,3
4511,Bahrain,2020-08-03,non_who,3,100.0,3
4512,Bahrain,2020-08-31,Alpha,0,0.0,3
4513,Bahrain,2020-08-31,B.1.1.277,0,0.0,3
4514,Bahrain,2020-08-31,B.1.1.302,0,0.0,3
4515,Bahrain,2020-08-31,B.1.1.519,0,0.0,3
4516,Bahrain,2020-08-31,B.1.160,0,0.0,3
4517,Bahrain,2020-08-31,B.1.177,0,0.0,3
4518,Bahrain,2020-08-31,B.1.221,0,0.0,3
4519,Bahrain,2020-08-31,B.1.258,0,0.0,3
4520,Bahrain,2020-08-31,B.1.367,0,0.0,3
4521,Bahrain,2020-08-31,B.1.620,0,0.0,3
4522,Bahrain,2020-08-31,Beta,0,0.0,3
4523,Bahrain,2020-08-31,Delta,0,0.0,3
4524,Bahrain,2020-08-31,Epsilon,0,0.0,3
4525,Bahrain,2020-08-31,Eta,0,0.0,3
4526,Bahrain,2020-08-31,Gamma,0,0.0,3
4527,Bahrain,2020-08-31,Iota,0,0.0,3
4528,Bahrain,2020-08-31,Kappa,0,0.0,3
4529,Bahrain,2020-08-31,Lambda,0,0.0,3
4530,Bahrain,2020-08-31,Mu,0,0.0,3
4531,Bahrain,2020-08-31,Omicron,0,0.0,3
4532,Bahrain,2020-08-31,S:677H.Robin1,0,0.0,3
4533,Bahrain,2020-08-31,S:677P.Pelican,0,0.0,3
4534,Bahrain,2020-08-31,others,3,100.0,3
4535,Bahrain,2020-08-31,non_who,3,100.0,3
4536,Bahrain,2020-09-14,Alpha,0,0.0,2
4537,Bahrain,2020-09-14,B.1.1.277,0,0.0,2
4538,Bahrain,2020-09-14,B.1.1.302,0,0.0,2
4539,Bahrain,2020-09-14,B.1.1.519,0,0.0,2
4540,Bahrain,2020-09-14,B.1.160,0,0.0,2
4541,Bahrain,2020-09-14,B.1.177,0,0.0,2
