,location,date,variant,num_sequences,perc_sequences,num_sequences_total
6192,Belgium,2020-05-11,Alpha,0,0.0,134
6193,Belgium,2020-05-11,B.1.1.277,0,0.0,134
6194,Belgium,2020-05-11,B.1.1.302,0,0.0,134
6195,Belgium,2020-05-11,B.1.1.519,0,0.0,134
6196,Belgium,2020-05-11,B.1.160,0,0.0,134
6197,Belgium,2020-05-11,B.1.177,0,0.0,134
6198,Belgium,2020-05-11,B.1.221,0,0.0,134
6199,Belgium,2020-05-11,B.1.258,0,0.0,134
6200,Belgium,2020-05-11,B.1.367,0,0.0,134
6201,Belgium,2020-05-11,B.1.620,0,0.0,134
6202,Belgium,2020-05-11,Beta,0,0.0,134
6203,Belgium,2020-05-11,Delta,0,0.0,134
6204,Belgium,2020-05-11,Epsilon,0,0.0,134
6205,Belgium,2020-05-11,Eta,0,0.0,134
6206,Belgium,2020-05-11,Gamma,0,0.0,134
6207,Belgium,2020-05-11,Iota,0,0.0,134
6208,Belgium,2020-05-11,Kappa,0,0.0,134
6209,Belgium,2020-05-11,Lambda,0,0.0,134
6210,Belgium,2020-05-11,Mu,0,0.0,134
6211,Belgium,2020-05-11,Omicron,0,0.0,134
6212,Belgium,2020-05-11,S:677H.Robin1,0,0.0,134
6213,Belgium,2020-05-11,S:677P.Pelican,0,0.0,134
6214,Belgium,2020-05-11,others,134,100.0,134
6215,Belgium,2020-05-11,non_who,134,100.0,134
6216,Belgium,2020-05-25,Alpha,0,0.0,67
6217,Belgium,2020-05-25,B.1.1.277,0,0.0,67
6218,Belgium,2020-05-25,B.1.1.302,0,0.0,67
6219,Belgium,2020-05-25,B.1.1.519,0,0.0,67
6220,Belgium,2020-05-25,B.1.160,0,0.0,67
6221,Belgium,2020-05-25,B.1.177,0,0.0,67
6222,Belgium,2020-05-25,B.1.221,0,0.0,67
6223,Belgium,2020-05-25,B.1.258,0,0.0,67
6224,Belgium,2020-05-25,B.1.367,0,0.0,67
6225,Belgium,2020-05-25,B.1.620,0,0.0,67
6226,Belgium,2020-05-25,Beta,0,0.0,67
6227,Belgium,2020-05-25,Delta,0,0.0,67
6228,Belgium,2020-05-25,Epsilon,0,0.0,67
6229,Belgium,2020-05-25,Eta,0,0.0,67
6230,Belgium,2020-05-25,Gamma,0,0.0,67
6231,Belgium,2020-05-25,Iota,0,0.0,67
6232,Belgium,2020-05-25,Kappa,0,0.0,67
6233,Belgium,2020-05-25,Lambda,0,0.0,67
6234,Belgium,2020-05-25,Mu,0,0.0,67
6235,Belgium,2020-05-25,Omicron,0,0.0,67
6236,Belgium,2020-05-25,S:677H.Robin1,0,0.0,67
6237,Belgium,2020-05-25,S:677P.Pelican,0,0.0,67
6238,Belgium,2020-05-25,others,67,100.0,67
6239,Belgium,2020-05-25,non_who,67,100.0,67
6240,Belgium,2020-06-08,Alpha,0,0.0,15
6241,Belgium,2020-06-08,B.1.1.277,0,0.0,15
6242,Belgium,2020-06-08,B.1.1.302,0,0.0,15
6243,Belgium,2020-06-08,B.1.1.519,0,0.0,15
6244,Belgium,2020-06-08,B.1.160,0,0.0,15
6245,Belgium,2020-06-08,B.1.177,0,0.0,15
6246,Belgium,2020-06-08,B.1.221,0,0.0,15
6247,Belgium,2020-06-08,B.1.258,0,0.0,15
6248,Belgium,2020-06-08,B.1.367,0,0.0,15
6249,Belgium,2020-06-08,B.1.620,0,0.0,15
6250,Belgium,2020-06-08,Beta,0,0.0,15
6251,Belgium,2020-06-08,Delta,0,0.0,15
6252,Belgium,2020-06-08,Epsilon,0,0.0,15
6253,Belgium,2020-06-08,Eta,0,0.0,15
6254,Belgium,2020-06-08,Gamma,0,0.0,15
6255,Belgium,2020-06-08,Iota,0,0.0,15
6256,Belgium,2020-06-08,Kappa,0,0.0,15
6257,Belgium,2020-06-08,Lambda,0,0.0,15
6258,Belgium,2020-06-08,Mu,0,0.0,15
6259,Belgium,2020-06-08,Omicron,0,0.0,15
6260,Belgium,2020-06-08,S:677H.Robin1,0,0.0,15
6261,Belgium,2020-06-08,S:677P.Pelican,0,0.0,15
6262,Belgium,2020-06-08,others,15,100.0,15
6263,Belgium,2020-06-08,non_who,15,100.0,15
6264,Belgium,2020-06-22,Alpha,0,0.0,38
6265,Belgium,2020-06-22,B.1.1.277,0,0.0,38
6266,Belgium,2020-06-22,B.1.1.302,0,0.0,38
6267,Belgium,2020-06-22,B.1.1.519,0,0.0,38
6268,Belgium,2020-06-22,B.1.160,0,0.0,38
6269,Belgium,2020-06-22,B.1.177,0,0.0,38
6270,Belgium,2020-06-22,B.1.221,0,0.0,38
6271,Belgium,2020-06-22,B.1.258,0,0.0,38
6272,Belgium,2020-06-22,B.1.367,0,0.0,38
6273,Belgium,2020-06-22,B.1.620,0,0.0,38
6274,Belgium,2020-06-22,Beta,0,0.0,38
6275,Belgium,2020-06-22,Delta,0,0.0,38
6276,Belgium,2020-06-22,Epsilon,0,0.0,38
6277,Belgium,2020-06-22,Eta,0,0.0,38
6278,Belgium,2020-06-22,Gamma,0,0.0,38
6279,Belgium,2020-06-22,Iota,0,0.0,38
