,location,date,variant,num_sequences,perc_sequences,num_sequences_total
7272,Belize,2020-08-17,Alpha,0,0.0,4
7273,Belize,2020-08-17,B.1.1.277,0,0.0,4
7274,Belize,2020-08-17,B.1.1.302,0,0.0,4
7275,Belize,2020-08-17,B.1.1.519,0,0.0,4
7276,Belize,2020-08-17,B.1.160,0,0.0,4
7277,Belize,2020-08-17,B.1.177,0,0.0,4
7278,Belize,2020-08-17,B.1.221,0,0.0,4
7279,Belize,2020-08-17,B.1.258,0,0.0,4
7280,Belize,2020-08-17,B.1.367,0,0.0,4
7281,Belize,2020-08-17,B.1.620,0,0.0,4
7282,Belize,2020-08-17,Beta,0,0.0,4
7283,Belize,2020-08-17,Delta,0,0.0,4
7284,Belize,2020-08-17,Epsilon,0,0.0,4
7285,Belize,2020-08-17,Eta,0,0.0,4
7286,Belize,2020-08-17,Gamma,0,0.0,4
7287,Belize,2020-08-17,Iota,0,0.0,4
7288,Belize,2020-08-17,Kappa,0,0.0,4
7289,Belize,2020-08-17,Lambda,0,0.0,4
7290,Belize,2020-08-17,Mu,0,0.0,4
7291,Belize,2020-08-17,Omicron,0,0.0,4
7292,Belize,2020-08-17,S:677H.Robin1,0,0.0,4
7293,Belize,2020-08-17,S:677P.Pelican,0,0.0,4
7294,Belize,2020-08-17,others,4,100.0,4
7295,Belize,2020-08-17,non_who,4,100.0,4
7296,Belize,2020-08-31,Alpha,0,0.0,1
7297,Belize,2020-08-31,B.1.1.277,0,0.0,1
7298,Belize,2020-08-31,B.1.1.302,0,0.0,1
7299,Belize,2020-08-31,B.1.1.519,0,0.0,1
7300,Belize,2020-08-31,B.1.160,0,0.0,1
7301,Belize,2020-08-31,B.1.177,0,0.0,1
7302,Belize,2020-08-31,B.1.221,0,0.0,1
7303,Belize,2020-08-31,B.1.258,0,0.0,1
7304,Belize,2020-08-31,B.1.367,0,0.0,1
7305,Belize,2020-08-31,B.1.620,0,0.0,1
7306,Belize,2020-08-31,Beta,0,0.0,1
7307,Belize,2020-08-31,Delta,0,0.0,1
7308,Belize,2020-08-31,Epsilon,0,0.0,1
7309,Belize,2020-08-31,Eta,0,0.0,1
7310,Belize,2020-08-31,Gamma,0,0.0,1
7311,Belize,2020-08-31,Iota,0,0.0,1
7312,Belize,2020-08-31,Kappa,0,0.0,1
7313,Belize,2020-08-31,Lambda,0,0.0,1
7314,Belize,2020-08-31,Mu,0,0.0,1
7315,Belize,2020-08-31,Omicron,0,0.0,1
7316,Belize,2020-08-31,S:677H.Robin1,0,0.0,1
7317,Belize,2020-08-31,S:677P.Pelican,0,0.0,1
7318,Belize,2020-08-31,others,1,100.0,1
7319,Belize,2020-08-31,non_who,1,100.0,1
7320,Belize,2020-09-28,Alpha,0,0.0,2
7321,Belize,2020-09-28,B.1.1.277,0,0.0,2
7322,Belize,2020-09-28,B.1.1.302,0,0.0,2
7323,Belize,2020-09-28,B.1.1.519,0,0.0,2
7324,Belize,2020-09-28,B.1.160,0,0.0,2
7325,Belize,2020-09-28,B.1.177,0,0.0,2
7326,Belize,2020-09-28,B.1.221,0,0.0,2
7327,Belize,2020-09-28,B.1.258,0,0.0,2
7328,Belize,2020-09-28,B.1.367,0,0.0,2
7329,Belize,2020-09-28,B.1.620,0,0.0,2
7330,Belize,2020-09-28,Beta,0,0.0,2
7331,Belize,2020-09-28,Delta,0,0.0,2
7332,Belize,2020-09-28,Epsilon,0,0.0,2
7333,Belize,2020-09-28,Eta,0,0.0,2
7334,Belize,2020-09-28,Gamma,0,0.0,2
7335,Belize,2020-09-28,Iota,0,0.0,2
7336,Belize,2020-09-28,Kappa,0,0.0,2
7337,Belize,2020-09-28,Lambda,0,0.0,2
7338,Belize,2020-09-28,Mu,0,0.0,2
7339,Belize,2020-09-28,Omicron,0,0.0,2
7340,Belize,2020-09-28,S:677H.Robin1,0,0.0,2
7341,Belize,2020-09-28,S:677P.Pelican,0,0.0,2
7342,Belize,2020-09-28,others,2,100.0,2
7343,Belize,2020-09-28,non_who,2,100.0,2
7344,Belize,2020-10-12,Alpha,0,0.0,4
7345,Belize,2020-10-12,B.1.1.277,0,0.0,4
7346,Belize,2020-10-12,B.1.1.302,0,0.0,4
7347,Belize,2020-10-12,B.1.1.519,0,0.0,4
7348,Belize,2020-10-12,B.1.160,0,0.0,4
7349,Belize,2020-10-12,B.1.177,0,0.0,4
7350,Belize,2020-10-12,B.1.221,0,0.0,4
7351,Belize,2020-10-12,B.1.258,0,0.0,4
7352,Belize,2020-10-12,B.1.367,0,0.0,4
7353,Belize,2020-10-12,B.1.620,0,0.0,4
7354,Belize,2020-10-12,Beta,0,0.0,4
7355,Belize,2020-10-12,Delta,0,0.0,4
7356,Belize,2020-10-12,Epsilon,0,0.0,4
7357,Belize,2020-10-12,Eta,0,0.0,4
7358,Belize,2020-10-12,Gamma,0,0.0,4
7359,Belize,2020-10-12,Iota,0,0.0,4
7360,Belize,2020-10-12,Kappa,0,0.0,4
7361,Belize,2020-10-12,Lambda,0,0.0,4
7362,Belize,2020-10-12,Mu,0,0.0,4
7363,Belize,2020-10-12,Omicron,0,0.0,4
7364,Belize,2020-10-12,S:677H.Robin1,0,0.0,4
7365,Belize,2020-10-12,S:677P.Pelican,0,0.0,4
7366,Belize,2020-10-12,others,4,100.0,4
7367,Belize,2020-10-12,non_who,4,100.0,4
7368,Belize,2020-10-26,Alpha,0,0.0,6
7369,Belize,2020-10-26,B.1.1.277,0,0.0,6
7370,Belize,2020-10-26,B.1.1.302,0,0.0,6
7371,Belize,2020-10-26,B.1.1.519,0,0.0,6
7372,Belize,2020-10-26,B.1.160,0,0.0,6
7373,Belize,2020-10-26,B.1.177,0,0.0,6
7374,Belize,2020-10-26,B.1.221,0,0.0,6
7375,Belize,2020-10-26,B.1.258,0,0.0,6
7376,Belize,2020-10-26,B.1.367,0,0.0,6
7377,Belize,2020-10-26,B.1.620,0,0.0,6
7378,Belize,2020-10-26,Beta,0,0.0,6
7379,Belize,2020-10-26,Delta,0,0.0,6
7380,Belize,2020-10-26,Epsilon,0,0.0,6
7381,Belize,2020-10-26,Eta,0,0.0,6
7382,Belize,2020-10-26,Gamma,0,0.0,6
7383,Belize,2020-10-26,Iota,0,0.0,6
7384,Belize,2020-10-26,Kappa,0,0.0,6
7385,Belize,2020-10-26,Lambda,0,0.0,6
7386,Belize,2020-10-26,Mu,0,0.0,6
7387,Belize,2020-10-26,Omicron,0,0.0,6
7388,Belize,2020-10-26,S:677H.Robin1,0,0.0,6
7389,Belize,2020-10-26,S:677P.Pelican,0,0.0,6
7390,Belize,2020-10-26,others,6,100.0,6
7391,Belize,2020-10-26,non_who,6,100.0,6
7392,Belize,2020-11-09,Alpha,0,0.0,1
7393,Belize,2020-11-09,B.1.1.277,0,0.0,1
7394,Belize,2020-11-09,B.1.1.302,0,0.0,1
7395,Belize,2020-11-09,B.1.1.519,0,0.0,1
7396,Belize,2020-11-09,B.1.160,0,0.0,1
7397,Belize,2020-11-09,B.1.177,0,0.0,1
7398,Belize,2020-11-09,B.1.221,0,0.0,1
7399,Belize,2020-11-09,B.1.258,0,0.0,1
7400,Belize,2020-11-09,B.1.367,0,0.0,1
7401,Belize,2020-11-09,B.1.620,0,0.0,1
7402,Belize,2020-11-09,Beta,0,0.0,1
7403,Belize,2020-11-09,Delta,0,0.0,1
7404,Belize,2020-11-09,Epsilon,0,0.0,1
7405,Belize,2020-11-09,Eta,0,0.0,1
7406,Belize,2020-11-09,Gamma,0,0.0,1
7407,Belize,2020-11-09,Iota,0,0.0,1
7408,Belize,2020-11-09,Kappa,0,0.0,1
7409,Belize,2020-11-09,Lambda,0,0.0,1
7410,Belize,2020-11-09,Mu,0,0.0,1
7411,Belize,2020-11-09,Omicron,0,0.0,1
7412,Belize,2020-11-09,S:677H.Robin1,0,0.0,1
7413,Belize,2020-11-09,S:677P.Pelican,0,0.0,1
7414,Belize,2020-11-09,others,1,100.0,1
7415,Belize,2020-11-09,non_who,1,100.0,1
