,location,date,variant,num_sequences,perc_sequences,num_sequences_total
7848,Benin,2021-02-08,Alpha,28,25.69,109
7849,Benin,2021-02-08,B.1.1.277,0,0.0,109
7850,Benin,2021-02-08,B.1.1.302,0,0.0,109
7851,Benin,2021-02-08,B.1.1.519,0,0.0,109
7852,Benin,2021-02-08,B.1.160,1,0.92,109
7853,Benin,2021-02-08,B.1.177,0,0.0,109
7854,Benin,2021-02-08,B.1.221,0,0.0,109
7855,Benin,2021-02-08,B.1.258,0,0.0,109
7856,Benin,2021-02-08,B.1.367,0,0.0,109
7857,Benin,2021-02-08,B.1.620,0,0.0,109
7858,Benin,2021-02-08,Beta,0,0.0,109
7859,Benin,2021-02-08,Delta,0,0.0,109
7860,Benin,2021-02-08,Epsilon,0,0.0,109
7861,Benin,2021-02-08,Eta,47,43.12,109
7862,Benin,2021-02-08,Gamma,0,0.0,109
7863,Benin,2021-02-08,Iota,0,0.0,109
7864,Benin,2021-02-08,Kappa,0,0.0,109
7865,Benin,2021-02-08,Lambda,0,0.0,109
7866,Benin,2021-02-08,Mu,0,0.0,109
7867,Benin,2021-02-08,Omicron,0,0.0,109
7868,Benin,2021-02-08,S:677H.Robin1,0,0.0,109
7869,Benin,2021-02-08,S:677P.Pelican,0,0.0,109
7870,Benin,2021-02-08,others,33,30.27,109
7871,Benin,2021-02-08,non_who,34,31.19,109
7872,Benin,2021-03-08,Alpha,22,18.18,121
7873,Benin,2021-03-08,B.1.1.277,0,0.0,121
7874,Benin,2021-03-08,B.1.1.302,0,0.0,121
7875,Benin,2021-03-08,B.1.1.519,0,0.0,121
7876,Benin,2021-03-08,B.1.160,0,0.0,121
7877,Benin,2021-03-08,B.1.177,0,0.0,121
7878,Benin,2021-03-08,B.1.221,0,0.0,121
7879,Benin,2021-03-08,B.1.258,0,0.0,121
7880,Benin,2021-03-08,B.1.367,0,0.0,121
7881,Benin,2021-03-08,B.1.620,0,0.0,121
7882,Benin,2021-03-08,Beta,0,0.0,121
7883,Benin,2021-03-08,Delta,0,0.0,121
7884,Benin,2021-03-08,Epsilon,0,0.0,121
7885,Benin,2021-03-08,Eta,66,54.55,121
7886,Benin,2021-03-08,Gamma,0,0.0,121
7887,Benin,2021-03-08,Iota,0,0.0,121
7888,Benin,2021-03-08,Kappa,0,0.0,121
7889,Benin,2021-03-08,Lambda,0,0.0,121
7890,Benin,2021-03-08,Mu,0,0.0,121
7891,Benin,2021-03-08,Omicron,0,0.0,121
7892,Benin,2021-03-08,S:677H.Robin1,0,0.0,121
7893,Benin,2021-03-08,S:677P.Pelican,0,0.0,121
7894,Benin,2021-03-08,others,33,27.27,121
7895,Benin,2021-03-08,non_who,33,27.27,121
7896,Benin,2021-04-05,Alpha,14,7.95,176
7897,Benin,2021-04-05,B.1.1.277,0,0.0,176
7898,Benin,2021-04-05,B.1.1.302,0,0.0,176
7899,Benin,2021-04-05,B.1.1.519,0,0.0,176
7900,Benin,2021-04-05,B.1.160,0,0.0,176
7901,Benin,2021-04-05,B.1.177,0,0.0,176
7902,Benin,2021-04-05,B.1.221,0,0.0,176
7903,Benin,2021-04-05,B.1.258,0,0.0,176
7904,Benin,2021-04-05,B.1.367,0,0.0,176
7905,Benin,2021-04-05,B.1.620,3,1.7,176
7906,Benin,2021-04-05,Beta,3,1.7,176
7907,Benin,2021-04-05,Delta,0,0.0,176
7908,Benin,2021-04-05,Epsilon,0,0.0,176
7909,Benin,2021-04-05,Eta,78,44.32,176
7910,Benin,2021-04-05,Gamma,0,0.0,176
7911,Benin,2021-04-05,Iota,0,0.0,176
7912,Benin,2021-04-05,Kappa,0,0.0,176
7913,Benin,2021-04-05,Lambda,0,0.0,176
7914,Benin,2021-04-05,Mu,0,0.0,176
7915,Benin,2021-04-05,Omicron,0,0.0,176
7916,Benin,2021-04-05,S:677H.Robin1,0,0.0,176
7917,Benin,2021-04-05,S:677P.Pelican,0,0.0,176
7918,Benin,2021-04-05,others,78,44.33,176
7919,Benin,2021-04-05,non_who,81,46.03,176
7920,Benin,2021-04-19,Alpha,0,0.0,8
7921,Benin,2021-04-19,B.1.1.277,0,0.0,8
7922,Benin,2021-04-19,B.1.1.302,0,0.0,8
7923,Benin,2021-04-19,B.1.1.519,0,0.0,8
7924,Benin,2021-04-19,B.1.160,0,0.0,8
7925,Benin,2021-04-19,B.1.177,0,0.0,8
7926,Benin,2021-04-19,B.1.221,0,0.0,8
7927,Benin,2021-04-19,B.1.258,0,0.0,8
7928,Benin,2021-04-19,B.1.367,0,0.0,8
7929,Benin,2021-04-19,B.1.620,0,0.0,8
7930,Benin,2021-04-19,Beta,0,0.0,8
7931,Benin,2021-04-19,Delta,0,0.0,8
7932,Benin,2021-04-19,Epsilon,0,0.0,8
7933,Benin,2021-04-19,Eta,2,25.0,8
7934,Benin,2021-04-19,Gamma,0,0.0,8
7935,Benin,2021-04-19,Iota,0,0.0,8
7936,Benin,2021-04-19,Kappa,0,0.0,8
7937,Benin,2021-04-19,Lambda,0,0.0,8
7938,Benin,2021-04-19,Mu,0,0.0,8
7939,Benin,2021-04-19,Omicron,0,0.0,8
7940,Benin,2021-04-19,S:677H.Robin1,0,0.0,8
7941,Benin,2021-04-19,S:677P.Pelican,0,0.0,8
7942,Benin,2021-04-19,others,6,75.0,8
7943,Benin,2021-04-19,non_who,6,75.0,8
7944,Benin,2021-05-03,Alpha,2,8.0,25
7945,Benin,2021-05-03,B.1.1.277,0,0.0,25
7946,Benin,2021-05-03,B.1.1.302,0,0.0,25
7947,Benin,2021-05-03,B.1.1.519,0,0.0,25
7948,Benin,2021-05-03,B.1.160,0,0.0,25
7949,Benin,2021-05-03,B.1.177,0,0.0,25
7950,Benin,2021-05-03,B.1.221,0,0.0,25
7951,Benin,2021-05-03,B.1.258,0,0.0,25
7952,Benin,2021-05-03,B.1.367,0,0.0,25
7953,Benin,2021-05-03,B.1.620,0,0.0,25
7954,Benin,2021-05-03,Beta,0,0.0,25
7955,Benin,2021-05-03,Delta,0,0.0,25
7956,Benin,2021-05-03,Epsilon,0,0.0,25
7957,Benin,2021-05-03,Eta,4,16.0,25
7958,Benin,2021-05-03,Gamma,0,0.0,25
7959,Benin,2021-05-03,Iota,0,0.0,25
7960,Benin,2021-05-03,Kappa,0,0.0,25
7961,Benin,2021-05-03,Lambda,0,0.0,25
7962,Benin,2021-05-03,Mu,0,0.0,25
7963,Benin,2021-05-03,Omicron,0,0.0,25
7964,Benin,2021-05-03,S:677H.Robin1,0,0.0,25
7965,Benin,2021-05-03,S:677P.Pelican,0,0.0,25
7966,Benin,2021-05-03,others,19,76.0,25
7967,Benin,2021-05-03,non_who,19,76.0,25
7968,Benin,2021-05-17,Alpha,3,9.38,32
7969,Benin,2021-05-17,B.1.1.277,0,0.0,32
7970,Benin,2021-05-17,B.1.1.302,0,0.0,32
7971,Benin,2021-05-17,B.1.1.519,0,0.0,32
7972,Benin,2021-05-17,B.1.160,0,0.0,32
7973,Benin,2021-05-17,B.1.177,0,0.0,32
7974,Benin,2021-05-17,B.1.221,0,0.0,32
7975,Benin,2021-05-17,B.1.258,0,0.0,32
7976,Benin,2021-05-17,B.1.367,0,0.0,32
7977,Benin,2021-05-17,B.1.620,0,0.0,32
7978,Benin,2021-05-17,Beta,0,0.0,32
7979,Benin,2021-05-17,Delta,0,0.0,32
7980,Benin,2021-05-17,Epsilon,0,0.0,32
7981,Benin,2021-05-17,Eta,4,12.5,32
7982,Benin,2021-05-17,Gamma,0,0.0,32
7983,Benin,2021-05-17,Iota,0,0.0,32
7984,Benin,2021-05-17,Kappa,0,0.0,32
7985,Benin,2021-05-17,Lambda,0,0.0,32
7986,Benin,2021-05-17,Mu,0,0.0,32
7987,Benin,2021-05-17,Omicron,0,0.0,32
7988,Benin,2021-05-17,S:677H.Robin1,0,0.0,32
7989,Benin,2021-05-17,S:677P.Pelican,0,0.0,32
7990,Benin,2021-05-17,others,25,78.12,32
7991,Benin,2021-05-17,non_who,25,78.12,32
7992,Benin,2021-05-31,Alpha,1,3.7,27
7993,Benin,2021-05-31,B.1.1.277,0,0.0,27
7994,Benin,2021-05-31,B.1.1.302,0,0.0,27
7995,Benin,2021-05-31,B.1.1.519,0,0.0,27
7996,Benin,2021-05-31,B.1.160,0,0.0,27
7997,Benin,2021-05-31,B.1.177,0,0.0,27
7998,Benin,2021-05-31,B.1.221,0,0.0,27
7999,Benin,2021-05-31,B.1.258,0,0.0,27
8000,Benin,2021-05-31,B.1.367,0,0.0,27
8001,Benin,2021-05-31,B.1.620,1,3.7,27
8002,Benin,2021-05-31,Beta,1,3.7,27
8003,Benin,2021-05-31,Delta,1,3.7,27
8004,Benin,2021-05-31,Epsilon,0,0.0,27
8005,Benin,2021-05-31,Eta,3,11.11,27
8006,Benin,2021-05-31,Gamma,0,0.0,27
8007,Benin,2021-05-31,Iota,0,0.0,27
8008,Benin,2021-05-31,Kappa,0,0.0,27
8009,Benin,2021-05-31,Lambda,0,0.0,27
8010,Benin,2021-05-31,Mu,0,0.0,27
8011,Benin,2021-05-31,Omicron,0,0.0,27
8012,Benin,2021-05-31,S:677H.Robin1,0,0.0,27
8013,Benin,2021-05-31,S:677P.Pelican,0,0.0,27
8014,Benin,2021-05-31,others,20,74.09,27
8015,Benin,2021-05-31,non_who,21,77.79,27
8016,Benin,2021-06-14,Alpha,1,11.11,9
8017,Benin,2021-06-14,B.1.1.277,0,0.0,9
8018,Benin,2021-06-14,B.1.1.302,0,0.0,9
8019,Benin,2021-06-14,B.1.1.519,0,0.0,9
8020,Benin,2021-06-14,B.1.160,0,0.0,9
8021,Benin,2021-06-14,B.1.177,0,0.0,9
8022,Benin,2021-06-14,B.1.221,0,0.0,9
8023,Benin,2021-06-14,B.1.258,0,0.0,9
8024,Benin,2021-06-14,B.1.367,0,0.0,9
8025,Benin,2021-06-14,B.1.620,0,0.0,9
8026,Benin,2021-06-14,Beta,0,0.0,9
8027,Benin,2021-06-14,Delta,1,11.11,9
8028,Benin,2021-06-14,Epsilon,0,0.0,9
8029,Benin,2021-06-14,Eta,0,0.0,9
8030,Benin,2021-06-14,Gamma,0,0.0,9
8031,Benin,2021-06-14,Iota,0,0.0,9
8032,Benin,2021-06-14,Kappa,0,0.0,9
8033,Benin,2021-06-14,Lambda,0,0.0,9
8034,Benin,2021-06-14,Mu,0,0.0,9
8035,Benin,2021-06-14,Omicron,0,0.0,9
8036,Benin,2021-06-14,S:677H.Robin1,0,0.0,9
8037,Benin,2021-06-14,S:677P.Pelican,0,0.0,9
8038,Benin,2021-06-14,others,7,77.78,9
8039,Benin,2021-06-14,non_who,7,77.78,9
8040,Benin,2021-06-28,Alpha,0,0.0,14
