,location,date,variant,num_sequences,perc_sequences,num_sequences_total
8184,Bosnia and Herzegovina,2020-05-11,Alpha,0,0.0,1
8185,Bosnia and Herzegovina,2020-05-11,B.1.1.277,0,0.0,1
8186,Bosnia and Herzegovina,2020-05-11,B.1.1.302,0,0.0,1
8187,Bosnia and Herzegovina,2020-05-11,B.1.1.519,0,0.0,1
8188,Bosnia and Herzegovina,2020-05-11,B.1.160,0,0.0,1
8189,Bosnia and Herzegovina,2020-05-11,B.1.177,0,0.0,1
8190,Bosnia and Herzegovina,2020-05-11,B.1.221,0,0.0,1
8191,Bosnia and Herzegovina,2020-05-11,B.1.258,0,0.0,1
8192,Bosnia and Herzegovina,2020-05-11,B.1.367,0,0.0,1
8193,Bosnia and Herzegovina,2020-05-11,B.1.620,0,0.0,1
8194,Bosnia and Herzegovina,2020-05-11,Beta,0,0.0,1
8195,Bosnia and Herzegovina,2020-05-11,Delta,0,0.0,1
8196,Bosnia and Herzegovina,2020-05-11,Epsilon,0,0.0,1
8197,Bosnia and Herzegovina,2020-05-11,Eta,0,0.0,1
8198,Bosnia and Herzegovina,2020-05-11,Gamma,0,0.0,1
8199,Bosnia and Herzegovina,2020-05-11,Iota,0,0.0,1
8200,Bosnia and Herzegovina,2020-05-11,Kappa,0,0.0,1
8201,Bosnia and Herzegovina,2020-05-11,Lambda,0,0.0,1
8202,Bosnia and Herzegovina,2020-05-11,Mu,0,0.0,1
8203,Bosnia and Herzegovina,2020-05-11,Omicron,0,0.0,1
8204,Bosnia and Herzegovina,2020-05-11,S:677H.Robin1,0,0.0,1
8205,Bosnia and Herzegovina,2020-05-11,S:677P.Pelican,0,0.0,1
8206,Bosnia and Herzegovina,2020-05-11,others,1,100.0,1
8207,Bosnia and Herzegovina,2020-05-11,non_who,1,100.0,1
8208,Bosnia and Herzegovina,2020-06-08,Alpha,0,0.0,2
8209,Bosnia and Herzegovina,2020-06-08,B.1.1.277,0,0.0,2
8210,Bosnia and Herzegovina,2020-06-08,B.1.1.302,0,0.0,2
8211,Bosnia and Herzegovina,2020-06-08,B.1.1.519,0,0.0,2
8212,Bosnia and Herzegovina,2020-06-08,B.1.160,0,0.0,2
8213,Bosnia and Herzegovina,2020-06-08,B.1.177,0,0.0,2
8214,Bosnia and Herzegovina,2020-06-08,B.1.221,0,0.0,2
8215,Bosnia and Herzegovina,2020-06-08,B.1.258,0,0.0,2
8216,Bosnia and Herzegovina,2020-06-08,B.1.367,0,0.0,2
8217,Bosnia and Herzegovina,2020-06-08,B.1.620,0,0.0,2
8218,Bosnia and Herzegovina,2020-06-08,Beta,0,0.0,2
8219,Bosnia and Herzegovina,2020-06-08,Delta,0,0.0,2
8220,Bosnia and Herzegovina,2020-06-08,Epsilon,0,0.0,2
