,location,date,variant,num_sequences,perc_sequences,num_sequences_total
9048,Botswana,2020-09-14,Alpha,0,0.0,1
9049,Botswana,2020-09-14,B.1.1.277,0,0.0,1
9050,Botswana,2020-09-14,B.1.1.302,0,0.0,1
9051,Botswana,2020-09-14,B.1.1.519,0,0.0,1
9052,Botswana,2020-09-14,B.1.160,0,0.0,1
9053,Botswana,2020-09-14,B.1.177,0,0.0,1
9054,Botswana,2020-09-14,B.1.221,0,0.0,1
9055,Botswana,2020-09-14,B.1.258,0,0.0,1
9056,Botswana,2020-09-14,B.1.367,0,0.0,1
9057,Botswana,2020-09-14,B.1.620,0,0.0,1
9058,Botswana,2020-09-14,Beta,1,100.0,1
9059,Botswana,2020-09-14,Delta,0,0.0,1
9060,Botswana,2020-09-14,Epsilon,0,0.0,1
9061,Botswana,2020-09-14,Eta,0,0.0,1
9062,Botswana,2020-09-14,Gamma,0,0.0,1
9063,Botswana,2020-09-14,Iota,0,0.0,1
9064,Botswana,2020-09-14,Kappa,0,0.0,1
9065,Botswana,2020-09-14,Lambda,0,0.0,1
9066,Botswana,2020-09-14,Mu,0,0.0,1
9067,Botswana,2020-09-14,Omicron,0,0.0,1
9068,Botswana,2020-09-14,S:677H.Robin1,0,0.0,1
9069,Botswana,2020-09-14,S:677P.Pelican,0,0.0,1
9070,Botswana,2020-09-14,others,0,0.0,1
9071,Botswana,2020-09-14,non_who,0,0.0,1
9072,Botswana,2020-09-28,Alpha,0,0.0,10
9073,Botswana,2020-09-28,B.1.1.277,0,0.0,10
9074,Botswana,2020-09-28,B.1.1.302,0,0.0,10
9075,Botswana,2020-09-28,B.1.1.519,0,0.0,10
9076,Botswana,2020-09-28,B.1.160,0,0.0,10
9077,Botswana,2020-09-28,B.1.177,0,0.0,10
9078,Botswana,2020-09-28,B.1.221,0,0.0,10
9079,Botswana,2020-09-28,B.1.258,0,0.0,10
9080,Botswana,2020-09-28,B.1.367,0,0.0,10
9081,Botswana,2020-09-28,B.1.620,0,0.0,10
9082,Botswana,2020-09-28,Beta,0,0.0,10
9083,Botswana,2020-09-28,Delta,0,0.0,10
9084,Botswana,2020-09-28,Epsilon,0,0.0,10
9085,Botswana,2020-09-28,Eta,0,0.0,10
9086,Botswana,2020-09-28,Gamma,0,0.0,10
