,location,date,variant,num_sequences,perc_sequences,num_sequences_total
9864,Brazil,2020-05-11,Alpha,0,0.0,311
9865,Brazil,2020-05-11,B.1.1.277,0,0.0,311
9866,Brazil,2020-05-11,B.1.1.302,0,0.0,311
9867,Brazil,2020-05-11,B.1.1.519,0,0.0,311
9868,Brazil,2020-05-11,B.1.160,0,0.0,311
9869,Brazil,2020-05-11,B.1.177,0,0.0,311
9870,Brazil,2020-05-11,B.1.221,0,0.0,311
9871,Brazil,2020-05-11,B.1.258,0,0.0,311
9872,Brazil,2020-05-11,B.1.367,0,0.0,311
9873,Brazil,2020-05-11,B.1.620,0,0.0,311
9874,Brazil,2020-05-11,Beta,0,0.0,311
9875,Brazil,2020-05-11,Delta,0,0.0,311
9876,Brazil,2020-05-11,Epsilon,0,0.0,311
9877,Brazil,2020-05-11,Eta,0,0.0,311
9878,Brazil,2020-05-11,Gamma,0,0.0,311
9879,Brazil,2020-05-11,Iota,0,0.0,311
9880,Brazil,2020-05-11,Kappa,0,0.0,311
9881,Brazil,2020-05-11,Lambda,0,0.0,311
9882,Brazil,2020-05-11,Mu,0,0.0,311
9883,Brazil,2020-05-11,Omicron,0,0.0,311
9884,Brazil,2020-05-11,S:677H.Robin1,0,0.0,311
9885,Brazil,2020-05-11,S:677P.Pelican,0,0.0,311
9886,Brazil,2020-05-11,others,311,100.0,311
9887,Brazil,2020-05-11,non_who,311,100.0,311
9888,Brazil,2020-05-25,Alpha,0,0.0,183
9889,Brazil,2020-05-25,B.1.1.277,0,0.0,183
9890,Brazil,2020-05-25,B.1.1.302,0,0.0,183
9891,Brazil,2020-05-25,B.1.1.519,0,0.0,183
9892,Brazil,2020-05-25,B.1.160,0,0.0,183
9893,Brazil,2020-05-25,B.1.177,0,0.0,183
9894,Brazil,2020-05-25,B.1.221,0,0.0,183
9895,Brazil,2020-05-25,B.1.258,0,0.0,183
9896,Brazil,2020-05-25,B.1.367,0,0.0,183
9897,Brazil,2020-05-25,B.1.620,0,0.0,183
9898,Brazil,2020-05-25,Beta,0,0.0,183
9899,Brazil,2020-05-25,Delta,0,0.0,183
9900,Brazil,2020-05-25,Epsilon,0,0.0,183
9901,Brazil,2020-05-25,Eta,0,0.0,183
9902,Brazil,2020-05-25,Gamma,0,0.0,183
9903,Brazil,2020-05-25,Iota,0,0.0,183
9904,Brazil,2020-05-25,Kappa,0,0.0,183
9905,Brazil,2020-05-25,Lambda,0,0.0,183
9906,Brazil,2020-05-25,Mu,0,0.0,183
9907,Brazil,2020-05-25,Omicron,0,0.0,183
9908,Brazil,2020-05-25,S:677H.Robin1,0,0.0,183
9909,Brazil,2020-05-25,S:677P.Pelican,0,0.0,183
9910,Brazil,2020-05-25,others,183,100.0,183
9911,Brazil,2020-05-25,non_who,183,100.0,183
9912,Brazil,2020-06-08,Alpha,0,0.0,194
9913,Brazil,2020-06-08,B.1.1.277,0,0.0,194
9914,Brazil,2020-06-08,B.1.1.302,0,0.0,194
9915,Brazil,2020-06-08,B.1.1.519,0,0.0,194
9916,Brazil,2020-06-08,B.1.160,0,0.0,194
9917,Brazil,2020-06-08,B.1.177,0,0.0,194
9918,Brazil,2020-06-08,B.1.221,0,0.0,194
9919,Brazil,2020-06-08,B.1.258,0,0.0,194
9920,Brazil,2020-06-08,B.1.367,0,0.0,194
9921,Brazil,2020-06-08,B.1.620,0,0.0,194
9922,Brazil,2020-06-08,Beta,0,0.0,194
9923,Brazil,2020-06-08,Delta,0,0.0,194
9924,Brazil,2020-06-08,Epsilon,0,0.0,194
9925,Brazil,2020-06-08,Eta,0,0.0,194
9926,Brazil,2020-06-08,Gamma,0,0.0,194
9927,Brazil,2020-06-08,Iota,0,0.0,194
9928,Brazil,2020-06-08,Kappa,0,0.0,194
9929,Brazil,2020-06-08,Lambda,0,0.0,194
9930,Brazil,2020-06-08,Mu,0,0.0,194
9931,Brazil,2020-06-08,Omicron,0,0.0,194
9932,Brazil,2020-06-08,S:677H.Robin1,0,0.0,194
9933,Brazil,2020-06-08,S:677P.Pelican,0,0.0,194
