,location,date,variant,num_sequences,perc_sequences,num_sequences_total
10920,Brunei,2021-01-04,Alpha,0,0.0,2
10921,Brunei,2021-01-04,B.1.1.277,0,0.0,2
10922,Brunei,2021-01-04,B.1.1.302,0,0.0,2
10923,Brunei,2021-01-04,B.1.1.519,0,0.0,2
10924,Brunei,2021-01-04,B.1.160,0,0.0,2
10925,Brunei,2021-01-04,B.1.177,0,0.0,2
10926,Brunei,2021-01-04,B.1.221,0,0.0,2
10927,Brunei,2021-01-04,B.1.258,0,0.0,2
10928,Brunei,2021-01-04,B.1.367,0,0.0,2
10929,Brunei,2021-01-04,B.1.620,0,0.0,2
10930,Brunei,2021-01-04,Beta,0,0.0,2
10931,Brunei,2021-01-04,Delta,0,0.0,2
10932,Brunei,2021-01-04,Epsilon,0,0.0,2
10933,Brunei,2021-01-04,Eta,0,0.0,2
10934,Brunei,2021-01-04,Gamma,0,0.0,2
10935,Brunei,2021-01-04,Iota,0,0.0,2
10936,Brunei,2021-01-04,Kappa,0,0.0,2
10937,Brunei,2021-01-04,Lambda,0,0.0,2
10938,Brunei,2021-01-04,Mu,0,0.0,2
10939,Brunei,2021-01-04,Omicron,0,0.0,2
10940,Brunei,2021-01-04,S:677H.Robin1,0,0.0,2
10941,Brunei,2021-01-04,S:677P.Pelican,0,0.0,2
10942,Brunei,2021-01-04,others,2,100.0,2
10943,Brunei,2021-01-04,non_who,2,100.0,2
10944,Brunei,2021-01-25,Alpha,0,0.0,1
10945,Brunei,2021-01-25,B.1.1.277,0,0.0,1
10946,Brunei,2021-01-25,B.1.1.302,0,0.0,1
10947,Brunei,2021-01-25,B.1.1.519,0,0.0,1
10948,Brunei,2021-01-25,B.1.160,0,0.0,1
10949,Brunei,2021-01-25,B.1.177,0,0.0,1
10950,Brunei,2021-01-25,B.1.221,0,0.0,1
10951,Brunei,2021-01-25,B.1.258,0,0.0,1
10952,Brunei,2021-01-25,B.1.367,0,0.0,1
10953,Brunei,2021-01-25,B.1.620,0,0.0,1
10954,Brunei,2021-01-25,Beta,1,100.0,1
10955,Brunei,2021-01-25,Delta,0,0.0,1
10956,Brunei,2021-01-25,Epsilon,0,0.0,1
10957,Brunei,2021-01-25,Eta,0,0.0,1
10958,Brunei,2021-01-25,Gamma,0,0.0,1
10959,Brunei,2021-01-25,Iota,0,0.0,1
10960,Brunei,2021-01-25,Kappa,0,0.0,1
10961,Brunei,2021-01-25,Lambda,0,0.0,1
10962,Brunei,2021-01-25,Mu,0,0.0,1
10963,Brunei,2021-01-25,Omicron,0,0.0,1
10964,Brunei,2021-01-25,S:677H.Robin1,0,0.0,1
10965,Brunei,2021-01-25,S:677P.Pelican,0,0.0,1
10966,Brunei,2021-01-25,others,0,0.0,1
10967,Brunei,2021-01-25,non_who,0,0.0,1
10968,Brunei,2021-02-08,Alpha,0,0.0,2
10969,Brunei,2021-02-08,B.1.1.277,0,0.0,2
10970,Brunei,2021-02-08,B.1.1.302,0,0.0,2
10971,Brunei,2021-02-08,B.1.1.519,0,0.0,2
10972,Brunei,2021-02-08,B.1.160,0,0.0,2
10973,Brunei,2021-02-08,B.1.177,0,0.0,2
10974,Brunei,2021-02-08,B.1.221,0,0.0,2
10975,Brunei,2021-02-08,B.1.258,0,0.0,2
10976,Brunei,2021-02-08,B.1.367,0,0.0,2
10977,Brunei,2021-02-08,B.1.620,0,0.0,2
10978,Brunei,2021-02-08,Beta,0,0.0,2
10979,Brunei,2021-02-08,Delta,0,0.0,2
10980,Brunei,2021-02-08,Epsilon,0,0.0,2
10981,Brunei,2021-02-08,Eta,0,0.0,2
10982,Brunei,2021-02-08,Gamma,0,0.0,2
10983,Brunei,2021-02-08,Iota,0,0.0,2
10984,Brunei,2021-02-08,Kappa,0,0.0,2
10985,Brunei,2021-02-08,Lambda,0,0.0,2
10986,Brunei,2021-02-08,Mu,0,0.0,2
10987,Brunei,2021-02-08,Omicron,0,0.0,2
10988,Brunei,2021-02-08,S:677H.Robin1,0,0.0,2
10989,Brunei,2021-02-08,S:677P.Pelican,0,0.0,2
10990,Brunei,2021-02-08,others,2,100.0,2
10991,Brunei,2021-02-08,non_who,2,100.0,2
10992,Brunei,2021-07-26,Alpha,0,0.0,16
10993,Brunei,2021-07-26,B.1.1.277,0,0.0,16
10994,Brunei,2021-07-26,B.1.1.302,0,0.0,16
10995,Brunei,2021-07-26,B.1.1.519,0,0.0,16
10996,Brunei,2021-07-26,B.1.160,0,0.0,16
10997,Brunei,2021-07-26,B.1.177,0,0.0,16
10998,Brunei,2021-07-26,B.1.221,0,0.0,16
10999,Brunei,2021-07-26,B.1.258,0,0.0,16
11000,Brunei,2021-07-26,B.1.367,0,0.0,16
11001,Brunei,2021-07-26,B.1.620,0,0.0,16
11002,Brunei,2021-07-26,Beta,0,0.0,16
11003,Brunei,2021-07-26,Delta,16,100.0,16
11004,Brunei,2021-07-26,Epsilon,0,0.0,16
11005,Brunei,2021-07-26,Eta,0,0.0,16
11006,Brunei,2021-07-26,Gamma,0,0.0,16
11007,Brunei,2021-07-26,Iota,0,0.0,16
11008,Brunei,2021-07-26,Kappa,0,0.0,16
11009,Brunei,2021-07-26,Lambda,0,0.0,16
11010,Brunei,2021-07-26,Mu,0,0.0,16
11011,Brunei,2021-07-26,Omicron,0,0.0,16
11012,Brunei,2021-07-26,S:677H.Robin1,0,0.0,16
11013,Brunei,2021-07-26,S:677P.Pelican,0,0.0,16
11014,Brunei,2021-07-26,others,0,0.0,16
11015,Brunei,2021-07-26,non_who,0,0.0,16
11016,Brunei,2021-08-23,Alpha,0,0.0,12
11017,Brunei,2021-08-23,B.1.1.277,0,0.0,12
11018,Brunei,2021-08-23,B.1.1.302,0,0.0,12
11019,Brunei,2021-08-23,B.1.1.519,0,0.0,12
11020,Brunei,2021-08-23,B.1.160,0,0.0,12
11021,Brunei,2021-08-23,B.1.177,0,0.0,12
11022,Brunei,2021-08-23,B.1.221,0,0.0,12
11023,Brunei,2021-08-23,B.1.258,0,0.0,12
11024,Brunei,2021-08-23,B.1.367,0,0.0,12
11025,Brunei,2021-08-23,B.1.620,0,0.0,12
