,location,date,variant,num_sequences,perc_sequences,num_sequences_total
12096,Cambodia,2020-11-09,Alpha,0,0.0,2
12097,Cambodia,2020-11-09,B.1.1.277,0,0.0,2
12098,Cambodia,2020-11-09,B.1.1.302,0,0.0,2
12099,Cambodia,2020-11-09,B.1.1.519,0,0.0,2
12100,Cambodia,2020-11-09,B.1.160,1,50.0,2
12101,Cambodia,2020-11-09,B.1.177,0,0.0,2
12102,Cambodia,2020-11-09,B.1.221,0,0.0,2
12103,Cambodia,2020-11-09,B.1.258,0,0.0,2
12104,Cambodia,2020-11-09,B.1.367,0,0.0,2
12105,Cambodia,2020-11-09,B.1.620,0,0.0,2
12106,Cambodia,2020-11-09,Beta,0,0.0,2
12107,Cambodia,2020-11-09,Delta,0,0.0,2
12108,Cambodia,2020-11-09,Epsilon,0,0.0,2
12109,Cambodia,2020-11-09,Eta,0,0.0,2
12110,Cambodia,2020-11-09,Gamma,0,0.0,2
12111,Cambodia,2020-11-09,Iota,0,0.0,2
12112,Cambodia,2020-11-09,Kappa,0,0.0,2
12113,Cambodia,2020-11-09,Lambda,0,0.0,2
12114,Cambodia,2020-11-09,Mu,0,0.0,2
12115,Cambodia,2020-11-09,Omicron,0,0.0,2
12116,Cambodia,2020-11-09,S:677H.Robin1,0,0.0,2
12117,Cambodia,2020-11-09,S:677P.Pelican,0,0.0,2
12118,Cambodia,2020-11-09,others,1,50.0,2
12119,Cambodia,2020-11-09,non_who,2,100.0,2
12120,Cambodia,2020-11-23,Alpha,0,0.0,4
12121,Cambodia,2020-11-23,B.1.1.277,0,0.0,4
12122,Cambodia,2020-11-23,B.1.1.302,0,0.0,4
12123,Cambodia,2020-11-23,B.1.1.519,0,0.0,4
12124,Cambodia,2020-11-23,B.1.160,3,75.0,4
12125,Cambodia,2020-11-23,B.1.177,0,0.0,4
12126,Cambodia,2020-11-23,B.1.221,0,0.0,4
12127,Cambodia,2020-11-23,B.1.258,0,0.0,4
12128,Cambodia,2020-11-23,B.1.367,0,0.0,4
12129,Cambodia,2020-11-23,B.1.620,0,0.0,4
12130,Cambodia,2020-11-23,Beta,0,0.0,4
12131,Cambodia,2020-11-23,Delta,0,0.0,4
12132,Cambodia,2020-11-23,Epsilon,0,0.0,4
12133,Cambodia,2020-11-23,Eta,0,0.0,4
12134,Cambodia,2020-11-23,Gamma,0,0.0,4
12135,Cambodia,2020-11-23,Iota,0,0.0,4
12136,Cambodia,2020-11-23,Kappa,0,0.0,4
12137,Cambodia,2020-11-23,Lambda,0,0.0,4
12138,Cambodia,2020-11-23,Mu,0,0.0,4
12139,Cambodia,2020-11-23,Omicron,0,0.0,4
12140,Cambodia,2020-11-23,S:677H.Robin1,0,0.0,4
12141,Cambodia,2020-11-23,S:677P.Pelican,0,0.0,4
12142,Cambodia,2020-11-23,others,1,25.0,4
12143,Cambodia,2020-11-23,non_who,4,100.0,4
