,location,date,variant,num_sequences,perc_sequences,num_sequences_total
12816,Cameroon,2020-05-11,Alpha,0,0.0,4
12817,Cameroon,2020-05-11,B.1.1.277,0,0.0,4
12818,Cameroon,2020-05-11,B.1.1.302,0,0.0,4
12819,Cameroon,2020-05-11,B.1.1.519,0,0.0,4
12820,Cameroon,2020-05-11,B.1.160,0,0.0,4
12821,Cameroon,2020-05-11,B.1.177,0,0.0,4
12822,Cameroon,2020-05-11,B.1.221,0,0.0,4
12823,Cameroon,2020-05-11,B.1.258,0,0.0,4
12824,Cameroon,2020-05-11,B.1.367,0,0.0,4
12825,Cameroon,2020-05-11,B.1.620,0,0.0,4
12826,Cameroon,2020-05-11,Beta,0,0.0,4
12827,Cameroon,2020-05-11,Delta,0,0.0,4
12828,Cameroon,2020-05-11,Epsilon,0,0.0,4
12829,Cameroon,2020-05-11,Eta,0,0.0,4
12830,Cameroon,2020-05-11,Gamma,0,0.0,4
12831,Cameroon,2020-05-11,Iota,0,0.0,4
12832,Cameroon,2020-05-11,Kappa,0,0.0,4
12833,Cameroon,2020-05-11,Lambda,0,0.0,4
12834,Cameroon,2020-05-11,Mu,0,0.0,4
12835,Cameroon,2020-05-11,Omicron,0,0.0,4
12836,Cameroon,2020-05-11,S:677H.Robin1,0,0.0,4
12837,Cameroon,2020-05-11,S:677P.Pelican,0,0.0,4
12838,Cameroon,2020-05-11,others,4,100.0,4
12839,Cameroon,2020-05-11,non_who,4,100.0,4
12840,Cameroon,2020-05-25,Alpha,0,0.0,8
12841,Cameroon,2020-05-25,B.1.1.277,0,0.0,8
12842,Cameroon,2020-05-25,B.1.1.302,0,0.0,8
12843,Cameroon,2020-05-25,B.1.1.519,0,0.0,8
12844,Cameroon,2020-05-25,B.1.160,0,0.0,8
12845,Cameroon,2020-05-25,B.1.177,0,0.0,8
12846,Cameroon,2020-05-25,B.1.221,0,0.0,8
12847,Cameroon,2020-05-25,B.1.258,0,0.0,8
12848,Cameroon,2020-05-25,B.1.367,0,0.0,8
12849,Cameroon,2020-05-25,B.1.620,0,0.0,8
12850,Cameroon,2020-05-25,Beta,0,0.0,8
12851,Cameroon,2020-05-25,Delta,0,0.0,8
12852,Cameroon,2020-05-25,Epsilon,0,0.0,8
12853,Cameroon,2020-05-25,Eta,0,0.0,8
12854,Cameroon,2020-05-25,Gamma,0,0.0,8
12855,Cameroon,2020-05-25,Iota,0,0.0,8
12856,Cameroon,2020-05-25,Kappa,0,0.0,8
12857,Cameroon,2020-05-25,Lambda,0,0.0,8
12858,Cameroon,2020-05-25,Mu,0,0.0,8
12859,Cameroon,2020-05-25,Omicron,0,0.0,8
12860,Cameroon,2020-05-25,S:677H.Robin1,0,0.0,8
12861,Cameroon,2020-05-25,S:677P.Pelican,0,0.0,8
12862,Cameroon,2020-05-25,others,8,100.0,8
12863,Cameroon,2020-05-25,non_who,8,100.0,8
12864,Cameroon,2020-06-22,Alpha,0,0.0,4
12865,Cameroon,2020-06-22,B.1.1.277,0,0.0,4
12866,Cameroon,2020-06-22,B.1.1.302,0,0.0,4
12867,Cameroon,2020-06-22,B.1.1.519,0,0.0,4
12868,Cameroon,2020-06-22,B.1.160,0,0.0,4
12869,Cameroon,2020-06-22,B.1.177,0,0.0,4
12870,Cameroon,2020-06-22,B.1.221,0,0.0,4
12871,Cameroon,2020-06-22,B.1.258,0,0.0,4
12872,Cameroon,2020-06-22,B.1.367,0,0.0,4
12873,Cameroon,2020-06-22,B.1.620,0,0.0,4
12874,Cameroon,2020-06-22,Beta,0,0.0,4
12875,Cameroon,2020-06-22,Delta,0,0.0,4
12876,Cameroon,2020-06-22,Epsilon,0,0.0,4
12877,Cameroon,2020-06-22,Eta,0,0.0,4
12878,Cameroon,2020-06-22,Gamma,0,0.0,4
12879,Cameroon,2020-06-22,Iota,0,0.0,4
12880,Cameroon,2020-06-22,Kappa,0,0.0,4
12881,Cameroon,2020-06-22,Lambda,0,0.0,4
12882,Cameroon,2020-06-22,Mu,0,0.0,4
12883,Cameroon,2020-06-22,Omicron,0,0.0,4
12884,Cameroon,2020-06-22,S:677H.Robin1,0,0.0,4
12885,Cameroon,2020-06-22,S:677P.Pelican,0,0.0,4
12886,Cameroon,2020-06-22,others,4,100.0,4
12887,Cameroon,2020-06-22,non_who,4,100.0,4
12888,Cameroon,2020-08-17,Alpha,0,0.0,2
12889,Cameroon,2020-08-17,B.1.1.277,0,0.0,2
12890,Cameroon,2020-08-17,B.1.1.302,0,0.0,2
12891,Cameroon,2020-08-17,B.1.1.519,0,0.0,2
12892,Cameroon,2020-08-17,B.1.160,0,0.0,2
12893,Cameroon,2020-08-17,B.1.177,0,0.0,2
12894,Cameroon,2020-08-17,B.1.221,0,0.0,2
12895,Cameroon,2020-08-17,B.1.258,0,0.0,2
12896,Cameroon,2020-08-17,B.1.367,0,0.0,2
12897,Cameroon,2020-08-17,B.1.620,0,0.0,2
12898,Cameroon,2020-08-17,Beta,0,0.0,2
12899,Cameroon,2020-08-17,Delta,0,0.0,2
12900,Cameroon,2020-08-17,Epsilon,0,0.0,2
12901,Cameroon,2020-08-17,Eta,0,0.0,2
12902,Cameroon,2020-08-17,Gamma,0,0.0,2
12903,Cameroon,2020-08-17,Iota,0,0.0,2
12904,Cameroon,2020-08-17,Kappa,0,0.0,2
12905,Cameroon,2020-08-17,Lambda,0,0.0,2
12906,Cameroon,2020-08-17,Mu,0,0.0,2
12907,Cameroon,2020-08-17,Omicron,0,0.0,2
12908,Cameroon,2020-08-17,S:677H.Robin1,0,0.0,2
12909,Cameroon,2020-08-17,S:677P.Pelican,0,0.0,2
12910,Cameroon,2020-08-17,others,2,100.0,2
12911,Cameroon,2020-08-17,non_who,2,100.0,2
12912,Cameroon,2020-10-26,Alpha,0,0.0,1
12913,Cameroon,2020-10-26,B.1.1.277,0,0.0,1
12914,Cameroon,2020-10-26,B.1.1.302,0,0.0,1
12915,Cameroon,2020-10-26,B.1.1.519,0,0.0,1
12916,Cameroon,2020-10-26,B.1.160,0,0.0,1
12917,Cameroon,2020-10-26,B.1.177,0,0.0,1
12918,Cameroon,2020-10-26,B.1.221,0,0.0,1
12919,Cameroon,2020-10-26,B.1.258,0,0.0,1
12920,Cameroon,2020-10-26,B.1.367,0,0.0,1
12921,Cameroon,2020-10-26,B.1.620,0,0.0,1
12922,Cameroon,2020-10-26,Beta,0,0.0,1
12923,Cameroon,2020-10-26,Delta,0,0.0,1
12924,Cameroon,2020-10-26,Epsilon,0,0.0,1
12925,Cameroon,2020-10-26,Eta,0,0.0,1
12926,Cameroon,2020-10-26,Gamma,0,0.0,1
12927,Cameroon,2020-10-26,Iota,0,0.0,1
12928,Cameroon,2020-10-26,Kappa,0,0.0,1
12929,Cameroon,2020-10-26,Lambda,0,0.0,1
12930,Cameroon,2020-10-26,Mu,0,0.0,1
12931,Cameroon,2020-10-26,Omicron,0,0.0,1
12932,Cameroon,2020-10-26,S:677H.Robin1,0,0.0,1
12933,Cameroon,2020-10-26,S:677P.Pelican,0,0.0,1
12934,Cameroon,2020-10-26,others,1,100.0,1
12935,Cameroon,2020-10-26,non_who,1,100.0,1
12936,Cameroon,2020-11-09,Alpha,0,0.0,4
12937,Cameroon,2020-11-09,B.1.1.277,0,0.0,4
12938,Cameroon,2020-11-09,B.1.1.302,0,0.0,4
12939,Cameroon,2020-11-09,B.1.1.519,0,0.0,4
12940,Cameroon,2020-11-09,B.1.160,0,0.0,4
12941,Cameroon,2020-11-09,B.1.177,2,50.0,4
12942,Cameroon,2020-11-09,B.1.221,0,0.0,4
12943,Cameroon,2020-11-09,B.1.258,0,0.0,4
12944,Cameroon,2020-11-09,B.1.367,0,0.0,4
12945,Cameroon,2020-11-09,B.1.620,0,0.0,4
12946,Cameroon,2020-11-09,Beta,0,0.0,4
12947,Cameroon,2020-11-09,Delta,0,0.0,4
12948,Cameroon,2020-11-09,Epsilon,0,0.0,4
12949,Cameroon,2020-11-09,Eta,0,0.0,4
12950,Cameroon,2020-11-09,Gamma,0,0.0,4
12951,Cameroon,2020-11-09,Iota,0,0.0,4
12952,Cameroon,2020-11-09,Kappa,0,0.0,4
12953,Cameroon,2020-11-09,Lambda,0,0.0,4
12954,Cameroon,2020-11-09,Mu,0,0.0,4
12955,Cameroon,2020-11-09,Omicron,0,0.0,4
12956,Cameroon,2020-11-09,S:677H.Robin1,0,0.0,4
12957,Cameroon,2020-11-09,S:677P.Pelican,0,0.0,4
12958,Cameroon,2020-11-09,others,2,50.0,4
12959,Cameroon,2020-11-09,non_who,4,100.0,4
12960,Cameroon,2020-11-23,Alpha,0,0.0,7
12961,Cameroon,2020-11-23,B.1.1.277,0,0.0,7
12962,Cameroon,2020-11-23,B.1.1.302,0,0.0,7
12963,Cameroon,2020-11-23,B.1.1.519,0,0.0,7
12964,Cameroon,2020-11-23,B.1.160,1,14.29,7
12965,Cameroon,2020-11-23,B.1.177,0,0.0,7
12966,Cameroon,2020-11-23,B.1.221,0,0.0,7
12967,Cameroon,2020-11-23,B.1.258,0,0.0,7
12968,Cameroon,2020-11-23,B.1.367,0,0.0,7
12969,Cameroon,2020-11-23,B.1.620,0,0.0,7
12970,Cameroon,2020-11-23,Beta,0,0.0,7
12971,Cameroon,2020-11-23,Delta,0,0.0,7
12972,Cameroon,2020-11-23,Epsilon,0,0.0,7
12973,Cameroon,2020-11-23,Eta,0,0.0,7
12974,Cameroon,2020-11-23,Gamma,0,0.0,7
12975,Cameroon,2020-11-23,Iota,0,0.0,7
12976,Cameroon,2020-11-23,Kappa,0,0.0,7
12977,Cameroon,2020-11-23,Lambda,0,0.0,7
12978,Cameroon,2020-11-23,Mu,0,0.0,7
12979,Cameroon,2020-11-23,Omicron,0,0.0,7
12980,Cameroon,2020-11-23,S:677H.Robin1,0,0.0,7
12981,Cameroon,2020-11-23,S:677P.Pelican,0,0.0,7
12982,Cameroon,2020-11-23,others,6,85.71,7
12983,Cameroon,2020-11-23,non_who,7,100.0,7
12984,Cameroon,2020-12-07,Alpha,0,0.0,2
12985,Cameroon,2020-12-07,B.1.1.277,0,0.0,2
12986,Cameroon,2020-12-07,B.1.1.302,0,0.0,2
12987,Cameroon,2020-12-07,B.1.1.519,0,0.0,2
12988,Cameroon,2020-12-07,B.1.160,0,0.0,2
12989,Cameroon,2020-12-07,B.1.177,0,0.0,2
12990,Cameroon,2020-12-07,B.1.221,0,0.0,2
12991,Cameroon,2020-12-07,B.1.258,0,0.0,2
12992,Cameroon,2020-12-07,B.1.367,0,0.0,2
12993,Cameroon,2020-12-07,B.1.620,0,0.0,2
12994,Cameroon,2020-12-07,Beta,0,0.0,2
12995,Cameroon,2020-12-07,Delta,0,0.0,2
12996,Cameroon,2020-12-07,Epsilon,0,0.0,2
12997,Cameroon,2020-12-07,Eta,0,0.0,2
12998,Cameroon,2020-12-07,Gamma,0,0.0,2
12999,Cameroon,2020-12-07,Iota,0,0.0,2
13000,Cameroon,2020-12-07,Kappa,0,0.0,2
13001,Cameroon,2020-12-07,Lambda,0,0.0,2
13002,Cameroon,2020-12-07,Mu,0,0.0,2
13003,Cameroon,2020-12-07,Omicron,0,0.0,2
13004,Cameroon,2020-12-07,S:677H.Robin1,0,0.0,2
13005,Cameroon,2020-12-07,S:677P.Pelican,0,0.0,2
13006,Cameroon,2020-12-07,others,2,100.0,2
13007,Cameroon,2020-12-07,non_who,2,100.0,2
13008,Cameroon,2020-12-21,Alpha,0,0.0,4
13009,Cameroon,2020-12-21,B.1.1.277,0,0.0,4
13010,Cameroon,2020-12-21,B.1.1.302,0,0.0,4
13011,Cameroon,2020-12-21,B.1.1.519,0,0.0,4
13012,Cameroon,2020-12-21,B.1.160,0,0.0,4
13013,Cameroon,2020-12-21,B.1.177,0,0.0,4
13014,Cameroon,2020-12-21,B.1.221,0,0.0,4
13015,Cameroon,2020-12-21,B.1.258,0,0.0,4
13016,Cameroon,2020-12-21,B.1.367,0,0.0,4
13017,Cameroon,2020-12-21,B.1.620,0,0.0,4
13018,Cameroon,2020-12-21,Beta,0,0.0,4
13019,Cameroon,2020-12-21,Delta,0,0.0,4
13020,Cameroon,2020-12-21,Epsilon,0,0.0,4
13021,Cameroon,2020-12-21,Eta,0,0.0,4
13022,Cameroon,2020-12-21,Gamma,0,0.0,4
13023,Cameroon,2020-12-21,Iota,0,0.0,4
13024,Cameroon,2020-12-21,Kappa,0,0.0,4
13025,Cameroon,2020-12-21,Lambda,0,0.0,4
13026,Cameroon,2020-12-21,Mu,0,0.0,4
13027,Cameroon,2020-12-21,Omicron,0,0.0,4
13028,Cameroon,2020-12-21,S:677H.Robin1,0,0.0,4
13029,Cameroon,2020-12-21,S:677P.Pelican,0,0.0,4
13030,Cameroon,2020-12-21,others,4,100.0,4
13031,Cameroon,2020-12-21,non_who,4,100.0,4
13032,Cameroon,2021-01-04,Alpha,0,0.0,23
13033,Cameroon,2021-01-04,B.1.1.277,0,0.0,23
13034,Cameroon,2021-01-04,B.1.1.302,0,0.0,23
13035,Cameroon,2021-01-04,B.1.1.519,0,0.0,23
13036,Cameroon,2021-01-04,B.1.160,0,0.0,23
13037,Cameroon,2021-01-04,B.1.177,0,0.0,23
13038,Cameroon,2021-01-04,B.1.221,0,0.0,23
13039,Cameroon,2021-01-04,B.1.258,0,0.0,23
13040,Cameroon,2021-01-04,B.1.367,0,0.0,23
13041,Cameroon,2021-01-04,B.1.620,0,0.0,23
13042,Cameroon,2021-01-04,Beta,0,0.0,23
13043,Cameroon,2021-01-04,Delta,0,0.0,23
13044,Cameroon,2021-01-04,Epsilon,0,0.0,23
13045,Cameroon,2021-01-04,Eta,0,0.0,23
13046,Cameroon,2021-01-04,Gamma,0,0.0,23
13047,Cameroon,2021-01-04,Iota,0,0.0,23
13048,Cameroon,2021-01-04,Kappa,0,0.0,23
13049,Cameroon,2021-01-04,Lambda,0,0.0,23
13050,Cameroon,2021-01-04,Mu,0,0.0,23
13051,Cameroon,2021-01-04,Omicron,0,0.0,23
13052,Cameroon,2021-01-04,S:677H.Robin1,0,0.0,23
13053,Cameroon,2021-01-04,S:677P.Pelican,0,0.0,23
13054,Cameroon,2021-01-04,others,23,100.0,23
13055,Cameroon,2021-01-04,non_who,23,100.0,23
13056,Cameroon,2021-01-11,Alpha,0,0.0,9
13057,Cameroon,2021-01-11,B.1.1.277,0,0.0,9
13058,Cameroon,2021-01-11,B.1.1.302,0,0.0,9
13059,Cameroon,2021-01-11,B.1.1.519,0,0.0,9
13060,Cameroon,2021-01-11,B.1.160,0,0.0,9
13061,Cameroon,2021-01-11,B.1.177,0,0.0,9
13062,Cameroon,2021-01-11,B.1.221,0,0.0,9
13063,Cameroon,2021-01-11,B.1.258,0,0.0,9
13064,Cameroon,2021-01-11,B.1.367,0,0.0,9
13065,Cameroon,2021-01-11,B.1.620,0,0.0,9
13066,Cameroon,2021-01-11,Beta,1,11.11,9
13067,Cameroon,2021-01-11,Delta,0,0.0,9
13068,Cameroon,2021-01-11,Epsilon,0,0.0,9
13069,Cameroon,2021-01-11,Eta,0,0.0,9
13070,Cameroon,2021-01-11,Gamma,0,0.0,9
13071,Cameroon,2021-01-11,Iota,0,0.0,9
13072,Cameroon,2021-01-11,Kappa,0,0.0,9
13073,Cameroon,2021-01-11,Lambda,0,0.0,9
13074,Cameroon,2021-01-11,Mu,0,0.0,9
13075,Cameroon,2021-01-11,Omicron,0,0.0,9
13076,Cameroon,2021-01-11,S:677H.Robin1,0,0.0,9
13077,Cameroon,2021-01-11,S:677P.Pelican,0,0.0,9
13078,Cameroon,2021-01-11,others,8,88.89,9
13079,Cameroon,2021-01-11,non_who,8,88.89,9
13080,Cameroon,2021-01-25,Alpha,0,0.0,23
13081,Cameroon,2021-01-25,B.1.1.277,0,0.0,23
13082,Cameroon,2021-01-25,B.1.1.302,0,0.0,23
13083,Cameroon,2021-01-25,B.1.1.519,0,0.0,23
13084,Cameroon,2021-01-25,B.1.160,0,0.0,23
13085,Cameroon,2021-01-25,B.1.177,0,0.0,23
13086,Cameroon,2021-01-25,B.1.221,0,0.0,23
13087,Cameroon,2021-01-25,B.1.258,0,0.0,23
13088,Cameroon,2021-01-25,B.1.367,0,0.0,23
13089,Cameroon,2021-01-25,B.1.620,0,0.0,23
13090,Cameroon,2021-01-25,Beta,1,4.35,23
13091,Cameroon,2021-01-25,Delta,0,0.0,23
13092,Cameroon,2021-01-25,Epsilon,0,0.0,23
13093,Cameroon,2021-01-25,Eta,0,0.0,23
13094,Cameroon,2021-01-25,Gamma,0,0.0,23
13095,Cameroon,2021-01-25,Iota,0,0.0,23
13096,Cameroon,2021-01-25,Kappa,0,0.0,23
13097,Cameroon,2021-01-25,Lambda,0,0.0,23
13098,Cameroon,2021-01-25,Mu,0,0.0,23
13099,Cameroon,2021-01-25,Omicron,0,0.0,23
13100,Cameroon,2021-01-25,S:677H.Robin1,0,0.0,23
13101,Cameroon,2021-01-25,S:677P.Pelican,0,0.0,23
13102,Cameroon,2021-01-25,others,22,95.65,23
13103,Cameroon,2021-01-25,non_who,22,95.65,23
13104,Cameroon,2021-02-08,Alpha,9,17.65,51
13105,Cameroon,2021-02-08,B.1.1.277,0,0.0,51
13106,Cameroon,2021-02-08,B.1.1.302,0,0.0,51
13107,Cameroon,2021-02-08,B.1.1.519,0,0.0,51
13108,Cameroon,2021-02-08,B.1.160,0,0.0,51
13109,Cameroon,2021-02-08,B.1.177,0,0.0,51
13110,Cameroon,2021-02-08,B.1.221,0,0.0,51
13111,Cameroon,2021-02-08,B.1.258,0,0.0,51
13112,Cameroon,2021-02-08,B.1.367,0,0.0,51
13113,Cameroon,2021-02-08,B.1.620,0,0.0,51
13114,Cameroon,2021-02-08,Beta,3,5.88,51
13115,Cameroon,2021-02-08,Delta,0,0.0,51
13116,Cameroon,2021-02-08,Epsilon,3,5.88,51
13117,Cameroon,2021-02-08,Eta,3,5.88,51
13118,Cameroon,2021-02-08,Gamma,0,0.0,51
13119,Cameroon,2021-02-08,Iota,0,0.0,51
13120,Cameroon,2021-02-08,Kappa,0,0.0,51
13121,Cameroon,2021-02-08,Lambda,0,0.0,51
13122,Cameroon,2021-02-08,Mu,0,0.0,51
13123,Cameroon,2021-02-08,Omicron,0,0.0,51
13124,Cameroon,2021-02-08,S:677H.Robin1,0,0.0,51
13125,Cameroon,2021-02-08,S:677P.Pelican,0,0.0,51
13126,Cameroon,2021-02-08,others,33,64.71,51
13127,Cameroon,2021-02-08,non_who,33,64.71,51
13128,Cameroon,2021-02-22,Alpha,4,21.05,19
13129,Cameroon,2021-02-22,B.1.1.277,0,0.0,19
13130,Cameroon,2021-02-22,B.1.1.302,0,0.0,19
13131,Cameroon,2021-02-22,B.1.1.519,0,0.0,19
13132,Cameroon,2021-02-22,B.1.160,0,0.0,19
13133,Cameroon,2021-02-22,B.1.177,0,0.0,19
13134,Cameroon,2021-02-22,B.1.221,0,0.0,19
13135,Cameroon,2021-02-22,B.1.258,0,0.0,19
13136,Cameroon,2021-02-22,B.1.367,0,0.0,19
13137,Cameroon,2021-02-22,B.1.620,1,5.26,19
13138,Cameroon,2021-02-22,Beta,2,10.53,19
13139,Cameroon,2021-02-22,Delta,0,0.0,19
13140,Cameroon,2021-02-22,Epsilon,0,0.0,19
13141,Cameroon,2021-02-22,Eta,1,5.26,19
13142,Cameroon,2021-02-22,Gamma,0,0.0,19
13143,Cameroon,2021-02-22,Iota,0,0.0,19
13144,Cameroon,2021-02-22,Kappa,0,0.0,19
13145,Cameroon,2021-02-22,Lambda,0,0.0,19
13146,Cameroon,2021-02-22,Mu,0,0.0,19
13147,Cameroon,2021-02-22,Omicron,0,0.0,19
13148,Cameroon,2021-02-22,S:677H.Robin1,0,0.0,19
13149,Cameroon,2021-02-22,S:677P.Pelican,0,0.0,19
13150,Cameroon,2021-02-22,others,11,57.9,19
13151,Cameroon,2021-02-22,non_who,12,63.16,19
13152,Cameroon,2021-03-08,Alpha,2,7.41,27
13153,Cameroon,2021-03-08,B.1.1.277,0,0.0,27
13154,Cameroon,2021-03-08,B.1.1.302,0,0.0,27
13155,Cameroon,2021-03-08,B.1.1.519,0,0.0,27
13156,Cameroon,2021-03-08,B.1.160,0,0.0,27
13157,Cameroon,2021-03-08,B.1.177,0,0.0,27
13158,Cameroon,2021-03-08,B.1.221,0,0.0,27
13159,Cameroon,2021-03-08,B.1.258,0,0.0,27
13160,Cameroon,2021-03-08,B.1.367,0,0.0,27
