,location,date,variant,num_sequences,perc_sequences,num_sequences_total
13344,Canada,2020-05-11,Alpha,0,0.0,903
13345,Canada,2020-05-11,B.1.1.277,0,0.0,903
13346,Canada,2020-05-11,B.1.1.302,0,0.0,903
13347,Canada,2020-05-11,B.1.1.519,0,0.0,903
13348,Canada,2020-05-11,B.1.160,0,0.0,903
13349,Canada,2020-05-11,B.1.177,0,0.0,903
13350,Canada,2020-05-11,B.1.221,0,0.0,903
13351,Canada,2020-05-11,B.1.258,0,0.0,903
13352,Canada,2020-05-11,B.1.367,0,0.0,903
13353,Canada,2020-05-11,B.1.620,0,0.0,903
13354,Canada,2020-05-11,Beta,0,0.0,903
13355,Canada,2020-05-11,Delta,0,0.0,903
13356,Canada,2020-05-11,Epsilon,0,0.0,903
13357,Canada,2020-05-11,Eta,0,0.0,903
13358,Canada,2020-05-11,Gamma,0,0.0,903
13359,Canada,2020-05-11,Iota,0,0.0,903
13360,Canada,2020-05-11,Kappa,0,0.0,903
13361,Canada,2020-05-11,Lambda,0,0.0,903
13362,Canada,2020-05-11,Mu,0,0.0,903
13363,Canada,2020-05-11,Omicron,0,0.0,903
13364,Canada,2020-05-11,S:677H.Robin1,0,0.0,903
13365,Canada,2020-05-11,S:677P.Pelican,0,0.0,903
13366,Canada,2020-05-11,others,903,100.0,903
13367,Canada,2020-05-11,non_who,903,100.0,903
13368,Canada,2020-05-25,Alpha,0,0.0,597
13369,Canada,2020-05-25,B.1.1.277,0,0.0,597
13370,Canada,2020-05-25,B.1.1.302,0,0.0,597
13371,Canada,2020-05-25,B.1.1.519,0,0.0,597
13372,Canada,2020-05-25,B.1.160,0,0.0,597
13373,Canada,2020-05-25,B.1.177,0,0.0,597
13374,Canada,2020-05-25,B.1.221,0,0.0,597
13375,Canada,2020-05-25,B.1.258,0,0.0,597
13376,Canada,2020-05-25,B.1.367,0,0.0,597
13377,Canada,2020-05-25,B.1.620,0,0.0,597
13378,Canada,2020-05-25,Beta,0,0.0,597
13379,Canada,2020-05-25,Delta,0,0.0,597
13380,Canada,2020-05-25,Epsilon,0,0.0,597
13381,Canada,2020-05-25,Eta,0,0.0,597
13382,Canada,2020-05-25,Gamma,0,0.0,597
13383,Canada,2020-05-25,Iota,0,0.0,597
13384,Canada,2020-05-25,Kappa,0,0.0,597
13385,Canada,2020-05-25,Lambda,0,0.0,597
13386,Canada,2020-05-25,Mu,0,0.0,597
13387,Canada,2020-05-25,Omicron,0,0.0,597
13388,Canada,2020-05-25,S:677H.Robin1,0,0.0,597
13389,Canada,2020-05-25,S:677P.Pelican,0,0.0,597
13390,Canada,2020-05-25,others,597,100.0,597
13391,Canada,2020-05-25,non_who,597,100.0,597
13392,Canada,2020-06-08,Alpha,0,0.0,211
13393,Canada,2020-06-08,B.1.1.277,0,0.0,211
13394,Canada,2020-06-08,B.1.1.302,0,0.0,211
13395,Canada,2020-06-08,B.1.1.519,0,0.0,211
13396,Canada,2020-06-08,B.1.160,0,0.0,211
13397,Canada,2020-06-08,B.1.177,0,0.0,211
13398,Canada,2020-06-08,B.1.221,0,0.0,211
13399,Canada,2020-06-08,B.1.258,0,0.0,211
13400,Canada,2020-06-08,B.1.367,0,0.0,211
13401,Canada,2020-06-08,B.1.620,0,0.0,211
13402,Canada,2020-06-08,Beta,0,0.0,211
13403,Canada,2020-06-08,Delta,0,0.0,211
13404,Canada,2020-06-08,Epsilon,0,0.0,211
13405,Canada,2020-06-08,Eta,0,0.0,211
13406,Canada,2020-06-08,Gamma,0,0.0,211
13407,Canada,2020-06-08,Iota,0,0.0,211
13408,Canada,2020-06-08,Kappa,0,0.0,211
13409,Canada,2020-06-08,Lambda,0,0.0,211
13410,Canada,2020-06-08,Mu,0,0.0,211
13411,Canada,2020-06-08,Omicron,0,0.0,211
13412,Canada,2020-06-08,S:677H.Robin1,0,0.0,211
13413,Canada,2020-06-08,S:677P.Pelican,0,0.0,211
13414,Canada,2020-06-08,others,211,100.0,211
13415,Canada,2020-06-08,non_who,211,100.0,211
13416,Canada,2020-06-22,Alpha,0,0.0,203
13417,Canada,2020-06-22,B.1.1.277,0,0.0,203
13418,Canada,2020-06-22,B.1.1.302,0,0.0,203
13419,Canada,2020-06-22,B.1.1.519,0,0.0,203
13420,Canada,2020-06-22,B.1.160,0,0.0,203
13421,Canada,2020-06-22,B.1.177,0,0.0,203
13422,Canada,2020-06-22,B.1.221,0,0.0,203
13423,Canada,2020-06-22,B.1.258,0,0.0,203
13424,Canada,2020-06-22,B.1.367,0,0.0,203
13425,Canada,2020-06-22,B.1.620,0,0.0,203
13426,Canada,2020-06-22,Beta,0,0.0,203
13427,Canada,2020-06-22,Delta,0,0.0,203
13428,Canada,2020-06-22,Epsilon,0,0.0,203
13429,Canada,2020-06-22,Eta,0,0.0,203
13430,Canada,2020-06-22,Gamma,0,0.0,203
