,location,date,variant,num_sequences,perc_sequences,num_sequences_total
15456,Colombia,2020-05-11,Alpha,0,0.0,81
15457,Colombia,2020-05-11,B.1.1.277,0,0.0,81
15458,Colombia,2020-05-11,B.1.1.302,0,0.0,81
15459,Colombia,2020-05-11,B.1.1.519,0,0.0,81
15460,Colombia,2020-05-11,B.1.160,0,0.0,81
15461,Colombia,2020-05-11,B.1.177,0,0.0,81
15462,Colombia,2020-05-11,B.1.221,0,0.0,81
15463,Colombia,2020-05-11,B.1.258,0,0.0,81
15464,Colombia,2020-05-11,B.1.367,0,0.0,81
15465,Colombia,2020-05-11,B.1.620,0,0.0,81
15466,Colombia,2020-05-11,Beta,0,0.0,81
15467,Colombia,2020-05-11,Delta,0,0.0,81
15468,Colombia,2020-05-11,Epsilon,0,0.0,81
15469,Colombia,2020-05-11,Eta,0,0.0,81
15470,Colombia,2020-05-11,Gamma,0,0.0,81
15471,Colombia,2020-05-11,Iota,0,0.0,81
15472,Colombia,2020-05-11,Kappa,0,0.0,81
15473,Colombia,2020-05-11,Lambda,0,0.0,81
15474,Colombia,2020-05-11,Mu,0,0.0,81
15475,Colombia,2020-05-11,Omicron,0,0.0,81
15476,Colombia,2020-05-11,S:677H.Robin1,0,0.0,81
15477,Colombia,2020-05-11,S:677P.Pelican,0,0.0,81
15478,Colombia,2020-05-11,others,81,100.0,81
15479,Colombia,2020-05-11,non_who,81,100.0,81
15480,Colombia,2020-05-25,Alpha,0,0.0,2
15481,Colombia,2020-05-25,B.1.1.277,0,0.0,2
15482,Colombia,2020-05-25,B.1.1.302,0,0.0,2
15483,Colombia,2020-05-25,B.1.1.519,0,0.0,2
15484,Colombia,2020-05-25,B.1.160,0,0.0,2
15485,Colombia,2020-05-25,B.1.177,0,0.0,2
15486,Colombia,2020-05-25,B.1.221,0,0.0,2
15487,Colombia,2020-05-25,B.1.258,0,0.0,2
15488,Colombia,2020-05-25,B.1.367,0,0.0,2
15489,Colombia,2020-05-25,B.1.620,0,0.0,2
15490,Colombia,2020-05-25,Beta,0,0.0,2
15491,Colombia,2020-05-25,Delta,0,0.0,2
15492,Colombia,2020-05-25,Epsilon,0,0.0,2
15493,Colombia,2020-05-25,Eta,0,0.0,2
15494,Colombia,2020-05-25,Gamma,0,0.0,2
15495,Colombia,2020-05-25,Iota,0,0.0,2
15496,Colombia,2020-05-25,Kappa,0,0.0,2
15497,Colombia,2020-05-25,Lambda,0,0.0,2
15498,Colombia,2020-05-25,Mu,0,0.0,2
15499,Colombia,2020-05-25,Omicron,0,0.0,2
15500,Colombia,2020-05-25,S:677H.Robin1,0,0.0,2
15501,Colombia,2020-05-25,S:677P.Pelican,0,0.0,2
