,location,date,variant,num_sequences,perc_sequences,num_sequences_total
16512,Costa Rica,2020-06-08,Alpha,0,0.0,8
16513,Costa Rica,2020-06-08,B.1.1.277,0,0.0,8
16514,Costa Rica,2020-06-08,B.1.1.302,0,0.0,8
16515,Costa Rica,2020-06-08,B.1.1.519,0,0.0,8
16516,Costa Rica,2020-06-08,B.1.160,0,0.0,8
16517,Costa Rica,2020-06-08,B.1.177,0,0.0,8
16518,Costa Rica,2020-06-08,B.1.221,0,0.0,8
16519,Costa Rica,2020-06-08,B.1.258,0,0.0,8
16520,Costa Rica,2020-06-08,B.1.367,0,0.0,8
16521,Costa Rica,2020-06-08,B.1.620,0,0.0,8
16522,Costa Rica,2020-06-08,Beta,0,0.0,8
16523,Costa Rica,2020-06-08,Delta,0,0.0,8
16524,Costa Rica,2020-06-08,Epsilon,0,0.0,8
16525,Costa Rica,2020-06-08,Eta,0,0.0,8
16526,Costa Rica,2020-06-08,Gamma,0,0.0,8
16527,Costa Rica,2020-06-08,Iota,0,0.0,8
16528,Costa Rica,2020-06-08,Kappa,0,0.0,8
16529,Costa Rica,2020-06-08,Lambda,0,0.0,8
16530,Costa Rica,2020-06-08,Mu,0,0.0,8
16531,Costa Rica,2020-06-08,Omicron,0,0.0,8
16532,Costa Rica,2020-06-08,S:677H.Robin1,0,0.0,8
16533,Costa Rica,2020-06-08,S:677P.Pelican,0,0.0,8
16534,Costa Rica,2020-06-08,others,8,100.0,8
16535,Costa Rica,2020-06-08,non_who,8,100.0,8
16536,Costa Rica,2020-06-22,Alpha,0,0.0,15
16537,Costa Rica,2020-06-22,B.1.1.277,0,0.0,15
16538,Costa Rica,2020-06-22,B.1.1.302,0,0.0,15
16539,Costa Rica,2020-06-22,B.1.1.519,0,0.0,15
16540,Costa Rica,2020-06-22,B.1.160,0,0.0,15
16541,Costa Rica,2020-06-22,B.1.177,0,0.0,15
16542,Costa Rica,2020-06-22,B.1.221,0,0.0,15
16543,Costa Rica,2020-06-22,B.1.258,0,0.0,15
16544,Costa Rica,2020-06-22,B.1.367,0,0.0,15
16545,Costa Rica,2020-06-22,B.1.620,0,0.0,15
16546,Costa Rica,2020-06-22,Beta,0,0.0,15
16547,Costa Rica,2020-06-22,Delta,0,0.0,15
16548,Costa Rica,2020-06-22,Epsilon,0,0.0,15
16549,Costa Rica,2020-06-22,Eta,0,0.0,15
16550,Costa Rica,2020-06-22,Gamma,0,0.0,15
16551,Costa Rica,2020-06-22,Iota,0,0.0,15
16552,Costa Rica,2020-06-22,Kappa,0,0.0,15
16553,Costa Rica,2020-06-22,Lambda,0,0.0,15
16554,Costa Rica,2020-06-22,Mu,0,0.0,15
16555,Costa Rica,2020-06-22,Omicron,0,0.0,15
16556,Costa Rica,2020-06-22,S:677H.Robin1,0,0.0,15
16557,Costa Rica,2020-06-22,S:677P.Pelican,0,0.0,15
16558,Costa Rica,2020-06-22,others,15,100.0,15
