,location,date,variant,num_sequences,perc_sequences,num_sequences_total
17520,Croatia,2020-08-17,Alpha,0,0.0,1
17521,Croatia,2020-08-17,B.1.1.277,0,0.0,1
17522,Croatia,2020-08-17,B.1.1.302,0,0.0,1
17523,Croatia,2020-08-17,B.1.1.519,0,0.0,1
17524,Croatia,2020-08-17,B.1.160,0,0.0,1
17525,Croatia,2020-08-17,B.1.177,0,0.0,1
17526,Croatia,2020-08-17,B.1.221,0,0.0,1
17527,Croatia,2020-08-17,B.1.258,0,0.0,1
17528,Croatia,2020-08-17,B.1.367,0,0.0,1
17529,Croatia,2020-08-17,B.1.620,0,0.0,1
17530,Croatia,2020-08-17,Beta,0,0.0,1
17531,Croatia,2020-08-17,Delta,0,0.0,1
17532,Croatia,2020-08-17,Epsilon,0,0.0,1
17533,Croatia,2020-08-17,Eta,0,0.0,1
17534,Croatia,2020-08-17,Gamma,0,0.0,1
17535,Croatia,2020-08-17,Iota,0,0.0,1
17536,Croatia,2020-08-17,Kappa,0,0.0,1
17537,Croatia,2020-08-17,Lambda,0,0.0,1
17538,Croatia,2020-08-17,Mu,0,0.0,1
17539,Croatia,2020-08-17,Omicron,0,0.0,1
17540,Croatia,2020-08-17,S:677H.Robin1,0,0.0,1
17541,Croatia,2020-08-17,S:677P.Pelican,0,0.0,1
17542,Croatia,2020-08-17,others,1,100.0,1
17543,Croatia,2020-08-17,non_who,1,100.0,1
17544,Croatia,2020-08-31,Alpha,0,0.0,3
17545,Croatia,2020-08-31,B.1.1.277,0,0.0,3
17546,Croatia,2020-08-31,B.1.1.302,0,0.0,3
17547,Croatia,2020-08-31,B.1.1.519,0,0.0,3
17548,Croatia,2020-08-31,B.1.160,0,0.0,3
17549,Croatia,2020-08-31,B.1.177,0,0.0,3
17550,Croatia,2020-08-31,B.1.221,0,0.0,3
17551,Croatia,2020-08-31,B.1.258,1,33.33,3
17552,Croatia,2020-08-31,B.1.367,0,0.0,3
17553,Croatia,2020-08-31,B.1.620,0,0.0,3
17554,Croatia,2020-08-31,Beta,0,0.0,3
17555,Croatia,2020-08-31,Delta,0,0.0,3
17556,Croatia,2020-08-31,Epsilon,0,0.0,3
17557,Croatia,2020-08-31,Eta,0,0.0,3
17558,Croatia,2020-08-31,Gamma,0,0.0,3
17559,Croatia,2020-08-31,Iota,0,0.0,3
17560,Croatia,2020-08-31,Kappa,0,0.0,3
17561,Croatia,2020-08-31,Lambda,0,0.0,3
17562,Croatia,2020-08-31,Mu,0,0.0,3
17563,Croatia,2020-08-31,Omicron,0,0.0,3
17564,Croatia,2020-08-31,S:677H.Robin1,0,0.0,3
17565,Croatia,2020-08-31,S:677P.Pelican,0,0.0,3
17566,Croatia,2020-08-31,others,2,66.67,3
17567,Croatia,2020-08-31,non_who,3,100.0,3
17568,Croatia,2020-09-14,Alpha,0,0.0,11
17569,Croatia,2020-09-14,B.1.1.277,0,0.0,11
17570,Croatia,2020-09-14,B.1.1.302,0,0.0,11
17571,Croatia,2020-09-14,B.1.1.519,0,0.0,11
17572,Croatia,2020-09-14,B.1.160,0,0.0,11
17573,Croatia,2020-09-14,B.1.177,0,0.0,11
17574,Croatia,2020-09-14,B.1.221,1,9.09,11
17575,Croatia,2020-09-14,B.1.258,1,9.09,11
17576,Croatia,2020-09-14,B.1.367,0,0.0,11
17577,Croatia,2020-09-14,B.1.620,0,0.0,11
17578,Croatia,2020-09-14,Beta,0,0.0,11
17579,Croatia,2020-09-14,Delta,0,0.0,11
17580,Croatia,2020-09-14,Epsilon,0,0.0,11
17581,Croatia,2020-09-14,Eta,0,0.0,11
17582,Croatia,2020-09-14,Gamma,0,0.0,11
17583,Croatia,2020-09-14,Iota,0,0.0,11
17584,Croatia,2020-09-14,Kappa,0,0.0,11
17585,Croatia,2020-09-14,Lambda,0,0.0,11
17586,Croatia,2020-09-14,Mu,0,0.0,11
17587,Croatia,2020-09-14,Omicron,0,0.0,11
17588,Croatia,2020-09-14,S:677H.Robin1,0,0.0,11
17589,Croatia,2020-09-14,S:677P.Pelican,0,0.0,11
17590,Croatia,2020-09-14,others,9,81.82,11
17591,Croatia,2020-09-14,non_who,11,100.0,11
17592,Croatia,2020-09-28,Alpha,0,0.0,1
17593,Croatia,2020-09-28,B.1.1.277,0,0.0,1
17594,Croatia,2020-09-28,B.1.1.302,0,0.0,1
17595,Croatia,2020-09-28,B.1.1.519,0,0.0,1
17596,Croatia,2020-09-28,B.1.160,0,0.0,1
17597,Croatia,2020-09-28,B.1.177,0,0.0,1
17598,Croatia,2020-09-28,B.1.221,0,0.0,1
17599,Croatia,2020-09-28,B.1.258,0,0.0,1
17600,Croatia,2020-09-28,B.1.367,0,0.0,1
17601,Croatia,2020-09-28,B.1.620,0,0.0,1
17602,Croatia,2020-09-28,Beta,0,0.0,1
17603,Croatia,2020-09-28,Delta,0,0.0,1
17604,Croatia,2020-09-28,Epsilon,0,0.0,1
17605,Croatia,2020-09-28,Eta,0,0.0,1
17606,Croatia,2020-09-28,Gamma,0,0.0,1
17607,Croatia,2020-09-28,Iota,0,0.0,1
17608,Croatia,2020-09-28,Kappa,0,0.0,1
17609,Croatia,2020-09-28,Lambda,0,0.0,1
17610,Croatia,2020-09-28,Mu,0,0.0,1
17611,Croatia,2020-09-28,Omicron,0,0.0,1
17612,Croatia,2020-09-28,S:677H.Robin1,0,0.0,1
17613,Croatia,2020-09-28,S:677P.Pelican,0,0.0,1
17614,Croatia,2020-09-28,others,1,100.0,1
17615,Croatia,2020-09-28,non_who,1,100.0,1
17616,Croatia,2020-10-12,Alpha,0,0.0,12
17617,Croatia,2020-10-12,B.1.1.277,0,0.0,12
17618,Croatia,2020-10-12,B.1.1.302,0,0.0,12
17619,Croatia,2020-10-12,B.1.1.519,0,0.0,12
17620,Croatia,2020-10-12,B.1.160,0,0.0,12
17621,Croatia,2020-10-12,B.1.177,0,0.0,12
17622,Croatia,2020-10-12,B.1.221,0,0.0,12
17623,Croatia,2020-10-12,B.1.258,1,8.33,12
17624,Croatia,2020-10-12,B.1.367,0,0.0,12
17625,Croatia,2020-10-12,B.1.620,0,0.0,12
17626,Croatia,2020-10-12,Beta,0,0.0,12
17627,Croatia,2020-10-12,Delta,0,0.0,12
17628,Croatia,2020-10-12,Epsilon,0,0.0,12
17629,Croatia,2020-10-12,Eta,0,0.0,12
17630,Croatia,2020-10-12,Gamma,0,0.0,12
17631,Croatia,2020-10-12,Iota,0,0.0,12
17632,Croatia,2020-10-12,Kappa,0,0.0,12
17633,Croatia,2020-10-12,Lambda,0,0.0,12
17634,Croatia,2020-10-12,Mu,0,0.0,12
17635,Croatia,2020-10-12,Omicron,0,0.0,12
17636,Croatia,2020-10-12,S:677H.Robin1,0,0.0,12
17637,Croatia,2020-10-12,S:677P.Pelican,0,0.0,12
17638,Croatia,2020-10-12,others,11,91.67,12
17639,Croatia,2020-10-12,non_who,12,100.0,12
17640,Croatia,2020-11-23,Alpha,0,0.0,29
17641,Croatia,2020-11-23,B.1.1.277,0,0.0,29
17642,Croatia,2020-11-23,B.1.1.302,0,0.0,29
17643,Croatia,2020-11-23,B.1.1.519,0,0.0,29
17644,Croatia,2020-11-23,B.1.160,3,10.34,29
17645,Croatia,2020-11-23,B.1.177,1,3.45,29
17646,Croatia,2020-11-23,B.1.221,3,10.34,29
17647,Croatia,2020-11-23,B.1.258,9,31.03,29
17648,Croatia,2020-11-23,B.1.367,0,0.0,29
17649,Croatia,2020-11-23,B.1.620,0,0.0,29
17650,Croatia,2020-11-23,Beta,0,0.0,29
17651,Croatia,2020-11-23,Delta,0,0.0,29
17652,Croatia,2020-11-23,Epsilon,0,0.0,29
17653,Croatia,2020-11-23,Eta,0,0.0,29
17654,Croatia,2020-11-23,Gamma,0,0.0,29
17655,Croatia,2020-11-23,Iota,0,0.0,29
17656,Croatia,2020-11-23,Kappa,0,0.0,29
17657,Croatia,2020-11-23,Lambda,0,0.0,29
17658,Croatia,2020-11-23,Mu,0,0.0,29
17659,Croatia,2020-11-23,Omicron,0,0.0,29
17660,Croatia,2020-11-23,S:677H.Robin1,0,0.0,29
17661,Croatia,2020-11-23,S:677P.Pelican,0,0.0,29
17662,Croatia,2020-11-23,others,13,44.84,29
17663,Croatia,2020-11-23,non_who,29,100.0,29
17664,Croatia,2020-12-21,Alpha,0,0.0,1
17665,Croatia,2020-12-21,B.1.1.277,0,0.0,1
17666,Croatia,2020-12-21,B.1.1.302,0,0.0,1
17667,Croatia,2020-12-21,B.1.1.519,0,0.0,1
17668,Croatia,2020-12-21,B.1.160,0,0.0,1
17669,Croatia,2020-12-21,B.1.177,0,0.0,1
17670,Croatia,2020-12-21,B.1.221,0,0.0,1
17671,Croatia,2020-12-21,B.1.258,0,0.0,1
17672,Croatia,2020-12-21,B.1.367,0,0.0,1
17673,Croatia,2020-12-21,B.1.620,0,0.0,1
17674,Croatia,2020-12-21,Beta,0,0.0,1
17675,Croatia,2020-12-21,Delta,0,0.0,1
17676,Croatia,2020-12-21,Epsilon,0,0.0,1
17677,Croatia,2020-12-21,Eta,0,0.0,1
17678,Croatia,2020-12-21,Gamma,0,0.0,1
17679,Croatia,2020-12-21,Iota,0,0.0,1
17680,Croatia,2020-12-21,Kappa,0,0.0,1
17681,Croatia,2020-12-21,Lambda,0,0.0,1
17682,Croatia,2020-12-21,Mu,0,0.0,1
17683,Croatia,2020-12-21,Omicron,0,0.0,1
17684,Croatia,2020-12-21,S:677H.Robin1,0,0.0,1
17685,Croatia,2020-12-21,S:677P.Pelican,0,0.0,1
17686,Croatia,2020-12-21,others,1,100.0,1
17687,Croatia,2020-12-21,non_who,1,100.0,1
17688,Croatia,2021-01-04,Alpha,0,0.0,8
17689,Croatia,2021-01-04,B.1.1.277,0,0.0,8
17690,Croatia,2021-01-04,B.1.1.302,0,0.0,8
17691,Croatia,2021-01-04,B.1.1.519,0,0.0,8
17692,Croatia,2021-01-04,B.1.160,1,12.5,8
17693,Croatia,2021-01-04,B.1.177,1,12.5,8
17694,Croatia,2021-01-04,B.1.221,0,0.0,8
17695,Croatia,2021-01-04,B.1.258,1,12.5,8
17696,Croatia,2021-01-04,B.1.367,0,0.0,8
17697,Croatia,2021-01-04,B.1.620,0,0.0,8
17698,Croatia,2021-01-04,Beta,0,0.0,8
17699,Croatia,2021-01-04,Delta,0,0.0,8
17700,Croatia,2021-01-04,Epsilon,0,0.0,8
17701,Croatia,2021-01-04,Eta,0,0.0,8
17702,Croatia,2021-01-04,Gamma,0,0.0,8
17703,Croatia,2021-01-04,Iota,0,0.0,8
17704,Croatia,2021-01-04,Kappa,0,0.0,8
17705,Croatia,2021-01-04,Lambda,0,0.0,8
17706,Croatia,2021-01-04,Mu,0,0.0,8
17707,Croatia,2021-01-04,Omicron,0,0.0,8
17708,Croatia,2021-01-04,S:677H.Robin1,0,0.0,8
17709,Croatia,2021-01-04,S:677P.Pelican,0,0.0,8
17710,Croatia,2021-01-04,others,5,62.5,8
17711,Croatia,2021-01-04,non_who,8,100.0,8
17712,Croatia,2021-01-11,Alpha,0,0.0,11
17713,Croatia,2021-01-11,B.1.1.277,0,0.0,11
17714,Croatia,2021-01-11,B.1.1.302,0,0.0,11
17715,Croatia,2021-01-11,B.1.1.519,0,0.0,11
17716,Croatia,2021-01-11,B.1.160,2,18.18,11
17717,Croatia,2021-01-11,B.1.177,2,18.18,11
17718,Croatia,2021-01-11,B.1.221,0,0.0,11
17719,Croatia,2021-01-11,B.1.258,0,0.0,11
17720,Croatia,2021-01-11,B.1.367,0,0.0,11
17721,Croatia,2021-01-11,B.1.620,0,0.0,11
17722,Croatia,2021-01-11,Beta,0,0.0,11
17723,Croatia,2021-01-11,Delta,0,0.0,11
17724,Croatia,2021-01-11,Epsilon,0,0.0,11
17725,Croatia,2021-01-11,Eta,0,0.0,11
17726,Croatia,2021-01-11,Gamma,0,0.0,11
17727,Croatia,2021-01-11,Iota,0,0.0,11
17728,Croatia,2021-01-11,Kappa,0,0.0,11
17729,Croatia,2021-01-11,Lambda,0,0.0,11
17730,Croatia,2021-01-11,Mu,0,0.0,11
17731,Croatia,2021-01-11,Omicron,0,0.0,11
17732,Croatia,2021-01-11,S:677H.Robin1,0,0.0,11
17733,Croatia,2021-01-11,S:677P.Pelican,0,0.0,11
17734,Croatia,2021-01-11,others,7,63.64,11
17735,Croatia,2021-01-11,non_who,11,100.0,11
17736,Croatia,2021-01-25,Alpha,6,13.33,45
17737,Croatia,2021-01-25,B.1.1.277,0,0.0,45
17738,Croatia,2021-01-25,B.1.1.302,0,0.0,45
17739,Croatia,2021-01-25,B.1.1.519,0,0.0,45
17740,Croatia,2021-01-25,B.1.160,6,13.33,45
17741,Croatia,2021-01-25,B.1.177,6,13.33,45
17742,Croatia,2021-01-25,B.1.221,1,2.22,45
17743,Croatia,2021-01-25,B.1.258,17,37.78,45
17744,Croatia,2021-01-25,B.1.367,0,0.0,45
17745,Croatia,2021-01-25,B.1.620,0,0.0,45
17746,Croatia,2021-01-25,Beta,0,0.0,45
17747,Croatia,2021-01-25,Delta,0,0.0,45
17748,Croatia,2021-01-25,Epsilon,0,0.0,45
17749,Croatia,2021-01-25,Eta,0,0.0,45
17750,Croatia,2021-01-25,Gamma,0,0.0,45
