,location,date,variant,num_sequences,perc_sequences,num_sequences_total
18312,Curacao,2020-08-17,Alpha,0,0.0,3
18313,Curacao,2020-08-17,B.1.1.277,0,0.0,3
18314,Curacao,2020-08-17,B.1.1.302,0,0.0,3
18315,Curacao,2020-08-17,B.1.1.519,0,0.0,3
18316,Curacao,2020-08-17,B.1.160,0,0.0,3
18317,Curacao,2020-08-17,B.1.177,0,0.0,3
18318,Curacao,2020-08-17,B.1.221,0,0.0,3
18319,Curacao,2020-08-17,B.1.258,0,0.0,3
18320,Curacao,2020-08-17,B.1.367,0,0.0,3
18321,Curacao,2020-08-17,B.1.620,0,0.0,3
18322,Curacao,2020-08-17,Beta,0,0.0,3
18323,Curacao,2020-08-17,Delta,0,0.0,3
18324,Curacao,2020-08-17,Epsilon,0,0.0,3
18325,Curacao,2020-08-17,Eta,0,0.0,3
18326,Curacao,2020-08-17,Gamma,0,0.0,3
18327,Curacao,2020-08-17,Iota,0,0.0,3
18328,Curacao,2020-08-17,Kappa,0,0.0,3
18329,Curacao,2020-08-17,Lambda,0,0.0,3
18330,Curacao,2020-08-17,Mu,0,0.0,3
18331,Curacao,2020-08-17,Omicron,0,0.0,3
18332,Curacao,2020-08-17,S:677H.Robin1,0,0.0,3
18333,Curacao,2020-08-17,S:677P.Pelican,0,0.0,3
18334,Curacao,2020-08-17,others,3,100.0,3
18335,Curacao,2020-08-17,non_who,3,100.0,3
18336,Curacao,2020-10-12,Alpha,0,0.0,1
18337,Curacao,2020-10-12,B.1.1.277,0,0.0,1
18338,Curacao,2020-10-12,B.1.1.302,0,0.0,1
18339,Curacao,2020-10-12,B.1.1.519,0,0.0,1
18340,Curacao,2020-10-12,B.1.160,0,0.0,1
18341,Curacao,2020-10-12,B.1.177,0,0.0,1
18342,Curacao,2020-10-12,B.1.221,0,0.0,1
18343,Curacao,2020-10-12,B.1.258,0,0.0,1
18344,Curacao,2020-10-12,B.1.367,0,0.0,1
18345,Curacao,2020-10-12,B.1.620,0,0.0,1
18346,Curacao,2020-10-12,Beta,0,0.0,1
18347,Curacao,2020-10-12,Delta,0,0.0,1
18348,Curacao,2020-10-12,Epsilon,0,0.0,1
18349,Curacao,2020-10-12,Eta,0,0.0,1
18350,Curacao,2020-10-12,Gamma,0,0.0,1
18351,Curacao,2020-10-12,Iota,0,0.0,1
18352,Curacao,2020-10-12,Kappa,0,0.0,1
18353,Curacao,2020-10-12,Lambda,0,0.0,1
18354,Curacao,2020-10-12,Mu,0,0.0,1
18355,Curacao,2020-10-12,Omicron,0,0.0,1
18356,Curacao,2020-10-12,S:677H.Robin1,0,0.0,1
18357,Curacao,2020-10-12,S:677P.Pelican,0,0.0,1
18358,Curacao,2020-10-12,others,1,100.0,1
18359,Curacao,2020-10-12,non_who,1,100.0,1
18360,Curacao,2020-10-26,Alpha,0,0.0,3
18361,Curacao,2020-10-26,B.1.1.277,0,0.0,3
18362,Curacao,2020-10-26,B.1.1.302,0,0.0,3
18363,Curacao,2020-10-26,B.1.1.519,0,0.0,3
18364,Curacao,2020-10-26,B.1.160,0,0.0,3
18365,Curacao,2020-10-26,B.1.177,0,0.0,3
18366,Curacao,2020-10-26,B.1.221,0,0.0,3
18367,Curacao,2020-10-26,B.1.258,0,0.0,3
18368,Curacao,2020-10-26,B.1.367,0,0.0,3
18369,Curacao,2020-10-26,B.1.620,0,0.0,3
18370,Curacao,2020-10-26,Beta,0,0.0,3
18371,Curacao,2020-10-26,Delta,0,0.0,3
18372,Curacao,2020-10-26,Epsilon,0,0.0,3
18373,Curacao,2020-10-26,Eta,0,0.0,3
18374,Curacao,2020-10-26,Gamma,0,0.0,3
18375,Curacao,2020-10-26,Iota,0,0.0,3
18376,Curacao,2020-10-26,Kappa,0,0.0,3
18377,Curacao,2020-10-26,Lambda,0,0.0,3
18378,Curacao,2020-10-26,Mu,0,0.0,3
18379,Curacao,2020-10-26,Omicron,0,0.0,3
18380,Curacao,2020-10-26,S:677H.Robin1,0,0.0,3
18381,Curacao,2020-10-26,S:677P.Pelican,0,0.0,3
18382,Curacao,2020-10-26,others,3,100.0,3
18383,Curacao,2020-10-26,non_who,3,100.0,3
18384,Curacao,2020-11-09,Alpha,0,0.0,8
18385,Curacao,2020-11-09,B.1.1.277,0,0.0,8
18386,Curacao,2020-11-09,B.1.1.302,0,0.0,8
18387,Curacao,2020-11-09,B.1.1.519,0,0.0,8
18388,Curacao,2020-11-09,B.1.160,0,0.0,8
18389,Curacao,2020-11-09,B.1.177,0,0.0,8
18390,Curacao,2020-11-09,B.1.221,1,12.5,8
18391,Curacao,2020-11-09,B.1.258,0,0.0,8
18392,Curacao,2020-11-09,B.1.367,0,0.0,8
18393,Curacao,2020-11-09,B.1.620,0,0.0,8
18394,Curacao,2020-11-09,Beta,0,0.0,8
18395,Curacao,2020-11-09,Delta,0,0.0,8
18396,Curacao,2020-11-09,Epsilon,0,0.0,8
18397,Curacao,2020-11-09,Eta,0,0.0,8
18398,Curacao,2020-11-09,Gamma,0,0.0,8
18399,Curacao,2020-11-09,Iota,0,0.0,8
18400,Curacao,2020-11-09,Kappa,0,0.0,8
18401,Curacao,2020-11-09,Lambda,0,0.0,8
18402,Curacao,2020-11-09,Mu,0,0.0,8
18403,Curacao,2020-11-09,Omicron,0,0.0,8
18404,Curacao,2020-11-09,S:677H.Robin1,0,0.0,8
18405,Curacao,2020-11-09,S:677P.Pelican,0,0.0,8
18406,Curacao,2020-11-09,others,7,87.5,8
18407,Curacao,2020-11-09,non_who,8,100.0,8
18408,Curacao,2020-11-23,Alpha,0,0.0,4
18409,Curacao,2020-11-23,B.1.1.277,0,0.0,4
18410,Curacao,2020-11-23,B.1.1.302,0,0.0,4
18411,Curacao,2020-11-23,B.1.1.519,0,0.0,4
18412,Curacao,2020-11-23,B.1.160,0,0.0,4
18413,Curacao,2020-11-23,B.1.177,0,0.0,4
18414,Curacao,2020-11-23,B.1.221,0,0.0,4
18415,Curacao,2020-11-23,B.1.258,0,0.0,4
18416,Curacao,2020-11-23,B.1.367,0,0.0,4
18417,Curacao,2020-11-23,B.1.620,0,0.0,4
18418,Curacao,2020-11-23,Beta,0,0.0,4
18419,Curacao,2020-11-23,Delta,0,0.0,4
18420,Curacao,2020-11-23,Epsilon,0,0.0,4
18421,Curacao,2020-11-23,Eta,0,0.0,4
18422,Curacao,2020-11-23,Gamma,0,0.0,4
18423,Curacao,2020-11-23,Iota,0,0.0,4
18424,Curacao,2020-11-23,Kappa,0,0.0,4
18425,Curacao,2020-11-23,Lambda,0,0.0,4
18426,Curacao,2020-11-23,Mu,0,0.0,4
18427,Curacao,2020-11-23,Omicron,0,0.0,4
18428,Curacao,2020-11-23,S:677H.Robin1,0,0.0,4
18429,Curacao,2020-11-23,S:677P.Pelican,0,0.0,4
18430,Curacao,2020-11-23,others,4,100.0,4
18431,Curacao,2020-11-23,non_who,4,100.0,4
18432,Curacao,2020-12-07,Alpha,0,0.0,2
18433,Curacao,2020-12-07,B.1.1.277,0,0.0,2
18434,Curacao,2020-12-07,B.1.1.302,0,0.0,2
18435,Curacao,2020-12-07,B.1.1.519,0,0.0,2
18436,Curacao,2020-12-07,B.1.160,0,0.0,2
18437,Curacao,2020-12-07,B.1.177,0,0.0,2
18438,Curacao,2020-12-07,B.1.221,0,0.0,2
18439,Curacao,2020-12-07,B.1.258,0,0.0,2
18440,Curacao,2020-12-07,B.1.367,0,0.0,2
18441,Curacao,2020-12-07,B.1.620,0,0.0,2
18442,Curacao,2020-12-07,Beta,0,0.0,2
18443,Curacao,2020-12-07,Delta,0,0.0,2
18444,Curacao,2020-12-07,Epsilon,0,0.0,2
18445,Curacao,2020-12-07,Eta,0,0.0,2
18446,Curacao,2020-12-07,Gamma,0,0.0,2
18447,Curacao,2020-12-07,Iota,0,0.0,2
18448,Curacao,2020-12-07,Kappa,0,0.0,2
18449,Curacao,2020-12-07,Lambda,0,0.0,2
18450,Curacao,2020-12-07,Mu,0,0.0,2
18451,Curacao,2020-12-07,Omicron,0,0.0,2
18452,Curacao,2020-12-07,S:677H.Robin1,0,0.0,2
18453,Curacao,2020-12-07,S:677P.Pelican,0,0.0,2
18454,Curacao,2020-12-07,others,2,100.0,2
18455,Curacao,2020-12-07,non_who,2,100.0,2
18456,Curacao,2020-12-21,Alpha,0,0.0,8
18457,Curacao,2020-12-21,B.1.1.277,0,0.0,8
18458,Curacao,2020-12-21,B.1.1.302,0,0.0,8
18459,Curacao,2020-12-21,B.1.1.519,0,0.0,8
18460,Curacao,2020-12-21,B.1.160,0,0.0,8
18461,Curacao,2020-12-21,B.1.177,0,0.0,8
18462,Curacao,2020-12-21,B.1.221,0,0.0,8
18463,Curacao,2020-12-21,B.1.258,0,0.0,8
18464,Curacao,2020-12-21,B.1.367,0,0.0,8
18465,Curacao,2020-12-21,B.1.620,0,0.0,8
18466,Curacao,2020-12-21,Beta,0,0.0,8
18467,Curacao,2020-12-21,Delta,0,0.0,8
18468,Curacao,2020-12-21,Epsilon,0,0.0,8
18469,Curacao,2020-12-21,Eta,0,0.0,8
18470,Curacao,2020-12-21,Gamma,0,0.0,8
18471,Curacao,2020-12-21,Iota,0,0.0,8
18472,Curacao,2020-12-21,Kappa,0,0.0,8
18473,Curacao,2020-12-21,Lambda,0,0.0,8
18474,Curacao,2020-12-21,Mu,0,0.0,8
18475,Curacao,2020-12-21,Omicron,0,0.0,8
18476,Curacao,2020-12-21,S:677H.Robin1,0,0.0,8
18477,Curacao,2020-12-21,S:677P.Pelican,0,0.0,8
18478,Curacao,2020-12-21,others,8,100.0,8
18479,Curacao,2020-12-21,non_who,8,100.0,8
18480,Curacao,2021-01-04,Alpha,0,0.0,5
18481,Curacao,2021-01-04,B.1.1.277,0,0.0,5
18482,Curacao,2021-01-04,B.1.1.302,0,0.0,5
18483,Curacao,2021-01-04,B.1.1.519,0,0.0,5
18484,Curacao,2021-01-04,B.1.160,0,0.0,5
18485,Curacao,2021-01-04,B.1.177,0,0.0,5
18486,Curacao,2021-01-04,B.1.221,0,0.0,5
18487,Curacao,2021-01-04,B.1.258,0,0.0,5
18488,Curacao,2021-01-04,B.1.367,0,0.0,5
18489,Curacao,2021-01-04,B.1.620,0,0.0,5
18490,Curacao,2021-01-04,Beta,0,0.0,5
18491,Curacao,2021-01-04,Delta,0,0.0,5
18492,Curacao,2021-01-04,Epsilon,0,0.0,5
18493,Curacao,2021-01-04,Eta,0,0.0,5
18494,Curacao,2021-01-04,Gamma,0,0.0,5
18495,Curacao,2021-01-04,Iota,0,0.0,5
18496,Curacao,2021-01-04,Kappa,0,0.0,5
18497,Curacao,2021-01-04,Lambda,0,0.0,5
18498,Curacao,2021-01-04,Mu,0,0.0,5
18499,Curacao,2021-01-04,Omicron,0,0.0,5
18500,Curacao,2021-01-04,S:677H.Robin1,0,0.0,5
18501,Curacao,2021-01-04,S:677P.Pelican,0,0.0,5
18502,Curacao,2021-01-04,others,5,100.0,5
18503,Curacao,2021-01-04,non_who,5,100.0,5
18504,Curacao,2021-01-11,Alpha,0,0.0,6
18505,Curacao,2021-01-11,B.1.1.277,0,0.0,6
18506,Curacao,2021-01-11,B.1.1.302,0,0.0,6
18507,Curacao,2021-01-11,B.1.1.519,0,0.0,6
18508,Curacao,2021-01-11,B.1.160,0,0.0,6
18509,Curacao,2021-01-11,B.1.177,0,0.0,6
18510,Curacao,2021-01-11,B.1.221,2,33.33,6
18511,Curacao,2021-01-11,B.1.258,0,0.0,6
18512,Curacao,2021-01-11,B.1.367,0,0.0,6
18513,Curacao,2021-01-11,B.1.620,0,0.0,6
18514,Curacao,2021-01-11,Beta,0,0.0,6
18515,Curacao,2021-01-11,Delta,0,0.0,6
18516,Curacao,2021-01-11,Epsilon,0,0.0,6
18517,Curacao,2021-01-11,Eta,0,0.0,6
18518,Curacao,2021-01-11,Gamma,0,0.0,6
18519,Curacao,2021-01-11,Iota,0,0.0,6
18520,Curacao,2021-01-11,Kappa,0,0.0,6
18521,Curacao,2021-01-11,Lambda,0,0.0,6
18522,Curacao,2021-01-11,Mu,0,0.0,6
18523,Curacao,2021-01-11,Omicron,0,0.0,6
18524,Curacao,2021-01-11,S:677H.Robin1,0,0.0,6
18525,Curacao,2021-01-11,S:677P.Pelican,0,0.0,6
18526,Curacao,2021-01-11,others,4,66.67,6
18527,Curacao,2021-01-11,non_who,6,100.0,6
18528,Curacao,2021-01-25,Alpha,1,6.67,15
18529,Curacao,2021-01-25,B.1.1.277,0,0.0,15
18530,Curacao,2021-01-25,B.1.1.302,0,0.0,15
18531,Curacao,2021-01-25,B.1.1.519,0,0.0,15
18532,Curacao,2021-01-25,B.1.160,0,0.0,15
18533,Curacao,2021-01-25,B.1.177,1,6.67,15
18534,Curacao,2021-01-25,B.1.221,1,6.67,15
18535,Curacao,2021-01-25,B.1.258,0,0.0,15
18536,Curacao,2021-01-25,B.1.367,0,0.0,15
18537,Curacao,2021-01-25,B.1.620,0,0.0,15
18538,Curacao,2021-01-25,Beta,0,0.0,15
18539,Curacao,2021-01-25,Delta,0,0.0,15
18540,Curacao,2021-01-25,Epsilon,0,0.0,15
18541,Curacao,2021-01-25,Eta,0,0.0,15
18542,Curacao,2021-01-25,Gamma,0,0.0,15
18543,Curacao,2021-01-25,Iota,0,0.0,15
18544,Curacao,2021-01-25,Kappa,0,0.0,15
18545,Curacao,2021-01-25,Lambda,0,0.0,15
18546,Curacao,2021-01-25,Mu,0,0.0,15
18547,Curacao,2021-01-25,Omicron,0,0.0,15
18548,Curacao,2021-01-25,S:677H.Robin1,0,0.0,15
18549,Curacao,2021-01-25,S:677P.Pelican,0,0.0,15
18550,Curacao,2021-01-25,others,12,79.99,15
18551,Curacao,2021-01-25,non_who,14,93.33,15
18552,Curacao,2021-02-08,Alpha,1,6.67,15
18553,Curacao,2021-02-08,B.1.1.277,0,0.0,15
18554,Curacao,2021-02-08,B.1.1.302,0,0.0,15
18555,Curacao,2021-02-08,B.1.1.519,0,0.0,15
18556,Curacao,2021-02-08,B.1.160,1,6.67,15
18557,Curacao,2021-02-08,B.1.177,4,26.67,15
18558,Curacao,2021-02-08,B.1.221,0,0.0,15
18559,Curacao,2021-02-08,B.1.258,0,0.0,15
18560,Curacao,2021-02-08,B.1.367,0,0.0,15
18561,Curacao,2021-02-08,B.1.620,0,0.0,15
18562,Curacao,2021-02-08,Beta,0,0.0,15
18563,Curacao,2021-02-08,Delta,0,0.0,15
