,location,date,variant,num_sequences,perc_sequences,num_sequences_total
20664,Denmark,2020-05-11,Alpha,0,0.0,155
20665,Denmark,2020-05-11,B.1.1.277,0,0.0,155
20666,Denmark,2020-05-11,B.1.1.302,0,0.0,155
20667,Denmark,2020-05-11,B.1.1.519,0,0.0,155
20668,Denmark,2020-05-11,B.1.160,0,0.0,155
20669,Denmark,2020-05-11,B.1.177,0,0.0,155
20670,Denmark,2020-05-11,B.1.221,0,0.0,155
20671,Denmark,2020-05-11,B.1.258,0,0.0,155
20672,Denmark,2020-05-11,B.1.367,0,0.0,155
20673,Denmark,2020-05-11,B.1.620,0,0.0,155
20674,Denmark,2020-05-11,Beta,0,0.0,155
20675,Denmark,2020-05-11,Delta,0,0.0,155
20676,Denmark,2020-05-11,Epsilon,0,0.0,155
20677,Denmark,2020-05-11,Eta,0,0.0,155
20678,Denmark,2020-05-11,Gamma,0,0.0,155
20679,Denmark,2020-05-11,Iota,0,0.0,155
20680,Denmark,2020-05-11,Kappa,0,0.0,155
20681,Denmark,2020-05-11,Lambda,0,0.0,155
20682,Denmark,2020-05-11,Mu,0,0.0,155
20683,Denmark,2020-05-11,Omicron,0,0.0,155
20684,Denmark,2020-05-11,S:677H.Robin1,0,0.0,155
20685,Denmark,2020-05-11,S:677P.Pelican,0,0.0,155
20686,Denmark,2020-05-11,others,155,100.0,155
20687,Denmark,2020-05-11,non_who,155,100.0,155
20688,Denmark,2020-05-25,Alpha,0,0.0,136
20689,Denmark,2020-05-25,B.1.1.277,0,0.0,136
20690,Denmark,2020-05-25,B.1.1.302,0,0.0,136
20691,Denmark,2020-05-25,B.1.1.519,0,0.0,136
20692,Denmark,2020-05-25,B.1.160,0,0.0,136
20693,Denmark,2020-05-25,B.1.177,0,0.0,136
20694,Denmark,2020-05-25,B.1.221,0,0.0,136
20695,Denmark,2020-05-25,B.1.258,0,0.0,136
20696,Denmark,2020-05-25,B.1.367,0,0.0,136
20697,Denmark,2020-05-25,B.1.620,0,0.0,136
20698,Denmark,2020-05-25,Beta,0,0.0,136
20699,Denmark,2020-05-25,Delta,0,0.0,136
20700,Denmark,2020-05-25,Epsilon,0,0.0,136
20701,Denmark,2020-05-25,Eta,0,0.0,136
20702,Denmark,2020-05-25,Gamma,0,0.0,136
20703,Denmark,2020-05-25,Iota,0,0.0,136
20704,Denmark,2020-05-25,Kappa,0,0.0,136
20705,Denmark,2020-05-25,Lambda,0,0.0,136
20706,Denmark,2020-05-25,Mu,0,0.0,136
20707,Denmark,2020-05-25,Omicron,0,0.0,136
20708,Denmark,2020-05-25,S:677H.Robin1,0,0.0,136
20709,Denmark,2020-05-25,S:677P.Pelican,0,0.0,136
20710,Denmark,2020-05-25,others,136,100.0,136
20711,Denmark,2020-05-25,non_who,136,100.0,136
20712,Denmark,2020-06-08,Alpha,0,0.0,122
20713,Denmark,2020-06-08,B.1.1.277,0,0.0,122
20714,Denmark,2020-06-08,B.1.1.302,0,0.0,122
20715,Denmark,2020-06-08,B.1.1.519,0,0.0,122
20716,Denmark,2020-06-08,B.1.160,0,0.0,122
20717,Denmark,2020-06-08,B.1.177,0,0.0,122
20718,Denmark,2020-06-08,B.1.221,0,0.0,122
20719,Denmark,2020-06-08,B.1.258,0,0.0,122
20720,Denmark,2020-06-08,B.1.367,0,0.0,122
20721,Denmark,2020-06-08,B.1.620,0,0.0,122
20722,Denmark,2020-06-08,Beta,0,0.0,122
20723,Denmark,2020-06-08,Delta,0,0.0,122
20724,Denmark,2020-06-08,Epsilon,0,0.0,122
20725,Denmark,2020-06-08,Eta,0,0.0,122
20726,Denmark,2020-06-08,Gamma,0,0.0,122
20727,Denmark,2020-06-08,Iota,0,0.0,122
20728,Denmark,2020-06-08,Kappa,0,0.0,122
20729,Denmark,2020-06-08,Lambda,0,0.0,122
20730,Denmark,2020-06-08,Mu,0,0.0,122
20731,Denmark,2020-06-08,Omicron,0,0.0,122
20732,Denmark,2020-06-08,S:677H.Robin1,0,0.0,122
20733,Denmark,2020-06-08,S:677P.Pelican,0,0.0,122
20734,Denmark,2020-06-08,others,122,100.0,122
20735,Denmark,2020-06-08,non_who,122,100.0,122
20736,Denmark,2020-06-22,Alpha,0,0.0,169
20737,Denmark,2020-06-22,B.1.1.277,0,0.0,169
20738,Denmark,2020-06-22,B.1.1.302,0,0.0,169
20739,Denmark,2020-06-22,B.1.1.519,0,0.0,169
20740,Denmark,2020-06-22,B.1.160,0,0.0,169
20741,Denmark,2020-06-22,B.1.177,0,0.0,169
20742,Denmark,2020-06-22,B.1.221,0,0.0,169
20743,Denmark,2020-06-22,B.1.258,0,0.0,169
20744,Denmark,2020-06-22,B.1.367,0,0.0,169
20745,Denmark,2020-06-22,B.1.620,0,0.0,169
20746,Denmark,2020-06-22,Beta,0,0.0,169
20747,Denmark,2020-06-22,Delta,0,0.0,169
20748,Denmark,2020-06-22,Epsilon,0,0.0,169
20749,Denmark,2020-06-22,Eta,0,0.0,169
20750,Denmark,2020-06-22,Gamma,0,0.0,169
20751,Denmark,2020-06-22,Iota,0,0.0,169
20752,Denmark,2020-06-22,Kappa,0,0.0,169
20753,Denmark,2020-06-22,Lambda,0,0.0,169
20754,Denmark,2020-06-22,Mu,0,0.0,169
20755,Denmark,2020-06-22,Omicron,0,0.0,169
20756,Denmark,2020-06-22,S:677H.Robin1,0,0.0,169
20757,Denmark,2020-06-22,S:677P.Pelican,0,0.0,169
20758,Denmark,2020-06-22,others,169,100.0,169
20759,Denmark,2020-06-22,non_who,169,100.0,169
20760,Denmark,2020-07-06,Alpha,0,0.0,60
20761,Denmark,2020-07-06,B.1.1.277,0,0.0,60
20762,Denmark,2020-07-06,B.1.1.302,0,0.0,60
20763,Denmark,2020-07-06,B.1.1.519,0,0.0,60
20764,Denmark,2020-07-06,B.1.160,0,0.0,60
20765,Denmark,2020-07-06,B.1.177,0,0.0,60
20766,Denmark,2020-07-06,B.1.221,0,0.0,60
20767,Denmark,2020-07-06,B.1.258,0,0.0,60
20768,Denmark,2020-07-06,B.1.367,0,0.0,60
20769,Denmark,2020-07-06,B.1.620,0,0.0,60
20770,Denmark,2020-07-06,Beta,0,0.0,60
20771,Denmark,2020-07-06,Delta,0,0.0,60
20772,Denmark,2020-07-06,Epsilon,0,0.0,60
20773,Denmark,2020-07-06,Eta,0,0.0,60
20774,Denmark,2020-07-06,Gamma,0,0.0,60
20775,Denmark,2020-07-06,Iota,0,0.0,60
20776,Denmark,2020-07-06,Kappa,0,0.0,60
20777,Denmark,2020-07-06,Lambda,0,0.0,60
20778,Denmark,2020-07-06,Mu,0,0.0,60
20779,Denmark,2020-07-06,Omicron,0,0.0,60
20780,Denmark,2020-07-06,S:677H.Robin1,0,0.0,60
20781,Denmark,2020-07-06,S:677P.Pelican,0,0.0,60
20782,Denmark,2020-07-06,others,60,100.0,60
20783,Denmark,2020-07-06,non_who,60,100.0,60
20784,Denmark,2020-07-20,Alpha,0,0.0,100
20785,Denmark,2020-07-20,B.1.1.277,0,0.0,100
20786,Denmark,2020-07-20,B.1.1.302,0,0.0,100
20787,Denmark,2020-07-20,B.1.1.519,0,0.0,100
