,location,date,variant,num_sequences,perc_sequences,num_sequences_total
22440,Dominican Republic,2020-05-11,Alpha,0,0.0,5
22441,Dominican Republic,2020-05-11,B.1.1.277,0,0.0,5
22442,Dominican Republic,2020-05-11,B.1.1.302,0,0.0,5
22443,Dominican Republic,2020-05-11,B.1.1.519,0,0.0,5
22444,Dominican Republic,2020-05-11,B.1.160,0,0.0,5
22445,Dominican Republic,2020-05-11,B.1.177,0,0.0,5
22446,Dominican Republic,2020-05-11,B.1.221,0,0.0,5
22447,Dominican Republic,2020-05-11,B.1.258,0,0.0,5
22448,Dominican Republic,2020-05-11,B.1.367,0,0.0,5
22449,Dominican Republic,2020-05-11,B.1.620,0,0.0,5
22450,Dominican Republic,2020-05-11,Beta,0,0.0,5
22451,Dominican Republic,2020-05-11,Delta,0,0.0,5
22452,Dominican Republic,2020-05-11,Epsilon,0,0.0,5
22453,Dominican Republic,2020-05-11,Eta,0,0.0,5
22454,Dominican Republic,2020-05-11,Gamma,0,0.0,5
22455,Dominican Republic,2020-05-11,Iota,0,0.0,5
22456,Dominican Republic,2020-05-11,Kappa,0,0.0,5
22457,Dominican Republic,2020-05-11,Lambda,0,0.0,5
22458,Dominican Republic,2020-05-11,Mu,0,0.0,5
22459,Dominican Republic,2020-05-11,Omicron,0,0.0,5
22460,Dominican Republic,2020-05-11,S:677H.Robin1,0,0.0,5
22461,Dominican Republic,2020-05-11,S:677P.Pelican,0,0.0,5
22462,Dominican Republic,2020-05-11,others,5,100.0,5
22463,Dominican Republic,2020-05-11,non_who,5,100.0,5
22464,Dominican Republic,2020-11-23,Alpha,0,0.0,1
22465,Dominican Republic,2020-11-23,B.1.1.277,0,0.0,1
22466,Dominican Republic,2020-11-23,B.1.1.302,0,0.0,1
22467,Dominican Republic,2020-11-23,B.1.1.519,0,0.0,1
22468,Dominican Republic,2020-11-23,B.1.160,0,0.0,1
22469,Dominican Republic,2020-11-23,B.1.177,0,0.0,1
22470,Dominican Republic,2020-11-23,B.1.221,0,0.0,1
22471,Dominican Republic,2020-11-23,B.1.258,0,0.0,1
22472,Dominican Republic,2020-11-23,B.1.367,0,0.0,1
22473,Dominican Republic,2020-11-23,B.1.620,0,0.0,1
22474,Dominican Republic,2020-11-23,Beta,0,0.0,1
22475,Dominican Republic,2020-11-23,Delta,0,0.0,1
22476,Dominican Republic,2020-11-23,Epsilon,0,0.0,1
22477,Dominican Republic,2020-11-23,Eta,0,0.0,1
22478,Dominican Republic,2020-11-23,Gamma,0,0.0,1
22479,Dominican Republic,2020-11-23,Iota,0,0.0,1
22480,Dominican Republic,2020-11-23,Kappa,0,0.0,1
22481,Dominican Republic,2020-11-23,Lambda,0,0.0,1
22482,Dominican Republic,2020-11-23,Mu,0,0.0,1
22483,Dominican Republic,2020-11-23,Omicron,0,0.0,1
22484,Dominican Republic,2020-11-23,S:677H.Robin1,0,0.0,1
22485,Dominican Republic,2020-11-23,S:677P.Pelican,0,0.0,1
22486,Dominican Republic,2020-11-23,others,1,100.0,1
22487,Dominican Republic,2020-11-23,non_who,1,100.0,1
22488,Dominican Republic,2021-01-04,Alpha,1,100.0,1
22489,Dominican Republic,2021-01-04,B.1.1.277,0,0.0,1
22490,Dominican Republic,2021-01-04,B.1.1.302,0,0.0,1
22491,Dominican Republic,2021-01-04,B.1.1.519,0,0.0,1
22492,Dominican Republic,2021-01-04,B.1.160,0,0.0,1
22493,Dominican Republic,2021-01-04,B.1.177,0,0.0,1
22494,Dominican Republic,2021-01-04,B.1.221,0,0.0,1
22495,Dominican Republic,2021-01-04,B.1.258,0,0.0,1
22496,Dominican Republic,2021-01-04,B.1.367,0,0.0,1
22497,Dominican Republic,2021-01-04,B.1.620,0,0.0,1
22498,Dominican Republic,2021-01-04,Beta,0,0.0,1
22499,Dominican Republic,2021-01-04,Delta,0,0.0,1
22500,Dominican Republic,2021-01-04,Epsilon,0,0.0,1
22501,Dominican Republic,2021-01-04,Eta,0,0.0,1
22502,Dominican Republic,2021-01-04,Gamma,0,0.0,1
22503,Dominican Republic,2021-01-04,Iota,0,0.0,1
22504,Dominican Republic,2021-01-04,Kappa,0,0.0,1
22505,Dominican Republic,2021-01-04,Lambda,0,0.0,1
22506,Dominican Republic,2021-01-04,Mu,0,0.0,1
22507,Dominican Republic,2021-01-04,Omicron,0,0.0,1
22508,Dominican Republic,2021-01-04,S:677H.Robin1,0,0.0,1
22509,Dominican Republic,2021-01-04,S:677P.Pelican,0,0.0,1
22510,Dominican Republic,2021-01-04,others,0,0.0,1
22511,Dominican Republic,2021-01-04,non_who,0,0.0,1
22512,Dominican Republic,2021-01-25,Alpha,0,0.0,33
22513,Dominican Republic,2021-01-25,B.1.1.277,0,0.0,33
22514,Dominican Republic,2021-01-25,B.1.1.302,0,0.0,33
22515,Dominican Republic,2021-01-25,B.1.1.519,0,0.0,33
22516,Dominican Republic,2021-01-25,B.1.160,0,0.0,33
22517,Dominican Republic,2021-01-25,B.1.177,1,3.03,33
22518,Dominican Republic,2021-01-25,B.1.221,0,0.0,33
22519,Dominican Republic,2021-01-25,B.1.258,0,0.0,33
22520,Dominican Republic,2021-01-25,B.1.367,0,0.0,33
22521,Dominican Republic,2021-01-25,B.1.620,0,0.0,33
22522,Dominican Republic,2021-01-25,Beta,0,0.0,33
22523,Dominican Republic,2021-01-25,Delta,0,0.0,33
