,location,date,variant,num_sequences,perc_sequences,num_sequences_total
23016,Ecuador,2020-05-11,Alpha,0,0.0,7
23017,Ecuador,2020-05-11,B.1.1.277,0,0.0,7
23018,Ecuador,2020-05-11,B.1.1.302,0,0.0,7
23019,Ecuador,2020-05-11,B.1.1.519,0,0.0,7
23020,Ecuador,2020-05-11,B.1.160,0,0.0,7
23021,Ecuador,2020-05-11,B.1.177,0,0.0,7
23022,Ecuador,2020-05-11,B.1.221,0,0.0,7
23023,Ecuador,2020-05-11,B.1.258,0,0.0,7
23024,Ecuador,2020-05-11,B.1.367,0,0.0,7
23025,Ecuador,2020-05-11,B.1.620,0,0.0,7
23026,Ecuador,2020-05-11,Beta,0,0.0,7
23027,Ecuador,2020-05-11,Delta,0,0.0,7
23028,Ecuador,2020-05-11,Epsilon,0,0.0,7
23029,Ecuador,2020-05-11,Eta,0,0.0,7
23030,Ecuador,2020-05-11,Gamma,0,0.0,7
23031,Ecuador,2020-05-11,Iota,0,0.0,7
23032,Ecuador,2020-05-11,Kappa,0,0.0,7
23033,Ecuador,2020-05-11,Lambda,0,0.0,7
23034,Ecuador,2020-05-11,Mu,0,0.0,7
23035,Ecuador,2020-05-11,Omicron,0,0.0,7
23036,Ecuador,2020-05-11,S:677H.Robin1,0,0.0,7
23037,Ecuador,2020-05-11,S:677P.Pelican,0,0.0,7
23038,Ecuador,2020-05-11,others,7,100.0,7
23039,Ecuador,2020-05-11,non_who,7,100.0,7
23040,Ecuador,2020-05-25,Alpha,0,0.0,4
23041,Ecuador,2020-05-25,B.1.1.277,0,0.0,4
23042,Ecuador,2020-05-25,B.1.1.302,0,0.0,4
23043,Ecuador,2020-05-25,B.1.1.519,0,0.0,4
23044,Ecuador,2020-05-25,B.1.160,0,0.0,4
23045,Ecuador,2020-05-25,B.1.177,0,0.0,4
23046,Ecuador,2020-05-25,B.1.221,0,0.0,4
23047,Ecuador,2020-05-25,B.1.258,0,0.0,4
23048,Ecuador,2020-05-25,B.1.367,0,0.0,4
23049,Ecuador,2020-05-25,B.1.620,0,0.0,4
23050,Ecuador,2020-05-25,Beta,0,0.0,4
23051,Ecuador,2020-05-25,Delta,0,0.0,4
23052,Ecuador,2020-05-25,Epsilon,0,0.0,4
23053,Ecuador,2020-05-25,Eta,0,0.0,4
23054,Ecuador,2020-05-25,Gamma,0,0.0,4
23055,Ecuador,2020-05-25,Iota,0,0.0,4
23056,Ecuador,2020-05-25,Kappa,0,0.0,4
23057,Ecuador,2020-05-25,Lambda,0,0.0,4
23058,Ecuador,2020-05-25,Mu,0,0.0,4
23059,Ecuador,2020-05-25,Omicron,0,0.0,4
23060,Ecuador,2020-05-25,S:677H.Robin1,0,0.0,4
23061,Ecuador,2020-05-25,S:677P.Pelican,0,0.0,4
23062,Ecuador,2020-05-25,others,4,100.0,4
23063,Ecuador,2020-05-25,non_who,4,100.0,4
23064,Ecuador,2020-06-08,Alpha,0,0.0,8
23065,Ecuador,2020-06-08,B.1.1.277,0,0.0,8
