,location,date,variant,num_sequences,perc_sequences,num_sequences_total
24072,Egypt,2020-05-11,Alpha,0,0.0,38
24073,Egypt,2020-05-11,B.1.1.277,0,0.0,38
24074,Egypt,2020-05-11,B.1.1.302,0,0.0,38
24075,Egypt,2020-05-11,B.1.1.519,0,0.0,38
24076,Egypt,2020-05-11,B.1.160,0,0.0,38
24077,Egypt,2020-05-11,B.1.177,0,0.0,38
24078,Egypt,2020-05-11,B.1.221,0,0.0,38
24079,Egypt,2020-05-11,B.1.258,0,0.0,38
24080,Egypt,2020-05-11,B.1.367,0,0.0,38
24081,Egypt,2020-05-11,B.1.620,0,0.0,38
24082,Egypt,2020-05-11,Beta,0,0.0,38
24083,Egypt,2020-05-11,Delta,0,0.0,38
24084,Egypt,2020-05-11,Epsilon,0,0.0,38
24085,Egypt,2020-05-11,Eta,0,0.0,38
24086,Egypt,2020-05-11,Gamma,0,0.0,38
24087,Egypt,2020-05-11,Iota,0,0.0,38
24088,Egypt,2020-05-11,Kappa,0,0.0,38
24089,Egypt,2020-05-11,Lambda,0,0.0,38
24090,Egypt,2020-05-11,Mu,0,0.0,38
24091,Egypt,2020-05-11,Omicron,0,0.0,38
24092,Egypt,2020-05-11,S:677H.Robin1,0,0.0,38
24093,Egypt,2020-05-11,S:677P.Pelican,0,0.0,38
24094,Egypt,2020-05-11,others,38,100.0,38
24095,Egypt,2020-05-11,non_who,38,100.0,38
24096,Egypt,2020-05-25,Alpha,0,0.0,22
24097,Egypt,2020-05-25,B.1.1.277,0,0.0,22
24098,Egypt,2020-05-25,B.1.1.302,0,0.0,22
24099,Egypt,2020-05-25,B.1.1.519,0,0.0,22
24100,Egypt,2020-05-25,B.1.160,0,0.0,22
24101,Egypt,2020-05-25,B.1.177,0,0.0,22
24102,Egypt,2020-05-25,B.1.221,0,0.0,22
24103,Egypt,2020-05-25,B.1.258,0,0.0,22
24104,Egypt,2020-05-25,B.1.367,0,0.0,22
24105,Egypt,2020-05-25,B.1.620,0,0.0,22
24106,Egypt,2020-05-25,Beta,0,0.0,22
24107,Egypt,2020-05-25,Delta,0,0.0,22
24108,Egypt,2020-05-25,Epsilon,0,0.0,22
24109,Egypt,2020-05-25,Eta,0,0.0,22
24110,Egypt,2020-05-25,Gamma,0,0.0,22
24111,Egypt,2020-05-25,Iota,0,0.0,22
