,location,date,variant,num_sequences,perc_sequences,num_sequences_total
25056,Estonia,2020-09-14,Alpha,0,0.0,9
25057,Estonia,2020-09-14,B.1.1.277,0,0.0,9
25058,Estonia,2020-09-14,B.1.1.302,0,0.0,9
25059,Estonia,2020-09-14,B.1.1.519,0,0.0,9
25060,Estonia,2020-09-14,B.1.160,0,0.0,9
25061,Estonia,2020-09-14,B.1.177,1,11.11,9
25062,Estonia,2020-09-14,B.1.221,0,0.0,9
25063,Estonia,2020-09-14,B.1.258,1,11.11,9
25064,Estonia,2020-09-14,B.1.367,0,0.0,9
25065,Estonia,2020-09-14,B.1.620,0,0.0,9
25066,Estonia,2020-09-14,Beta,0,0.0,9
25067,Estonia,2020-09-14,Delta,0,0.0,9
25068,Estonia,2020-09-14,Epsilon,0,0.0,9
25069,Estonia,2020-09-14,Eta,0,0.0,9
25070,Estonia,2020-09-14,Gamma,0,0.0,9
25071,Estonia,2020-09-14,Iota,0,0.0,9
25072,Estonia,2020-09-14,Kappa,0,0.0,9
25073,Estonia,2020-09-14,Lambda,0,0.0,9
25074,Estonia,2020-09-14,Mu,0,0.0,9
25075,Estonia,2020-09-14,Omicron,0,0.0,9
25076,Estonia,2020-09-14,S:677H.Robin1,0,0.0,9
25077,Estonia,2020-09-14,S:677P.Pelican,0,0.0,9
25078,Estonia,2020-09-14,others,7,77.78,9
25079,Estonia,2020-09-14,non_who,9,100.0,9
25080,Estonia,2020-09-28,Alpha,0,0.0,120
25081,Estonia,2020-09-28,B.1.1.277,0,0.0,120
25082,Estonia,2020-09-28,B.1.1.302,0,0.0,120
25083,Estonia,2020-09-28,B.1.1.519,0,0.0,120
25084,Estonia,2020-09-28,B.1.160,12,10.0,120
25085,Estonia,2020-09-28,B.1.177,1,0.83,120
25086,Estonia,2020-09-28,B.1.221,0,0.0,120
25087,Estonia,2020-09-28,B.1.258,2,1.67,120
25088,Estonia,2020-09-28,B.1.367,0,0.0,120
25089,Estonia,2020-09-28,B.1.620,0,0.0,120
25090,Estonia,2020-09-28,Beta,0,0.0,120
25091,Estonia,2020-09-28,Delta,0,0.0,120
25092,Estonia,2020-09-28,Epsilon,0,0.0,120
25093,Estonia,2020-09-28,Eta,0,0.0,120
25094,Estonia,2020-09-28,Gamma,0,0.0,120
25095,Estonia,2020-09-28,Iota,0,0.0,120
25096,Estonia,2020-09-28,Kappa,0,0.0,120
25097,Estonia,2020-09-28,Lambda,0,0.0,120
25098,Estonia,2020-09-28,Mu,0,0.0,120
25099,Estonia,2020-09-28,Omicron,0,0.0,120
25100,Estonia,2020-09-28,S:677H.Robin1,0,0.0,120
25101,Estonia,2020-09-28,S:677P.Pelican,0,0.0,120
25102,Estonia,2020-09-28,others,105,87.5,120
25103,Estonia,2020-09-28,non_who,120,100.0,120
25104,Estonia,2020-10-12,Alpha,0,0.0,55
25105,Estonia,2020-10-12,B.1.1.277,0,0.0,55
25106,Estonia,2020-10-12,B.1.1.302,0,0.0,55
25107,Estonia,2020-10-12,B.1.1.519,0,0.0,55
25108,Estonia,2020-10-12,B.1.160,3,5.45,55
25109,Estonia,2020-10-12,B.1.177,0,0.0,55
25110,Estonia,2020-10-12,B.1.221,0,0.0,55
25111,Estonia,2020-10-12,B.1.258,1,1.82,55
25112,Estonia,2020-10-12,B.1.367,0,0.0,55
25113,Estonia,2020-10-12,B.1.620,0,0.0,55
25114,Estonia,2020-10-12,Beta,0,0.0,55
25115,Estonia,2020-10-12,Delta,0,0.0,55
25116,Estonia,2020-10-12,Epsilon,0,0.0,55
25117,Estonia,2020-10-12,Eta,0,0.0,55
25118,Estonia,2020-10-12,Gamma,0,0.0,55
25119,Estonia,2020-10-12,Iota,0,0.0,55
25120,Estonia,2020-10-12,Kappa,0,0.0,55
