,location,date,variant,num_sequences,perc_sequences,num_sequences_total
26208,Fiji,2020-08-31,Alpha,0,0.0,1
26209,Fiji,2020-08-31,B.1.1.277,0,0.0,1
26210,Fiji,2020-08-31,B.1.1.302,0,0.0,1
26211,Fiji,2020-08-31,B.1.1.519,0,0.0,1
26212,Fiji,2020-08-31,B.1.160,0,0.0,1
26213,Fiji,2020-08-31,B.1.177,0,0.0,1
26214,Fiji,2020-08-31,B.1.221,0,0.0,1
26215,Fiji,2020-08-31,B.1.258,0,0.0,1
26216,Fiji,2020-08-31,B.1.367,0,0.0,1
26217,Fiji,2020-08-31,B.1.620,0,0.0,1
26218,Fiji,2020-08-31,Beta,0,0.0,1
26219,Fiji,2020-08-31,Delta,0,0.0,1
26220,Fiji,2020-08-31,Epsilon,0,0.0,1
26221,Fiji,2020-08-31,Eta,0,0.0,1
26222,Fiji,2020-08-31,Gamma,0,0.0,1
26223,Fiji,2020-08-31,Iota,0,0.0,1
26224,Fiji,2020-08-31,Kappa,0,0.0,1
26225,Fiji,2020-08-31,Lambda,0,0.0,1
26226,Fiji,2020-08-31,Mu,0,0.0,1
26227,Fiji,2020-08-31,Omicron,0,0.0,1
26228,Fiji,2020-08-31,S:677H.Robin1,0,0.0,1
26229,Fiji,2020-08-31,S:677P.Pelican,0,0.0,1
26230,Fiji,2020-08-31,others,1,100.0,1
26231,Fiji,2020-08-31,non_who,1,100.0,1
26232,Fiji,2020-11-23,Alpha,0,0.0,2
26233,Fiji,2020-11-23,B.1.1.277,0,0.0,2
26234,Fiji,2020-11-23,B.1.1.302,0,0.0,2
26235,Fiji,2020-11-23,B.1.1.519,0,0.0,2
26236,Fiji,2020-11-23,B.1.160,0,0.0,2
26237,Fiji,2020-11-23,B.1.177,0,0.0,2
26238,Fiji,2020-11-23,B.1.221,0,0.0,2
26239,Fiji,2020-11-23,B.1.258,0,0.0,2
26240,Fiji,2020-11-23,B.1.367,0,0.0,2
26241,Fiji,2020-11-23,B.1.620,0,0.0,2
26242,Fiji,2020-11-23,Beta,0,0.0,2
26243,Fiji,2020-11-23,Delta,0,0.0,2
26244,Fiji,2020-11-23,Epsilon,0,0.0,2
26245,Fiji,2020-11-23,Eta,0,0.0,2
26246,Fiji,2020-11-23,Gamma,0,0.0,2
26247,Fiji,2020-11-23,Iota,0,0.0,2
26248,Fiji,2020-11-23,Kappa,0,0.0,2
26249,Fiji,2020-11-23,Lambda,0,0.0,2
26250,Fiji,2020-11-23,Mu,0,0.0,2
26251,Fiji,2020-11-23,Omicron,0,0.0,2
26252,Fiji,2020-11-23,S:677H.Robin1,0,0.0,2
26253,Fiji,2020-11-23,S:677P.Pelican,0,0.0,2
26254,Fiji,2020-11-23,others,2,100.0,2
26255,Fiji,2020-11-23,non_who,2,100.0,2
26256,Fiji,2020-12-07,Alpha,0,0.0,2
26257,Fiji,2020-12-07,B.1.1.277,0,0.0,2
26258,Fiji,2020-12-07,B.1.1.302,0,0.0,2
