,location,date,variant,num_sequences,perc_sequences,num_sequences_total
26544,Finland,2020-05-11,Alpha,0,0.0,102
26545,Finland,2020-05-11,B.1.1.277,0,0.0,102
26546,Finland,2020-05-11,B.1.1.302,0,0.0,102
26547,Finland,2020-05-11,B.1.1.519,0,0.0,102
26548,Finland,2020-05-11,B.1.160,0,0.0,102
26549,Finland,2020-05-11,B.1.177,0,0.0,102
26550,Finland,2020-05-11,B.1.221,0,0.0,102
26551,Finland,2020-05-11,B.1.258,0,0.0,102
26552,Finland,2020-05-11,B.1.367,0,0.0,102
26553,Finland,2020-05-11,B.1.620,0,0.0,102
26554,Finland,2020-05-11,Beta,0,0.0,102
26555,Finland,2020-05-11,Delta,0,0.0,102
26556,Finland,2020-05-11,Epsilon,0,0.0,102
26557,Finland,2020-05-11,Eta,0,0.0,102
26558,Finland,2020-05-11,Gamma,0,0.0,102
26559,Finland,2020-05-11,Iota,0,0.0,102
26560,Finland,2020-05-11,Kappa,0,0.0,102
26561,Finland,2020-05-11,Lambda,0,0.0,102
26562,Finland,2020-05-11,Mu,0,0.0,102
26563,Finland,2020-05-11,Omicron,0,0.0,102
26564,Finland,2020-05-11,S:677H.Robin1,0,0.0,102
26565,Finland,2020-05-11,S:677P.Pelican,0,0.0,102
26566,Finland,2020-05-11,others,102,100.0,102
26567,Finland,2020-05-11,non_who,102,100.0,102
26568,Finland,2020-05-25,Alpha,0,0.0,51
26569,Finland,2020-05-25,B.1.1.277,0,0.0,51
26570,Finland,2020-05-25,B.1.1.302,0,0.0,51
26571,Finland,2020-05-25,B.1.1.519,0,0.0,51
26572,Finland,2020-05-25,B.1.160,0,0.0,51
26573,Finland,2020-05-25,B.1.177,0,0.0,51
26574,Finland,2020-05-25,B.1.221,0,0.0,51
26575,Finland,2020-05-25,B.1.258,0,0.0,51
26576,Finland,2020-05-25,B.1.367,0,0.0,51
26577,Finland,2020-05-25,B.1.620,0,0.0,51
26578,Finland,2020-05-25,Beta,0,0.0,51
26579,Finland,2020-05-25,Delta,0,0.0,51
26580,Finland,2020-05-25,Epsilon,0,0.0,51
26581,Finland,2020-05-25,Eta,0,0.0,51
26582,Finland,2020-05-25,Gamma,0,0.0,51
26583,Finland,2020-05-25,Iota,0,0.0,51
26584,Finland,2020-05-25,Kappa,0,0.0,51
26585,Finland,2020-05-25,Lambda,0,0.0,51
26586,Finland,2020-05-25,Mu,0,0.0,51
26587,Finland,2020-05-25,Omicron,0,0.0,51
26588,Finland,2020-05-25,S:677H.Robin1,0,0.0,51
26589,Finland,2020-05-25,S:677P.Pelican,0,0.0,51
26590,Finland,2020-05-25,others,51,100.0,51
26591,Finland,2020-05-25,non_who,51,100.0,51
26592,Finland,2020-06-08,Alpha,0,0.0,37
26593,Finland,2020-06-08,B.1.1.277,0,0.0,37
26594,Finland,2020-06-08,B.1.1.302,0,0.0,37
26595,Finland,2020-06-08,B.1.1.519,0,0.0,37
26596,Finland,2020-06-08,B.1.160,0,0.0,37
26597,Finland,2020-06-08,B.1.177,0,0.0,37
26598,Finland,2020-06-08,B.1.221,0,0.0,37
26599,Finland,2020-06-08,B.1.258,0,0.0,37
26600,Finland,2020-06-08,B.1.367,0,0.0,37
26601,Finland,2020-06-08,B.1.620,0,0.0,37
26602,Finland,2020-06-08,Beta,0,0.0,37
26603,Finland,2020-06-08,Delta,0,0.0,37
26604,Finland,2020-06-08,Epsilon,0,0.0,37
26605,Finland,2020-06-08,Eta,0,0.0,37
26606,Finland,2020-06-08,Gamma,0,0.0,37
26607,Finland,2020-06-08,Iota,0,0.0,37
26608,Finland,2020-06-08,Kappa,0,0.0,37
26609,Finland,2020-06-08,Lambda,0,0.0,37
26610,Finland,2020-06-08,Mu,0,0.0,37
26611,Finland,2020-06-08,Omicron,0,0.0,37
26612,Finland,2020-06-08,S:677H.Robin1,0,0.0,37
26613,Finland,2020-06-08,S:677P.Pelican,0,0.0,37
26614,Finland,2020-06-08,others,37,100.0,37
26615,Finland,2020-06-08,non_who,37,100.0,37
26616,Finland,2020-06-22,Alpha,0,0.0,4
26617,Finland,2020-06-22,B.1.1.277,0,0.0,4
26618,Finland,2020-06-22,B.1.1.302,0,0.0,4
26619,Finland,2020-06-22,B.1.1.519,0,0.0,4
26620,Finland,2020-06-22,B.1.160,0,0.0,4
26621,Finland,2020-06-22,B.1.177,0,0.0,4
26622,Finland,2020-06-22,B.1.221,0,0.0,4
26623,Finland,2020-06-22,B.1.258,0,0.0,4
26624,Finland,2020-06-22,B.1.367,0,0.0,4
26625,Finland,2020-06-22,B.1.620,0,0.0,4
26626,Finland,2020-06-22,Beta,0,0.0,4
26627,Finland,2020-06-22,Delta,0,0.0,4
26628,Finland,2020-06-22,Epsilon,0,0.0,4
26629,Finland,2020-06-22,Eta,0,0.0,4
26630,Finland,2020-06-22,Gamma,0,0.0,4
26631,Finland,2020-06-22,Iota,0,0.0,4
26632,Finland,2020-06-22,Kappa,0,0.0,4
26633,Finland,2020-06-22,Lambda,0,0.0,4
26634,Finland,2020-06-22,Mu,0,0.0,4
26635,Finland,2020-06-22,Omicron,0,0.0,4
26636,Finland,2020-06-22,S:677H.Robin1,0,0.0,4
26637,Finland,2020-06-22,S:677P.Pelican,0,0.0,4
26638,Finland,2020-06-22,others,4,100.0,4
26639,Finland,2020-06-22,non_who,4,100.0,4
26640,Finland,2020-08-17,Alpha,0,0.0,10
26641,Finland,2020-08-17,B.1.1.277,0,0.0,10
26642,Finland,2020-08-17,B.1.1.302,0,0.0,10
26643,Finland,2020-08-17,B.1.1.519,0,0.0,10
26644,Finland,2020-08-17,B.1.160,0,0.0,10
26645,Finland,2020-08-17,B.1.177,0,0.0,10
26646,Finland,2020-08-17,B.1.221,0,0.0,10
26647,Finland,2020-08-17,B.1.258,0,0.0,10
26648,Finland,2020-08-17,B.1.367,0,0.0,10
26649,Finland,2020-08-17,B.1.620,0,0.0,10
26650,Finland,2020-08-17,Beta,0,0.0,10
26651,Finland,2020-08-17,Delta,0,0.0,10
26652,Finland,2020-08-17,Epsilon,0,0.0,10
26653,Finland,2020-08-17,Eta,0,0.0,10
26654,Finland,2020-08-17,Gamma,0,0.0,10
26655,Finland,2020-08-17,Iota,0,0.0,10
26656,Finland,2020-08-17,Kappa,0,0.0,10
26657,Finland,2020-08-17,Lambda,0,0.0,10
26658,Finland,2020-08-17,Mu,0,0.0,10
26659,Finland,2020-08-17,Omicron,0,0.0,10
26660,Finland,2020-08-17,S:677H.Robin1,0,0.0,10
26661,Finland,2020-08-17,S:677P.Pelican,0,0.0,10
26662,Finland,2020-08-17,others,10,100.0,10
26663,Finland,2020-08-17,non_who,10,100.0,10
26664,Finland,2020-08-31,Alpha,0,0.0,14
26665,Finland,2020-08-31,B.1.1.277,0,0.0,14
26666,Finland,2020-08-31,B.1.1.302,0,0.0,14
26667,Finland,2020-08-31,B.1.1.519,0,0.0,14
26668,Finland,2020-08-31,B.1.160,0,0.0,14
26669,Finland,2020-08-31,B.1.177,0,0.0,14
26670,Finland,2020-08-31,B.1.221,0,0.0,14
26671,Finland,2020-08-31,B.1.258,0,0.0,14
26672,Finland,2020-08-31,B.1.367,0,0.0,14
26673,Finland,2020-08-31,B.1.620,0,0.0,14
26674,Finland,2020-08-31,Beta,0,0.0,14
26675,Finland,2020-08-31,Delta,0,0.0,14
26676,Finland,2020-08-31,Epsilon,0,0.0,14
26677,Finland,2020-08-31,Eta,0,0.0,14
26678,Finland,2020-08-31,Gamma,0,0.0,14
26679,Finland,2020-08-31,Iota,0,0.0,14
26680,Finland,2020-08-31,Kappa,0,0.0,14
26681,Finland,2020-08-31,Lambda,0,0.0,14
26682,Finland,2020-08-31,Mu,0,0.0,14
26683,Finland,2020-08-31,Omicron,0,0.0,14
26684,Finland,2020-08-31,S:677H.Robin1,0,0.0,14
26685,Finland,2020-08-31,S:677P.Pelican,0,0.0,14
26686,Finland,2020-08-31,others,14,100.0,14
26687,Finland,2020-08-31,non_who,14,100.0,14
26688,Finland,2020-09-14,Alpha,0,0.0,23
26689,Finland,2020-09-14,B.1.1.277,0,0.0,23
