,location,date,variant,num_sequences,perc_sequences,num_sequences_total
27480,France,2020-05-11,Alpha,0,0.0,201
27481,France,2020-05-11,B.1.1.277,0,0.0,201
27482,France,2020-05-11,B.1.1.302,0,0.0,201
27483,France,2020-05-11,B.1.1.519,0,0.0,201
27484,France,2020-05-11,B.1.160,0,0.0,201
27485,France,2020-05-11,B.1.177,2,1.0,201
27486,France,2020-05-11,B.1.221,0,0.0,201
27487,France,2020-05-11,B.1.258,0,0.0,201
27488,France,2020-05-11,B.1.367,0,0.0,201
27489,France,2020-05-11,B.1.620,0,0.0,201
27490,France,2020-05-11,Beta,0,0.0,201
27491,France,2020-05-11,Delta,0,0.0,201
27492,France,2020-05-11,Epsilon,0,0.0,201
27493,France,2020-05-11,Eta,0,0.0,201
27494,France,2020-05-11,Gamma,0,0.0,201
27495,France,2020-05-11,Iota,0,0.0,201
27496,France,2020-05-11,Kappa,0,0.0,201
27497,France,2020-05-11,Lambda,0,0.0,201
27498,France,2020-05-11,Mu,0,0.0,201
27499,France,2020-05-11,Omicron,0,0.0,201
27500,France,2020-05-11,S:677H.Robin1,0,0.0,201
27501,France,2020-05-11,S:677P.Pelican,0,0.0,201
27502,France,2020-05-11,others,199,99.0,201
27503,France,2020-05-11,non_who,201,100.0,201
27504,France,2020-05-25,Alpha,0,0.0,64
27505,France,2020-05-25,B.1.1.277,0,0.0,64
27506,France,2020-05-25,B.1.1.302,0,0.0,64
27507,France,2020-05-25,B.1.1.519,0,0.0,64
27508,France,2020-05-25,B.1.160,0,0.0,64
27509,France,2020-05-25,B.1.177,0,0.0,64
27510,France,2020-05-25,B.1.221,0,0.0,64
27511,France,2020-05-25,B.1.258,0,0.0,64
27512,France,2020-05-25,B.1.367,0,0.0,64
27513,France,2020-05-25,B.1.620,0,0.0,64
27514,France,2020-05-25,Beta,0,0.0,64
27515,France,2020-05-25,Delta,0,0.0,64
27516,France,2020-05-25,Epsilon,0,0.0,64
27517,France,2020-05-25,Eta,0,0.0,64
27518,France,2020-05-25,Gamma,0,0.0,64
27519,France,2020-05-25,Iota,0,0.0,64
27520,France,2020-05-25,Kappa,0,0.0,64
27521,France,2020-05-25,Lambda,0,0.0,64
27522,France,2020-05-25,Mu,0,0.0,64
27523,France,2020-05-25,Omicron,0,0.0,64
27524,France,2020-05-25,S:677H.Robin1,0,0.0,64
27525,France,2020-05-25,S:677P.Pelican,0,0.0,64
27526,France,2020-05-25,others,64,100.0,64
27527,France,2020-05-25,non_who,64,100.0,64
