,location,date,variant,num_sequences,perc_sequences,num_sequences_total
28560,Gambia,2020-05-11,Alpha,0,0.0,13
28561,Gambia,2020-05-11,B.1.1.277,0,0.0,13
28562,Gambia,2020-05-11,B.1.1.302,0,0.0,13
28563,Gambia,2020-05-11,B.1.1.519,0,0.0,13
28564,Gambia,2020-05-11,B.1.160,0,0.0,13
28565,Gambia,2020-05-11,B.1.177,0,0.0,13
28566,Gambia,2020-05-11,B.1.221,0,0.0,13
28567,Gambia,2020-05-11,B.1.258,0,0.0,13
28568,Gambia,2020-05-11,B.1.367,0,0.0,13
28569,Gambia,2020-05-11,B.1.620,0,0.0,13
28570,Gambia,2020-05-11,Beta,0,0.0,13
28571,Gambia,2020-05-11,Delta,0,0.0,13
28572,Gambia,2020-05-11,Epsilon,0,0.0,13
28573,Gambia,2020-05-11,Eta,0,0.0,13
28574,Gambia,2020-05-11,Gamma,0,0.0,13
28575,Gambia,2020-05-11,Iota,0,0.0,13
28576,Gambia,2020-05-11,Kappa,0,0.0,13
28577,Gambia,2020-05-11,Lambda,0,0.0,13
28578,Gambia,2020-05-11,Mu,0,0.0,13
28579,Gambia,2020-05-11,Omicron,0,0.0,13
28580,Gambia,2020-05-11,S:677H.Robin1,0,0.0,13
28581,Gambia,2020-05-11,S:677P.Pelican,0,0.0,13
28582,Gambia,2020-05-11,others,13,100.0,13
28583,Gambia,2020-05-11,non_who,13,100.0,13
28584,Gambia,2020-05-25,Alpha,0,0.0,14
28585,Gambia,2020-05-25,B.1.1.277,0,0.0,14
28586,Gambia,2020-05-25,B.1.1.302,0,0.0,14
28587,Gambia,2020-05-25,B.1.1.519,0,0.0,14
28588,Gambia,2020-05-25,B.1.160,0,0.0,14
28589,Gambia,2020-05-25,B.1.177,0,0.0,14
28590,Gambia,2020-05-25,B.1.221,0,0.0,14
28591,Gambia,2020-05-25,B.1.258,0,0.0,14
28592,Gambia,2020-05-25,B.1.367,0,0.0,14
28593,Gambia,2020-05-25,B.1.620,0,0.0,14
28594,Gambia,2020-05-25,Beta,0,0.0,14
28595,Gambia,2020-05-25,Delta,0,0.0,14
28596,Gambia,2020-05-25,Epsilon,0,0.0,14
28597,Gambia,2020-05-25,Eta,0,0.0,14
28598,Gambia,2020-05-25,Gamma,0,0.0,14
28599,Gambia,2020-05-25,Iota,0,0.0,14
28600,Gambia,2020-05-25,Kappa,0,0.0,14
28601,Gambia,2020-05-25,Lambda,0,0.0,14
28602,Gambia,2020-05-25,Mu,0,0.0,14
28603,Gambia,2020-05-25,Omicron,0,0.0,14
28604,Gambia,2020-05-25,S:677H.Robin1,0,0.0,14
28605,Gambia,2020-05-25,S:677P.Pelican,0,0.0,14
28606,Gambia,2020-05-25,others,14,100.0,14
28607,Gambia,2020-05-25,non_who,14,100.0,14
28608,Gambia,2020-06-08,Alpha,0,0.0,11
28609,Gambia,2020-06-08,B.1.1.277,0,0.0,11
28610,Gambia,2020-06-08,B.1.1.302,0,0.0,11
28611,Gambia,2020-06-08,B.1.1.519,0,0.0,11
28612,Gambia,2020-06-08,B.1.160,0,0.0,11
28613,Gambia,2020-06-08,B.1.177,0,0.0,11
28614,Gambia,2020-06-08,B.1.221,0,0.0,11
28615,Gambia,2020-06-08,B.1.258,0,0.0,11
28616,Gambia,2020-06-08,B.1.367,0,0.0,11
28617,Gambia,2020-06-08,B.1.620,0,0.0,11
28618,Gambia,2020-06-08,Beta,0,0.0,11
28619,Gambia,2020-06-08,Delta,0,0.0,11
28620,Gambia,2020-06-08,Epsilon,0,0.0,11
28621,Gambia,2020-06-08,Eta,0,0.0,11
28622,Gambia,2020-06-08,Gamma,0,0.0,11
28623,Gambia,2020-06-08,Iota,0,0.0,11
28624,Gambia,2020-06-08,Kappa,0,0.0,11
28625,Gambia,2020-06-08,Lambda,0,0.0,11
28626,Gambia,2020-06-08,Mu,0,0.0,11
28627,Gambia,2020-06-08,Omicron,0,0.0,11
28628,Gambia,2020-06-08,S:677H.Robin1,0,0.0,11
28629,Gambia,2020-06-08,S:677P.Pelican,0,0.0,11
28630,Gambia,2020-06-08,others,11,100.0,11
28631,Gambia,2020-06-08,non_who,11,100.0,11
28632,Gambia,2020-06-22,Alpha,0,0.0,5
28633,Gambia,2020-06-22,B.1.1.277,0,0.0,5
28634,Gambia,2020-06-22,B.1.1.302,0,0.0,5
28635,Gambia,2020-06-22,B.1.1.519,0,0.0,5
28636,Gambia,2020-06-22,B.1.160,0,0.0,5
28637,Gambia,2020-06-22,B.1.177,0,0.0,5
28638,Gambia,2020-06-22,B.1.221,0,0.0,5
28639,Gambia,2020-06-22,B.1.258,0,0.0,5
28640,Gambia,2020-06-22,B.1.367,0,0.0,5
28641,Gambia,2020-06-22,B.1.620,0,0.0,5
28642,Gambia,2020-06-22,Beta,0,0.0,5
28643,Gambia,2020-06-22,Delta,0,0.0,5
28644,Gambia,2020-06-22,Epsilon,0,0.0,5
28645,Gambia,2020-06-22,Eta,0,0.0,5
28646,Gambia,2020-06-22,Gamma,0,0.0,5
28647,Gambia,2020-06-22,Iota,0,0.0,5
28648,Gambia,2020-06-22,Kappa,0,0.0,5
28649,Gambia,2020-06-22,Lambda,0,0.0,5
