,location,date,variant,num_sequences,perc_sequences,num_sequences_total
29304,Georgia,2020-05-11,Alpha,0,0.0,4
29305,Georgia,2020-05-11,B.1.1.277,0,0.0,4
29306,Georgia,2020-05-11,B.1.1.302,0,0.0,4
29307,Georgia,2020-05-11,B.1.1.519,0,0.0,4
29308,Georgia,2020-05-11,B.1.160,0,0.0,4
29309,Georgia,2020-05-11,B.1.177,0,0.0,4
29310,Georgia,2020-05-11,B.1.221,0,0.0,4
29311,Georgia,2020-05-11,B.1.258,0,0.0,4
29312,Georgia,2020-05-11,B.1.367,0,0.0,4
29313,Georgia,2020-05-11,B.1.620,0,0.0,4
29314,Georgia,2020-05-11,Beta,0,0.0,4
29315,Georgia,2020-05-11,Delta,0,0.0,4
29316,Georgia,2020-05-11,Epsilon,0,0.0,4
29317,Georgia,2020-05-11,Eta,0,0.0,4
29318,Georgia,2020-05-11,Gamma,0,0.0,4
29319,Georgia,2020-05-11,Iota,0,0.0,4
29320,Georgia,2020-05-11,Kappa,0,0.0,4
29321,Georgia,2020-05-11,Lambda,0,0.0,4
29322,Georgia,2020-05-11,Mu,0,0.0,4
29323,Georgia,2020-05-11,Omicron,0,0.0,4
29324,Georgia,2020-05-11,S:677H.Robin1,0,0.0,4
29325,Georgia,2020-05-11,S:677P.Pelican,0,0.0,4
29326,Georgia,2020-05-11,others,4,100.0,4
29327,Georgia,2020-05-11,non_who,4,100.0,4
29328,Georgia,2020-06-08,Alpha,0,0.0,1
29329,Georgia,2020-06-08,B.1.1.277,0,0.0,1
29330,Georgia,2020-06-08,B.1.1.302,0,0.0,1
29331,Georgia,2020-06-08,B.1.1.519,0,0.0,1
29332,Georgia,2020-06-08,B.1.160,0,0.0,1
29333,Georgia,2020-06-08,B.1.177,0,0.0,1
29334,Georgia,2020-06-08,B.1.221,0,0.0,1
29335,Georgia,2020-06-08,B.1.258,0,0.0,1
29336,Georgia,2020-06-08,B.1.367,0,0.0,1
29337,Georgia,2020-06-08,B.1.620,0,0.0,1
29338,Georgia,2020-06-08,Beta,0,0.0,1
29339,Georgia,2020-06-08,Delta,0,0.0,1
29340,Georgia,2020-06-08,Epsilon,0,0.0,1
29341,Georgia,2020-06-08,Eta,0,0.0,1
29342,Georgia,2020-06-08,Gamma,0,0.0,1
29343,Georgia,2020-06-08,Iota,0,0.0,1
29344,Georgia,2020-06-08,Kappa,0,0.0,1
29345,Georgia,2020-06-08,Lambda,0,0.0,1
29346,Georgia,2020-06-08,Mu,0,0.0,1
29347,Georgia,2020-06-08,Omicron,0,0.0,1
29348,Georgia,2020-06-08,S:677H.Robin1,0,0.0,1
29349,Georgia,2020-06-08,S:677P.Pelican,0,0.0,1
29350,Georgia,2020-06-08,others,1,100.0,1
29351,Georgia,2020-06-08,non_who,1,100.0,1
29352,Georgia,2020-06-22,Alpha,0,0.0,1
29353,Georgia,2020-06-22,B.1.1.277,0,0.0,1
29354,Georgia,2020-06-22,B.1.1.302,0,0.0,1
29355,Georgia,2020-06-22,B.1.1.519,0,0.0,1
29356,Georgia,2020-06-22,B.1.160,0,0.0,1
29357,Georgia,2020-06-22,B.1.177,0,0.0,1
29358,Georgia,2020-06-22,B.1.221,0,0.0,1
29359,Georgia,2020-06-22,B.1.258,0,0.0,1
29360,Georgia,2020-06-22,B.1.367,0,0.0,1
29361,Georgia,2020-06-22,B.1.620,0,0.0,1
29362,Georgia,2020-06-22,Beta,0,0.0,1
29363,Georgia,2020-06-22,Delta,0,0.0,1
29364,Georgia,2020-06-22,Epsilon,0,0.0,1
29365,Georgia,2020-06-22,Eta,0,0.0,1
29366,Georgia,2020-06-22,Gamma,0,0.0,1
29367,Georgia,2020-06-22,Iota,0,0.0,1
29368,Georgia,2020-06-22,Kappa,0,0.0,1
29369,Georgia,2020-06-22,Lambda,0,0.0,1
29370,Georgia,2020-06-22,Mu,0,0.0,1
29371,Georgia,2020-06-22,Omicron,0,0.0,1
29372,Georgia,2020-06-22,S:677H.Robin1,0,0.0,1
29373,Georgia,2020-06-22,S:677P.Pelican,0,0.0,1
29374,Georgia,2020-06-22,others,1,100.0,1
29375,Georgia,2020-06-22,non_who,1,100.0,1
29376,Georgia,2020-09-28,Alpha,0,0.0,2
29377,Georgia,2020-09-28,B.1.1.277,0,0.0,2
29378,Georgia,2020-09-28,B.1.1.302,0,0.0,2
29379,Georgia,2020-09-28,B.1.1.519,0,0.0,2
