,location,date,variant,num_sequences,perc_sequences,num_sequences_total
30168,Germany,2020-05-11,Alpha,0,0.0,105
30169,Germany,2020-05-11,B.1.1.277,0,0.0,105
30170,Germany,2020-05-11,B.1.1.302,0,0.0,105
30171,Germany,2020-05-11,B.1.1.519,0,0.0,105
30172,Germany,2020-05-11,B.1.160,0,0.0,105
30173,Germany,2020-05-11,B.1.177,0,0.0,105
30174,Germany,2020-05-11,B.1.221,0,0.0,105
30175,Germany,2020-05-11,B.1.258,0,0.0,105
30176,Germany,2020-05-11,B.1.367,0,0.0,105
30177,Germany,2020-05-11,B.1.620,0,0.0,105
30178,Germany,2020-05-11,Beta,0,0.0,105
30179,Germany,2020-05-11,Delta,0,0.0,105
30180,Germany,2020-05-11,Epsilon,0,0.0,105
30181,Germany,2020-05-11,Eta,0,0.0,105
30182,Germany,2020-05-11,Gamma,0,0.0,105
30183,Germany,2020-05-11,Iota,0,0.0,105
30184,Germany,2020-05-11,Kappa,0,0.0,105
30185,Germany,2020-05-11,Lambda,0,0.0,105
30186,Germany,2020-05-11,Mu,0,0.0,105
30187,Germany,2020-05-11,Omicron,0,0.0,105
30188,Germany,2020-05-11,S:677H.Robin1,0,0.0,105
30189,Germany,2020-05-11,S:677P.Pelican,0,0.0,105
30190,Germany,2020-05-11,others,105,100.0,105
30191,Germany,2020-05-11,non_who,105,100.0,105
30192,Germany,2020-05-25,Alpha,0,0.0,94
30193,Germany,2020-05-25,B.1.1.277,0,0.0,94
30194,Germany,2020-05-25,B.1.1.302,0,0.0,94
30195,Germany,2020-05-25,B.1.1.519,0,0.0,94
30196,Germany,2020-05-25,B.1.160,0,0.0,94
30197,Germany,2020-05-25,B.1.177,0,0.0,94
30198,Germany,2020-05-25,B.1.221,0,0.0,94
30199,Germany,2020-05-25,B.1.258,1,1.06,94
30200,Germany,2020-05-25,B.1.367,0,0.0,94
30201,Germany,2020-05-25,B.1.620,0,0.0,94
30202,Germany,2020-05-25,Beta,0,0.0,94
30203,Germany,2020-05-25,Delta,0,0.0,94
30204,Germany,2020-05-25,Epsilon,0,0.0,94
30205,Germany,2020-05-25,Eta,0,0.0,94
30206,Germany,2020-05-25,Gamma,0,0.0,94
30207,Germany,2020-05-25,Iota,0,0.0,94
30208,Germany,2020-05-25,Kappa,0,0.0,94
30209,Germany,2020-05-25,Lambda,0,0.0,94
30210,Germany,2020-05-25,Mu,0,0.0,94
30211,Germany,2020-05-25,Omicron,0,0.0,94
30212,Germany,2020-05-25,S:677H.Robin1,0,0.0,94
30213,Germany,2020-05-25,S:677P.Pelican,0,0.0,94
30214,Germany,2020-05-25,others,93,98.94,94
30215,Germany,2020-05-25,non_who,94,100.0,94
30216,Germany,2020-06-08,Alpha,0,0.0,82
30217,Germany,2020-06-08,B.1.1.277,0,0.0,82
30218,Germany,2020-06-08,B.1.1.302,0,0.0,82
30219,Germany,2020-06-08,B.1.1.519,0,0.0,82
30220,Germany,2020-06-08,B.1.160,0,0.0,82
30221,Germany,2020-06-08,B.1.177,2,2.44,82
30222,Germany,2020-06-08,B.1.221,0,0.0,82
30223,Germany,2020-06-08,B.1.258,0,0.0,82
30224,Germany,2020-06-08,B.1.367,0,0.0,82
30225,Germany,2020-06-08,B.1.620,0,0.0,82
30226,Germany,2020-06-08,Beta,0,0.0,82
