,location,date,variant,num_sequences,perc_sequences,num_sequences_total
31224,Ghana,2020-05-11,Alpha,0,0.0,1
31225,Ghana,2020-05-11,B.1.1.277,0,0.0,1
31226,Ghana,2020-05-11,B.1.1.302,0,0.0,1
31227,Ghana,2020-05-11,B.1.1.519,0,0.0,1
31228,Ghana,2020-05-11,B.1.160,0,0.0,1
31229,Ghana,2020-05-11,B.1.177,0,0.0,1
31230,Ghana,2020-05-11,B.1.221,0,0.0,1
31231,Ghana,2020-05-11,B.1.258,0,0.0,1
31232,Ghana,2020-05-11,B.1.367,0,0.0,1
31233,Ghana,2020-05-11,B.1.620,0,0.0,1
31234,Ghana,2020-05-11,Beta,0,0.0,1
31235,Ghana,2020-05-11,Delta,0,0.0,1
31236,Ghana,2020-05-11,Epsilon,0,0.0,1
31237,Ghana,2020-05-11,Eta,0,0.0,1
31238,Ghana,2020-05-11,Gamma,0,0.0,1
31239,Ghana,2020-05-11,Iota,0,0.0,1
31240,Ghana,2020-05-11,Kappa,0,0.0,1
31241,Ghana,2020-05-11,Lambda,0,0.0,1
31242,Ghana,2020-05-11,Mu,0,0.0,1
31243,Ghana,2020-05-11,Omicron,0,0.0,1
31244,Ghana,2020-05-11,S:677H.Robin1,0,0.0,1
31245,Ghana,2020-05-11,S:677P.Pelican,0,0.0,1
31246,Ghana,2020-05-11,others,1,100.0,1
31247,Ghana,2020-05-11,non_who,1,100.0,1
31248,Ghana,2020-05-25,Alpha,0,0.0,18
31249,Ghana,2020-05-25,B.1.1.277,0,0.0,18
31250,Ghana,2020-05-25,B.1.1.302,0,0.0,18
31251,Ghana,2020-05-25,B.1.1.519,0,0.0,18
31252,Ghana,2020-05-25,B.1.160,0,0.0,18
31253,Ghana,2020-05-25,B.1.177,0,0.0,18
31254,Ghana,2020-05-25,B.1.221,0,0.0,18
31255,Ghana,2020-05-25,B.1.258,0,0.0,18
31256,Ghana,2020-05-25,B.1.367,0,0.0,18
31257,Ghana,2020-05-25,B.1.620,0,0.0,18
31258,Ghana,2020-05-25,Beta,0,0.0,18
31259,Ghana,2020-05-25,Delta,0,0.0,18
31260,Ghana,2020-05-25,Epsilon,0,0.0,18
31261,Ghana,2020-05-25,Eta,0,0.0,18
31262,Ghana,2020-05-25,Gamma,0,0.0,18
31263,Ghana,2020-05-25,Iota,0,0.0,18
31264,Ghana,2020-05-25,Kappa,0,0.0,18
31265,Ghana,2020-05-25,Lambda,0,0.0,18
31266,Ghana,2020-05-25,Mu,0,0.0,18
31267,Ghana,2020-05-25,Omicron,0,0.0,18
31268,Ghana,2020-05-25,S:677H.Robin1,0,0.0,18
31269,Ghana,2020-05-25,S:677P.Pelican,0,0.0,18
31270,Ghana,2020-05-25,others,18,100.0,18
31271,Ghana,2020-05-25,non_who,18,100.0,18
31272,Ghana,2020-06-08,Alpha,0,0.0,8
31273,Ghana,2020-06-08,B.1.1.277,0,0.0,8
31274,Ghana,2020-06-08,B.1.1.302,0,0.0,8
31275,Ghana,2020-06-08,B.1.1.519,0,0.0,8
31276,Ghana,2020-06-08,B.1.160,0,0.0,8
31277,Ghana,2020-06-08,B.1.177,0,0.0,8
31278,Ghana,2020-06-08,B.1.221,0,0.0,8
31279,Ghana,2020-06-08,B.1.258,0,0.0,8
31280,Ghana,2020-06-08,B.1.367,0,0.0,8
31281,Ghana,2020-06-08,B.1.620,0,0.0,8
31282,Ghana,2020-06-08,Beta,0,0.0,8
31283,Ghana,2020-06-08,Delta,0,0.0,8
31284,Ghana,2020-06-08,Epsilon,0,0.0,8
31285,Ghana,2020-06-08,Eta,0,0.0,8
31286,Ghana,2020-06-08,Gamma,0,0.0,8
31287,Ghana,2020-06-08,Iota,0,0.0,8
31288,Ghana,2020-06-08,Kappa,0,0.0,8
31289,Ghana,2020-06-08,Lambda,0,0.0,8
31290,Ghana,2020-06-08,Mu,0,0.0,8
31291,Ghana,2020-06-08,Omicron,0,0.0,8
31292,Ghana,2020-06-08,S:677H.Robin1,0,0.0,8
31293,Ghana,2020-06-08,S:677P.Pelican,0,0.0,8
31294,Ghana,2020-06-08,others,8,100.0,8
31295,Ghana,2020-06-08,non_who,8,100.0,8
31296,Ghana,2020-06-22,Alpha,0,0.0,8
31297,Ghana,2020-06-22,B.1.1.277,0,0.0,8
31298,Ghana,2020-06-22,B.1.1.302,0,0.0,8
31299,Ghana,2020-06-22,B.1.1.519,0,0.0,8
31300,Ghana,2020-06-22,B.1.160,0,0.0,8
31301,Ghana,2020-06-22,B.1.177,0,0.0,8
31302,Ghana,2020-06-22,B.1.221,0,0.0,8
31303,Ghana,2020-06-22,B.1.258,0,0.0,8
31304,Ghana,2020-06-22,B.1.367,0,0.0,8
31305,Ghana,2020-06-22,B.1.620,0,0.0,8
31306,Ghana,2020-06-22,Beta,0,0.0,8
31307,Ghana,2020-06-22,Delta,0,0.0,8
31308,Ghana,2020-06-22,Epsilon,0,0.0,8
31309,Ghana,2020-06-22,Eta,0,0.0,8
31310,Ghana,2020-06-22,Gamma,0,0.0,8
31311,Ghana,2020-06-22,Iota,0,0.0,8
31312,Ghana,2020-06-22,Kappa,0,0.0,8
31313,Ghana,2020-06-22,Lambda,0,0.0,8
31314,Ghana,2020-06-22,Mu,0,0.0,8
31315,Ghana,2020-06-22,Omicron,0,0.0,8
31316,Ghana,2020-06-22,S:677H.Robin1,0,0.0,8
31317,Ghana,2020-06-22,S:677P.Pelican,0,0.0,8
31318,Ghana,2020-06-22,others,8,100.0,8
31319,Ghana,2020-06-22,non_who,8,100.0,8
31320,Ghana,2020-07-06,Alpha,0,0.0,1
31321,Ghana,2020-07-06,B.1.1.277,0,0.0,1
31322,Ghana,2020-07-06,B.1.1.302,0,0.0,1
31323,Ghana,2020-07-06,B.1.1.519,0,0.0,1
31324,Ghana,2020-07-06,B.1.160,0,0.0,1
31325,Ghana,2020-07-06,B.1.177,0,0.0,1
31326,Ghana,2020-07-06,B.1.221,0,0.0,1
31327,Ghana,2020-07-06,B.1.258,0,0.0,1
31328,Ghana,2020-07-06,B.1.367,0,0.0,1
31329,Ghana,2020-07-06,B.1.620,0,0.0,1
31330,Ghana,2020-07-06,Beta,0,0.0,1
31331,Ghana,2020-07-06,Delta,0,0.0,1
31332,Ghana,2020-07-06,Epsilon,0,0.0,1
