,location,date,variant,num_sequences,perc_sequences,num_sequences_total
32232,Greece,2020-05-11,Alpha,0,0.0,8
32233,Greece,2020-05-11,B.1.1.277,0,0.0,8
32234,Greece,2020-05-11,B.1.1.302,0,0.0,8
32235,Greece,2020-05-11,B.1.1.519,0,0.0,8
32236,Greece,2020-05-11,B.1.160,0,0.0,8
32237,Greece,2020-05-11,B.1.177,0,0.0,8
32238,Greece,2020-05-11,B.1.221,0,0.0,8
32239,Greece,2020-05-11,B.1.258,0,0.0,8
32240,Greece,2020-05-11,B.1.367,0,0.0,8
32241,Greece,2020-05-11,B.1.620,0,0.0,8
32242,Greece,2020-05-11,Beta,0,0.0,8
32243,Greece,2020-05-11,Delta,0,0.0,8
32244,Greece,2020-05-11,Epsilon,0,0.0,8
32245,Greece,2020-05-11,Eta,0,0.0,8
32246,Greece,2020-05-11,Gamma,0,0.0,8
32247,Greece,2020-05-11,Iota,0,0.0,8
32248,Greece,2020-05-11,Kappa,0,0.0,8
32249,Greece,2020-05-11,Lambda,0,0.0,8
32250,Greece,2020-05-11,Mu,0,0.0,8
32251,Greece,2020-05-11,Omicron,0,0.0,8
32252,Greece,2020-05-11,S:677H.Robin1,0,0.0,8
32253,Greece,2020-05-11,S:677P.Pelican,0,0.0,8
32254,Greece,2020-05-11,others,8,100.0,8
32255,Greece,2020-05-11,non_who,8,100.0,8
32256,Greece,2020-05-25,Alpha,0,0.0,8
32257,Greece,2020-05-25,B.1.1.277,0,0.0,8
32258,Greece,2020-05-25,B.1.1.302,0,0.0,8
32259,Greece,2020-05-25,B.1.1.519,0,0.0,8
32260,Greece,2020-05-25,B.1.160,0,0.0,8
32261,Greece,2020-05-25,B.1.177,0,0.0,8
32262,Greece,2020-05-25,B.1.221,0,0.0,8
32263,Greece,2020-05-25,B.1.258,0,0.0,8
32264,Greece,2020-05-25,B.1.367,0,0.0,8
32265,Greece,2020-05-25,B.1.620,0,0.0,8
32266,Greece,2020-05-25,Beta,0,0.0,8
32267,Greece,2020-05-25,Delta,0,0.0,8
32268,Greece,2020-05-25,Epsilon,0,0.0,8
32269,Greece,2020-05-25,Eta,0,0.0,8
32270,Greece,2020-05-25,Gamma,0,0.0,8
32271,Greece,2020-05-25,Iota,0,0.0,8
32272,Greece,2020-05-25,Kappa,0,0.0,8
32273,Greece,2020-05-25,Lambda,0,0.0,8
32274,Greece,2020-05-25,Mu,0,0.0,8
32275,Greece,2020-05-25,Omicron,0,0.0,8
32276,Greece,2020-05-25,S:677H.Robin1,0,0.0,8
32277,Greece,2020-05-25,S:677P.Pelican,0,0.0,8
32278,Greece,2020-05-25,others,8,100.0,8
32279,Greece,2020-05-25,non_who,8,100.0,8
32280,Greece,2020-08-03,Alpha,0,0.0,2
32281,Greece,2020-08-03,B.1.1.277,0,0.0,2
32282,Greece,2020-08-03,B.1.1.302,0,0.0,2
32283,Greece,2020-08-03,B.1.1.519,0,0.0,2
32284,Greece,2020-08-03,B.1.160,0,0.0,2
32285,Greece,2020-08-03,B.1.177,0,0.0,2
32286,Greece,2020-08-03,B.1.221,0,0.0,2
32287,Greece,2020-08-03,B.1.258,0,0.0,2
32288,Greece,2020-08-03,B.1.367,0,0.0,2
32289,Greece,2020-08-03,B.1.620,0,0.0,2
32290,Greece,2020-08-03,Beta,0,0.0,2
32291,Greece,2020-08-03,Delta,0,0.0,2
32292,Greece,2020-08-03,Epsilon,0,0.0,2
32293,Greece,2020-08-03,Eta,0,0.0,2
32294,Greece,2020-08-03,Gamma,0,0.0,2
32295,Greece,2020-08-03,Iota,0,0.0,2
32296,Greece,2020-08-03,Kappa,0,0.0,2
32297,Greece,2020-08-03,Lambda,0,0.0,2
32298,Greece,2020-08-03,Mu,0,0.0,2
32299,Greece,2020-08-03,Omicron,0,0.0,2
32300,Greece,2020-08-03,S:677H.Robin1,0,0.0,2
32301,Greece,2020-08-03,S:677P.Pelican,0,0.0,2
32302,Greece,2020-08-03,others,2,100.0,2
32303,Greece,2020-08-03,non_who,2,100.0,2
32304,Greece,2020-08-17,Alpha,0,0.0,15
32305,Greece,2020-08-17,B.1.1.277,0,0.0,15
32306,Greece,2020-08-17,B.1.1.302,0,0.0,15
32307,Greece,2020-08-17,B.1.1.519,0,0.0,15
32308,Greece,2020-08-17,B.1.160,0,0.0,15
32309,Greece,2020-08-17,B.1.177,0,0.0,15
32310,Greece,2020-08-17,B.1.221,0,0.0,15
32311,Greece,2020-08-17,B.1.258,0,0.0,15
32312,Greece,2020-08-17,B.1.367,0,0.0,15
32313,Greece,2020-08-17,B.1.620,0,0.0,15
32314,Greece,2020-08-17,Beta,0,0.0,15
32315,Greece,2020-08-17,Delta,0,0.0,15
32316,Greece,2020-08-17,Epsilon,0,0.0,15
32317,Greece,2020-08-17,Eta,0,0.0,15
32318,Greece,2020-08-17,Gamma,0,0.0,15
32319,Greece,2020-08-17,Iota,0,0.0,15
32320,Greece,2020-08-17,Kappa,0,0.0,15
32321,Greece,2020-08-17,Lambda,0,0.0,15
32322,Greece,2020-08-17,Mu,0,0.0,15
32323,Greece,2020-08-17,Omicron,0,0.0,15
32324,Greece,2020-08-17,S:677H.Robin1,0,0.0,15
32325,Greece,2020-08-17,S:677P.Pelican,0,0.0,15
32326,Greece,2020-08-17,others,15,100.0,15
32327,Greece,2020-08-17,non_who,15,100.0,15
32328,Greece,2020-08-31,Alpha,0,0.0,2
32329,Greece,2020-08-31,B.1.1.277,0,0.0,2
32330,Greece,2020-08-31,B.1.1.302,0,0.0,2
32331,Greece,2020-08-31,B.1.1.519,0,0.0,2
32332,Greece,2020-08-31,B.1.160,0,0.0,2
32333,Greece,2020-08-31,B.1.177,1,50.0,2
32334,Greece,2020-08-31,B.1.221,0,0.0,2
32335,Greece,2020-08-31,B.1.258,0,0.0,2
32336,Greece,2020-08-31,B.1.367,0,0.0,2
32337,Greece,2020-08-31,B.1.620,0,0.0,2
32338,Greece,2020-08-31,Beta,0,0.0,2
32339,Greece,2020-08-31,Delta,0,0.0,2
32340,Greece,2020-08-31,Epsilon,0,0.0,2
32341,Greece,2020-08-31,Eta,0,0.0,2
32342,Greece,2020-08-31,Gamma,0,0.0,2
32343,Greece,2020-08-31,Iota,0,0.0,2
32344,Greece,2020-08-31,Kappa,0,0.0,2
32345,Greece,2020-08-31,Lambda,0,0.0,2
32346,Greece,2020-08-31,Mu,0,0.0,2
32347,Greece,2020-08-31,Omicron,0,0.0,2
32348,Greece,2020-08-31,S:677H.Robin1,0,0.0,2
32349,Greece,2020-08-31,S:677P.Pelican,0,0.0,2
32350,Greece,2020-08-31,others,1,50.0,2
32351,Greece,2020-08-31,non_who,2,100.0,2
32352,Greece,2020-09-14,Alpha,0,0.0,24
32353,Greece,2020-09-14,B.1.1.277,0,0.0,24
32354,Greece,2020-09-14,B.1.1.302,0,0.0,24
32355,Greece,2020-09-14,B.1.1.519,0,0.0,24
32356,Greece,2020-09-14,B.1.160,0,0.0,24
32357,Greece,2020-09-14,B.1.177,5,20.83,24
32358,Greece,2020-09-14,B.1.221,1,4.17,24
32359,Greece,2020-09-14,B.1.258,0,0.0,24
32360,Greece,2020-09-14,B.1.367,1,4.17,24
32361,Greece,2020-09-14,B.1.620,0,0.0,24
32362,Greece,2020-09-14,Beta,0,0.0,24
32363,Greece,2020-09-14,Delta,0,0.0,24
