,location,date,variant,num_sequences,perc_sequences,num_sequences_total
33168,Guatemala,2020-05-25,Alpha,0,0.0,3
33169,Guatemala,2020-05-25,B.1.1.277,0,0.0,3
33170,Guatemala,2020-05-25,B.1.1.302,0,0.0,3
33171,Guatemala,2020-05-25,B.1.1.519,0,0.0,3
33172,Guatemala,2020-05-25,B.1.160,0,0.0,3
33173,Guatemala,2020-05-25,B.1.177,0,0.0,3
33174,Guatemala,2020-05-25,B.1.221,0,0.0,3
33175,Guatemala,2020-05-25,B.1.258,0,0.0,3
33176,Guatemala,2020-05-25,B.1.367,0,0.0,3
33177,Guatemala,2020-05-25,B.1.620,0,0.0,3
33178,Guatemala,2020-05-25,Beta,0,0.0,3
33179,Guatemala,2020-05-25,Delta,0,0.0,3
33180,Guatemala,2020-05-25,Epsilon,0,0.0,3
33181,Guatemala,2020-05-25,Eta,0,0.0,3
33182,Guatemala,2020-05-25,Gamma,0,0.0,3
33183,Guatemala,2020-05-25,Iota,0,0.0,3
33184,Guatemala,2020-05-25,Kappa,0,0.0,3
33185,Guatemala,2020-05-25,Lambda,0,0.0,3
33186,Guatemala,2020-05-25,Mu,0,0.0,3
33187,Guatemala,2020-05-25,Omicron,0,0.0,3
33188,Guatemala,2020-05-25,S:677H.Robin1,0,0.0,3
33189,Guatemala,2020-05-25,S:677P.Pelican,0,0.0,3
33190,Guatemala,2020-05-25,others,3,100.0,3
33191,Guatemala,2020-05-25,non_who,3,100.0,3
33192,Guatemala,2020-06-08,Alpha,0,0.0,6
33193,Guatemala,2020-06-08,B.1.1.277,0,0.0,6
33194,Guatemala,2020-06-08,B.1.1.302,0,0.0,6
33195,Guatemala,2020-06-08,B.1.1.519,0,0.0,6
33196,Guatemala,2020-06-08,B.1.160,0,0.0,6
33197,Guatemala,2020-06-08,B.1.177,0,0.0,6
33198,Guatemala,2020-06-08,B.1.221,0,0.0,6
33199,Guatemala,2020-06-08,B.1.258,0,0.0,6
33200,Guatemala,2020-06-08,B.1.367,0,0.0,6
33201,Guatemala,2020-06-08,B.1.620,0,0.0,6
33202,Guatemala,2020-06-08,Beta,0,0.0,6
33203,Guatemala,2020-06-08,Delta,0,0.0,6
33204,Guatemala,2020-06-08,Epsilon,0,0.0,6
33205,Guatemala,2020-06-08,Eta,0,0.0,6
33206,Guatemala,2020-06-08,Gamma,0,0.0,6
33207,Guatemala,2020-06-08,Iota,0,0.0,6
33208,Guatemala,2020-06-08,Kappa,0,0.0,6
33209,Guatemala,2020-06-08,Lambda,0,0.0,6
33210,Guatemala,2020-06-08,Mu,0,0.0,6
33211,Guatemala,2020-06-08,Omicron,0,0.0,6
33212,Guatemala,2020-06-08,S:677H.Robin1,0,0.0,6
33213,Guatemala,2020-06-08,S:677P.Pelican,0,0.0,6
33214,Guatemala,2020-06-08,others,6,100.0,6
33215,Guatemala,2020-06-08,non_who,6,100.0,6
33216,Guatemala,2020-06-22,Alpha,0,0.0,19
33217,Guatemala,2020-06-22,B.1.1.277,0,0.0,19
33218,Guatemala,2020-06-22,B.1.1.302,0,0.0,19
33219,Guatemala,2020-06-22,B.1.1.519,0,0.0,19
33220,Guatemala,2020-06-22,B.1.160,0,0.0,19
33221,Guatemala,2020-06-22,B.1.177,0,0.0,19
33222,Guatemala,2020-06-22,B.1.221,0,0.0,19
33223,Guatemala,2020-06-22,B.1.258,0,0.0,19
33224,Guatemala,2020-06-22,B.1.367,0,0.0,19
33225,Guatemala,2020-06-22,B.1.620,0,0.0,19
33226,Guatemala,2020-06-22,Beta,0,0.0,19
33227,Guatemala,2020-06-22,Delta,0,0.0,19
33228,Guatemala,2020-06-22,Epsilon,0,0.0,19
33229,Guatemala,2020-06-22,Eta,0,0.0,19
33230,Guatemala,2020-06-22,Gamma,0,0.0,19
33231,Guatemala,2020-06-22,Iota,0,0.0,19
33232,Guatemala,2020-06-22,Kappa,0,0.0,19
