,location,date,variant,num_sequences,perc_sequences,num_sequences_total
34176,Hong Kong,2020-05-11,Alpha,0,0.0,3
34177,Hong Kong,2020-05-11,B.1.1.277,0,0.0,3
34178,Hong Kong,2020-05-11,B.1.1.302,0,0.0,3
34179,Hong Kong,2020-05-11,B.1.1.519,0,0.0,3
34180,Hong Kong,2020-05-11,B.1.160,0,0.0,3
34181,Hong Kong,2020-05-11,B.1.177,0,0.0,3
34182,Hong Kong,2020-05-11,B.1.221,0,0.0,3
34183,Hong Kong,2020-05-11,B.1.258,0,0.0,3
34184,Hong Kong,2020-05-11,B.1.367,0,0.0,3
34185,Hong Kong,2020-05-11,B.1.620,0,0.0,3
34186,Hong Kong,2020-05-11,Beta,0,0.0,3
34187,Hong Kong,2020-05-11,Delta,0,0.0,3
34188,Hong Kong,2020-05-11,Epsilon,0,0.0,3
34189,Hong Kong,2020-05-11,Eta,0,0.0,3
34190,Hong Kong,2020-05-11,Gamma,0,0.0,3
34191,Hong Kong,2020-05-11,Iota,0,0.0,3
34192,Hong Kong,2020-05-11,Kappa,0,0.0,3
34193,Hong Kong,2020-05-11,Lambda,0,0.0,3
34194,Hong Kong,2020-05-11,Mu,0,0.0,3
34195,Hong Kong,2020-05-11,Omicron,0,0.0,3
34196,Hong Kong,2020-05-11,S:677H.Robin1,0,0.0,3
34197,Hong Kong,2020-05-11,S:677P.Pelican,0,0.0,3
34198,Hong Kong,2020-05-11,others,3,100.0,3
34199,Hong Kong,2020-05-11,non_who,3,100.0,3
34200,Hong Kong,2020-05-25,Alpha,0,0.0,4
34201,Hong Kong,2020-05-25,B.1.1.277,0,0.0,4
34202,Hong Kong,2020-05-25,B.1.1.302,0,0.0,4
34203,Hong Kong,2020-05-25,B.1.1.519,0,0.0,4
34204,Hong Kong,2020-05-25,B.1.160,0,0.0,4
34205,Hong Kong,2020-05-25,B.1.177,0,0.0,4
34206,Hong Kong,2020-05-25,B.1.221,0,0.0,4
34207,Hong Kong,2020-05-25,B.1.258,0,0.0,4
34208,Hong Kong,2020-05-25,B.1.367,0,0.0,4
34209,Hong Kong,2020-05-25,B.1.620,0,0.0,4
34210,Hong Kong,2020-05-25,Beta,0,0.0,4
34211,Hong Kong,2020-05-25,Delta,0,0.0,4
34212,Hong Kong,2020-05-25,Epsilon,0,0.0,4
34213,Hong Kong,2020-05-25,Eta,0,0.0,4
34214,Hong Kong,2020-05-25,Gamma,0,0.0,4
34215,Hong Kong,2020-05-25,Iota,0,0.0,4
34216,Hong Kong,2020-05-25,Kappa,0,0.0,4
34217,Hong Kong,2020-05-25,Lambda,0,0.0,4
