,location,date,variant,num_sequences,perc_sequences,num_sequences_total
35640,Iceland,2020-08-03,Alpha,0,0.0,58
35641,Iceland,2020-08-03,B.1.1.277,1,1.72,58
35642,Iceland,2020-08-03,B.1.1.302,0,0.0,58
35643,Iceland,2020-08-03,B.1.1.519,0,0.0,58
35644,Iceland,2020-08-03,B.1.160,0,0.0,58
35645,Iceland,2020-08-03,B.1.177,0,0.0,58
35646,Iceland,2020-08-03,B.1.221,0,0.0,58
35647,Iceland,2020-08-03,B.1.258,0,0.0,58
35648,Iceland,2020-08-03,B.1.367,0,0.0,58
35649,Iceland,2020-08-03,B.1.620,0,0.0,58
35650,Iceland,2020-08-03,Beta,0,0.0,58
35651,Iceland,2020-08-03,Delta,0,0.0,58
35652,Iceland,2020-08-03,Epsilon,0,0.0,58
35653,Iceland,2020-08-03,Eta,0,0.0,58
35654,Iceland,2020-08-03,Gamma,0,0.0,58
35655,Iceland,2020-08-03,Iota,0,0.0,58
35656,Iceland,2020-08-03,Kappa,0,0.0,58
35657,Iceland,2020-08-03,Lambda,0,0.0,58
35658,Iceland,2020-08-03,Mu,0,0.0,58
35659,Iceland,2020-08-03,Omicron,0,0.0,58
35660,Iceland,2020-08-03,S:677H.Robin1,0,0.0,58
35661,Iceland,2020-08-03,S:677P.Pelican,0,0.0,58
35662,Iceland,2020-08-03,others,57,98.28,58
35663,Iceland,2020-08-03,non_who,58,100.0,58
35664,Iceland,2020-08-17,Alpha,0,0.0,86
35665,Iceland,2020-08-17,B.1.1.277,6,6.98,86
35666,Iceland,2020-08-17,B.1.1.302,0,0.0,86
35667,Iceland,2020-08-17,B.1.1.519,0,0.0,86
35668,Iceland,2020-08-17,B.1.160,0,0.0,86
35669,Iceland,2020-08-17,B.1.177,2,2.33,86
35670,Iceland,2020-08-17,B.1.221,0,0.0,86
35671,Iceland,2020-08-17,B.1.258,2,2.33,86
35672,Iceland,2020-08-17,B.1.367,0,0.0,86
35673,Iceland,2020-08-17,B.1.620,0,0.0,86
35674,Iceland,2020-08-17,Beta,0,0.0,86
35675,Iceland,2020-08-17,Delta,0,0.0,86
35676,Iceland,2020-08-17,Epsilon,0,0.0,86
35677,Iceland,2020-08-17,Eta,0,0.0,86
35678,Iceland,2020-08-17,Gamma,0,0.0,86
35679,Iceland,2020-08-17,Iota,0,0.0,86
35680,Iceland,2020-08-17,Kappa,0,0.0,86
35681,Iceland,2020-08-17,Lambda,0,0.0,86
35682,Iceland,2020-08-17,Mu,0,0.0,86
35683,Iceland,2020-08-17,Omicron,0,0.0,86
35684,Iceland,2020-08-17,S:677H.Robin1,0,0.0,86
35685,Iceland,2020-08-17,S:677P.Pelican,0,0.0,86
35686,Iceland,2020-08-17,others,76,88.36,86
35687,Iceland,2020-08-17,non_who,86,100.0,86
35688,Iceland,2020-08-31,Alpha,0,0.0,80
35689,Iceland,2020-08-31,B.1.1.277,2,2.5,80
35690,Iceland,2020-08-31,B.1.1.302,0,0.0,80
35691,Iceland,2020-08-31,B.1.1.519,0,0.0,80
35692,Iceland,2020-08-31,B.1.160,4,5.0,80
35693,Iceland,2020-08-31,B.1.177,7,8.75,80
35694,Iceland,2020-08-31,B.1.221,0,0.0,80
35695,Iceland,2020-08-31,B.1.258,0,0.0,80
35696,Iceland,2020-08-31,B.1.367,1,1.25,80
35697,Iceland,2020-08-31,B.1.620,0,0.0,80
35698,Iceland,2020-08-31,Beta,0,0.0,80
35699,Iceland,2020-08-31,Delta,0,0.0,80
35700,Iceland,2020-08-31,Epsilon,0,0.0,80
35701,Iceland,2020-08-31,Eta,0,0.0,80
35702,Iceland,2020-08-31,Gamma,0,0.0,80
35703,Iceland,2020-08-31,Iota,0,0.0,80
35704,Iceland,2020-08-31,Kappa,0,0.0,80
35705,Iceland,2020-08-31,Lambda,0,0.0,80
35706,Iceland,2020-08-31,Mu,0,0.0,80
35707,Iceland,2020-08-31,Omicron,0,0.0,80
35708,Iceland,2020-08-31,S:677H.Robin1,0,0.0,80
35709,Iceland,2020-08-31,S:677P.Pelican,0,0.0,80
35710,Iceland,2020-08-31,others,66,82.5,80
35711,Iceland,2020-08-31,non_who,80,100.0,80
35712,Iceland,2020-09-14,Alpha,0,0.0,47
35713,Iceland,2020-09-14,B.1.1.277,3,6.38,47
35714,Iceland,2020-09-14,B.1.1.302,0,0.0,47
35715,Iceland,2020-09-14,B.1.1.519,0,0.0,47
35716,Iceland,2020-09-14,B.1.160,4,8.51,47
35717,Iceland,2020-09-14,B.1.177,7,14.89,47
35718,Iceland,2020-09-14,B.1.221,0,0.0,47
35719,Iceland,2020-09-14,B.1.258,3,6.38,47
35720,Iceland,2020-09-14,B.1.367,0,0.0,47
35721,Iceland,2020-09-14,B.1.620,0,0.0,47
35722,Iceland,2020-09-14,Beta,0,0.0,47
35723,Iceland,2020-09-14,Delta,0,0.0,47
35724,Iceland,2020-09-14,Epsilon,0,0.0,47
35725,Iceland,2020-09-14,Eta,0,0.0,47
35726,Iceland,2020-09-14,Gamma,0,0.0,47
35727,Iceland,2020-09-14,Iota,0,0.0,47
35728,Iceland,2020-09-14,Kappa,0,0.0,47
35729,Iceland,2020-09-14,Lambda,0,0.0,47
35730,Iceland,2020-09-14,Mu,0,0.0,47
35731,Iceland,2020-09-14,Omicron,0,0.0,47
35732,Iceland,2020-09-14,S:677H.Robin1,0,0.0,47
35733,Iceland,2020-09-14,S:677P.Pelican,0,0.0,47
35734,Iceland,2020-09-14,others,30,63.84,47
35735,Iceland,2020-09-14,non_who,47,100.0,47
35736,Iceland,2020-09-28,Alpha,0,0.0,468
35737,Iceland,2020-09-28,B.1.1.277,0,0.0,468
35738,Iceland,2020-09-28,B.1.1.302,0,0.0,468
35739,Iceland,2020-09-28,B.1.1.519,0,0.0,468
35740,Iceland,2020-09-28,B.1.160,2,0.43,468
35741,Iceland,2020-09-28,B.1.177,391,83.55,468
35742,Iceland,2020-09-28,B.1.221,1,0.21,468
35743,Iceland,2020-09-28,B.1.258,8,1.71,468
35744,Iceland,2020-09-28,B.1.367,0,0.0,468
35745,Iceland,2020-09-28,B.1.620,0,0.0,468
35746,Iceland,2020-09-28,Beta,0,0.0,468
35747,Iceland,2020-09-28,Delta,0,0.0,468
35748,Iceland,2020-09-28,Epsilon,0,0.0,468
35749,Iceland,2020-09-28,Eta,0,0.0,468
35750,Iceland,2020-09-28,Gamma,0,0.0,468
35751,Iceland,2020-09-28,Iota,0,0.0,468
35752,Iceland,2020-09-28,Kappa,0,0.0,468
35753,Iceland,2020-09-28,Lambda,0,0.0,468
35754,Iceland,2020-09-28,Mu,0,0.0,468
35755,Iceland,2020-09-28,Omicron,0,0.0,468
35756,Iceland,2020-09-28,S:677H.Robin1,0,0.0,468
35757,Iceland,2020-09-28,S:677P.Pelican,0,0.0,468
35758,Iceland,2020-09-28,others,66,14.1,468
35759,Iceland,2020-09-28,non_who,468,100.0,468
35760,Iceland,2020-10-12,Alpha,0,0.0,867
35761,Iceland,2020-10-12,B.1.1.277,1,0.12,867
35762,Iceland,2020-10-12,B.1.1.302,0,0.0,867
35763,Iceland,2020-10-12,B.1.1.519,0,0.0,867
