,location,date,variant,num_sequences,perc_sequences,num_sequences_total
36360,India,2020-05-11,Alpha,0,0.0,471
36361,India,2020-05-11,B.1.1.277,0,0.0,471
36362,India,2020-05-11,B.1.1.302,0,0.0,471
36363,India,2020-05-11,B.1.1.519,0,0.0,471
36364,India,2020-05-11,B.1.160,0,0.0,471
36365,India,2020-05-11,B.1.177,0,0.0,471
36366,India,2020-05-11,B.1.221,0,0.0,471
36367,India,2020-05-11,B.1.258,0,0.0,471
36368,India,2020-05-11,B.1.367,0,0.0,471
36369,India,2020-05-11,B.1.620,0,0.0,471
36370,India,2020-05-11,Beta,0,0.0,471
36371,India,2020-05-11,Delta,0,0.0,471
36372,India,2020-05-11,Epsilon,0,0.0,471
36373,India,2020-05-11,Eta,0,0.0,471
36374,India,2020-05-11,Gamma,0,0.0,471
36375,India,2020-05-11,Iota,0,0.0,471
36376,India,2020-05-11,Kappa,0,0.0,471
36377,India,2020-05-11,Lambda,0,0.0,471
36378,India,2020-05-11,Mu,0,0.0,471
36379,India,2020-05-11,Omicron,0,0.0,471
36380,India,2020-05-11,S:677H.Robin1,0,0.0,471
36381,India,2020-05-11,S:677P.Pelican,0,0.0,471
36382,India,2020-05-11,others,471,100.0,471
36383,India,2020-05-11,non_who,471,100.0,471
36384,India,2020-05-25,Alpha,0,0.0,649
36385,India,2020-05-25,B.1.1.277,0,0.0,649
36386,India,2020-05-25,B.1.1.302,0,0.0,649
36387,India,2020-05-25,B.1.1.519,0,0.0,649
36388,India,2020-05-25,B.1.160,0,0.0,649
36389,India,2020-05-25,B.1.177,0,0.0,649
36390,India,2020-05-25,B.1.221,0,0.0,649
36391,India,2020-05-25,B.1.258,0,0.0,649
36392,India,2020-05-25,B.1.367,0,0.0,649
36393,India,2020-05-25,B.1.620,0,0.0,649
36394,India,2020-05-25,Beta,0,0.0,649
36395,India,2020-05-25,Delta,0,0.0,649
36396,India,2020-05-25,Epsilon,0,0.0,649
36397,India,2020-05-25,Eta,0,0.0,649
36398,India,2020-05-25,Gamma,0,0.0,649
36399,India,2020-05-25,Iota,0,0.0,649
36400,India,2020-05-25,Kappa,0,0.0,649
36401,India,2020-05-25,Lambda,0,0.0,649
36402,India,2020-05-25,Mu,0,0.0,649
36403,India,2020-05-25,Omicron,0,0.0,649
36404,India,2020-05-25,S:677H.Robin1,0,0.0,649
36405,India,2020-05-25,S:677P.Pelican,0,0.0,649
36406,India,2020-05-25,others,649,100.0,649
36407,India,2020-05-25,non_who,649,100.0,649
36408,India,2020-06-08,Alpha,0,0.0,617
36409,India,2020-06-08,B.1.1.277,0,0.0,617
36410,India,2020-06-08,B.1.1.302,0,0.0,617
36411,India,2020-06-08,B.1.1.519,0,0.0,617
36412,India,2020-06-08,B.1.160,0,0.0,617
36413,India,2020-06-08,B.1.177,0,0.0,617
36414,India,2020-06-08,B.1.221,0,0.0,617
36415,India,2020-06-08,B.1.258,0,0.0,617
36416,India,2020-06-08,B.1.367,0,0.0,617
36417,India,2020-06-08,B.1.620,0,0.0,617
36418,India,2020-06-08,Beta,0,0.0,617
36419,India,2020-06-08,Delta,0,0.0,617
36420,India,2020-06-08,Epsilon,0,0.0,617
36421,India,2020-06-08,Eta,0,0.0,617
36422,India,2020-06-08,Gamma,0,0.0,617
36423,India,2020-06-08,Iota,0,0.0,617
36424,India,2020-06-08,Kappa,0,0.0,617
36425,India,2020-06-08,Lambda,0,0.0,617
36426,India,2020-06-08,Mu,0,0.0,617
36427,India,2020-06-08,Omicron,0,0.0,617
36428,India,2020-06-08,S:677H.Robin1,0,0.0,617
36429,India,2020-06-08,S:677P.Pelican,0,0.0,617
36430,India,2020-06-08,others,617,100.0,617
36431,India,2020-06-08,non_who,617,100.0,617
36432,India,2020-06-22,Alpha,0,0.0,766
36433,India,2020-06-22,B.1.1.277,0,0.0,766
36434,India,2020-06-22,B.1.1.302,0,0.0,766
36435,India,2020-06-22,B.1.1.519,0,0.0,766
36436,India,2020-06-22,B.1.160,0,0.0,766
36437,India,2020-06-22,B.1.177,0,0.0,766
36438,India,2020-06-22,B.1.221,0,0.0,766
36439,India,2020-06-22,B.1.258,0,0.0,766
36440,India,2020-06-22,B.1.367,0,0.0,766
36441,India,2020-06-22,B.1.620,0,0.0,766
36442,India,2020-06-22,Beta,0,0.0,766
36443,India,2020-06-22,Delta,0,0.0,766
36444,India,2020-06-22,Epsilon,0,0.0,766
