,location,date,variant,num_sequences,perc_sequences,num_sequences_total
38472,Iran,2020-05-11,Alpha,0,0.0,12
38473,Iran,2020-05-11,B.1.1.277,0,0.0,12
38474,Iran,2020-05-11,B.1.1.302,0,0.0,12
38475,Iran,2020-05-11,B.1.1.519,0,0.0,12
38476,Iran,2020-05-11,B.1.160,0,0.0,12
38477,Iran,2020-05-11,B.1.177,0,0.0,12
38478,Iran,2020-05-11,B.1.221,0,0.0,12
38479,Iran,2020-05-11,B.1.258,0,0.0,12
38480,Iran,2020-05-11,B.1.367,0,0.0,12
38481,Iran,2020-05-11,B.1.620,0,0.0,12
38482,Iran,2020-05-11,Beta,0,0.0,12
38483,Iran,2020-05-11,Delta,0,0.0,12
38484,Iran,2020-05-11,Epsilon,0,0.0,12
38485,Iran,2020-05-11,Eta,0,0.0,12
38486,Iran,2020-05-11,Gamma,0,0.0,12
38487,Iran,2020-05-11,Iota,0,0.0,12
38488,Iran,2020-05-11,Kappa,0,0.0,12
38489,Iran,2020-05-11,Lambda,0,0.0,12
38490,Iran,2020-05-11,Mu,0,0.0,12
38491,Iran,2020-05-11,Omicron,0,0.0,12
38492,Iran,2020-05-11,S:677H.Robin1,0,0.0,12
38493,Iran,2020-05-11,S:677P.Pelican,0,0.0,12
38494,Iran,2020-05-11,others,12,100.0,12
38495,Iran,2020-05-11,non_who,12,100.0,12
38496,Iran,2020-05-25,Alpha,0,0.0,8
38497,Iran,2020-05-25,B.1.1.277,0,0.0,8
38498,Iran,2020-05-25,B.1.1.302,0,0.0,8
38499,Iran,2020-05-25,B.1.1.519,0,0.0,8
38500,Iran,2020-05-25,B.1.160,0,0.0,8
38501,Iran,2020-05-25,B.1.177,0,0.0,8
38502,Iran,2020-05-25,B.1.221,0,0.0,8
38503,Iran,2020-05-25,B.1.258,0,0.0,8
38504,Iran,2020-05-25,B.1.367,0,0.0,8
38505,Iran,2020-05-25,B.1.620,0,0.0,8
38506,Iran,2020-05-25,Beta,0,0.0,8
38507,Iran,2020-05-25,Delta,0,0.0,8
38508,Iran,2020-05-25,Epsilon,0,0.0,8
38509,Iran,2020-05-25,Eta,0,0.0,8
38510,Iran,2020-05-25,Gamma,0,0.0,8
38511,Iran,2020-05-25,Iota,0,0.0,8
38512,Iran,2020-05-25,Kappa,0,0.0,8
38513,Iran,2020-05-25,Lambda,0,0.0,8
38514,Iran,2020-05-25,Mu,0,0.0,8
38515,Iran,2020-05-25,Omicron,0,0.0,8
38516,Iran,2020-05-25,S:677H.Robin1,0,0.0,8
38517,Iran,2020-05-25,S:677P.Pelican,0,0.0,8
38518,Iran,2020-05-25,others,8,100.0,8
38519,Iran,2020-05-25,non_who,8,100.0,8
38520,Iran,2020-06-08,Alpha,0,0.0,5
38521,Iran,2020-06-08,B.1.1.277,0,0.0,5
38522,Iran,2020-06-08,B.1.1.302,0,0.0,5
38523,Iran,2020-06-08,B.1.1.519,0,0.0,5
38524,Iran,2020-06-08,B.1.160,0,0.0,5
38525,Iran,2020-06-08,B.1.177,0,0.0,5
38526,Iran,2020-06-08,B.1.221,0,0.0,5
38527,Iran,2020-06-08,B.1.258,0,0.0,5
38528,Iran,2020-06-08,B.1.367,0,0.0,5
38529,Iran,2020-06-08,B.1.620,0,0.0,5
38530,Iran,2020-06-08,Beta,0,0.0,5
38531,Iran,2020-06-08,Delta,0,0.0,5
38532,Iran,2020-06-08,Epsilon,0,0.0,5
38533,Iran,2020-06-08,Eta,0,0.0,5
