,location,date,variant,num_sequences,perc_sequences,num_sequences_total
39720,Ireland,2020-05-11,Alpha,0,0.0,115
39721,Ireland,2020-05-11,B.1.1.277,0,0.0,115
39722,Ireland,2020-05-11,B.1.1.302,0,0.0,115
39723,Ireland,2020-05-11,B.1.1.519,0,0.0,115
39724,Ireland,2020-05-11,B.1.160,0,0.0,115
39725,Ireland,2020-05-11,B.1.177,0,0.0,115
39726,Ireland,2020-05-11,B.1.221,0,0.0,115
39727,Ireland,2020-05-11,B.1.258,0,0.0,115
39728,Ireland,2020-05-11,B.1.367,0,0.0,115
39729,Ireland,2020-05-11,B.1.620,0,0.0,115
39730,Ireland,2020-05-11,Beta,0,0.0,115
39731,Ireland,2020-05-11,Delta,0,0.0,115
39732,Ireland,2020-05-11,Epsilon,0,0.0,115
39733,Ireland,2020-05-11,Eta,0,0.0,115
39734,Ireland,2020-05-11,Gamma,0,0.0,115
39735,Ireland,2020-05-11,Iota,0,0.0,115
39736,Ireland,2020-05-11,Kappa,0,0.0,115
39737,Ireland,2020-05-11,Lambda,0,0.0,115
39738,Ireland,2020-05-11,Mu,0,0.0,115
39739,Ireland,2020-05-11,Omicron,0,0.0,115
39740,Ireland,2020-05-11,S:677H.Robin1,0,0.0,115
39741,Ireland,2020-05-11,S:677P.Pelican,0,0.0,115
39742,Ireland,2020-05-11,others,115,100.0,115
39743,Ireland,2020-05-11,non_who,115,100.0,115
39744,Ireland,2020-05-25,Alpha,0,0.0,43
39745,Ireland,2020-05-25,B.1.1.277,0,0.0,43
39746,Ireland,2020-05-25,B.1.1.302,0,0.0,43
39747,Ireland,2020-05-25,B.1.1.519,0,0.0,43
39748,Ireland,2020-05-25,B.1.160,0,0.0,43
39749,Ireland,2020-05-25,B.1.177,0,0.0,43
39750,Ireland,2020-05-25,B.1.221,0,0.0,43
39751,Ireland,2020-05-25,B.1.258,0,0.0,43
39752,Ireland,2020-05-25,B.1.367,0,0.0,43
39753,Ireland,2020-05-25,B.1.620,0,0.0,43
39754,Ireland,2020-05-25,Beta,0,0.0,43
39755,Ireland,2020-05-25,Delta,0,0.0,43
39756,Ireland,2020-05-25,Epsilon,0,0.0,43
39757,Ireland,2020-05-25,Eta,0,0.0,43
39758,Ireland,2020-05-25,Gamma,0,0.0,43
39759,Ireland,2020-05-25,Iota,0,0.0,43
39760,Ireland,2020-05-25,Kappa,0,0.0,43
39761,Ireland,2020-05-25,Lambda,0,0.0,43
39762,Ireland,2020-05-25,Mu,0,0.0,43
39763,Ireland,2020-05-25,Omicron,0,0.0,43
39764,Ireland,2020-05-25,S:677H.Robin1,0,0.0,43
39765,Ireland,2020-05-25,S:677P.Pelican,0,0.0,43
39766,Ireland,2020-05-25,others,43,100.0,43
39767,Ireland,2020-05-25,non_who,43,100.0,43
39768,Ireland,2020-06-08,Alpha,0,0.0,8
39769,Ireland,2020-06-08,B.1.1.277,0,0.0,8
39770,Ireland,2020-06-08,B.1.1.302,0,0.0,8
39771,Ireland,2020-06-08,B.1.1.519,0,0.0,8
39772,Ireland,2020-06-08,B.1.160,0,0.0,8
39773,Ireland,2020-06-08,B.1.177,0,0.0,8
39774,Ireland,2020-06-08,B.1.221,0,0.0,8
39775,Ireland,2020-06-08,B.1.258,0,0.0,8
39776,Ireland,2020-06-08,B.1.367,0,0.0,8
39777,Ireland,2020-06-08,B.1.620,0,0.0,8
39778,Ireland,2020-06-08,Beta,0,0.0,8
39779,Ireland,2020-06-08,Delta,0,0.0,8
39780,Ireland,2020-06-08,Epsilon,0,0.0,8
39781,Ireland,2020-06-08,Eta,0,0.0,8
39782,Ireland,2020-06-08,Gamma,0,0.0,8
39783,Ireland,2020-06-08,Iota,0,0.0,8
39784,Ireland,2020-06-08,Kappa,0,0.0,8
39785,Ireland,2020-06-08,Lambda,0,0.0,8
39786,Ireland,2020-06-08,Mu,0,0.0,8
39787,Ireland,2020-06-08,Omicron,0,0.0,8
39788,Ireland,2020-06-08,S:677H.Robin1,0,0.0,8
39789,Ireland,2020-06-08,S:677P.Pelican,0,0.0,8
39790,Ireland,2020-06-08,others,8,100.0,8
39791,Ireland,2020-06-08,non_who,8,100.0,8
39792,Ireland,2020-06-22,Alpha,0,0.0,5
39793,Ireland,2020-06-22,B.1.1.277,0,0.0,5
39794,Ireland,2020-06-22,B.1.1.302,0,0.0,5
39795,Ireland,2020-06-22,B.1.1.519,0,0.0,5
39796,Ireland,2020-06-22,B.1.160,0,0.0,5
39797,Ireland,2020-06-22,B.1.177,0,0.0,5
39798,Ireland,2020-06-22,B.1.221,0,0.0,5
39799,Ireland,2020-06-22,B.1.258,0,0.0,5
39800,Ireland,2020-06-22,B.1.367,0,0.0,5
39801,Ireland,2020-06-22,B.1.620,0,0.0,5
39802,Ireland,2020-06-22,Beta,0,0.0,5
39803,Ireland,2020-06-22,Delta,0,0.0,5
39804,Ireland,2020-06-22,Epsilon,0,0.0,5
39805,Ireland,2020-06-22,Eta,0,0.0,5
39806,Ireland,2020-06-22,Gamma,0,0.0,5
39807,Ireland,2020-06-22,Iota,0,0.0,5
39808,Ireland,2020-06-22,Kappa,0,0.0,5
39809,Ireland,2020-06-22,Lambda,0,0.0,5
39810,Ireland,2020-06-22,Mu,0,0.0,5
39811,Ireland,2020-06-22,Omicron,0,0.0,5
39812,Ireland,2020-06-22,S:677H.Robin1,0,0.0,5
39813,Ireland,2020-06-22,S:677P.Pelican,0,0.0,5
39814,Ireland,2020-06-22,others,5,100.0,5
39815,Ireland,2020-06-22,non_who,5,100.0,5
39816,Ireland,2020-07-06,Alpha,0,0.0,9
39817,Ireland,2020-07-06,B.1.1.277,0,0.0,9
39818,Ireland,2020-07-06,B.1.1.302,0,0.0,9
39819,Ireland,2020-07-06,B.1.1.519,0,0.0,9
39820,Ireland,2020-07-06,B.1.160,0,0.0,9
39821,Ireland,2020-07-06,B.1.177,0,0.0,9
39822,Ireland,2020-07-06,B.1.221,0,0.0,9
39823,Ireland,2020-07-06,B.1.258,0,0.0,9
39824,Ireland,2020-07-06,B.1.367,0,0.0,9
39825,Ireland,2020-07-06,B.1.620,0,0.0,9
39826,Ireland,2020-07-06,Beta,0,0.0,9
39827,Ireland,2020-07-06,Delta,0,0.0,9
39828,Ireland,2020-07-06,Epsilon,0,0.0,9
39829,Ireland,2020-07-06,Eta,0,0.0,9
39830,Ireland,2020-07-06,Gamma,0,0.0,9
39831,Ireland,2020-07-06,Iota,0,0.0,9
39832,Ireland,2020-07-06,Kappa,0,0.0,9
39833,Ireland,2020-07-06,Lambda,0,0.0,9
39834,Ireland,2020-07-06,Mu,0,0.0,9
39835,Ireland,2020-07-06,Omicron,0,0.0,9
39836,Ireland,2020-07-06,S:677H.Robin1,0,0.0,9
39837,Ireland,2020-07-06,S:677P.Pelican,0,0.0,9
39838,Ireland,2020-07-06,others,9,100.0,9
39839,Ireland,2020-07-06,non_who,9,100.0,9
