,location,date,variant,num_sequences,perc_sequences,num_sequences_total
40752,Israel,2020-05-11,Alpha,0,0.0,8
40753,Israel,2020-05-11,B.1.1.277,0,0.0,8
40754,Israel,2020-05-11,B.1.1.302,0,0.0,8
40755,Israel,2020-05-11,B.1.1.519,0,0.0,8
40756,Israel,2020-05-11,B.1.160,0,0.0,8
40757,Israel,2020-05-11,B.1.177,0,0.0,8
40758,Israel,2020-05-11,B.1.221,0,0.0,8
40759,Israel,2020-05-11,B.1.258,0,0.0,8
40760,Israel,2020-05-11,B.1.367,0,0.0,8
40761,Israel,2020-05-11,B.1.620,0,0.0,8
40762,Israel,2020-05-11,Beta,0,0.0,8
40763,Israel,2020-05-11,Delta,0,0.0,8
40764,Israel,2020-05-11,Epsilon,0,0.0,8
40765,Israel,2020-05-11,Eta,0,0.0,8
40766,Israel,2020-05-11,Gamma,0,0.0,8
40767,Israel,2020-05-11,Iota,0,0.0,8
40768,Israel,2020-05-11,Kappa,0,0.0,8
40769,Israel,2020-05-11,Lambda,0,0.0,8
40770,Israel,2020-05-11,Mu,0,0.0,8
40771,Israel,2020-05-11,Omicron,0,0.0,8
40772,Israel,2020-05-11,S:677H.Robin1,0,0.0,8
40773,Israel,2020-05-11,S:677P.Pelican,0,0.0,8
40774,Israel,2020-05-11,others,8,100.0,8
40775,Israel,2020-05-11,non_who,8,100.0,8
40776,Israel,2020-05-25,Alpha,0,0.0,4
40777,Israel,2020-05-25,B.1.1.277,0,0.0,4
40778,Israel,2020-05-25,B.1.1.302,0,0.0,4
40779,Israel,2020-05-25,B.1.1.519,0,0.0,4
40780,Israel,2020-05-25,B.1.160,0,0.0,4
40781,Israel,2020-05-25,B.1.177,0,0.0,4
40782,Israel,2020-05-25,B.1.221,0,0.0,4
40783,Israel,2020-05-25,B.1.258,0,0.0,4
40784,Israel,2020-05-25,B.1.367,0,0.0,4
40785,Israel,2020-05-25,B.1.620,0,0.0,4
40786,Israel,2020-05-25,Beta,0,0.0,4
40787,Israel,2020-05-25,Delta,0,0.0,4
40788,Israel,2020-05-25,Epsilon,0,0.0,4
40789,Israel,2020-05-25,Eta,0,0.0,4
40790,Israel,2020-05-25,Gamma,0,0.0,4
40791,Israel,2020-05-25,Iota,0,0.0,4
40792,Israel,2020-05-25,Kappa,0,0.0,4
40793,Israel,2020-05-25,Lambda,0,0.0,4
40794,Israel,2020-05-25,Mu,0,0.0,4
40795,Israel,2020-05-25,Omicron,0,0.0,4
40796,Israel,2020-05-25,S:677H.Robin1,0,0.0,4
40797,Israel,2020-05-25,S:677P.Pelican,0,0.0,4
40798,Israel,2020-05-25,others,4,100.0,4
40799,Israel,2020-05-25,non_who,4,100.0,4
40800,Israel,2020-06-08,Alpha,0,0.0,18
40801,Israel,2020-06-08,B.1.1.277,0,0.0,18
40802,Israel,2020-06-08,B.1.1.302,0,0.0,18
40803,Israel,2020-06-08,B.1.1.519,0,0.0,18
40804,Israel,2020-06-08,B.1.160,0,0.0,18
40805,Israel,2020-06-08,B.1.177,0,0.0,18
40806,Israel,2020-06-08,B.1.221,0,0.0,18
40807,Israel,2020-06-08,B.1.258,0,0.0,18
