,location,date,variant,num_sequences,perc_sequences,num_sequences_total
41760,Italy,2020-05-11,Alpha,0,0.0,128
41761,Italy,2020-05-11,B.1.1.277,0,0.0,128
41762,Italy,2020-05-11,B.1.1.302,0,0.0,128
41763,Italy,2020-05-11,B.1.1.519,0,0.0,128
41764,Italy,2020-05-11,B.1.160,0,0.0,128
41765,Italy,2020-05-11,B.1.177,0,0.0,128
41766,Italy,2020-05-11,B.1.221,0,0.0,128
41767,Italy,2020-05-11,B.1.258,0,0.0,128
41768,Italy,2020-05-11,B.1.367,0,0.0,128
41769,Italy,2020-05-11,B.1.620,0,0.0,128
41770,Italy,2020-05-11,Beta,0,0.0,128
41771,Italy,2020-05-11,Delta,0,0.0,128
41772,Italy,2020-05-11,Epsilon,0,0.0,128
41773,Italy,2020-05-11,Eta,0,0.0,128
41774,Italy,2020-05-11,Gamma,0,0.0,128
41775,Italy,2020-05-11,Iota,0,0.0,128
41776,Italy,2020-05-11,Kappa,0,0.0,128
41777,Italy,2020-05-11,Lambda,0,0.0,128
41778,Italy,2020-05-11,Mu,0,0.0,128
41779,Italy,2020-05-11,Omicron,0,0.0,128
41780,Italy,2020-05-11,S:677H.Robin1,0,0.0,128
41781,Italy,2020-05-11,S:677P.Pelican,0,0.0,128
41782,Italy,2020-05-11,others,128,100.0,128
41783,Italy,2020-05-11,non_who,128,100.0,128
41784,Italy,2020-05-25,Alpha,0,0.0,51
41785,Italy,2020-05-25,B.1.1.277,0,0.0,51
41786,Italy,2020-05-25,B.1.1.302,0,0.0,51
41787,Italy,2020-05-25,B.1.1.519,0,0.0,51
41788,Italy,2020-05-25,B.1.160,0,0.0,51
41789,Italy,2020-05-25,B.1.177,0,0.0,51
41790,Italy,2020-05-25,B.1.221,0,0.0,51
41791,Italy,2020-05-25,B.1.258,0,0.0,51
41792,Italy,2020-05-25,B.1.367,0,0.0,51
41793,Italy,2020-05-25,B.1.620,0,0.0,51
41794,Italy,2020-05-25,Beta,0,0.0,51
41795,Italy,2020-05-25,Delta,0,0.0,51
41796,Italy,2020-05-25,Epsilon,0,0.0,51
41797,Italy,2020-05-25,Eta,0,0.0,51
41798,Italy,2020-05-25,Gamma,0,0.0,51
41799,Italy,2020-05-25,Iota,0,0.0,51
41800,Italy,2020-05-25,Kappa,0,0.0,51
41801,Italy,2020-05-25,Lambda,0,0.0,51
41802,Italy,2020-05-25,Mu,0,0.0,51
41803,Italy,2020-05-25,Omicron,0,0.0,51
41804,Italy,2020-05-25,S:677H.Robin1,0,0.0,51
41805,Italy,2020-05-25,S:677P.Pelican,0,0.0,51
41806,Italy,2020-05-25,others,51,100.0,51
41807,Italy,2020-05-25,non_who,51,100.0,51
41808,Italy,2020-06-08,Alpha,0,0.0,35
41809,Italy,2020-06-08,B.1.1.277,0,0.0,35
41810,Italy,2020-06-08,B.1.1.302,0,0.0,35
41811,Italy,2020-06-08,B.1.1.519,0,0.0,35
41812,Italy,2020-06-08,B.1.160,0,0.0,35
41813,Italy,2020-06-08,B.1.177,0,0.0,35
41814,Italy,2020-06-08,B.1.221,0,0.0,35
41815,Italy,2020-06-08,B.1.258,0,0.0,35
41816,Italy,2020-06-08,B.1.367,0,0.0,35
41817,Italy,2020-06-08,B.1.620,0,0.0,35
41818,Italy,2020-06-08,Beta,0,0.0,35
41819,Italy,2020-06-08,Delta,0,0.0,35
41820,Italy,2020-06-08,Epsilon,0,0.0,35
41821,Italy,2020-06-08,Eta,0,0.0,35
41822,Italy,2020-06-08,Gamma,0,0.0,35
41823,Italy,2020-06-08,Iota,0,0.0,35
41824,Italy,2020-06-08,Kappa,0,0.0,35
41825,Italy,2020-06-08,Lambda,0,0.0,35
41826,Italy,2020-06-08,Mu,0,0.0,35
41827,Italy,2020-06-08,Omicron,0,0.0,35
41828,Italy,2020-06-08,S:677H.Robin1,0,0.0,35
41829,Italy,2020-06-08,S:677P.Pelican,0,0.0,35
41830,Italy,2020-06-08,others,35,100.0,35
41831,Italy,2020-06-08,non_who,35,100.0,35
41832,Italy,2020-06-22,Alpha,0,0.0,51
41833,Italy,2020-06-22,B.1.1.277,0,0.0,51
41834,Italy,2020-06-22,B.1.1.302,0,0.0,51
41835,Italy,2020-06-22,B.1.1.519,0,0.0,51
41836,Italy,2020-06-22,B.1.160,0,0.0,51
41837,Italy,2020-06-22,B.1.177,0,0.0,51
41838,Italy,2020-06-22,B.1.221,0,0.0,51
41839,Italy,2020-06-22,B.1.258,0,0.0,51
41840,Italy,2020-06-22,B.1.367,0,0.0,51
41841,Italy,2020-06-22,B.1.620,0,0.0,51
41842,Italy,2020-06-22,Beta,0,0.0,51
41843,Italy,2020-06-22,Delta,0,0.0,51
41844,Italy,2020-06-22,Epsilon,0,0.0,51
41845,Italy,2020-06-22,Eta,0,0.0,51
41846,Italy,2020-06-22,Gamma,0,0.0,51
41847,Italy,2020-06-22,Iota,0,0.0,51
41848,Italy,2020-06-22,Kappa,0,0.0,51
41849,Italy,2020-06-22,Lambda,0,0.0,51
41850,Italy,2020-06-22,Mu,0,0.0,51
41851,Italy,2020-06-22,Omicron,0,0.0,51
41852,Italy,2020-06-22,S:677H.Robin1,0,0.0,51
41853,Italy,2020-06-22,S:677P.Pelican,0,0.0,51
41854,Italy,2020-06-22,others,51,100.0,51
41855,Italy,2020-06-22,non_who,51,100.0,51
41856,Italy,2020-07-06,Alpha,0,0.0,109
41857,Italy,2020-07-06,B.1.1.277,0,0.0,109
41858,Italy,2020-07-06,B.1.1.302,0,0.0,109
41859,Italy,2020-07-06,B.1.1.519,0,0.0,109
41860,Italy,2020-07-06,B.1.160,0,0.0,109
41861,Italy,2020-07-06,B.1.177,0,0.0,109
41862,Italy,2020-07-06,B.1.221,0,0.0,109
41863,Italy,2020-07-06,B.1.258,0,0.0,109
41864,Italy,2020-07-06,B.1.367,0,0.0,109
41865,Italy,2020-07-06,B.1.620,0,0.0,109
41866,Italy,2020-07-06,Beta,0,0.0,109
41867,Italy,2020-07-06,Delta,0,0.0,109
41868,Italy,2020-07-06,Epsilon,0,0.0,109
41869,Italy,2020-07-06,Eta,0,0.0,109
41870,Italy,2020-07-06,Gamma,0,0.0,109
41871,Italy,2020-07-06,Iota,0,0.0,109
41872,Italy,2020-07-06,Kappa,0,0.0,109
41873,Italy,2020-07-06,Lambda,0,0.0,109
41874,Italy,2020-07-06,Mu,0,0.0,109
41875,Italy,2020-07-06,Omicron,0,0.0,109
41876,Italy,2020-07-06,S:677H.Robin1,0,0.0,109
41877,Italy,2020-07-06,S:677P.Pelican,0,0.0,109
41878,Italy,2020-07-06,others,109,100.0,109
41879,Italy,2020-07-06,non_who,109,100.0,109
41880,Italy,2020-07-20,Alpha,0,0.0,33
41881,Italy,2020-07-20,B.1.1.277,0,0.0,33
41882,Italy,2020-07-20,B.1.1.302,0,0.0,33
41883,Italy,2020-07-20,B.1.1.519,0,0.0,33
41884,Italy,2020-07-20,B.1.160,0,0.0,33
41885,Italy,2020-07-20,B.1.177,0,0.0,33
41886,Italy,2020-07-20,B.1.221,0,0.0,33
41887,Italy,2020-07-20,B.1.258,0,0.0,33
41888,Italy,2020-07-20,B.1.367,0,0.0,33
41889,Italy,2020-07-20,B.1.620,0,0.0,33
41890,Italy,2020-07-20,Beta,0,0.0,33
41891,Italy,2020-07-20,Delta,0,0.0,33
41892,Italy,2020-07-20,Epsilon,0,0.0,33
41893,Italy,2020-07-20,Eta,0,0.0,33
41894,Italy,2020-07-20,Gamma,0,0.0,33
41895,Italy,2020-07-20,Iota,0,0.0,33
41896,Italy,2020-07-20,Kappa,0,0.0,33
41897,Italy,2020-07-20,Lambda,0,0.0,33
41898,Italy,2020-07-20,Mu,0,0.0,33
41899,Italy,2020-07-20,Omicron,0,0.0,33
41900,Italy,2020-07-20,S:677H.Robin1,0,0.0,33
41901,Italy,2020-07-20,S:677P.Pelican,0,0.0,33
41902,Italy,2020-07-20,others,33,100.0,33
41903,Italy,2020-07-20,non_who,33,100.0,33
41904,Italy,2020-08-03,Alpha,0,0.0,28
41905,Italy,2020-08-03,B.1.1.277,0,0.0,28
41906,Italy,2020-08-03,B.1.1.302,0,0.0,28
41907,Italy,2020-08-03,B.1.1.519,0,0.0,28
41908,Italy,2020-08-03,B.1.160,0,0.0,28
41909,Italy,2020-08-03,B.1.177,1,3.57,28
41910,Italy,2020-08-03,B.1.221,0,0.0,28
41911,Italy,2020-08-03,B.1.258,1,3.57,28
41912,Italy,2020-08-03,B.1.367,0,0.0,28
41913,Italy,2020-08-03,B.1.620,0,0.0,28
41914,Italy,2020-08-03,Beta,0,0.0,28
41915,Italy,2020-08-03,Delta,0,0.0,28
41916,Italy,2020-08-03,Epsilon,0,0.0,28
41917,Italy,2020-08-03,Eta,0,0.0,28
41918,Italy,2020-08-03,Gamma,0,0.0,28
41919,Italy,2020-08-03,Iota,0,0.0,28
41920,Italy,2020-08-03,Kappa,0,0.0,28
41921,Italy,2020-08-03,Lambda,0,0.0,28
41922,Italy,2020-08-03,Mu,0,0.0,28
41923,Italy,2020-08-03,Omicron,0,0.0,28
41924,Italy,2020-08-03,S:677H.Robin1,0,0.0,28
41925,Italy,2020-08-03,S:677P.Pelican,0,0.0,28
41926,Italy,2020-08-03,others,26,92.86,28
41927,Italy,2020-08-03,non_who,28,100.0,28
41928,Italy,2020-08-17,Alpha,0,0.0,30
41929,Italy,2020-08-17,B.1.1.277,0,0.0,30
41930,Italy,2020-08-17,B.1.1.302,0,0.0,30
41931,Italy,2020-08-17,B.1.1.519,0,0.0,30
41932,Italy,2020-08-17,B.1.160,0,0.0,30
41933,Italy,2020-08-17,B.1.177,6,20.0,30
