,location,date,variant,num_sequences,perc_sequences,num_sequences_total
42816,Jamaica,2021-01-04,Alpha,4,80.0,5
42817,Jamaica,2021-01-04,B.1.1.277,0,0.0,5
42818,Jamaica,2021-01-04,B.1.1.302,0,0.0,5
42819,Jamaica,2021-01-04,B.1.1.519,0,0.0,5
42820,Jamaica,2021-01-04,B.1.160,0,0.0,5
42821,Jamaica,2021-01-04,B.1.177,1,20.0,5
42822,Jamaica,2021-01-04,B.1.221,0,0.0,5
42823,Jamaica,2021-01-04,B.1.258,0,0.0,5
42824,Jamaica,2021-01-04,B.1.367,0,0.0,5
42825,Jamaica,2021-01-04,B.1.620,0,0.0,5
42826,Jamaica,2021-01-04,Beta,0,0.0,5
42827,Jamaica,2021-01-04,Delta,0,0.0,5
42828,Jamaica,2021-01-04,Epsilon,0,0.0,5
42829,Jamaica,2021-01-04,Eta,0,0.0,5
42830,Jamaica,2021-01-04,Gamma,0,0.0,5
42831,Jamaica,2021-01-04,Iota,0,0.0,5
42832,Jamaica,2021-01-04,Kappa,0,0.0,5
42833,Jamaica,2021-01-04,Lambda,0,0.0,5
42834,Jamaica,2021-01-04,Mu,0,0.0,5
42835,Jamaica,2021-01-04,Omicron,0,0.0,5
42836,Jamaica,2021-01-04,S:677H.Robin1,0,0.0,5
42837,Jamaica,2021-01-04,S:677P.Pelican,0,0.0,5
42838,Jamaica,2021-01-04,others,0,0.0,5
42839,Jamaica,2021-01-04,non_who,1,20.0,5
42840,Jamaica,2021-01-25,Alpha,6,85.71,7
42841,Jamaica,2021-01-25,B.1.1.277,0,0.0,7
42842,Jamaica,2021-01-25,B.1.1.302,0,0.0,7
42843,Jamaica,2021-01-25,B.1.1.519,0,0.0,7
42844,Jamaica,2021-01-25,B.1.160,0,0.0,7
42845,Jamaica,2021-01-25,B.1.177,0,0.0,7
42846,Jamaica,2021-01-25,B.1.221,0,0.0,7
42847,Jamaica,2021-01-25,B.1.258,0,0.0,7
42848,Jamaica,2021-01-25,B.1.367,0,0.0,7
42849,Jamaica,2021-01-25,B.1.620,0,0.0,7
42850,Jamaica,2021-01-25,Beta,0,0.0,7
42851,Jamaica,2021-01-25,Delta,0,0.0,7
42852,Jamaica,2021-01-25,Epsilon,0,0.0,7
42853,Jamaica,2021-01-25,Eta,0,0.0,7
42854,Jamaica,2021-01-25,Gamma,0,0.0,7
