,location,date,variant,num_sequences,perc_sequences,num_sequences_total
43248,Japan,2020-05-11,Alpha,0,0.0,415
43249,Japan,2020-05-11,B.1.1.277,0,0.0,415
43250,Japan,2020-05-11,B.1.1.302,0,0.0,415
43251,Japan,2020-05-11,B.1.1.519,0,0.0,415
43252,Japan,2020-05-11,B.1.160,0,0.0,415
43253,Japan,2020-05-11,B.1.177,0,0.0,415
43254,Japan,2020-05-11,B.1.221,0,0.0,415
43255,Japan,2020-05-11,B.1.258,0,0.0,415
43256,Japan,2020-05-11,B.1.367,0,0.0,415
43257,Japan,2020-05-11,B.1.620,0,0.0,415
43258,Japan,2020-05-11,Beta,0,0.0,415
43259,Japan,2020-05-11,Delta,0,0.0,415
43260,Japan,2020-05-11,Epsilon,0,0.0,415
43261,Japan,2020-05-11,Eta,0,0.0,415
43262,Japan,2020-05-11,Gamma,0,0.0,415
43263,Japan,2020-05-11,Iota,0,0.0,415
43264,Japan,2020-05-11,Kappa,0,0.0,415
43265,Japan,2020-05-11,Lambda,0,0.0,415
43266,Japan,2020-05-11,Mu,0,0.0,415
43267,Japan,2020-05-11,Omicron,0,0.0,415
43268,Japan,2020-05-11,S:677H.Robin1,0,0.0,415
43269,Japan,2020-05-11,S:677P.Pelican,0,0.0,415
43270,Japan,2020-05-11,others,415,100.0,415
43271,Japan,2020-05-11,non_who,415,100.0,415
43272,Japan,2020-05-25,Alpha,0,0.0,116
43273,Japan,2020-05-25,B.1.1.277,0,0.0,116
43274,Japan,2020-05-25,B.1.1.302,0,0.0,116
43275,Japan,2020-05-25,B.1.1.519,0,0.0,116
43276,Japan,2020-05-25,B.1.160,0,0.0,116
43277,Japan,2020-05-25,B.1.177,0,0.0,116
43278,Japan,2020-05-25,B.1.221,0,0.0,116
43279,Japan,2020-05-25,B.1.258,0,0.0,116
43280,Japan,2020-05-25,B.1.367,0,0.0,116
43281,Japan,2020-05-25,B.1.620,0,0.0,116
43282,Japan,2020-05-25,Beta,0,0.0,116
43283,Japan,2020-05-25,Delta,0,0.0,116
43284,Japan,2020-05-25,Epsilon,0,0.0,116
43285,Japan,2020-05-25,Eta,0,0.0,116
43286,Japan,2020-05-25,Gamma,0,0.0,116
43287,Japan,2020-05-25,Iota,0,0.0,116
43288,Japan,2020-05-25,Kappa,0,0.0,116
43289,Japan,2020-05-25,Lambda,0,0.0,116
43290,Japan,2020-05-25,Mu,0,0.0,116
43291,Japan,2020-05-25,Omicron,0,0.0,116
43292,Japan,2020-05-25,S:677H.Robin1,0,0.0,116
43293,Japan,2020-05-25,S:677P.Pelican,0,0.0,116
43294,Japan,2020-05-25,others,116,100.0,116
43295,Japan,2020-05-25,non_who,116,100.0,116
43296,Japan,2020-06-08,Alpha,0,0.0,146
43297,Japan,2020-06-08,B.1.1.277,0,0.0,146
43298,Japan,2020-06-08,B.1.1.302,0,0.0,146
43299,Japan,2020-06-08,B.1.1.519,0,0.0,146
43300,Japan,2020-06-08,B.1.160,0,0.0,146
43301,Japan,2020-06-08,B.1.177,0,0.0,146
43302,Japan,2020-06-08,B.1.221,0,0.0,146
43303,Japan,2020-06-08,B.1.258,0,0.0,146
43304,Japan,2020-06-08,B.1.367,0,0.0,146
43305,Japan,2020-06-08,B.1.620,0,0.0,146
43306,Japan,2020-06-08,Beta,0,0.0,146
43307,Japan,2020-06-08,Delta,0,0.0,146
43308,Japan,2020-06-08,Epsilon,0,0.0,146
43309,Japan,2020-06-08,Eta,0,0.0,146
