,location,date,variant,num_sequences,perc_sequences,num_sequences_total
44304,Jordan,2020-06-08,Alpha,0,0.0,2
44305,Jordan,2020-06-08,B.1.1.277,0,0.0,2
44306,Jordan,2020-06-08,B.1.1.302,0,0.0,2
44307,Jordan,2020-06-08,B.1.1.519,0,0.0,2
44308,Jordan,2020-06-08,B.1.160,0,0.0,2
44309,Jordan,2020-06-08,B.1.177,0,0.0,2
44310,Jordan,2020-06-08,B.1.221,0,0.0,2
44311,Jordan,2020-06-08,B.1.258,0,0.0,2
44312,Jordan,2020-06-08,B.1.367,0,0.0,2
44313,Jordan,2020-06-08,B.1.620,0,0.0,2
44314,Jordan,2020-06-08,Beta,0,0.0,2
44315,Jordan,2020-06-08,Delta,0,0.0,2
44316,Jordan,2020-06-08,Epsilon,0,0.0,2
44317,Jordan,2020-06-08,Eta,0,0.0,2
44318,Jordan,2020-06-08,Gamma,0,0.0,2
44319,Jordan,2020-06-08,Iota,0,0.0,2
44320,Jordan,2020-06-08,Kappa,0,0.0,2
44321,Jordan,2020-06-08,Lambda,0,0.0,2
44322,Jordan,2020-06-08,Mu,0,0.0,2
44323,Jordan,2020-06-08,Omicron,0,0.0,2
44324,Jordan,2020-06-08,S:677H.Robin1,0,0.0,2
44325,Jordan,2020-06-08,S:677P.Pelican,0,0.0,2
44326,Jordan,2020-06-08,others,2,100.0,2
44327,Jordan,2020-06-08,non_who,2,100.0,2
44328,Jordan,2020-06-22,Alpha,0,0.0,1
44329,Jordan,2020-06-22,B.1.1.277,0,0.0,1
44330,Jordan,2020-06-22,B.1.1.302,0,0.0,1
44331,Jordan,2020-06-22,B.1.1.519,0,0.0,1
44332,Jordan,2020-06-22,B.1.160,0,0.0,1
44333,Jordan,2020-06-22,B.1.177,0,0.0,1
44334,Jordan,2020-06-22,B.1.221,0,0.0,1
44335,Jordan,2020-06-22,B.1.258,0,0.0,1
44336,Jordan,2020-06-22,B.1.367,0,0.0,1
44337,Jordan,2020-06-22,B.1.620,0,0.0,1
44338,Jordan,2020-06-22,Beta,0,0.0,1
44339,Jordan,2020-06-22,Delta,0,0.0,1
44340,Jordan,2020-06-22,Epsilon,0,0.0,1
44341,Jordan,2020-06-22,Eta,0,0.0,1
44342,Jordan,2020-06-22,Gamma,0,0.0,1
44343,Jordan,2020-06-22,Iota,0,0.0,1
44344,Jordan,2020-06-22,Kappa,0,0.0,1
44345,Jordan,2020-06-22,Lambda,0,0.0,1
44346,Jordan,2020-06-22,Mu,0,0.0,1
44347,Jordan,2020-06-22,Omicron,0,0.0,1
44348,Jordan,2020-06-22,S:677H.Robin1,0,0.0,1
44349,Jordan,2020-06-22,S:677P.Pelican,0,0.0,1
44350,Jordan,2020-06-22,others,1,100.0,1
44351,Jordan,2020-06-22,non_who,1,100.0,1
44352,Jordan,2020-07-06,Alpha,0,0.0,3
44353,Jordan,2020-07-06,B.1.1.277,0,0.0,3
44354,Jordan,2020-07-06,B.1.1.302,0,0.0,3
44355,Jordan,2020-07-06,B.1.1.519,0,0.0,3
44356,Jordan,2020-07-06,B.1.160,0,0.0,3
44357,Jordan,2020-07-06,B.1.177,0,0.0,3
44358,Jordan,2020-07-06,B.1.221,0,0.0,3
44359,Jordan,2020-07-06,B.1.258,0,0.0,3
44360,Jordan,2020-07-06,B.1.367,0,0.0,3
44361,Jordan,2020-07-06,B.1.620,0,0.0,3
44362,Jordan,2020-07-06,Beta,0,0.0,3
44363,Jordan,2020-07-06,Delta,0,0.0,3
44364,Jordan,2020-07-06,Epsilon,0,0.0,3
44365,Jordan,2020-07-06,Eta,0,0.0,3
44366,Jordan,2020-07-06,Gamma,0,0.0,3
44367,Jordan,2020-07-06,Iota,0,0.0,3
44368,Jordan,2020-07-06,Kappa,0,0.0,3
44369,Jordan,2020-07-06,Lambda,0,0.0,3
44370,Jordan,2020-07-06,Mu,0,0.0,3
44371,Jordan,2020-07-06,Omicron,0,0.0,3
44372,Jordan,2020-07-06,S:677H.Robin1,0,0.0,3
44373,Jordan,2020-07-06,S:677P.Pelican,0,0.0,3
44374,Jordan,2020-07-06,others,3,100.0,3
44375,Jordan,2020-07-06,non_who,3,100.0,3
44376,Jordan,2020-08-17,Alpha,0,0.0,1
44377,Jordan,2020-08-17,B.1.1.277,0,0.0,1
44378,Jordan,2020-08-17,B.1.1.302,0,0.0,1
44379,Jordan,2020-08-17,B.1.1.519,0,0.0,1
44380,Jordan,2020-08-17,B.1.160,0,0.0,1
44381,Jordan,2020-08-17,B.1.177,0,0.0,1
44382,Jordan,2020-08-17,B.1.221,0,0.0,1
44383,Jordan,2020-08-17,B.1.258,0,0.0,1
44384,Jordan,2020-08-17,B.1.367,0,0.0,1
44385,Jordan,2020-08-17,B.1.620,0,0.0,1
44386,Jordan,2020-08-17,Beta,0,0.0,1
44387,Jordan,2020-08-17,Delta,0,0.0,1
44388,Jordan,2020-08-17,Epsilon,0,0.0,1
44389,Jordan,2020-08-17,Eta,0,0.0,1
44390,Jordan,2020-08-17,Gamma,0,0.0,1
44391,Jordan,2020-08-17,Iota,0,0.0,1
44392,Jordan,2020-08-17,Kappa,0,0.0,1
44393,Jordan,2020-08-17,Lambda,0,0.0,1
44394,Jordan,2020-08-17,Mu,0,0.0,1
44395,Jordan,2020-08-17,Omicron,0,0.0,1
44396,Jordan,2020-08-17,S:677H.Robin1,0,0.0,1
44397,Jordan,2020-08-17,S:677P.Pelican,0,0.0,1
44398,Jordan,2020-08-17,others,1,100.0,1
44399,Jordan,2020-08-17,non_who,1,100.0,1
44400,Jordan,2020-08-31,Alpha,0,0.0,13
44401,Jordan,2020-08-31,B.1.1.277,0,0.0,13
44402,Jordan,2020-08-31,B.1.1.302,0,0.0,13
44403,Jordan,2020-08-31,B.1.1.519,0,0.0,13
44404,Jordan,2020-08-31,B.1.160,0,0.0,13
44405,Jordan,2020-08-31,B.1.177,0,0.0,13
44406,Jordan,2020-08-31,B.1.221,0,0.0,13
44407,Jordan,2020-08-31,B.1.258,0,0.0,13
44408,Jordan,2020-08-31,B.1.367,0,0.0,13
44409,Jordan,2020-08-31,B.1.620,0,0.0,13
44410,Jordan,2020-08-31,Beta,0,0.0,13
44411,Jordan,2020-08-31,Delta,0,0.0,13
44412,Jordan,2020-08-31,Epsilon,0,0.0,13
44413,Jordan,2020-08-31,Eta,0,0.0,13
44414,Jordan,2020-08-31,Gamma,0,0.0,13
44415,Jordan,2020-08-31,Iota,0,0.0,13
44416,Jordan,2020-08-31,Kappa,0,0.0,13
44417,Jordan,2020-08-31,Lambda,0,0.0,13
44418,Jordan,2020-08-31,Mu,0,0.0,13
44419,Jordan,2020-08-31,Omicron,0,0.0,13
44420,Jordan,2020-08-31,S:677H.Robin1,0,0.0,13
44421,Jordan,2020-08-31,S:677P.Pelican,0,0.0,13
44422,Jordan,2020-08-31,others,13,100.0,13
44423,Jordan,2020-08-31,non_who,13,100.0,13
44424,Jordan,2020-09-14,Alpha,0,0.0,27
44425,Jordan,2020-09-14,B.1.1.277,0,0.0,27
44426,Jordan,2020-09-14,B.1.1.302,0,0.0,27
44427,Jordan,2020-09-14,B.1.1.519,0,0.0,27
44428,Jordan,2020-09-14,B.1.160,0,0.0,27
44429,Jordan,2020-09-14,B.1.177,0,0.0,27
44430,Jordan,2020-09-14,B.1.221,0,0.0,27
44431,Jordan,2020-09-14,B.1.258,0,0.0,27
44432,Jordan,2020-09-14,B.1.367,0,0.0,27
44433,Jordan,2020-09-14,B.1.620,0,0.0,27
44434,Jordan,2020-09-14,Beta,0,0.0,27
44435,Jordan,2020-09-14,Delta,0,0.0,27
44436,Jordan,2020-09-14,Epsilon,0,0.0,27
44437,Jordan,2020-09-14,Eta,0,0.0,27
44438,Jordan,2020-09-14,Gamma,0,0.0,27
44439,Jordan,2020-09-14,Iota,0,0.0,27
44440,Jordan,2020-09-14,Kappa,0,0.0,27
44441,Jordan,2020-09-14,Lambda,0,0.0,27
44442,Jordan,2020-09-14,Mu,0,0.0,27
44443,Jordan,2020-09-14,Omicron,0,0.0,27
44444,Jordan,2020-09-14,S:677H.Robin1,0,0.0,27
44445,Jordan,2020-09-14,S:677P.Pelican,0,0.0,27
44446,Jordan,2020-09-14,others,27,100.0,27
44447,Jordan,2020-09-14,non_who,27,100.0,27
44448,Jordan,2020-09-28,Alpha,0,0.0,15
44449,Jordan,2020-09-28,B.1.1.277,0,0.0,15
44450,Jordan,2020-09-28,B.1.1.302,0,0.0,15
44451,Jordan,2020-09-28,B.1.1.519,0,0.0,15
44452,Jordan,2020-09-28,B.1.160,0,0.0,15
44453,Jordan,2020-09-28,B.1.177,0,0.0,15
44454,Jordan,2020-09-28,B.1.221,0,0.0,15
44455,Jordan,2020-09-28,B.1.258,0,0.0,15
44456,Jordan,2020-09-28,B.1.367,0,0.0,15
44457,Jordan,2020-09-28,B.1.620,0,0.0,15
44458,Jordan,2020-09-28,Beta,0,0.0,15
44459,Jordan,2020-09-28,Delta,0,0.0,15
44460,Jordan,2020-09-28,Epsilon,0,0.0,15
44461,Jordan,2020-09-28,Eta,0,0.0,15
44462,Jordan,2020-09-28,Gamma,0,0.0,15
44463,Jordan,2020-09-28,Iota,0,0.0,15
44464,Jordan,2020-09-28,Kappa,0,0.0,15
44465,Jordan,2020-09-28,Lambda,0,0.0,15
44466,Jordan,2020-09-28,Mu,0,0.0,15
44467,Jordan,2020-09-28,Omicron,0,0.0,15
44468,Jordan,2020-09-28,S:677H.Robin1,0,0.0,15
44469,Jordan,2020-09-28,S:677P.Pelican,0,0.0,15
44470,Jordan,2020-09-28,others,15,100.0,15
44471,Jordan,2020-09-28,non_who,15,100.0,15
44472,Jordan,2020-10-12,Alpha,0,0.0,311
44473,Jordan,2020-10-12,B.1.1.277,0,0.0,311
44474,Jordan,2020-10-12,B.1.1.302,0,0.0,311
44475,Jordan,2020-10-12,B.1.1.519,0,0.0,311
44476,Jordan,2020-10-12,B.1.160,0,0.0,311
44477,Jordan,2020-10-12,B.1.177,0,0.0,311
44478,Jordan,2020-10-12,B.1.221,0,0.0,311
44479,Jordan,2020-10-12,B.1.258,0,0.0,311
44480,Jordan,2020-10-12,B.1.367,0,0.0,311
44481,Jordan,2020-10-12,B.1.620,0,0.0,311
44482,Jordan,2020-10-12,Beta,0,0.0,311
44483,Jordan,2020-10-12,Delta,0,0.0,311
44484,Jordan,2020-10-12,Epsilon,0,0.0,311
44485,Jordan,2020-10-12,Eta,0,0.0,311
44486,Jordan,2020-10-12,Gamma,0,0.0,311
44487,Jordan,2020-10-12,Iota,0,0.0,311
44488,Jordan,2020-10-12,Kappa,0,0.0,311
44489,Jordan,2020-10-12,Lambda,0,0.0,311
44490,Jordan,2020-10-12,Mu,0,0.0,311
44491,Jordan,2020-10-12,Omicron,0,0.0,311
44492,Jordan,2020-10-12,S:677H.Robin1,0,0.0,311
44493,Jordan,2020-10-12,S:677P.Pelican,0,0.0,311
44494,Jordan,2020-10-12,others,311,100.0,311
44495,Jordan,2020-10-12,non_who,311,100.0,311
44496,Jordan,2020-10-26,Alpha,0,0.0,90
44497,Jordan,2020-10-26,B.1.1.277,0,0.0,90
44498,Jordan,2020-10-26,B.1.1.302,0,0.0,90
44499,Jordan,2020-10-26,B.1.1.519,0,0.0,90
44500,Jordan,2020-10-26,B.1.160,0,0.0,90
44501,Jordan,2020-10-26,B.1.177,0,0.0,90
44502,Jordan,2020-10-26,B.1.221,0,0.0,90
44503,Jordan,2020-10-26,B.1.258,0,0.0,90
44504,Jordan,2020-10-26,B.1.367,0,0.0,90
44505,Jordan,2020-10-26,B.1.620,0,0.0,90
44506,Jordan,2020-10-26,Beta,0,0.0,90
