,location,date,variant,num_sequences,perc_sequences,num_sequences_total
45240,Kazakhstan,2020-05-11,Alpha,0,0.0,2
45241,Kazakhstan,2020-05-11,B.1.1.277,0,0.0,2
45242,Kazakhstan,2020-05-11,B.1.1.302,0,0.0,2
45243,Kazakhstan,2020-05-11,B.1.1.519,0,0.0,2
45244,Kazakhstan,2020-05-11,B.1.160,0,0.0,2
45245,Kazakhstan,2020-05-11,B.1.177,0,0.0,2
45246,Kazakhstan,2020-05-11,B.1.221,0,0.0,2
45247,Kazakhstan,2020-05-11,B.1.258,0,0.0,2
45248,Kazakhstan,2020-05-11,B.1.367,0,0.0,2
45249,Kazakhstan,2020-05-11,B.1.620,0,0.0,2
45250,Kazakhstan,2020-05-11,Beta,0,0.0,2
45251,Kazakhstan,2020-05-11,Delta,0,0.0,2
45252,Kazakhstan,2020-05-11,Epsilon,0,0.0,2
45253,Kazakhstan,2020-05-11,Eta,0,0.0,2
45254,Kazakhstan,2020-05-11,Gamma,0,0.0,2
45255,Kazakhstan,2020-05-11,Iota,0,0.0,2
45256,Kazakhstan,2020-05-11,Kappa,0,0.0,2
45257,Kazakhstan,2020-05-11,Lambda,0,0.0,2
45258,Kazakhstan,2020-05-11,Mu,0,0.0,2
45259,Kazakhstan,2020-05-11,Omicron,0,0.0,2
45260,Kazakhstan,2020-05-11,S:677H.Robin1,0,0.0,2
45261,Kazakhstan,2020-05-11,S:677P.Pelican,0,0.0,2
45262,Kazakhstan,2020-05-11,others,2,100.0,2
45263,Kazakhstan,2020-05-11,non_who,2,100.0,2
45264,Kazakhstan,2020-05-25,Alpha,0,0.0,1
45265,Kazakhstan,2020-05-25,B.1.1.277,0,0.0,1
45266,Kazakhstan,2020-05-25,B.1.1.302,0,0.0,1
45267,Kazakhstan,2020-05-25,B.1.1.519,0,0.0,1
45268,Kazakhstan,2020-05-25,B.1.160,0,0.0,1
45269,Kazakhstan,2020-05-25,B.1.177,0,0.0,1
45270,Kazakhstan,2020-05-25,B.1.221,0,0.0,1
45271,Kazakhstan,2020-05-25,B.1.258,0,0.0,1
45272,Kazakhstan,2020-05-25,B.1.367,0,0.0,1
45273,Kazakhstan,2020-05-25,B.1.620,0,0.0,1
45274,Kazakhstan,2020-05-25,Beta,0,0.0,1
45275,Kazakhstan,2020-05-25,Delta,0,0.0,1
45276,Kazakhstan,2020-05-25,Epsilon,0,0.0,1
45277,Kazakhstan,2020-05-25,Eta,0,0.0,1
45278,Kazakhstan,2020-05-25,Gamma,0,0.0,1
45279,Kazakhstan,2020-05-25,Iota,0,0.0,1
45280,Kazakhstan,2020-05-25,Kappa,0,0.0,1
45281,Kazakhstan,2020-05-25,Lambda,0,0.0,1
45282,Kazakhstan,2020-05-25,Mu,0,0.0,1
45283,Kazakhstan,2020-05-25,Omicron,0,0.0,1
45284,Kazakhstan,2020-05-25,S:677H.Robin1,0,0.0,1
45285,Kazakhstan,2020-05-25,S:677P.Pelican,0,0.0,1
45286,Kazakhstan,2020-05-25,others,1,100.0,1
45287,Kazakhstan,2020-05-25,non_who,1,100.0,1
45288,Kazakhstan,2020-11-23,Alpha,0,0.0,9
45289,Kazakhstan,2020-11-23,B.1.1.277,0,0.0,9
45290,Kazakhstan,2020-11-23,B.1.1.302,0,0.0,9
45291,Kazakhstan,2020-11-23,B.1.1.519,0,0.0,9
45292,Kazakhstan,2020-11-23,B.1.160,0,0.0,9
45293,Kazakhstan,2020-11-23,B.1.177,0,0.0,9
45294,Kazakhstan,2020-11-23,B.1.221,0,0.0,9
45295,Kazakhstan,2020-11-23,B.1.258,0,0.0,9
45296,Kazakhstan,2020-11-23,B.1.367,0,0.0,9
45297,Kazakhstan,2020-11-23,B.1.620,0,0.0,9
45298,Kazakhstan,2020-11-23,Beta,0,0.0,9
45299,Kazakhstan,2020-11-23,Delta,0,0.0,9
45300,Kazakhstan,2020-11-23,Epsilon,0,0.0,9
45301,Kazakhstan,2020-11-23,Eta,0,0.0,9
45302,Kazakhstan,2020-11-23,Gamma,0,0.0,9
45303,Kazakhstan,2020-11-23,Iota,0,0.0,9
45304,Kazakhstan,2020-11-23,Kappa,0,0.0,9
45305,Kazakhstan,2020-11-23,Lambda,0,0.0,9
45306,Kazakhstan,2020-11-23,Mu,0,0.0,9
45307,Kazakhstan,2020-11-23,Omicron,0,0.0,9
45308,Kazakhstan,2020-11-23,S:677H.Robin1,0,0.0,9
