,location,date,variant,num_sequences,perc_sequences,num_sequences_total
46728,Kosovo,2020-05-11,Alpha,0,0.0,1
46729,Kosovo,2020-05-11,B.1.1.277,0,0.0,1
46730,Kosovo,2020-05-11,B.1.1.302,0,0.0,1
46731,Kosovo,2020-05-11,B.1.1.519,0,0.0,1
46732,Kosovo,2020-05-11,B.1.160,0,0.0,1
46733,Kosovo,2020-05-11,B.1.177,0,0.0,1
46734,Kosovo,2020-05-11,B.1.221,0,0.0,1
46735,Kosovo,2020-05-11,B.1.258,0,0.0,1
46736,Kosovo,2020-05-11,B.1.367,0,0.0,1
46737,Kosovo,2020-05-11,B.1.620,0,0.0,1
46738,Kosovo,2020-05-11,Beta,0,0.0,1
46739,Kosovo,2020-05-11,Delta,0,0.0,1
46740,Kosovo,2020-05-11,Epsilon,0,0.0,1
46741,Kosovo,2020-05-11,Eta,0,0.0,1
46742,Kosovo,2020-05-11,Gamma,0,0.0,1
46743,Kosovo,2020-05-11,Iota,0,0.0,1
46744,Kosovo,2020-05-11,Kappa,0,0.0,1
46745,Kosovo,2020-05-11,Lambda,0,0.0,1
46746,Kosovo,2020-05-11,Mu,0,0.0,1
46747,Kosovo,2020-05-11,Omicron,0,0.0,1
46748,Kosovo,2020-05-11,S:677H.Robin1,0,0.0,1
46749,Kosovo,2020-05-11,S:677P.Pelican,0,0.0,1
46750,Kosovo,2020-05-11,others,1,100.0,1
46751,Kosovo,2020-05-11,non_who,1,100.0,1
46752,Kosovo,2020-07-20,Alpha,0,0.0,4
46753,Kosovo,2020-07-20,B.1.1.277,0,0.0,4
46754,Kosovo,2020-07-20,B.1.1.302,0,0.0,4
46755,Kosovo,2020-07-20,B.1.1.519,0,0.0,4
46756,Kosovo,2020-07-20,B.1.160,0,0.0,4
46757,Kosovo,2020-07-20,B.1.177,0,0.0,4
46758,Kosovo,2020-07-20,B.1.221,0,0.0,4
46759,Kosovo,2020-07-20,B.1.258,0,0.0,4
46760,Kosovo,2020-07-20,B.1.367,0,0.0,4
46761,Kosovo,2020-07-20,B.1.620,0,0.0,4
46762,Kosovo,2020-07-20,Beta,0,0.0,4
46763,Kosovo,2020-07-20,Delta,0,0.0,4
46764,Kosovo,2020-07-20,Epsilon,0,0.0,4
46765,Kosovo,2020-07-20,Eta,0,0.0,4
46766,Kosovo,2020-07-20,Gamma,0,0.0,4
46767,Kosovo,2020-07-20,Iota,0,0.0,4
46768,Kosovo,2020-07-20,Kappa,0,0.0,4
46769,Kosovo,2020-07-20,Lambda,0,0.0,4
46770,Kosovo,2020-07-20,Mu,0,0.0,4
46771,Kosovo,2020-07-20,Omicron,0,0.0,4
46772,Kosovo,2020-07-20,S:677H.Robin1,0,0.0,4
46773,Kosovo,2020-07-20,S:677P.Pelican,0,0.0,4
46774,Kosovo,2020-07-20,others,4,100.0,4
46775,Kosovo,2020-07-20,non_who,4,100.0,4
46776,Kosovo,2020-08-03,Alpha,0,0.0,4
46777,Kosovo,2020-08-03,B.1.1.277,0,0.0,4
46778,Kosovo,2020-08-03,B.1.1.302,0,0.0,4
46779,Kosovo,2020-08-03,B.1.1.519,0,0.0,4
46780,Kosovo,2020-08-03,B.1.160,0,0.0,4
46781,Kosovo,2020-08-03,B.1.177,0,0.0,4
46782,Kosovo,2020-08-03,B.1.221,0,0.0,4
46783,Kosovo,2020-08-03,B.1.258,0,0.0,4
46784,Kosovo,2020-08-03,B.1.367,0,0.0,4
46785,Kosovo,2020-08-03,B.1.620,0,0.0,4
46786,Kosovo,2020-08-03,Beta,0,0.0,4
46787,Kosovo,2020-08-03,Delta,0,0.0,4
46788,Kosovo,2020-08-03,Epsilon,0,0.0,4
46789,Kosovo,2020-08-03,Eta,0,0.0,4
46790,Kosovo,2020-08-03,Gamma,0,0.0,4
46791,Kosovo,2020-08-03,Iota,0,0.0,4
46792,Kosovo,2020-08-03,Kappa,0,0.0,4
46793,Kosovo,2020-08-03,Lambda,0,0.0,4
46794,Kosovo,2020-08-03,Mu,0,0.0,4
46795,Kosovo,2020-08-03,Omicron,0,0.0,4
46796,Kosovo,2020-08-03,S:677H.Robin1,0,0.0,4
46797,Kosovo,2020-08-03,S:677P.Pelican,0,0.0,4
46798,Kosovo,2020-08-03,others,4,100.0,4
46799,Kosovo,2020-08-03,non_who,4,100.0,4
46800,Kosovo,2020-11-23,Alpha,0,0.0,1
46801,Kosovo,2020-11-23,B.1.1.277,0,0.0,1
46802,Kosovo,2020-11-23,B.1.1.302,0,0.0,1
46803,Kosovo,2020-11-23,B.1.1.519,0,0.0,1
46804,Kosovo,2020-11-23,B.1.160,0,0.0,1
46805,Kosovo,2020-11-23,B.1.177,0,0.0,1
46806,Kosovo,2020-11-23,B.1.221,0,0.0,1
46807,Kosovo,2020-11-23,B.1.258,0,0.0,1
46808,Kosovo,2020-11-23,B.1.367,0,0.0,1
46809,Kosovo,2020-11-23,B.1.620,0,0.0,1
46810,Kosovo,2020-11-23,Beta,0,0.0,1
46811,Kosovo,2020-11-23,Delta,0,0.0,1
46812,Kosovo,2020-11-23,Epsilon,0,0.0,1
46813,Kosovo,2020-11-23,Eta,0,0.0,1
46814,Kosovo,2020-11-23,Gamma,0,0.0,1
46815,Kosovo,2020-11-23,Iota,0,0.0,1
46816,Kosovo,2020-11-23,Kappa,0,0.0,1
46817,Kosovo,2020-11-23,Lambda,0,0.0,1
46818,Kosovo,2020-11-23,Mu,0,0.0,1
46819,Kosovo,2020-11-23,Omicron,0,0.0,1
46820,Kosovo,2020-11-23,S:677H.Robin1,0,0.0,1
46821,Kosovo,2020-11-23,S:677P.Pelican,0,0.0,1
46822,Kosovo,2020-11-23,others,1,100.0,1
46823,Kosovo,2020-11-23,non_who,1,100.0,1
46824,Kosovo,2020-12-21,Alpha,0,0.0,3
46825,Kosovo,2020-12-21,B.1.1.277,0,0.0,3
46826,Kosovo,2020-12-21,B.1.1.302,0,0.0,3
46827,Kosovo,2020-12-21,B.1.1.519,0,0.0,3
46828,Kosovo,2020-12-21,B.1.160,1,33.33,3
46829,Kosovo,2020-12-21,B.1.177,0,0.0,3
46830,Kosovo,2020-12-21,B.1.221,1,33.33,3
46831,Kosovo,2020-12-21,B.1.258,0,0.0,3
46832,Kosovo,2020-12-21,B.1.367,0,0.0,3
46833,Kosovo,2020-12-21,B.1.620,0,0.0,3
46834,Kosovo,2020-12-21,Beta,0,0.0,3
46835,Kosovo,2020-12-21,Delta,0,0.0,3
46836,Kosovo,2020-12-21,Epsilon,0,0.0,3
46837,Kosovo,2020-12-21,Eta,0,0.0,3
46838,Kosovo,2020-12-21,Gamma,0,0.0,3
46839,Kosovo,2020-12-21,Iota,0,0.0,3
46840,Kosovo,2020-12-21,Kappa,0,0.0,3
46841,Kosovo,2020-12-21,Lambda,0,0.0,3
46842,Kosovo,2020-12-21,Mu,0,0.0,3
46843,Kosovo,2020-12-21,Omicron,0,0.0,3
46844,Kosovo,2020-12-21,S:677H.Robin1,0,0.0,3
46845,Kosovo,2020-12-21,S:677P.Pelican,0,0.0,3
46846,Kosovo,2020-12-21,others,1,33.34,3
46847,Kosovo,2020-12-21,non_who,3,100.0,3
46848,Kosovo,2021-01-04,Alpha,0,0.0,7
46849,Kosovo,2021-01-04,B.1.1.277,0,0.0,7
46850,Kosovo,2021-01-04,B.1.1.302,0,0.0,7
46851,Kosovo,2021-01-04,B.1.1.519,1,14.29,7
46852,Kosovo,2021-01-04,B.1.160,0,0.0,7
46853,Kosovo,2021-01-04,B.1.177,0,0.0,7
46854,Kosovo,2021-01-04,B.1.221,0,0.0,7
46855,Kosovo,2021-01-04,B.1.258,0,0.0,7
46856,Kosovo,2021-01-04,B.1.367,0,0.0,7
46857,Kosovo,2021-01-04,B.1.620,0,0.0,7
46858,Kosovo,2021-01-04,Beta,0,0.0,7
46859,Kosovo,2021-01-04,Delta,0,0.0,7
46860,Kosovo,2021-01-04,Epsilon,0,0.0,7
46861,Kosovo,2021-01-04,Eta,0,0.0,7
46862,Kosovo,2021-01-04,Gamma,0,0.0,7
46863,Kosovo,2021-01-04,Iota,0,0.0,7
46864,Kosovo,2021-01-04,Kappa,0,0.0,7
46865,Kosovo,2021-01-04,Lambda,0,0.0,7
46866,Kosovo,2021-01-04,Mu,0,0.0,7
46867,Kosovo,2021-01-04,Omicron,0,0.0,7
46868,Kosovo,2021-01-04,S:677H.Robin1,0,0.0,7
46869,Kosovo,2021-01-04,S:677P.Pelican,0,0.0,7
46870,Kosovo,2021-01-04,others,6,85.71,7
46871,Kosovo,2021-01-04,non_who,7,100.0,7
46872,Kosovo,2021-01-11,Alpha,3,21.43,14
46873,Kosovo,2021-01-11,B.1.1.277,0,0.0,14
46874,Kosovo,2021-01-11,B.1.1.302,0,0.0,14
46875,Kosovo,2021-01-11,B.1.1.519,0,0.0,14
46876,Kosovo,2021-01-11,B.1.160,0,0.0,14
46877,Kosovo,2021-01-11,B.1.177,2,14.29,14
46878,Kosovo,2021-01-11,B.1.221,0,0.0,14
46879,Kosovo,2021-01-11,B.1.258,3,21.43,14
46880,Kosovo,2021-01-11,B.1.367,0,0.0,14
46881,Kosovo,2021-01-11,B.1.620,0,0.0,14
46882,Kosovo,2021-01-11,Beta,0,0.0,14
46883,Kosovo,2021-01-11,Delta,0,0.0,14
46884,Kosovo,2021-01-11,Epsilon,0,0.0,14
46885,Kosovo,2021-01-11,Eta,0,0.0,14
46886,Kosovo,2021-01-11,Gamma,0,0.0,14
46887,Kosovo,2021-01-11,Iota,0,0.0,14
46888,Kosovo,2021-01-11,Kappa,0,0.0,14
46889,Kosovo,2021-01-11,Lambda,0,0.0,14
46890,Kosovo,2021-01-11,Mu,0,0.0,14
46891,Kosovo,2021-01-11,Omicron,0,0.0,14
46892,Kosovo,2021-01-11,S:677H.Robin1,0,0.0,14
46893,Kosovo,2021-01-11,S:677P.Pelican,0,0.0,14
46894,Kosovo,2021-01-11,others,6,42.85,14
46895,Kosovo,2021-01-11,non_who,11,78.57,14
46896,Kosovo,2021-05-03,Alpha,0,0.0,2
46897,Kosovo,2021-05-03,B.1.1.277,0,0.0,2
46898,Kosovo,2021-05-03,B.1.1.302,0,0.0,2
46899,Kosovo,2021-05-03,B.1.1.519,0,0.0,2
46900,Kosovo,2021-05-03,B.1.160,0,0.0,2
46901,Kosovo,2021-05-03,B.1.177,0,0.0,2
46902,Kosovo,2021-05-03,B.1.221,0,0.0,2
46903,Kosovo,2021-05-03,B.1.258,0,0.0,2
46904,Kosovo,2021-05-03,B.1.367,0,0.0,2
46905,Kosovo,2021-05-03,B.1.620,0,0.0,2
46906,Kosovo,2021-05-03,Beta,0,0.0,2
46907,Kosovo,2021-05-03,Delta,2,100.0,2
46908,Kosovo,2021-05-03,Epsilon,0,0.0,2
46909,Kosovo,2021-05-03,Eta,0,0.0,2
46910,Kosovo,2021-05-03,Gamma,0,0.0,2
46911,Kosovo,2021-05-03,Iota,0,0.0,2
46912,Kosovo,2021-05-03,Kappa,0,0.0,2
46913,Kosovo,2021-05-03,Lambda,0,0.0,2
46914,Kosovo,2021-05-03,Mu,0,0.0,2
46915,Kosovo,2021-05-03,Omicron,0,0.0,2
46916,Kosovo,2021-05-03,S:677H.Robin1,0,0.0,2
46917,Kosovo,2021-05-03,S:677P.Pelican,0,0.0,2
46918,Kosovo,2021-05-03,others,0,0.0,2
46919,Kosovo,2021-05-03,non_who,0,0.0,2
46920,Kosovo,2021-05-17,Alpha,11,100.0,11
46921,Kosovo,2021-05-17,B.1.1.277,0,0.0,11
46922,Kosovo,2021-05-17,B.1.1.302,0,0.0,11
46923,Kosovo,2021-05-17,B.1.1.519,0,0.0,11
46924,Kosovo,2021-05-17,B.1.160,0,0.0,11
46925,Kosovo,2021-05-17,B.1.177,0,0.0,11
46926,Kosovo,2021-05-17,B.1.221,0,0.0,11
46927,Kosovo,2021-05-17,B.1.258,0,0.0,11
46928,Kosovo,2021-05-17,B.1.367,0,0.0,11
46929,Kosovo,2021-05-17,B.1.620,0,0.0,11
46930,Kosovo,2021-05-17,Beta,0,0.0,11
46931,Kosovo,2021-05-17,Delta,0,0.0,11
46932,Kosovo,2021-05-17,Epsilon,0,0.0,11
46933,Kosovo,2021-05-17,Eta,0,0.0,11
46934,Kosovo,2021-05-17,Gamma,0,0.0,11
46935,Kosovo,2021-05-17,Iota,0,0.0,11
46936,Kosovo,2021-05-17,Kappa,0,0.0,11
46937,Kosovo,2021-05-17,Lambda,0,0.0,11
46938,Kosovo,2021-05-17,Mu,0,0.0,11
46939,Kosovo,2021-05-17,Omicron,0,0.0,11
46940,Kosovo,2021-05-17,S:677H.Robin1,0,0.0,11
46941,Kosovo,2021-05-17,S:677P.Pelican,0,0.0,11
46942,Kosovo,2021-05-17,others,0,0.0,11
46943,Kosovo,2021-05-17,non_who,0,0.0,11
46944,Kosovo,2021-05-31,Alpha,1,100.0,1
46945,Kosovo,2021-05-31,B.1.1.277,0,0.0,1
46946,Kosovo,2021-05-31,B.1.1.302,0,0.0,1
46947,Kosovo,2021-05-31,B.1.1.519,0,0.0,1
46948,Kosovo,2021-05-31,B.1.160,0,0.0,1
46949,Kosovo,2021-05-31,B.1.177,0,0.0,1
46950,Kosovo,2021-05-31,B.1.221,0,0.0,1
46951,Kosovo,2021-05-31,B.1.258,0,0.0,1
46952,Kosovo,2021-05-31,B.1.367,0,0.0,1
46953,Kosovo,2021-05-31,B.1.620,0,0.0,1
46954,Kosovo,2021-05-31,Beta,0,0.0,1
46955,Kosovo,2021-05-31,Delta,0,0.0,1
46956,Kosovo,2021-05-31,Epsilon,0,0.0,1
46957,Kosovo,2021-05-31,Eta,0,0.0,1
46958,Kosovo,2021-05-31,Gamma,0,0.0,1
46959,Kosovo,2021-05-31,Iota,0,0.0,1
46960,Kosovo,2021-05-31,Kappa,0,0.0,1
46961,Kosovo,2021-05-31,Lambda,0,0.0,1
46962,Kosovo,2021-05-31,Mu,0,0.0,1
46963,Kosovo,2021-05-31,Omicron,0,0.0,1
46964,Kosovo,2021-05-31,S:677H.Robin1,0,0.0,1
46965,Kosovo,2021-05-31,S:677P.Pelican,0,0.0,1
46966,Kosovo,2021-05-31,others,0,0.0,1
46967,Kosovo,2021-05-31,non_who,0,0.0,1
46968,Kosovo,2021-06-14,Alpha,7,100.0,7
46969,Kosovo,2021-06-14,B.1.1.277,0,0.0,7
46970,Kosovo,2021-06-14,B.1.1.302,0,0.0,7
46971,Kosovo,2021-06-14,B.1.1.519,0,0.0,7
46972,Kosovo,2021-06-14,B.1.160,0,0.0,7
46973,Kosovo,2021-06-14,B.1.177,0,0.0,7
46974,Kosovo,2021-06-14,B.1.221,0,0.0,7
46975,Kosovo,2021-06-14,B.1.258,0,0.0,7
46976,Kosovo,2021-06-14,B.1.367,0,0.0,7
46977,Kosovo,2021-06-14,B.1.620,0,0.0,7
46978,Kosovo,2021-06-14,Beta,0,0.0,7
46979,Kosovo,2021-06-14,Delta,0,0.0,7
46980,Kosovo,2021-06-14,Epsilon,0,0.0,7
46981,Kosovo,2021-06-14,Eta,0,0.0,7
46982,Kosovo,2021-06-14,Gamma,0,0.0,7
46983,Kosovo,2021-06-14,Iota,0,0.0,7
46984,Kosovo,2021-06-14,Kappa,0,0.0,7
