,location,date,variant,num_sequences,perc_sequences,num_sequences_total
47280,Kuwait,2021-01-04,Alpha,1,6.67,15
47281,Kuwait,2021-01-04,B.1.1.277,0,0.0,15
47282,Kuwait,2021-01-04,B.1.1.302,0,0.0,15
47283,Kuwait,2021-01-04,B.1.1.519,0,0.0,15
47284,Kuwait,2021-01-04,B.1.160,0,0.0,15
47285,Kuwait,2021-01-04,B.1.177,0,0.0,15
47286,Kuwait,2021-01-04,B.1.221,0,0.0,15
47287,Kuwait,2021-01-04,B.1.258,0,0.0,15
47288,Kuwait,2021-01-04,B.1.367,0,0.0,15
47289,Kuwait,2021-01-04,B.1.620,0,0.0,15
47290,Kuwait,2021-01-04,Beta,0,0.0,15
47291,Kuwait,2021-01-04,Delta,0,0.0,15
47292,Kuwait,2021-01-04,Epsilon,0,0.0,15
47293,Kuwait,2021-01-04,Eta,0,0.0,15
47294,Kuwait,2021-01-04,Gamma,0,0.0,15
47295,Kuwait,2021-01-04,Iota,0,0.0,15
47296,Kuwait,2021-01-04,Kappa,0,0.0,15
47297,Kuwait,2021-01-04,Lambda,0,0.0,15
47298,Kuwait,2021-01-04,Mu,0,0.0,15
47299,Kuwait,2021-01-04,Omicron,0,0.0,15
47300,Kuwait,2021-01-04,S:677H.Robin1,0,0.0,15
47301,Kuwait,2021-01-04,S:677P.Pelican,0,0.0,15
47302,Kuwait,2021-01-04,others,14,93.33,15
47303,Kuwait,2021-01-04,non_who,14,93.33,15
47304,Kuwait,2021-01-25,Alpha,5,100.0,5
47305,Kuwait,2021-01-25,B.1.1.277,0,0.0,5
47306,Kuwait,2021-01-25,B.1.1.302,0,0.0,5
47307,Kuwait,2021-01-25,B.1.1.519,0,0.0,5
47308,Kuwait,2021-01-25,B.1.160,0,0.0,5
47309,Kuwait,2021-01-25,B.1.177,0,0.0,5
47310,Kuwait,2021-01-25,B.1.221,0,0.0,5
47311,Kuwait,2021-01-25,B.1.258,0,0.0,5
47312,Kuwait,2021-01-25,B.1.367,0,0.0,5
47313,Kuwait,2021-01-25,B.1.620,0,0.0,5
47314,Kuwait,2021-01-25,Beta,0,0.0,5
47315,Kuwait,2021-01-25,Delta,0,0.0,5
47316,Kuwait,2021-01-25,Epsilon,0,0.0,5
47317,Kuwait,2021-01-25,Eta,0,0.0,5
47318,Kuwait,2021-01-25,Gamma,0,0.0,5
47319,Kuwait,2021-01-25,Iota,0,0.0,5
47320,Kuwait,2021-01-25,Kappa,0,0.0,5
47321,Kuwait,2021-01-25,Lambda,0,0.0,5
47322,Kuwait,2021-01-25,Mu,0,0.0,5
47323,Kuwait,2021-01-25,Omicron,0,0.0,5
47324,Kuwait,2021-01-25,S:677H.Robin1,0,0.0,5
47325,Kuwait,2021-01-25,S:677P.Pelican,0,0.0,5
47326,Kuwait,2021-01-25,others,0,0.0,5
47327,Kuwait,2021-01-25,non_who,0,0.0,5
47328,Kuwait,2021-02-08,Alpha,5,100.0,5
47329,Kuwait,2021-02-08,B.1.1.277,0,0.0,5
47330,Kuwait,2021-02-08,B.1.1.302,0,0.0,5
47331,Kuwait,2021-02-08,B.1.1.519,0,0.0,5
47332,Kuwait,2021-02-08,B.1.160,0,0.0,5
47333,Kuwait,2021-02-08,B.1.177,0,0.0,5
47334,Kuwait,2021-02-08,B.1.221,0,0.0,5
47335,Kuwait,2021-02-08,B.1.258,0,0.0,5
47336,Kuwait,2021-02-08,B.1.367,0,0.0,5
47337,Kuwait,2021-02-08,B.1.620,0,0.0,5
47338,Kuwait,2021-02-08,Beta,0,0.0,5
47339,Kuwait,2021-02-08,Delta,0,0.0,5
47340,Kuwait,2021-02-08,Epsilon,0,0.0,5
47341,Kuwait,2021-02-08,Eta,0,0.0,5
47342,Kuwait,2021-02-08,Gamma,0,0.0,5
47343,Kuwait,2021-02-08,Iota,0,0.0,5
47344,Kuwait,2021-02-08,Kappa,0,0.0,5
47345,Kuwait,2021-02-08,Lambda,0,0.0,5
47346,Kuwait,2021-02-08,Mu,0,0.0,5
47347,Kuwait,2021-02-08,Omicron,0,0.0,5
47348,Kuwait,2021-02-08,S:677H.Robin1,0,0.0,5
47349,Kuwait,2021-02-08,S:677P.Pelican,0,0.0,5
47350,Kuwait,2021-02-08,others,0,0.0,5
47351,Kuwait,2021-02-08,non_who,0,0.0,5
47352,Kuwait,2021-04-19,Alpha,3,100.0,3
47353,Kuwait,2021-04-19,B.1.1.277,0,0.0,3
47354,Kuwait,2021-04-19,B.1.1.302,0,0.0,3
47355,Kuwait,2021-04-19,B.1.1.519,0,0.0,3
47356,Kuwait,2021-04-19,B.1.160,0,0.0,3
47357,Kuwait,2021-04-19,B.1.177,0,0.0,3
47358,Kuwait,2021-04-19,B.1.221,0,0.0,3
47359,Kuwait,2021-04-19,B.1.258,0,0.0,3
47360,Kuwait,2021-04-19,B.1.367,0,0.0,3
47361,Kuwait,2021-04-19,B.1.620,0,0.0,3
47362,Kuwait,2021-04-19,Beta,0,0.0,3
47363,Kuwait,2021-04-19,Delta,0,0.0,3
47364,Kuwait,2021-04-19,Epsilon,0,0.0,3
47365,Kuwait,2021-04-19,Eta,0,0.0,3
47366,Kuwait,2021-04-19,Gamma,0,0.0,3
47367,Kuwait,2021-04-19,Iota,0,0.0,3
47368,Kuwait,2021-04-19,Kappa,0,0.0,3
47369,Kuwait,2021-04-19,Lambda,0,0.0,3
47370,Kuwait,2021-04-19,Mu,0,0.0,3
47371,Kuwait,2021-04-19,Omicron,0,0.0,3
47372,Kuwait,2021-04-19,S:677H.Robin1,0,0.0,3
47373,Kuwait,2021-04-19,S:677P.Pelican,0,0.0,3
47374,Kuwait,2021-04-19,others,0,0.0,3
47375,Kuwait,2021-04-19,non_who,0,0.0,3
47376,Kuwait,2021-05-31,Alpha,3,42.86,7
47377,Kuwait,2021-05-31,B.1.1.277,0,0.0,7
47378,Kuwait,2021-05-31,B.1.1.302,0,0.0,7
47379,Kuwait,2021-05-31,B.1.1.519,0,0.0,7
47380,Kuwait,2021-05-31,B.1.160,0,0.0,7
47381,Kuwait,2021-05-31,B.1.177,0,0.0,7
47382,Kuwait,2021-05-31,B.1.221,0,0.0,7
47383,Kuwait,2021-05-31,B.1.258,0,0.0,7
47384,Kuwait,2021-05-31,B.1.367,0,0.0,7
47385,Kuwait,2021-05-31,B.1.620,0,0.0,7
47386,Kuwait,2021-05-31,Beta,0,0.0,7
47387,Kuwait,2021-05-31,Delta,2,28.57,7
47388,Kuwait,2021-05-31,Epsilon,0,0.0,7
47389,Kuwait,2021-05-31,Eta,1,14.29,7
47390,Kuwait,2021-05-31,Gamma,0,0.0,7
47391,Kuwait,2021-05-31,Iota,0,0.0,7
47392,Kuwait,2021-05-31,Kappa,0,0.0,7
47393,Kuwait,2021-05-31,Lambda,0,0.0,7
47394,Kuwait,2021-05-31,Mu,0,0.0,7
47395,Kuwait,2021-05-31,Omicron,0,0.0,7
47396,Kuwait,2021-05-31,S:677H.Robin1,0,0.0,7
47397,Kuwait,2021-05-31,S:677P.Pelican,0,0.0,7
47398,Kuwait,2021-05-31,others,1,14.28,7
47399,Kuwait,2021-05-31,non_who,1,14.28,7
47400,Kuwait,2021-06-14,Alpha,9,28.12,32
47401,Kuwait,2021-06-14,B.1.1.277,0,0.0,32
47402,Kuwait,2021-06-14,B.1.1.302,0,0.0,32
47403,Kuwait,2021-06-14,B.1.1.519,0,0.0,32
47404,Kuwait,2021-06-14,B.1.160,0,0.0,32
47405,Kuwait,2021-06-14,B.1.177,0,0.0,32
47406,Kuwait,2021-06-14,B.1.221,0,0.0,32
47407,Kuwait,2021-06-14,B.1.258,0,0.0,32
47408,Kuwait,2021-06-14,B.1.367,0,0.0,32
47409,Kuwait,2021-06-14,B.1.620,0,0.0,32
47410,Kuwait,2021-06-14,Beta,0,0.0,32
47411,Kuwait,2021-06-14,Delta,18,56.25,32
47412,Kuwait,2021-06-14,Epsilon,0,0.0,32
47413,Kuwait,2021-06-14,Eta,1,3.12,32
47414,Kuwait,2021-06-14,Gamma,0,0.0,32
47415,Kuwait,2021-06-14,Iota,0,0.0,32
47416,Kuwait,2021-06-14,Kappa,0,0.0,32
47417,Kuwait,2021-06-14,Lambda,0,0.0,32
47418,Kuwait,2021-06-14,Mu,0,0.0,32
47419,Kuwait,2021-06-14,Omicron,0,0.0,32
47420,Kuwait,2021-06-14,S:677H.Robin1,0,0.0,32
47421,Kuwait,2021-06-14,S:677P.Pelican,0,0.0,32
47422,Kuwait,2021-06-14,others,4,12.51,32
47423,Kuwait,2021-06-14,non_who,4,12.51,32
47424,Kuwait,2021-06-28,Alpha,3,7.5,40
47425,Kuwait,2021-06-28,B.1.1.277,0,0.0,40
47426,Kuwait,2021-06-28,B.1.1.302,0,0.0,40
47427,Kuwait,2021-06-28,B.1.1.519,0,0.0,40
47428,Kuwait,2021-06-28,B.1.160,0,0.0,40
47429,Kuwait,2021-06-28,B.1.177,0,0.0,40
47430,Kuwait,2021-06-28,B.1.221,0,0.0,40
47431,Kuwait,2021-06-28,B.1.258,0,0.0,40
47432,Kuwait,2021-06-28,B.1.367,0,0.0,40
47433,Kuwait,2021-06-28,B.1.620,0,0.0,40
47434,Kuwait,2021-06-28,Beta,0,0.0,40
47435,Kuwait,2021-06-28,Delta,36,90.0,40
47436,Kuwait,2021-06-28,Epsilon,0,0.0,40
47437,Kuwait,2021-06-28,Eta,0,0.0,40
47438,Kuwait,2021-06-28,Gamma,0,0.0,40
47439,Kuwait,2021-06-28,Iota,0,0.0,40
47440,Kuwait,2021-06-28,Kappa,0,0.0,40
47441,Kuwait,2021-06-28,Lambda,0,0.0,40
47442,Kuwait,2021-06-28,Mu,0,0.0,40
47443,Kuwait,2021-06-28,Omicron,0,0.0,40
47444,Kuwait,2021-06-28,S:677H.Robin1,0,0.0,40
47445,Kuwait,2021-06-28,S:677P.Pelican,0,0.0,40
47446,Kuwait,2021-06-28,others,1,2.5,40
47447,Kuwait,2021-06-28,non_who,1,2.5,40
47448,Kuwait,2021-07-12,Alpha,1,1.52,66
47449,Kuwait,2021-07-12,B.1.1.277,0,0.0,66
47450,Kuwait,2021-07-12,B.1.1.302,0,0.0,66
47451,Kuwait,2021-07-12,B.1.1.519,0,0.0,66
47452,Kuwait,2021-07-12,B.1.160,0,0.0,66
47453,Kuwait,2021-07-12,B.1.177,0,0.0,66
47454,Kuwait,2021-07-12,B.1.221,0,0.0,66
47455,Kuwait,2021-07-12,B.1.258,0,0.0,66
47456,Kuwait,2021-07-12,B.1.367,0,0.0,66
47457,Kuwait,2021-07-12,B.1.620,0,0.0,66
47458,Kuwait,2021-07-12,Beta,0,0.0,66
47459,Kuwait,2021-07-12,Delta,65,98.48,66
47460,Kuwait,2021-07-12,Epsilon,0,0.0,66
47461,Kuwait,2021-07-12,Eta,0,0.0,66
47462,Kuwait,2021-07-12,Gamma,0,0.0,66
47463,Kuwait,2021-07-12,Iota,0,0.0,66
47464,Kuwait,2021-07-12,Kappa,0,0.0,66
47465,Kuwait,2021-07-12,Lambda,0,0.0,66
47466,Kuwait,2021-07-12,Mu,0,0.0,66
47467,Kuwait,2021-07-12,Omicron,0,0.0,66
47468,Kuwait,2021-07-12,S:677H.Robin1,0,0.0,66
47469,Kuwait,2021-07-12,S:677P.Pelican,0,0.0,66
47470,Kuwait,2021-07-12,others,0,0.0,66
47471,Kuwait,2021-07-12,non_who,0,0.0,66
47472,Kuwait,2021-08-09,Alpha,0,0.0,8
47473,Kuwait,2021-08-09,B.1.1.277,0,0.0,8
47474,Kuwait,2021-08-09,B.1.1.302,0,0.0,8
47475,Kuwait,2021-08-09,B.1.1.519,0,0.0,8
47476,Kuwait,2021-08-09,B.1.160,0,0.0,8
47477,Kuwait,2021-08-09,B.1.177,0,0.0,8
47478,Kuwait,2021-08-09,B.1.221,0,0.0,8
47479,Kuwait,2021-08-09,B.1.258,0,0.0,8
47480,Kuwait,2021-08-09,B.1.367,0,0.0,8
47481,Kuwait,2021-08-09,B.1.620,0,0.0,8
47482,Kuwait,2021-08-09,Beta,0,0.0,8
47483,Kuwait,2021-08-09,Delta,8,100.0,8
47484,Kuwait,2021-08-09,Epsilon,0,0.0,8
47485,Kuwait,2021-08-09,Eta,0,0.0,8
47486,Kuwait,2021-08-09,Gamma,0,0.0,8
47487,Kuwait,2021-08-09,Iota,0,0.0,8
47488,Kuwait,2021-08-09,Kappa,0,0.0,8
47489,Kuwait,2021-08-09,Lambda,0,0.0,8
47490,Kuwait,2021-08-09,Mu,0,0.0,8
47491,Kuwait,2021-08-09,Omicron,0,0.0,8
47492,Kuwait,2021-08-09,S:677H.Robin1,0,0.0,8
47493,Kuwait,2021-08-09,S:677P.Pelican,0,0.0,8
47494,Kuwait,2021-08-09,others,0,0.0,8
47495,Kuwait,2021-08-09,non_who,0,0.0,8
47496,Kuwait,2021-08-23,Alpha,0,0.0,32
47497,Kuwait,2021-08-23,B.1.1.277,0,0.0,32
47498,Kuwait,2021-08-23,B.1.1.302,0,0.0,32
47499,Kuwait,2021-08-23,B.1.1.519,0,0.0,32
47500,Kuwait,2021-08-23,B.1.160,0,0.0,32
47501,Kuwait,2021-08-23,B.1.177,0,0.0,32
47502,Kuwait,2021-08-23,B.1.221,0,0.0,32
47503,Kuwait,2021-08-23,B.1.258,0,0.0,32
47504,Kuwait,2021-08-23,B.1.367,0,0.0,32
47505,Kuwait,2021-08-23,B.1.620,0,0.0,32
47506,Kuwait,2021-08-23,Beta,0,0.0,32
47507,Kuwait,2021-08-23,Delta,32,100.0,32
47508,Kuwait,2021-08-23,Epsilon,0,0.0,32
47509,Kuwait,2021-08-23,Eta,0,0.0,32
47510,Kuwait,2021-08-23,Gamma,0,0.0,32
47511,Kuwait,2021-08-23,Iota,0,0.0,32
47512,Kuwait,2021-08-23,Kappa,0,0.0,32
47513,Kuwait,2021-08-23,Lambda,0,0.0,32
47514,Kuwait,2021-08-23,Mu,0,0.0,32
47515,Kuwait,2021-08-23,Omicron,0,0.0,32
47516,Kuwait,2021-08-23,S:677H.Robin1,0,0.0,32
47517,Kuwait,2021-08-23,S:677P.Pelican,0,0.0,32
47518,Kuwait,2021-08-23,others,0,0.0,32
47519,Kuwait,2021-08-23,non_who,0,0.0,32
47520,Kuwait,2021-09-06,Alpha,0,0.0,5
47521,Kuwait,2021-09-06,B.1.1.277,0,0.0,5
47522,Kuwait,2021-09-06,B.1.1.302,0,0.0,5
47523,Kuwait,2021-09-06,B.1.1.519,0,0.0,5
47524,Kuwait,2021-09-06,B.1.160,0,0.0,5
47525,Kuwait,2021-09-06,B.1.177,0,0.0,5
47526,Kuwait,2021-09-06,B.1.221,0,0.0,5
47527,Kuwait,2021-09-06,B.1.258,0,0.0,5
47528,Kuwait,2021-09-06,B.1.367,0,0.0,5
47529,Kuwait,2021-09-06,B.1.620,0,0.0,5
47530,Kuwait,2021-09-06,Beta,0,0.0,5
47531,Kuwait,2021-09-06,Delta,5,100.0,5
47532,Kuwait,2021-09-06,Epsilon,0,0.0,5
47533,Kuwait,2021-09-06,Eta,0,0.0,5
47534,Kuwait,2021-09-06,Gamma,0,0.0,5
47535,Kuwait,2021-09-06,Iota,0,0.0,5
47536,Kuwait,2021-09-06,Kappa,0,0.0,5
47537,Kuwait,2021-09-06,Lambda,0,0.0,5
47538,Kuwait,2021-09-06,Mu,0,0.0,5
47539,Kuwait,2021-09-06,Omicron,0,0.0,5
47540,Kuwait,2021-09-06,S:677H.Robin1,0,0.0,5
47541,Kuwait,2021-09-06,S:677P.Pelican,0,0.0,5
47542,Kuwait,2021-09-06,others,0,0.0,5
47543,Kuwait,2021-09-06,non_who,0,0.0,5
47544,Kuwait,2021-09-20,Alpha,0,0.0,18
47545,Kuwait,2021-09-20,B.1.1.277,0,0.0,18
47546,Kuwait,2021-09-20,B.1.1.302,0,0.0,18
47547,Kuwait,2021-09-20,B.1.1.519,0,0.0,18
47548,Kuwait,2021-09-20,B.1.160,0,0.0,18
47549,Kuwait,2021-09-20,B.1.177,0,0.0,18
47550,Kuwait,2021-09-20,B.1.221,0,0.0,18
47551,Kuwait,2021-09-20,B.1.258,0,0.0,18
47552,Kuwait,2021-09-20,B.1.367,0,0.0,18
47553,Kuwait,2021-09-20,B.1.620,0,0.0,18
47554,Kuwait,2021-09-20,Beta,0,0.0,18
47555,Kuwait,2021-09-20,Delta,18,100.0,18
47556,Kuwait,2021-09-20,Epsilon,0,0.0,18
47557,Kuwait,2021-09-20,Eta,0,0.0,18
47558,Kuwait,2021-09-20,Gamma,0,0.0,18
47559,Kuwait,2021-09-20,Iota,0,0.0,18
47560,Kuwait,2021-09-20,Kappa,0,0.0,18
47561,Kuwait,2021-09-20,Lambda,0,0.0,18
47562,Kuwait,2021-09-20,Mu,0,0.0,18
47563,Kuwait,2021-09-20,Omicron,0,0.0,18
47564,Kuwait,2021-09-20,S:677H.Robin1,0,0.0,18
47565,Kuwait,2021-09-20,S:677P.Pelican,0,0.0,18
47566,Kuwait,2021-09-20,others,0,0.0,18
47567,Kuwait,2021-09-20,non_who,0,0.0,18
47568,Kuwait,2021-10-04,Alpha,0,0.0,30
47569,Kuwait,2021-10-04,B.1.1.277,0,0.0,30
47570,Kuwait,2021-10-04,B.1.1.302,0,0.0,30
47571,Kuwait,2021-10-04,B.1.1.519,0,0.0,30
47572,Kuwait,2021-10-04,B.1.160,0,0.0,30
47573,Kuwait,2021-10-04,B.1.177,0,0.0,30
47574,Kuwait,2021-10-04,B.1.221,0,0.0,30
47575,Kuwait,2021-10-04,B.1.258,0,0.0,30
47576,Kuwait,2021-10-04,B.1.367,0,0.0,30
47577,Kuwait,2021-10-04,B.1.620,0,0.0,30
47578,Kuwait,2021-10-04,Beta,0,0.0,30
47579,Kuwait,2021-10-04,Delta,30,100.0,30
47580,Kuwait,2021-10-04,Epsilon,0,0.0,30
47581,Kuwait,2021-10-04,Eta,0,0.0,30
47582,Kuwait,2021-10-04,Gamma,0,0.0,30
47583,Kuwait,2021-10-04,Iota,0,0.0,30
47584,Kuwait,2021-10-04,Kappa,0,0.0,30
47585,Kuwait,2021-10-04,Lambda,0,0.0,30
47586,Kuwait,2021-10-04,Mu,0,0.0,30
47587,Kuwait,2021-10-04,Omicron,0,0.0,30
47588,Kuwait,2021-10-04,S:677H.Robin1,0,0.0,30
47589,Kuwait,2021-10-04,S:677P.Pelican,0,0.0,30
47590,Kuwait,2021-10-04,others,0,0.0,30
47591,Kuwait,2021-10-04,non_who,0,0.0,30
47592,Kuwait,2021-10-18,Alpha,0,0.0,22
47593,Kuwait,2021-10-18,B.1.1.277,0,0.0,22
47594,Kuwait,2021-10-18,B.1.1.302,0,0.0,22
47595,Kuwait,2021-10-18,B.1.1.519,0,0.0,22
47596,Kuwait,2021-10-18,B.1.160,0,0.0,22
47597,Kuwait,2021-10-18,B.1.177,0,0.0,22
47598,Kuwait,2021-10-18,B.1.221,0,0.0,22
