,location,date,variant,num_sequences,perc_sequences,num_sequences_total
49056,Liechtenstein,2020-10-26,Alpha,0,0.0,3
49057,Liechtenstein,2020-10-26,B.1.1.277,0,0.0,3
49058,Liechtenstein,2020-10-26,B.1.1.302,0,0.0,3
49059,Liechtenstein,2020-10-26,B.1.1.519,0,0.0,3
49060,Liechtenstein,2020-10-26,B.1.160,0,0.0,3
49061,Liechtenstein,2020-10-26,B.1.177,0,0.0,3
49062,Liechtenstein,2020-10-26,B.1.221,0,0.0,3
49063,Liechtenstein,2020-10-26,B.1.258,3,100.0,3
49064,Liechtenstein,2020-10-26,B.1.367,0,0.0,3
49065,Liechtenstein,2020-10-26,B.1.620,0,0.0,3
49066,Liechtenstein,2020-10-26,Beta,0,0.0,3
49067,Liechtenstein,2020-10-26,Delta,0,0.0,3
49068,Liechtenstein,2020-10-26,Epsilon,0,0.0,3
49069,Liechtenstein,2020-10-26,Eta,0,0.0,3
49070,Liechtenstein,2020-10-26,Gamma,0,0.0,3
49071,Liechtenstein,2020-10-26,Iota,0,0.0,3
49072,Liechtenstein,2020-10-26,Kappa,0,0.0,3
49073,Liechtenstein,2020-10-26,Lambda,0,0.0,3
49074,Liechtenstein,2020-10-26,Mu,0,0.0,3
49075,Liechtenstein,2020-10-26,Omicron,0,0.0,3
49076,Liechtenstein,2020-10-26,S:677H.Robin1,0,0.0,3
49077,Liechtenstein,2020-10-26,S:677P.Pelican,0,0.0,3
49078,Liechtenstein,2020-10-26,others,0,0.0,3
49079,Liechtenstein,2020-10-26,non_who,3,100.0,3
49080,Liechtenstein,2020-11-23,Alpha,0,0.0,1
49081,Liechtenstein,2020-11-23,B.1.1.277,0,0.0,1
49082,Liechtenstein,2020-11-23,B.1.1.302,0,0.0,1
49083,Liechtenstein,2020-11-23,B.1.1.519,0,0.0,1
49084,Liechtenstein,2020-11-23,B.1.160,0,0.0,1
49085,Liechtenstein,2020-11-23,B.1.177,0,0.0,1
49086,Liechtenstein,2020-11-23,B.1.221,0,0.0,1
49087,Liechtenstein,2020-11-23,B.1.258,1,100.0,1
49088,Liechtenstein,2020-11-23,B.1.367,0,0.0,1
49089,Liechtenstein,2020-11-23,B.1.620,0,0.0,1
49090,Liechtenstein,2020-11-23,Beta,0,0.0,1
49091,Liechtenstein,2020-11-23,Delta,0,0.0,1
49092,Liechtenstein,2020-11-23,Epsilon,0,0.0,1
49093,Liechtenstein,2020-11-23,Eta,0,0.0,1
49094,Liechtenstein,2020-11-23,Gamma,0,0.0,1
49095,Liechtenstein,2020-11-23,Iota,0,0.0,1
49096,Liechtenstein,2020-11-23,Kappa,0,0.0,1
49097,Liechtenstein,2020-11-23,Lambda,0,0.0,1
49098,Liechtenstein,2020-11-23,Mu,0,0.0,1
49099,Liechtenstein,2020-11-23,Omicron,0,0.0,1
49100,Liechtenstein,2020-11-23,S:677H.Robin1,0,0.0,1
49101,Liechtenstein,2020-11-23,S:677P.Pelican,0,0.0,1
49102,Liechtenstein,2020-11-23,others,0,0.0,1
49103,Liechtenstein,2020-11-23,non_who,1,100.0,1
49104,Liechtenstein,2020-12-07,Alpha,0,0.0,2
49105,Liechtenstein,2020-12-07,B.1.1.277,0,0.0,2
49106,Liechtenstein,2020-12-07,B.1.1.302,0,0.0,2
49107,Liechtenstein,2020-12-07,B.1.1.519,0,0.0,2
49108,Liechtenstein,2020-12-07,B.1.160,0,0.0,2
49109,Liechtenstein,2020-12-07,B.1.177,0,0.0,2
49110,Liechtenstein,2020-12-07,B.1.221,0,0.0,2
49111,Liechtenstein,2020-12-07,B.1.258,2,100.0,2
49112,Liechtenstein,2020-12-07,B.1.367,0,0.0,2
49113,Liechtenstein,2020-12-07,B.1.620,0,0.0,2
49114,Liechtenstein,2020-12-07,Beta,0,0.0,2
49115,Liechtenstein,2020-12-07,Delta,0,0.0,2
49116,Liechtenstein,2020-12-07,Epsilon,0,0.0,2
49117,Liechtenstein,2020-12-07,Eta,0,0.0,2
49118,Liechtenstein,2020-12-07,Gamma,0,0.0,2
49119,Liechtenstein,2020-12-07,Iota,0,0.0,2
49120,Liechtenstein,2020-12-07,Kappa,0,0.0,2
49121,Liechtenstein,2020-12-07,Lambda,0,0.0,2
