,location,date,variant,num_sequences,perc_sequences,num_sequences_total
49728,Lithuania,2020-05-25,Alpha,0,0.0,13
49729,Lithuania,2020-05-25,B.1.1.277,0,0.0,13
49730,Lithuania,2020-05-25,B.1.1.302,0,0.0,13
49731,Lithuania,2020-05-25,B.1.1.519,0,0.0,13
49732,Lithuania,2020-05-25,B.1.160,0,0.0,13
49733,Lithuania,2020-05-25,B.1.177,0,0.0,13
49734,Lithuania,2020-05-25,B.1.221,0,0.0,13
49735,Lithuania,2020-05-25,B.1.258,0,0.0,13
49736,Lithuania,2020-05-25,B.1.367,0,0.0,13
49737,Lithuania,2020-05-25,B.1.620,0,0.0,13
49738,Lithuania,2020-05-25,Beta,0,0.0,13
49739,Lithuania,2020-05-25,Delta,0,0.0,13
49740,Lithuania,2020-05-25,Epsilon,0,0.0,13
49741,Lithuania,2020-05-25,Eta,0,0.0,13
49742,Lithuania,2020-05-25,Gamma,0,0.0,13
49743,Lithuania,2020-05-25,Iota,0,0.0,13
49744,Lithuania,2020-05-25,Kappa,0,0.0,13
49745,Lithuania,2020-05-25,Lambda,0,0.0,13
49746,Lithuania,2020-05-25,Mu,0,0.0,13
49747,Lithuania,2020-05-25,Omicron,0,0.0,13
49748,Lithuania,2020-05-25,S:677H.Robin1,0,0.0,13
49749,Lithuania,2020-05-25,S:677P.Pelican,0,0.0,13
49750,Lithuania,2020-05-25,others,13,100.0,13
49751,Lithuania,2020-05-25,non_who,13,100.0,13
49752,Lithuania,2020-06-08,Alpha,0,0.0,2
49753,Lithuania,2020-06-08,B.1.1.277,0,0.0,2
49754,Lithuania,2020-06-08,B.1.1.302,0,0.0,2
49755,Lithuania,2020-06-08,B.1.1.519,0,0.0,2
49756,Lithuania,2020-06-08,B.1.160,0,0.0,2
49757,Lithuania,2020-06-08,B.1.177,0,0.0,2
49758,Lithuania,2020-06-08,B.1.221,0,0.0,2
49759,Lithuania,2020-06-08,B.1.258,0,0.0,2
49760,Lithuania,2020-06-08,B.1.367,0,0.0,2
49761,Lithuania,2020-06-08,B.1.620,0,0.0,2
49762,Lithuania,2020-06-08,Beta,0,0.0,2
49763,Lithuania,2020-06-08,Delta,0,0.0,2
49764,Lithuania,2020-06-08,Epsilon,0,0.0,2
49765,Lithuania,2020-06-08,Eta,0,0.0,2
49766,Lithuania,2020-06-08,Gamma,0,0.0,2
49767,Lithuania,2020-06-08,Iota,0,0.0,2
49768,Lithuania,2020-06-08,Kappa,0,0.0,2
49769,Lithuania,2020-06-08,Lambda,0,0.0,2
49770,Lithuania,2020-06-08,Mu,0,0.0,2
49771,Lithuania,2020-06-08,Omicron,0,0.0,2
49772,Lithuania,2020-06-08,S:677H.Robin1,0,0.0,2
49773,Lithuania,2020-06-08,S:677P.Pelican,0,0.0,2
