,location,date,variant,num_sequences,perc_sequences,num_sequences_total
51696,Madagascar,2020-05-11,Alpha,0,0.0,13
51697,Madagascar,2020-05-11,B.1.1.277,0,0.0,13
51698,Madagascar,2020-05-11,B.1.1.302,0,0.0,13
51699,Madagascar,2020-05-11,B.1.1.519,0,0.0,13
51700,Madagascar,2020-05-11,B.1.160,0,0.0,13
51701,Madagascar,2020-05-11,B.1.177,0,0.0,13
51702,Madagascar,2020-05-11,B.1.221,0,0.0,13
51703,Madagascar,2020-05-11,B.1.258,0,0.0,13
51704,Madagascar,2020-05-11,B.1.367,0,0.0,13
51705,Madagascar,2020-05-11,B.1.620,0,0.0,13
51706,Madagascar,2020-05-11,Beta,0,0.0,13
51707,Madagascar,2020-05-11,Delta,0,0.0,13
51708,Madagascar,2020-05-11,Epsilon,0,0.0,13
51709,Madagascar,2020-05-11,Eta,0,0.0,13
51710,Madagascar,2020-05-11,Gamma,0,0.0,13
51711,Madagascar,2020-05-11,Iota,0,0.0,13
51712,Madagascar,2020-05-11,Kappa,0,0.0,13
51713,Madagascar,2020-05-11,Lambda,0,0.0,13
51714,Madagascar,2020-05-11,Mu,0,0.0,13
51715,Madagascar,2020-05-11,Omicron,0,0.0,13
51716,Madagascar,2020-05-11,S:677H.Robin1,0,0.0,13
51717,Madagascar,2020-05-11,S:677P.Pelican,0,0.0,13
51718,Madagascar,2020-05-11,others,13,100.0,13
51719,Madagascar,2020-05-11,non_who,13,100.0,13
51720,Madagascar,2020-05-25,Alpha,0,0.0,14
51721,Madagascar,2020-05-25,B.1.1.277,0,0.0,14
51722,Madagascar,2020-05-25,B.1.1.302,0,0.0,14
51723,Madagascar,2020-05-25,B.1.1.519,0,0.0,14
51724,Madagascar,2020-05-25,B.1.160,0,0.0,14
51725,Madagascar,2020-05-25,B.1.177,0,0.0,14
51726,Madagascar,2020-05-25,B.1.221,0,0.0,14
51727,Madagascar,2020-05-25,B.1.258,0,0.0,14
51728,Madagascar,2020-05-25,B.1.367,0,0.0,14
51729,Madagascar,2020-05-25,B.1.620,0,0.0,14
51730,Madagascar,2020-05-25,Beta,0,0.0,14
51731,Madagascar,2020-05-25,Delta,0,0.0,14
51732,Madagascar,2020-05-25,Epsilon,0,0.0,14
51733,Madagascar,2020-05-25,Eta,0,0.0,14
51734,Madagascar,2020-05-25,Gamma,0,0.0,14
51735,Madagascar,2020-05-25,Iota,0,0.0,14
51736,Madagascar,2020-05-25,Kappa,0,0.0,14
