,location,date,variant,num_sequences,perc_sequences,num_sequences_total
53112,Malaysia,2020-05-11,Alpha,0,0.0,7
53113,Malaysia,2020-05-11,B.1.1.277,0,0.0,7
53114,Malaysia,2020-05-11,B.1.1.302,0,0.0,7
53115,Malaysia,2020-05-11,B.1.1.519,0,0.0,7
53116,Malaysia,2020-05-11,B.1.160,0,0.0,7
53117,Malaysia,2020-05-11,B.1.177,0,0.0,7
53118,Malaysia,2020-05-11,B.1.221,0,0.0,7
53119,Malaysia,2020-05-11,B.1.258,0,0.0,7
53120,Malaysia,2020-05-11,B.1.367,0,0.0,7
53121,Malaysia,2020-05-11,B.1.620,0,0.0,7
53122,Malaysia,2020-05-11,Beta,0,0.0,7
53123,Malaysia,2020-05-11,Delta,0,0.0,7
53124,Malaysia,2020-05-11,Epsilon,0,0.0,7
53125,Malaysia,2020-05-11,Eta,0,0.0,7
53126,Malaysia,2020-05-11,Gamma,0,0.0,7
53127,Malaysia,2020-05-11,Iota,0,0.0,7
53128,Malaysia,2020-05-11,Kappa,0,0.0,7
53129,Malaysia,2020-05-11,Lambda,0,0.0,7
53130,Malaysia,2020-05-11,Mu,0,0.0,7
53131,Malaysia,2020-05-11,Omicron,0,0.0,7
53132,Malaysia,2020-05-11,S:677H.Robin1,0,0.0,7
53133,Malaysia,2020-05-11,S:677P.Pelican,0,0.0,7
53134,Malaysia,2020-05-11,others,7,100.0,7
53135,Malaysia,2020-05-11,non_who,7,100.0,7
53136,Malaysia,2020-05-25,Alpha,0,0.0,14
53137,Malaysia,2020-05-25,B.1.1.277,0,0.0,14
53138,Malaysia,2020-05-25,B.1.1.302,0,0.0,14
53139,Malaysia,2020-05-25,B.1.1.519,0,0.0,14
53140,Malaysia,2020-05-25,B.1.160,0,0.0,14
53141,Malaysia,2020-05-25,B.1.177,0,0.0,14
53142,Malaysia,2020-05-25,B.1.221,0,0.0,14
53143,Malaysia,2020-05-25,B.1.258,0,0.0,14
53144,Malaysia,2020-05-25,B.1.367,0,0.0,14
53145,Malaysia,2020-05-25,B.1.620,0,0.0,14
53146,Malaysia,2020-05-25,Beta,0,0.0,14
53147,Malaysia,2020-05-25,Delta,0,0.0,14
53148,Malaysia,2020-05-25,Epsilon,0,0.0,14
53149,Malaysia,2020-05-25,Eta,0,0.0,14
53150,Malaysia,2020-05-25,Gamma,0,0.0,14
53151,Malaysia,2020-05-25,Iota,0,0.0,14
53152,Malaysia,2020-05-25,Kappa,0,0.0,14
53153,Malaysia,2020-05-25,Lambda,0,0.0,14
53154,Malaysia,2020-05-25,Mu,0,0.0,14
53155,Malaysia,2020-05-25,Omicron,0,0.0,14
53156,Malaysia,2020-05-25,S:677H.Robin1,0,0.0,14
53157,Malaysia,2020-05-25,S:677P.Pelican,0,0.0,14
53158,Malaysia,2020-05-25,others,14,100.0,14
53159,Malaysia,2020-05-25,non_who,14,100.0,14
53160,Malaysia,2020-06-08,Alpha,0,0.0,8
53161,Malaysia,2020-06-08,B.1.1.277,0,0.0,8
53162,Malaysia,2020-06-08,B.1.1.302,0,0.0,8
53163,Malaysia,2020-06-08,B.1.1.519,0,0.0,8
53164,Malaysia,2020-06-08,B.1.160,0,0.0,8
53165,Malaysia,2020-06-08,B.1.177,0,0.0,8
53166,Malaysia,2020-06-08,B.1.221,0,0.0,8
53167,Malaysia,2020-06-08,B.1.258,0,0.0,8
53168,Malaysia,2020-06-08,B.1.367,0,0.0,8
53169,Malaysia,2020-06-08,B.1.620,0,0.0,8
53170,Malaysia,2020-06-08,Beta,0,0.0,8
53171,Malaysia,2020-06-08,Delta,0,0.0,8
53172,Malaysia,2020-06-08,Epsilon,0,0.0,8
53173,Malaysia,2020-06-08,Eta,0,0.0,8
53174,Malaysia,2020-06-08,Gamma,0,0.0,8
53175,Malaysia,2020-06-08,Iota,0,0.0,8
53176,Malaysia,2020-06-08,Kappa,0,0.0,8
53177,Malaysia,2020-06-08,Lambda,0,0.0,8
53178,Malaysia,2020-06-08,Mu,0,0.0,8
53179,Malaysia,2020-06-08,Omicron,0,0.0,8
53180,Malaysia,2020-06-08,S:677H.Robin1,0,0.0,8
53181,Malaysia,2020-06-08,S:677P.Pelican,0,0.0,8
53182,Malaysia,2020-06-08,others,8,100.0,8
53183,Malaysia,2020-06-08,non_who,8,100.0,8
53184,Malaysia,2020-06-22,Alpha,0,0.0,3
53185,Malaysia,2020-06-22,B.1.1.277,0,0.0,3
53186,Malaysia,2020-06-22,B.1.1.302,0,0.0,3
53187,Malaysia,2020-06-22,B.1.1.519,0,0.0,3
53188,Malaysia,2020-06-22,B.1.160,0,0.0,3
53189,Malaysia,2020-06-22,B.1.177,0,0.0,3
53190,Malaysia,2020-06-22,B.1.221,0,0.0,3
53191,Malaysia,2020-06-22,B.1.258,0,0.0,3
53192,Malaysia,2020-06-22,B.1.367,0,0.0,3
53193,Malaysia,2020-06-22,B.1.620,0,0.0,3
53194,Malaysia,2020-06-22,Beta,0,0.0,3
53195,Malaysia,2020-06-22,Delta,0,0.0,3
53196,Malaysia,2020-06-22,Epsilon,0,0.0,3
53197,Malaysia,2020-06-22,Eta,0,0.0,3
53198,Malaysia,2020-06-22,Gamma,0,0.0,3
53199,Malaysia,2020-06-22,Iota,0,0.0,3
53200,Malaysia,2020-06-22,Kappa,0,0.0,3
53201,Malaysia,2020-06-22,Lambda,0,0.0,3
53202,Malaysia,2020-06-22,Mu,0,0.0,3
53203,Malaysia,2020-06-22,Omicron,0,0.0,3
53204,Malaysia,2020-06-22,S:677H.Robin1,0,0.0,3
53205,Malaysia,2020-06-22,S:677P.Pelican,0,0.0,3
53206,Malaysia,2020-06-22,others,3,100.0,3
53207,Malaysia,2020-06-22,non_who,3,100.0,3
53208,Malaysia,2020-07-20,Alpha,0,0.0,2
53209,Malaysia,2020-07-20,B.1.1.277,0,0.0,2
53210,Malaysia,2020-07-20,B.1.1.302,0,0.0,2
53211,Malaysia,2020-07-20,B.1.1.519,0,0.0,2
53212,Malaysia,2020-07-20,B.1.160,0,0.0,2
53213,Malaysia,2020-07-20,B.1.177,0,0.0,2
53214,Malaysia,2020-07-20,B.1.221,0,0.0,2
53215,Malaysia,2020-07-20,B.1.258,0,0.0,2
53216,Malaysia,2020-07-20,B.1.367,0,0.0,2
53217,Malaysia,2020-07-20,B.1.620,0,0.0,2
53218,Malaysia,2020-07-20,Beta,0,0.0,2
53219,Malaysia,2020-07-20,Delta,0,0.0,2
53220,Malaysia,2020-07-20,Epsilon,0,0.0,2
53221,Malaysia,2020-07-20,Eta,0,0.0,2
