,location,date,variant,num_sequences,perc_sequences,num_sequences_total
54984,Malta,2020-08-17,Alpha,0,0.0,1
54985,Malta,2020-08-17,B.1.1.277,0,0.0,1
54986,Malta,2020-08-17,B.1.1.302,0,0.0,1
54987,Malta,2020-08-17,B.1.1.519,0,0.0,1
54988,Malta,2020-08-17,B.1.160,0,0.0,1
54989,Malta,2020-08-17,B.1.177,0,0.0,1
54990,Malta,2020-08-17,B.1.221,0,0.0,1
54991,Malta,2020-08-17,B.1.258,0,0.0,1
54992,Malta,2020-08-17,B.1.367,0,0.0,1
54993,Malta,2020-08-17,B.1.620,0,0.0,1
54994,Malta,2020-08-17,Beta,0,0.0,1
54995,Malta,2020-08-17,Delta,0,0.0,1
54996,Malta,2020-08-17,Epsilon,0,0.0,1
54997,Malta,2020-08-17,Eta,0,0.0,1
54998,Malta,2020-08-17,Gamma,0,0.0,1
54999,Malta,2020-08-17,Iota,0,0.0,1
55000,Malta,2020-08-17,Kappa,0,0.0,1
55001,Malta,2020-08-17,Lambda,0,0.0,1
55002,Malta,2020-08-17,Mu,0,0.0,1
55003,Malta,2020-08-17,Omicron,0,0.0,1
55004,Malta,2020-08-17,S:677H.Robin1,0,0.0,1
55005,Malta,2020-08-17,S:677P.Pelican,0,0.0,1
55006,Malta,2020-08-17,others,1,100.0,1
55007,Malta,2020-08-17,non_who,1,100.0,1
55008,Malta,2020-08-31,Alpha,0,0.0,2
55009,Malta,2020-08-31,B.1.1.277,0,0.0,2
55010,Malta,2020-08-31,B.1.1.302,0,0.0,2
55011,Malta,2020-08-31,B.1.1.519,0,0.0,2
55012,Malta,2020-08-31,B.1.160,0,0.0,2
55013,Malta,2020-08-31,B.1.177,0,0.0,2
55014,Malta,2020-08-31,B.1.221,0,0.0,2
55015,Malta,2020-08-31,B.1.258,0,0.0,2
55016,Malta,2020-08-31,B.1.367,0,0.0,2
55017,Malta,2020-08-31,B.1.620,0,0.0,2
55018,Malta,2020-08-31,Beta,0,0.0,2
55019,Malta,2020-08-31,Delta,0,0.0,2
55020,Malta,2020-08-31,Epsilon,0,0.0,2
55021,Malta,2020-08-31,Eta,0,0.0,2
55022,Malta,2020-08-31,Gamma,0,0.0,2
55023,Malta,2020-08-31,Iota,0,0.0,2
55024,Malta,2020-08-31,Kappa,0,0.0,2
55025,Malta,2020-08-31,Lambda,0,0.0,2
55026,Malta,2020-08-31,Mu,0,0.0,2
55027,Malta,2020-08-31,Omicron,0,0.0,2
55028,Malta,2020-08-31,S:677H.Robin1,0,0.0,2
55029,Malta,2020-08-31,S:677P.Pelican,0,0.0,2
55030,Malta,2020-08-31,others,2,100.0,2
55031,Malta,2020-08-31,non_who,2,100.0,2
55032,Malta,2020-09-14,Alpha,0,0.0,7
55033,Malta,2020-09-14,B.1.1.277,0,0.0,7
55034,Malta,2020-09-14,B.1.1.302,0,0.0,7
55035,Malta,2020-09-14,B.1.1.519,0,0.0,7
55036,Malta,2020-09-14,B.1.160,0,0.0,7
55037,Malta,2020-09-14,B.1.177,0,0.0,7
55038,Malta,2020-09-14,B.1.221,0,0.0,7
55039,Malta,2020-09-14,B.1.258,0,0.0,7
55040,Malta,2020-09-14,B.1.367,0,0.0,7
55041,Malta,2020-09-14,B.1.620,0,0.0,7
55042,Malta,2020-09-14,Beta,0,0.0,7
55043,Malta,2020-09-14,Delta,0,0.0,7
55044,Malta,2020-09-14,Epsilon,0,0.0,7
55045,Malta,2020-09-14,Eta,0,0.0,7
55046,Malta,2020-09-14,Gamma,0,0.0,7
55047,Malta,2020-09-14,Iota,0,0.0,7
55048,Malta,2020-09-14,Kappa,0,0.0,7
55049,Malta,2020-09-14,Lambda,0,0.0,7
55050,Malta,2020-09-14,Mu,0,0.0,7
55051,Malta,2020-09-14,Omicron,0,0.0,7
55052,Malta,2020-09-14,S:677H.Robin1,0,0.0,7
55053,Malta,2020-09-14,S:677P.Pelican,0,0.0,7
55054,Malta,2020-09-14,others,7,100.0,7
55055,Malta,2020-09-14,non_who,7,100.0,7
55056,Malta,2021-04-05,Alpha,31,81.58,38
55057,Malta,2021-04-05,B.1.1.277,0,0.0,38
55058,Malta,2021-04-05,B.1.1.302,0,0.0,38
