,location,date,variant,num_sequences,perc_sequences,num_sequences_total
55440,Mauritius,2020-10-26,Alpha,0,0.0,2
55441,Mauritius,2020-10-26,B.1.1.277,0,0.0,2
55442,Mauritius,2020-10-26,B.1.1.302,0,0.0,2
55443,Mauritius,2020-10-26,B.1.1.519,0,0.0,2
55444,Mauritius,2020-10-26,B.1.160,1,50.0,2
55445,Mauritius,2020-10-26,B.1.177,1,50.0,2
55446,Mauritius,2020-10-26,B.1.221,0,0.0,2
55447,Mauritius,2020-10-26,B.1.258,0,0.0,2
55448,Mauritius,2020-10-26,B.1.367,0,0.0,2
55449,Mauritius,2020-10-26,B.1.620,0,0.0,2
55450,Mauritius,2020-10-26,Beta,0,0.0,2
55451,Mauritius,2020-10-26,Delta,0,0.0,2
55452,Mauritius,2020-10-26,Epsilon,0,0.0,2
55453,Mauritius,2020-10-26,Eta,0,0.0,2
55454,Mauritius,2020-10-26,Gamma,0,0.0,2
55455,Mauritius,2020-10-26,Iota,0,0.0,2
55456,Mauritius,2020-10-26,Kappa,0,0.0,2
55457,Mauritius,2020-10-26,Lambda,0,0.0,2
55458,Mauritius,2020-10-26,Mu,0,0.0,2
55459,Mauritius,2020-10-26,Omicron,0,0.0,2
55460,Mauritius,2020-10-26,S:677H.Robin1,0,0.0,2
55461,Mauritius,2020-10-26,S:677P.Pelican,0,0.0,2
55462,Mauritius,2020-10-26,others,0,0.0,2
55463,Mauritius,2020-10-26,non_who,2,100.0,2
55464,Mauritius,2020-11-09,Alpha,0,0.0,1
55465,Mauritius,2020-11-09,B.1.1.277,0,0.0,1
55466,Mauritius,2020-11-09,B.1.1.302,0,0.0,1
55467,Mauritius,2020-11-09,B.1.1.519,0,0.0,1
55468,Mauritius,2020-11-09,B.1.160,0,0.0,1
55469,Mauritius,2020-11-09,B.1.177,0,0.0,1
55470,Mauritius,2020-11-09,B.1.221,0,0.0,1
55471,Mauritius,2020-11-09,B.1.258,1,100.0,1
55472,Mauritius,2020-11-09,B.1.367,0,0.0,1
55473,Mauritius,2020-11-09,B.1.620,0,0.0,1
55474,Mauritius,2020-11-09,Beta,0,0.0,1
55475,Mauritius,2020-11-09,Delta,0,0.0,1
55476,Mauritius,2020-11-09,Epsilon,0,0.0,1
55477,Mauritius,2020-11-09,Eta,0,0.0,1
55478,Mauritius,2020-11-09,Gamma,0,0.0,1
55479,Mauritius,2020-11-09,Iota,0,0.0,1
55480,Mauritius,2020-11-09,Kappa,0,0.0,1
55481,Mauritius,2020-11-09,Lambda,0,0.0,1
55482,Mauritius,2020-11-09,Mu,0,0.0,1
55483,Mauritius,2020-11-09,Omicron,0,0.0,1
55484,Mauritius,2020-11-09,S:677H.Robin1,0,0.0,1
55485,Mauritius,2020-11-09,S:677P.Pelican,0,0.0,1
55486,Mauritius,2020-11-09,others,0,0.0,1
55487,Mauritius,2020-11-09,non_who,1,100.0,1
55488,Mauritius,2020-11-23,Alpha,0,0.0,3
55489,Mauritius,2020-11-23,B.1.1.277,0,0.0,3
55490,Mauritius,2020-11-23,B.1.1.302,0,0.0,3
55491,Mauritius,2020-11-23,B.1.1.519,0,0.0,3
55492,Mauritius,2020-11-23,B.1.160,1,33.33,3
55493,Mauritius,2020-11-23,B.1.177,2,66.67,3
55494,Mauritius,2020-11-23,B.1.221,0,0.0,3
55495,Mauritius,2020-11-23,B.1.258,0,0.0,3
55496,Mauritius,2020-11-23,B.1.367,0,0.0,3
55497,Mauritius,2020-11-23,B.1.620,0,0.0,3
55498,Mauritius,2020-11-23,Beta,0,0.0,3
55499,Mauritius,2020-11-23,Delta,0,0.0,3
55500,Mauritius,2020-11-23,Epsilon,0,0.0,3
55501,Mauritius,2020-11-23,Eta,0,0.0,3
55502,Mauritius,2020-11-23,Gamma,0,0.0,3
55503,Mauritius,2020-11-23,Iota,0,0.0,3
55504,Mauritius,2020-11-23,Kappa,0,0.0,3
55505,Mauritius,2020-11-23,Lambda,0,0.0,3
55506,Mauritius,2020-11-23,Mu,0,0.0,3
55507,Mauritius,2020-11-23,Omicron,0,0.0,3
55508,Mauritius,2020-11-23,S:677H.Robin1,0,0.0,3
55509,Mauritius,2020-11-23,S:677P.Pelican,0,0.0,3
55510,Mauritius,2020-11-23,others,0,0.0,3
55511,Mauritius,2020-11-23,non_who,3,100.0,3
55512,Mauritius,2020-12-07,Alpha,0,0.0,4
55513,Mauritius,2020-12-07,B.1.1.277,0,0.0,4
55514,Mauritius,2020-12-07,B.1.1.302,0,0.0,4
55515,Mauritius,2020-12-07,B.1.1.519,0,0.0,4
55516,Mauritius,2020-12-07,B.1.160,0,0.0,4
55517,Mauritius,2020-12-07,B.1.177,1,25.0,4
55518,Mauritius,2020-12-07,B.1.221,0,0.0,4
55519,Mauritius,2020-12-07,B.1.258,0,0.0,4
55520,Mauritius,2020-12-07,B.1.367,0,0.0,4
55521,Mauritius,2020-12-07,B.1.620,0,0.0,4
55522,Mauritius,2020-12-07,Beta,1,25.0,4
55523,Mauritius,2020-12-07,Delta,0,0.0,4
55524,Mauritius,2020-12-07,Epsilon,0,0.0,4
55525,Mauritius,2020-12-07,Eta,0,0.0,4
55526,Mauritius,2020-12-07,Gamma,0,0.0,4
55527,Mauritius,2020-12-07,Iota,0,0.0,4
55528,Mauritius,2020-12-07,Kappa,0,0.0,4
55529,Mauritius,2020-12-07,Lambda,0,0.0,4
55530,Mauritius,2020-12-07,Mu,0,0.0,4
55531,Mauritius,2020-12-07,Omicron,0,0.0,4
55532,Mauritius,2020-12-07,S:677H.Robin1,0,0.0,4
55533,Mauritius,2020-12-07,S:677P.Pelican,0,0.0,4
