,location,date,variant,num_sequences,perc_sequences,num_sequences_total
56160,Mexico,2020-05-11,Alpha,0,0.0,208
56161,Mexico,2020-05-11,B.1.1.277,0,0.0,208
56162,Mexico,2020-05-11,B.1.1.302,0,0.0,208
56163,Mexico,2020-05-11,B.1.1.519,0,0.0,208
56164,Mexico,2020-05-11,B.1.160,0,0.0,208
56165,Mexico,2020-05-11,B.1.177,0,0.0,208
56166,Mexico,2020-05-11,B.1.221,0,0.0,208
56167,Mexico,2020-05-11,B.1.258,0,0.0,208
56168,Mexico,2020-05-11,B.1.367,0,0.0,208
56169,Mexico,2020-05-11,B.1.620,0,0.0,208
56170,Mexico,2020-05-11,Beta,0,0.0,208
56171,Mexico,2020-05-11,Delta,0,0.0,208
56172,Mexico,2020-05-11,Epsilon,0,0.0,208
56173,Mexico,2020-05-11,Eta,0,0.0,208
56174,Mexico,2020-05-11,Gamma,0,0.0,208
56175,Mexico,2020-05-11,Iota,0,0.0,208
56176,Mexico,2020-05-11,Kappa,0,0.0,208
56177,Mexico,2020-05-11,Lambda,0,0.0,208
56178,Mexico,2020-05-11,Mu,0,0.0,208
56179,Mexico,2020-05-11,Omicron,0,0.0,208
56180,Mexico,2020-05-11,S:677H.Robin1,0,0.0,208
56181,Mexico,2020-05-11,S:677P.Pelican,0,0.0,208
56182,Mexico,2020-05-11,others,208,100.0,208
56183,Mexico,2020-05-11,non_who,208,100.0,208
56184,Mexico,2020-05-25,Alpha,0,0.0,264
56185,Mexico,2020-05-25,B.1.1.277,0,0.0,264
56186,Mexico,2020-05-25,B.1.1.302,0,0.0,264
56187,Mexico,2020-05-25,B.1.1.519,0,0.0,264
56188,Mexico,2020-05-25,B.1.160,0,0.0,264
56189,Mexico,2020-05-25,B.1.177,0,0.0,264
56190,Mexico,2020-05-25,B.1.221,0,0.0,264
56191,Mexico,2020-05-25,B.1.258,0,0.0,264
56192,Mexico,2020-05-25,B.1.367,0,0.0,264
56193,Mexico,2020-05-25,B.1.620,0,0.0,264
56194,Mexico,2020-05-25,Beta,0,0.0,264
56195,Mexico,2020-05-25,Delta,0,0.0,264
56196,Mexico,2020-05-25,Epsilon,0,0.0,264
56197,Mexico,2020-05-25,Eta,0,0.0,264
56198,Mexico,2020-05-25,Gamma,0,0.0,264
56199,Mexico,2020-05-25,Iota,0,0.0,264
56200,Mexico,2020-05-25,Kappa,0,0.0,264
56201,Mexico,2020-05-25,Lambda,0,0.0,264
56202,Mexico,2020-05-25,Mu,0,0.0,264
56203,Mexico,2020-05-25,Omicron,0,0.0,264
56204,Mexico,2020-05-25,S:677H.Robin1,0,0.0,264
56205,Mexico,2020-05-25,S:677P.Pelican,0,0.0,264
56206,Mexico,2020-05-25,others,264,100.0,264
56207,Mexico,2020-05-25,non_who,264,100.0,264
56208,Mexico,2020-06-08,Alpha,0,0.0,290
56209,Mexico,2020-06-08,B.1.1.277,0,0.0,290
56210,Mexico,2020-06-08,B.1.1.302,0,0.0,290
56211,Mexico,2020-06-08,B.1.1.519,0,0.0,290
56212,Mexico,2020-06-08,B.1.160,0,0.0,290
56213,Mexico,2020-06-08,B.1.177,0,0.0,290
56214,Mexico,2020-06-08,B.1.221,0,0.0,290
56215,Mexico,2020-06-08,B.1.258,0,0.0,290
56216,Mexico,2020-06-08,B.1.367,0,0.0,290
56217,Mexico,2020-06-08,B.1.620,0,0.0,290
56218,Mexico,2020-06-08,Beta,0,0.0,290
56219,Mexico,2020-06-08,Delta,0,0.0,290
56220,Mexico,2020-06-08,Epsilon,0,0.0,290
56221,Mexico,2020-06-08,Eta,0,0.0,290
56222,Mexico,2020-06-08,Gamma,0,0.0,290
56223,Mexico,2020-06-08,Iota,0,0.0,290
56224,Mexico,2020-06-08,Kappa,0,0.0,290
56225,Mexico,2020-06-08,Lambda,0,0.0,290
