,location,date,variant,num_sequences,perc_sequences,num_sequences_total
57240,Moldova,2020-06-22,Alpha,0,0.0,4
57241,Moldova,2020-06-22,B.1.1.277,0,0.0,4
57242,Moldova,2020-06-22,B.1.1.302,0,0.0,4
57243,Moldova,2020-06-22,B.1.1.519,0,0.0,4
57244,Moldova,2020-06-22,B.1.160,0,0.0,4
57245,Moldova,2020-06-22,B.1.177,0,0.0,4
57246,Moldova,2020-06-22,B.1.221,0,0.0,4
57247,Moldova,2020-06-22,B.1.258,0,0.0,4
57248,Moldova,2020-06-22,B.1.367,0,0.0,4
57249,Moldova,2020-06-22,B.1.620,0,0.0,4
57250,Moldova,2020-06-22,Beta,0,0.0,4
57251,Moldova,2020-06-22,Delta,0,0.0,4
57252,Moldova,2020-06-22,Epsilon,0,0.0,4
57253,Moldova,2020-06-22,Eta,0,0.0,4
57254,Moldova,2020-06-22,Gamma,0,0.0,4
57255,Moldova,2020-06-22,Iota,0,0.0,4
57256,Moldova,2020-06-22,Kappa,0,0.0,4
57257,Moldova,2020-06-22,Lambda,0,0.0,4
57258,Moldova,2020-06-22,Mu,0,0.0,4
57259,Moldova,2020-06-22,Omicron,0,0.0,4
57260,Moldova,2020-06-22,S:677H.Robin1,0,0.0,4
57261,Moldova,2020-06-22,S:677P.Pelican,0,0.0,4
57262,Moldova,2020-06-22,others,4,100.0,4
57263,Moldova,2020-06-22,non_who,4,100.0,4
57264,Moldova,2020-09-14,Alpha,0,0.0,8
57265,Moldova,2020-09-14,B.1.1.277,0,0.0,8
57266,Moldova,2020-09-14,B.1.1.302,0,0.0,8
57267,Moldova,2020-09-14,B.1.1.519,0,0.0,8
57268,Moldova,2020-09-14,B.1.160,0,0.0,8
57269,Moldova,2020-09-14,B.1.177,0,0.0,8
57270,Moldova,2020-09-14,B.1.221,0,0.0,8
57271,Moldova,2020-09-14,B.1.258,0,0.0,8
57272,Moldova,2020-09-14,B.1.367,0,0.0,8
57273,Moldova,2020-09-14,B.1.620,0,0.0,8
57274,Moldova,2020-09-14,Beta,0,0.0,8
57275,Moldova,2020-09-14,Delta,0,0.0,8
57276,Moldova,2020-09-14,Epsilon,0,0.0,8
57277,Moldova,2020-09-14,Eta,0,0.0,8
57278,Moldova,2020-09-14,Gamma,0,0.0,8
57279,Moldova,2020-09-14,Iota,0,0.0,8
57280,Moldova,2020-09-14,Kappa,0,0.0,8
57281,Moldova,2020-09-14,Lambda,0,0.0,8
57282,Moldova,2020-09-14,Mu,0,0.0,8
57283,Moldova,2020-09-14,Omicron,0,0.0,8
57284,Moldova,2020-09-14,S:677H.Robin1,0,0.0,8
57285,Moldova,2020-09-14,S:677P.Pelican,0,0.0,8
57286,Moldova,2020-09-14,others,8,100.0,8
57287,Moldova,2020-09-14,non_who,8,100.0,8
57288,Moldova,2021-02-08,Alpha,3,100.0,3
57289,Moldova,2021-02-08,B.1.1.277,0,0.0,3
57290,Moldova,2021-02-08,B.1.1.302,0,0.0,3
57291,Moldova,2021-02-08,B.1.1.519,0,0.0,3
57292,Moldova,2021-02-08,B.1.160,0,0.0,3
57293,Moldova,2021-02-08,B.1.177,0,0.0,3
57294,Moldova,2021-02-08,B.1.221,0,0.0,3
57295,Moldova,2021-02-08,B.1.258,0,0.0,3
57296,Moldova,2021-02-08,B.1.367,0,0.0,3
57297,Moldova,2021-02-08,B.1.620,0,0.0,3
57298,Moldova,2021-02-08,Beta,0,0.0,3
57299,Moldova,2021-02-08,Delta,0,0.0,3
57300,Moldova,2021-02-08,Epsilon,0,0.0,3
57301,Moldova,2021-02-08,Eta,0,0.0,3
57302,Moldova,2021-02-08,Gamma,0,0.0,3
57303,Moldova,2021-02-08,Iota,0,0.0,3
57304,Moldova,2021-02-08,Kappa,0,0.0,3
57305,Moldova,2021-02-08,Lambda,0,0.0,3
57306,Moldova,2021-02-08,Mu,0,0.0,3
57307,Moldova,2021-02-08,Omicron,0,0.0,3
57308,Moldova,2021-02-08,S:677H.Robin1,0,0.0,3
57309,Moldova,2021-02-08,S:677P.Pelican,0,0.0,3
57310,Moldova,2021-02-08,others,0,0.0,3
57311,Moldova,2021-02-08,non_who,0,0.0,3
57312,Moldova,2021-02-22,Alpha,1,100.0,1
57313,Moldova,2021-02-22,B.1.1.277,0,0.0,1
57314,Moldova,2021-02-22,B.1.1.302,0,0.0,1
57315,Moldova,2021-02-22,B.1.1.519,0,0.0,1
57316,Moldova,2021-02-22,B.1.160,0,0.0,1
57317,Moldova,2021-02-22,B.1.177,0,0.0,1
57318,Moldova,2021-02-22,B.1.221,0,0.0,1
