,location,date,variant,num_sequences,perc_sequences,num_sequences_total
57744,Monaco,2021-01-25,Alpha,0,0.0,1
57745,Monaco,2021-01-25,B.1.1.277,0,0.0,1
57746,Monaco,2021-01-25,B.1.1.302,0,0.0,1
57747,Monaco,2021-01-25,B.1.1.519,0,0.0,1
57748,Monaco,2021-01-25,B.1.160,0,0.0,1
57749,Monaco,2021-01-25,B.1.177,1,100.0,1
57750,Monaco,2021-01-25,B.1.221,0,0.0,1
57751,Monaco,2021-01-25,B.1.258,0,0.0,1
57752,Monaco,2021-01-25,B.1.367,0,0.0,1
57753,Monaco,2021-01-25,B.1.620,0,0.0,1
57754,Monaco,2021-01-25,Beta,0,0.0,1
57755,Monaco,2021-01-25,Delta,0,0.0,1
57756,Monaco,2021-01-25,Epsilon,0,0.0,1
57757,Monaco,2021-01-25,Eta,0,0.0,1
57758,Monaco,2021-01-25,Gamma,0,0.0,1
57759,Monaco,2021-01-25,Iota,0,0.0,1
57760,Monaco,2021-01-25,Kappa,0,0.0,1
57761,Monaco,2021-01-25,Lambda,0,0.0,1
57762,Monaco,2021-01-25,Mu,0,0.0,1
57763,Monaco,2021-01-25,Omicron,0,0.0,1
57764,Monaco,2021-01-25,S:677H.Robin1,0,0.0,1
57765,Monaco,2021-01-25,S:677P.Pelican,0,0.0,1
57766,Monaco,2021-01-25,others,0,0.0,1
57767,Monaco,2021-01-25,non_who,1,100.0,1
57768,Monaco,2021-02-08,Alpha,1,100.0,1
57769,Monaco,2021-02-08,B.1.1.277,0,0.0,1
57770,Monaco,2021-02-08,B.1.1.302,0,0.0,1
57771,Monaco,2021-02-08,B.1.1.519,0,0.0,1
57772,Monaco,2021-02-08,B.1.160,0,0.0,1
57773,Monaco,2021-02-08,B.1.177,0,0.0,1
57774,Monaco,2021-02-08,B.1.221,0,0.0,1
57775,Monaco,2021-02-08,B.1.258,0,0.0,1
57776,Monaco,2021-02-08,B.1.367,0,0.0,1
