,location,date,variant,num_sequences,perc_sequences,num_sequences_total
58560,Montenegro,2020-07-20,Alpha,0,0.0,9
58561,Montenegro,2020-07-20,B.1.1.277,0,0.0,9
58562,Montenegro,2020-07-20,B.1.1.302,0,0.0,9
58563,Montenegro,2020-07-20,B.1.1.519,0,0.0,9
58564,Montenegro,2020-07-20,B.1.160,0,0.0,9
58565,Montenegro,2020-07-20,B.1.177,0,0.0,9
58566,Montenegro,2020-07-20,B.1.221,0,0.0,9
58567,Montenegro,2020-07-20,B.1.258,0,0.0,9
58568,Montenegro,2020-07-20,B.1.367,0,0.0,9
58569,Montenegro,2020-07-20,B.1.620,0,0.0,9
58570,Montenegro,2020-07-20,Beta,0,0.0,9
58571,Montenegro,2020-07-20,Delta,0,0.0,9
58572,Montenegro,2020-07-20,Epsilon,0,0.0,9
58573,Montenegro,2020-07-20,Eta,0,0.0,9
58574,Montenegro,2020-07-20,Gamma,0,0.0,9
58575,Montenegro,2020-07-20,Iota,0,0.0,9
58576,Montenegro,2020-07-20,Kappa,0,0.0,9
58577,Montenegro,2020-07-20,Lambda,0,0.0,9
58578,Montenegro,2020-07-20,Mu,0,0.0,9
58579,Montenegro,2020-07-20,Omicron,0,0.0,9
58580,Montenegro,2020-07-20,S:677H.Robin1,0,0.0,9
58581,Montenegro,2020-07-20,S:677P.Pelican,0,0.0,9
58582,Montenegro,2020-07-20,others,9,100.0,9
58583,Montenegro,2020-07-20,non_who,9,100.0,9
58584,Montenegro,2021-01-25,Alpha,7,36.84,19
58585,Montenegro,2021-01-25,B.1.1.277,0,0.0,19
58586,Montenegro,2021-01-25,B.1.1.302,0,0.0,19
58587,Montenegro,2021-01-25,B.1.1.519,0,0.0,19
58588,Montenegro,2021-01-25,B.1.160,1,5.26,19
58589,Montenegro,2021-01-25,B.1.177,0,0.0,19
58590,Montenegro,2021-01-25,B.1.221,0,0.0,19
58591,Montenegro,2021-01-25,B.1.258,8,42.11,19
58592,Montenegro,2021-01-25,B.1.367,0,0.0,19
58593,Montenegro,2021-01-25,B.1.620,0,0.0,19
58594,Montenegro,2021-01-25,Beta,0,0.0,19
58595,Montenegro,2021-01-25,Delta,0,0.0,19
58596,Montenegro,2021-01-25,Epsilon,0,0.0,19
58597,Montenegro,2021-01-25,Eta,0,0.0,19
58598,Montenegro,2021-01-25,Gamma,0,0.0,19
58599,Montenegro,2021-01-25,Iota,0,0.0,19
58600,Montenegro,2021-01-25,Kappa,0,0.0,19
58601,Montenegro,2021-01-25,Lambda,0,0.0,19
58602,Montenegro,2021-01-25,Mu,0,0.0,19
58603,Montenegro,2021-01-25,Omicron,0,0.0,19
58604,Montenegro,2021-01-25,S:677H.Robin1,0,0.0,19
58605,Montenegro,2021-01-25,S:677P.Pelican,0,0.0,19
58606,Montenegro,2021-01-25,others,3,15.79,19
58607,Montenegro,2021-01-25,non_who,12,63.16,19
58608,Montenegro,2021-06-14,Alpha,17,100.0,17
58609,Montenegro,2021-06-14,B.1.1.277,0,0.0,17
58610,Montenegro,2021-06-14,B.1.1.302,0,0.0,17
58611,Montenegro,2021-06-14,B.1.1.519,0,0.0,17
58612,Montenegro,2021-06-14,B.1.160,0,0.0,17
58613,Montenegro,2021-06-14,B.1.177,0,0.0,17
58614,Montenegro,2021-06-14,B.1.221,0,0.0,17
58615,Montenegro,2021-06-14,B.1.258,0,0.0,17
58616,Montenegro,2021-06-14,B.1.367,0,0.0,17
58617,Montenegro,2021-06-14,B.1.620,0,0.0,17
58618,Montenegro,2021-06-14,Beta,0,0.0,17
58619,Montenegro,2021-06-14,Delta,0,0.0,17
58620,Montenegro,2021-06-14,Epsilon,0,0.0,17
58621,Montenegro,2021-06-14,Eta,0,0.0,17
58622,Montenegro,2021-06-14,Gamma,0,0.0,17
58623,Montenegro,2021-06-14,Iota,0,0.0,17
58624,Montenegro,2021-06-14,Kappa,0,0.0,17
58625,Montenegro,2021-06-14,Lambda,0,0.0,17
58626,Montenegro,2021-06-14,Mu,0,0.0,17
58627,Montenegro,2021-06-14,Omicron,0,0.0,17
58628,Montenegro,2021-06-14,S:677H.Robin1,0,0.0,17
58629,Montenegro,2021-06-14,S:677P.Pelican,0,0.0,17
58630,Montenegro,2021-06-14,others,0,0.0,17
58631,Montenegro,2021-06-14,non_who,0,0.0,17
58632,Montenegro,2021-06-28,Alpha,16,88.89,18
58633,Montenegro,2021-06-28,B.1.1.277,0,0.0,18
58634,Montenegro,2021-06-28,B.1.1.302,0,0.0,18
58635,Montenegro,2021-06-28,B.1.1.519,0,0.0,18
58636,Montenegro,2021-06-28,B.1.160,0,0.0,18
58637,Montenegro,2021-06-28,B.1.177,0,0.0,18
58638,Montenegro,2021-06-28,B.1.221,0,0.0,18
58639,Montenegro,2021-06-28,B.1.258,0,0.0,18
58640,Montenegro,2021-06-28,B.1.367,0,0.0,18
58641,Montenegro,2021-06-28,B.1.620,0,0.0,18
58642,Montenegro,2021-06-28,Beta,0,0.0,18
58643,Montenegro,2021-06-28,Delta,2,11.11,18
58644,Montenegro,2021-06-28,Epsilon,0,0.0,18
58645,Montenegro,2021-06-28,Eta,0,0.0,18
58646,Montenegro,2021-06-28,Gamma,0,0.0,18
58647,Montenegro,2021-06-28,Iota,0,0.0,18
58648,Montenegro,2021-06-28,Kappa,0,0.0,18
58649,Montenegro,2021-06-28,Lambda,0,0.0,18
58650,Montenegro,2021-06-28,Mu,0,0.0,18
58651,Montenegro,2021-06-28,Omicron,0,0.0,18
58652,Montenegro,2021-06-28,S:677H.Robin1,0,0.0,18
58653,Montenegro,2021-06-28,S:677P.Pelican,0,0.0,18
58654,Montenegro,2021-06-28,others,0,0.0,18
58655,Montenegro,2021-06-28,non_who,0,0.0,18
58656,Montenegro,2021-07-12,Alpha,10,50.0,20
58657,Montenegro,2021-07-12,B.1.1.277,0,0.0,20
58658,Montenegro,2021-07-12,B.1.1.302,0,0.0,20
58659,Montenegro,2021-07-12,B.1.1.519,0,0.0,20
58660,Montenegro,2021-07-12,B.1.160,0,0.0,20
58661,Montenegro,2021-07-12,B.1.177,0,0.0,20
58662,Montenegro,2021-07-12,B.1.221,0,0.0,20
58663,Montenegro,2021-07-12,B.1.258,0,0.0,20
58664,Montenegro,2021-07-12,B.1.367,0,0.0,20
58665,Montenegro,2021-07-12,B.1.620,0,0.0,20
58666,Montenegro,2021-07-12,Beta,0,0.0,20
58667,Montenegro,2021-07-12,Delta,10,50.0,20
58668,Montenegro,2021-07-12,Epsilon,0,0.0,20
58669,Montenegro,2021-07-12,Eta,0,0.0,20
58670,Montenegro,2021-07-12,Gamma,0,0.0,20
58671,Montenegro,2021-07-12,Iota,0,0.0,20
58672,Montenegro,2021-07-12,Kappa,0,0.0,20
58673,Montenegro,2021-07-12,Lambda,0,0.0,20
58674,Montenegro,2021-07-12,Mu,0,0.0,20
58675,Montenegro,2021-07-12,Omicron,0,0.0,20
58676,Montenegro,2021-07-12,S:677H.Robin1,0,0.0,20
58677,Montenegro,2021-07-12,S:677P.Pelican,0,0.0,20
58678,Montenegro,2021-07-12,others,0,0.0,20
58679,Montenegro,2021-07-12,non_who,0,0.0,20
58680,Montenegro,2021-07-26,Alpha,2,6.67,30
58681,Montenegro,2021-07-26,B.1.1.277,0,0.0,30
58682,Montenegro,2021-07-26,B.1.1.302,0,0.0,30
58683,Montenegro,2021-07-26,B.1.1.519,0,0.0,30
58684,Montenegro,2021-07-26,B.1.160,0,0.0,30
58685,Montenegro,2021-07-26,B.1.177,0,0.0,30
58686,Montenegro,2021-07-26,B.1.221,0,0.0,30
58687,Montenegro,2021-07-26,B.1.258,0,0.0,30
58688,Montenegro,2021-07-26,B.1.367,0,0.0,30
58689,Montenegro,2021-07-26,B.1.620,0,0.0,30
58690,Montenegro,2021-07-26,Beta,0,0.0,30
58691,Montenegro,2021-07-26,Delta,28,93.33,30
58692,Montenegro,2021-07-26,Epsilon,0,0.0,30
58693,Montenegro,2021-07-26,Eta,0,0.0,30
58694,Montenegro,2021-07-26,Gamma,0,0.0,30
58695,Montenegro,2021-07-26,Iota,0,0.0,30
58696,Montenegro,2021-07-26,Kappa,0,0.0,30
58697,Montenegro,2021-07-26,Lambda,0,0.0,30
58698,Montenegro,2021-07-26,Mu,0,0.0,30
58699,Montenegro,2021-07-26,Omicron,0,0.0,30
58700,Montenegro,2021-07-26,S:677H.Robin1,0,0.0,30
58701,Montenegro,2021-07-26,S:677P.Pelican,0,0.0,30
58702,Montenegro,2021-07-26,others,0,0.0,30
58703,Montenegro,2021-07-26,non_who,0,0.0,30
58704,Montenegro,2021-08-09,Alpha,3,4.17,72
58705,Montenegro,2021-08-09,B.1.1.277,0,0.0,72
58706,Montenegro,2021-08-09,B.1.1.302,0,0.0,72
58707,Montenegro,2021-08-09,B.1.1.519,0,0.0,72
58708,Montenegro,2021-08-09,B.1.160,0,0.0,72
58709,Montenegro,2021-08-09,B.1.177,0,0.0,72
58710,Montenegro,2021-08-09,B.1.221,0,0.0,72
58711,Montenegro,2021-08-09,B.1.258,0,0.0,72
58712,Montenegro,2021-08-09,B.1.367,0,0.0,72
58713,Montenegro,2021-08-09,B.1.620,0,0.0,72
58714,Montenegro,2021-08-09,Beta,0,0.0,72
58715,Montenegro,2021-08-09,Delta,66,91.67,72
58716,Montenegro,2021-08-09,Epsilon,0,0.0,72
58717,Montenegro,2021-08-09,Eta,0,0.0,72
58718,Montenegro,2021-08-09,Gamma,3,4.17,72
58719,Montenegro,2021-08-09,Iota,0,0.0,72
58720,Montenegro,2021-08-09,Kappa,0,0.0,72
58721,Montenegro,2021-08-09,Lambda,0,0.0,72
58722,Montenegro,2021-08-09,Mu,0,0.0,72
58723,Montenegro,2021-08-09,Omicron,0,0.0,72
58724,Montenegro,2021-08-09,S:677H.Robin1,0,0.0,72
58725,Montenegro,2021-08-09,S:677P.Pelican,0,0.0,72
58726,Montenegro,2021-08-09,others,0,-0.01,72
58727,Montenegro,2021-08-09,non_who,0,-0.01,72
58728,Montenegro,2021-08-23,Alpha,0,0.0,41
58729,Montenegro,2021-08-23,B.1.1.277,0,0.0,41
58730,Montenegro,2021-08-23,B.1.1.302,0,0.0,41
58731,Montenegro,2021-08-23,B.1.1.519,0,0.0,41
58732,Montenegro,2021-08-23,B.1.160,1,2.44,41
58733,Montenegro,2021-08-23,B.1.177,0,0.0,41
58734,Montenegro,2021-08-23,B.1.221,0,0.0,41
58735,Montenegro,2021-08-23,B.1.258,0,0.0,41
58736,Montenegro,2021-08-23,B.1.367,0,0.0,41
58737,Montenegro,2021-08-23,B.1.620,0,0.0,41
58738,Montenegro,2021-08-23,Beta,0,0.0,41
58739,Montenegro,2021-08-23,Delta,40,97.56,41
58740,Montenegro,2021-08-23,Epsilon,0,0.0,41
58741,Montenegro,2021-08-23,Eta,0,0.0,41
58742,Montenegro,2021-08-23,Gamma,0,0.0,41
58743,Montenegro,2021-08-23,Iota,0,0.0,41
58744,Montenegro,2021-08-23,Kappa,0,0.0,41
58745,Montenegro,2021-08-23,Lambda,0,0.0,41
58746,Montenegro,2021-08-23,Mu,0,0.0,41
58747,Montenegro,2021-08-23,Omicron,0,0.0,41
58748,Montenegro,2021-08-23,S:677H.Robin1,0,0.0,41
58749,Montenegro,2021-08-23,S:677P.Pelican,0,0.0,41
58750,Montenegro,2021-08-23,others,0,0.0,41
58751,Montenegro,2021-08-23,non_who,1,2.44,41
58752,Montenegro,2021-09-06,Alpha,0,0.0,34
58753,Montenegro,2021-09-06,B.1.1.277,0,0.0,34
58754,Montenegro,2021-09-06,B.1.1.302,0,0.0,34
58755,Montenegro,2021-09-06,B.1.1.519,0,0.0,34
58756,Montenegro,2021-09-06,B.1.160,0,0.0,34
58757,Montenegro,2021-09-06,B.1.177,0,0.0,34
58758,Montenegro,2021-09-06,B.1.221,0,0.0,34
58759,Montenegro,2021-09-06,B.1.258,0,0.0,34
58760,Montenegro,2021-09-06,B.1.367,0,0.0,34
58761,Montenegro,2021-09-06,B.1.620,0,0.0,34
58762,Montenegro,2021-09-06,Beta,0,0.0,34
58763,Montenegro,2021-09-06,Delta,34,100.0,34
58764,Montenegro,2021-09-06,Epsilon,0,0.0,34
58765,Montenegro,2021-09-06,Eta,0,0.0,34
58766,Montenegro,2021-09-06,Gamma,0,0.0,34
58767,Montenegro,2021-09-06,Iota,0,0.0,34
58768,Montenegro,2021-09-06,Kappa,0,0.0,34
58769,Montenegro,2021-09-06,Lambda,0,0.0,34
58770,Montenegro,2021-09-06,Mu,0,0.0,34
58771,Montenegro,2021-09-06,Omicron,0,0.0,34
58772,Montenegro,2021-09-06,S:677H.Robin1,0,0.0,34
58773,Montenegro,2021-09-06,S:677P.Pelican,0,0.0,34
58774,Montenegro,2021-09-06,others,0,0.0,34
58775,Montenegro,2021-09-06,non_who,0,0.0,34
58776,Montenegro,2021-09-20,Alpha,0,0.0,5
58777,Montenegro,2021-09-20,B.1.1.277,0,0.0,5
58778,Montenegro,2021-09-20,B.1.1.302,0,0.0,5
58779,Montenegro,2021-09-20,B.1.1.519,0,0.0,5
58780,Montenegro,2021-09-20,B.1.160,0,0.0,5
58781,Montenegro,2021-09-20,B.1.177,0,0.0,5
58782,Montenegro,2021-09-20,B.1.221,0,0.0,5
58783,Montenegro,2021-09-20,B.1.258,0,0.0,5
58784,Montenegro,2021-09-20,B.1.367,0,0.0,5
58785,Montenegro,2021-09-20,B.1.620,0,0.0,5
58786,Montenegro,2021-09-20,Beta,0,0.0,5
58787,Montenegro,2021-09-20,Delta,5,100.0,5
58788,Montenegro,2021-09-20,Epsilon,0,0.0,5
58789,Montenegro,2021-09-20,Eta,0,0.0,5
58790,Montenegro,2021-09-20,Gamma,0,0.0,5
58791,Montenegro,2021-09-20,Iota,0,0.0,5
58792,Montenegro,2021-09-20,Kappa,0,0.0,5
58793,Montenegro,2021-09-20,Lambda,0,0.0,5
58794,Montenegro,2021-09-20,Mu,0,0.0,5
58795,Montenegro,2021-09-20,Omicron,0,0.0,5
58796,Montenegro,2021-09-20,S:677H.Robin1,0,0.0,5
58797,Montenegro,2021-09-20,S:677P.Pelican,0,0.0,5
58798,Montenegro,2021-09-20,others,0,0.0,5
58799,Montenegro,2021-09-20,non_who,0,0.0,5
58800,Montenegro,2021-10-04,Alpha,0,0.0,1
58801,Montenegro,2021-10-04,B.1.1.277,0,0.0,1
58802,Montenegro,2021-10-04,B.1.1.302,0,0.0,1
58803,Montenegro,2021-10-04,B.1.1.519,0,0.0,1
58804,Montenegro,2021-10-04,B.1.160,0,0.0,1
58805,Montenegro,2021-10-04,B.1.177,0,0.0,1
58806,Montenegro,2021-10-04,B.1.221,0,0.0,1
58807,Montenegro,2021-10-04,B.1.258,0,0.0,1
58808,Montenegro,2021-10-04,B.1.367,0,0.0,1
58809,Montenegro,2021-10-04,B.1.620,0,0.0,1
58810,Montenegro,2021-10-04,Beta,0,0.0,1
58811,Montenegro,2021-10-04,Delta,1,100.0,1
58812,Montenegro,2021-10-04,Epsilon,0,0.0,1
58813,Montenegro,2021-10-04,Eta,0,0.0,1
58814,Montenegro,2021-10-04,Gamma,0,0.0,1
58815,Montenegro,2021-10-04,Iota,0,0.0,1
58816,Montenegro,2021-10-04,Kappa,0,0.0,1
58817,Montenegro,2021-10-04,Lambda,0,0.0,1
58818,Montenegro,2021-10-04,Mu,0,0.0,1
58819,Montenegro,2021-10-04,Omicron,0,0.0,1
58820,Montenegro,2021-10-04,S:677H.Robin1,0,0.0,1
58821,Montenegro,2021-10-04,S:677P.Pelican,0,0.0,1
58822,Montenegro,2021-10-04,others,0,0.0,1
58823,Montenegro,2021-10-04,non_who,0,0.0,1
58824,Montenegro,2021-10-18,Alpha,0,0.0,15
58825,Montenegro,2021-10-18,B.1.1.277,0,0.0,15
58826,Montenegro,2021-10-18,B.1.1.302,0,0.0,15
58827,Montenegro,2021-10-18,B.1.1.519,0,0.0,15
58828,Montenegro,2021-10-18,B.1.160,0,0.0,15
58829,Montenegro,2021-10-18,B.1.177,0,0.0,15
58830,Montenegro,2021-10-18,B.1.221,0,0.0,15
58831,Montenegro,2021-10-18,B.1.258,0,0.0,15
58832,Montenegro,2021-10-18,B.1.367,0,0.0,15
58833,Montenegro,2021-10-18,B.1.620,0,0.0,15
58834,Montenegro,2021-10-18,Beta,0,0.0,15
58835,Montenegro,2021-10-18,Delta,15,100.0,15
58836,Montenegro,2021-10-18,Epsilon,0,0.0,15
58837,Montenegro,2021-10-18,Eta,0,0.0,15
58838,Montenegro,2021-10-18,Gamma,0,0.0,15
58839,Montenegro,2021-10-18,Iota,0,0.0,15
58840,Montenegro,2021-10-18,Kappa,0,0.0,15
58841,Montenegro,2021-10-18,Lambda,0,0.0,15
58842,Montenegro,2021-10-18,Mu,0,0.0,15
58843,Montenegro,2021-10-18,Omicron,0,0.0,15
58844,Montenegro,2021-10-18,S:677H.Robin1,0,0.0,15
58845,Montenegro,2021-10-18,S:677P.Pelican,0,0.0,15
58846,Montenegro,2021-10-18,others,0,0.0,15
58847,Montenegro,2021-10-18,non_who,0,0.0,15
58848,Montenegro,2021-11-01,Alpha,0,0.0,34
58849,Montenegro,2021-11-01,B.1.1.277,0,0.0,34
58850,Montenegro,2021-11-01,B.1.1.302,0,0.0,34
58851,Montenegro,2021-11-01,B.1.1.519,0,0.0,34
58852,Montenegro,2021-11-01,B.1.160,0,0.0,34
