,location,date,variant,num_sequences,perc_sequences,num_sequences_total
58944,Morocco,2020-05-11,Alpha,0,0.0,25
58945,Morocco,2020-05-11,B.1.1.277,0,0.0,25
58946,Morocco,2020-05-11,B.1.1.302,0,0.0,25
58947,Morocco,2020-05-11,B.1.1.519,0,0.0,25
58948,Morocco,2020-05-11,B.1.160,0,0.0,25
58949,Morocco,2020-05-11,B.1.177,0,0.0,25
58950,Morocco,2020-05-11,B.1.221,0,0.0,25
58951,Morocco,2020-05-11,B.1.258,0,0.0,25
58952,Morocco,2020-05-11,B.1.367,0,0.0,25
58953,Morocco,2020-05-11,B.1.620,0,0.0,25
58954,Morocco,2020-05-11,Beta,0,0.0,25
58955,Morocco,2020-05-11,Delta,0,0.0,25
58956,Morocco,2020-05-11,Epsilon,0,0.0,25
58957,Morocco,2020-05-11,Eta,0,0.0,25
58958,Morocco,2020-05-11,Gamma,0,0.0,25
58959,Morocco,2020-05-11,Iota,0,0.0,25
58960,Morocco,2020-05-11,Kappa,0,0.0,25
58961,Morocco,2020-05-11,Lambda,0,0.0,25
58962,Morocco,2020-05-11,Mu,0,0.0,25
58963,Morocco,2020-05-11,Omicron,0,0.0,25
58964,Morocco,2020-05-11,S:677H.Robin1,0,0.0,25
58965,Morocco,2020-05-11,S:677P.Pelican,0,0.0,25
58966,Morocco,2020-05-11,others,25,100.0,25
58967,Morocco,2020-05-11,non_who,25,100.0,25
58968,Morocco,2020-05-25,Alpha,0,0.0,3
58969,Morocco,2020-05-25,B.1.1.277,0,0.0,3
58970,Morocco,2020-05-25,B.1.1.302,0,0.0,3
58971,Morocco,2020-05-25,B.1.1.519,0,0.0,3
58972,Morocco,2020-05-25,B.1.160,0,0.0,3
58973,Morocco,2020-05-25,B.1.177,0,0.0,3
58974,Morocco,2020-05-25,B.1.221,0,0.0,3
58975,Morocco,2020-05-25,B.1.258,0,0.0,3
58976,Morocco,2020-05-25,B.1.367,0,0.0,3
58977,Morocco,2020-05-25,B.1.620,0,0.0,3
58978,Morocco,2020-05-25,Beta,0,0.0,3
58979,Morocco,2020-05-25,Delta,0,0.0,3
58980,Morocco,2020-05-25,Epsilon,0,0.0,3
58981,Morocco,2020-05-25,Eta,0,0.0,3
58982,Morocco,2020-05-25,Gamma,0,0.0,3
58983,Morocco,2020-05-25,Iota,0,0.0,3
58984,Morocco,2020-05-25,Kappa,0,0.0,3
58985,Morocco,2020-05-25,Lambda,0,0.0,3
58986,Morocco,2020-05-25,Mu,0,0.0,3
58987,Morocco,2020-05-25,Omicron,0,0.0,3
58988,Morocco,2020-05-25,S:677H.Robin1,0,0.0,3
58989,Morocco,2020-05-25,S:677P.Pelican,0,0.0,3
58990,Morocco,2020-05-25,others,3,100.0,3
58991,Morocco,2020-05-25,non_who,3,100.0,3
58992,Morocco,2020-06-08,Alpha,0,0.0,1
58993,Morocco,2020-06-08,B.1.1.277,0,0.0,1
58994,Morocco,2020-06-08,B.1.1.302,0,0.0,1
58995,Morocco,2020-06-08,B.1.1.519,0,0.0,1
58996,Morocco,2020-06-08,B.1.160,0,0.0,1
58997,Morocco,2020-06-08,B.1.177,0,0.0,1
58998,Morocco,2020-06-08,B.1.221,0,0.0,1
58999,Morocco,2020-06-08,B.1.258,0,0.0,1
59000,Morocco,2020-06-08,B.1.367,0,0.0,1
59001,Morocco,2020-06-08,B.1.620,0,0.0,1
59002,Morocco,2020-06-08,Beta,0,0.0,1
59003,Morocco,2020-06-08,Delta,0,0.0,1
59004,Morocco,2020-06-08,Epsilon,0,0.0,1
59005,Morocco,2020-06-08,Eta,0,0.0,1
59006,Morocco,2020-06-08,Gamma,0,0.0,1
59007,Morocco,2020-06-08,Iota,0,0.0,1
59008,Morocco,2020-06-08,Kappa,0,0.0,1
59009,Morocco,2020-06-08,Lambda,0,0.0,1
59010,Morocco,2020-06-08,Mu,0,0.0,1
59011,Morocco,2020-06-08,Omicron,0,0.0,1
59012,Morocco,2020-06-08,S:677H.Robin1,0,0.0,1
59013,Morocco,2020-06-08,S:677P.Pelican,0,0.0,1
59014,Morocco,2020-06-08,others,1,100.0,1
59015,Morocco,2020-06-08,non_who,1,100.0,1
59016,Morocco,2020-06-22,Alpha,0,0.0,1
59017,Morocco,2020-06-22,B.1.1.277,0,0.0,1
59018,Morocco,2020-06-22,B.1.1.302,0,0.0,1
59019,Morocco,2020-06-22,B.1.1.519,0,0.0,1
59020,Morocco,2020-06-22,B.1.160,0,0.0,1
59021,Morocco,2020-06-22,B.1.177,0,0.0,1
59022,Morocco,2020-06-22,B.1.221,0,0.0,1
59023,Morocco,2020-06-22,B.1.258,0,0.0,1
59024,Morocco,2020-06-22,B.1.367,0,0.0,1
59025,Morocco,2020-06-22,B.1.620,0,0.0,1
59026,Morocco,2020-06-22,Beta,0,0.0,1
59027,Morocco,2020-06-22,Delta,0,0.0,1
59028,Morocco,2020-06-22,Epsilon,0,0.0,1
59029,Morocco,2020-06-22,Eta,0,0.0,1
59030,Morocco,2020-06-22,Gamma,0,0.0,1
59031,Morocco,2020-06-22,Iota,0,0.0,1
59032,Morocco,2020-06-22,Kappa,0,0.0,1
59033,Morocco,2020-06-22,Lambda,0,0.0,1
59034,Morocco,2020-06-22,Mu,0,0.0,1
59035,Morocco,2020-06-22,Omicron,0,0.0,1
59036,Morocco,2020-06-22,S:677H.Robin1,0,0.0,1
59037,Morocco,2020-06-22,S:677P.Pelican,0,0.0,1
59038,Morocco,2020-06-22,others,1,100.0,1
59039,Morocco,2020-06-22,non_who,1,100.0,1
59040,Morocco,2020-07-06,Alpha,0,0.0,2
59041,Morocco,2020-07-06,B.1.1.277,0,0.0,2
59042,Morocco,2020-07-06,B.1.1.302,0,0.0,2
59043,Morocco,2020-07-06,B.1.1.519,0,0.0,2
59044,Morocco,2020-07-06,B.1.160,0,0.0,2
59045,Morocco,2020-07-06,B.1.177,0,0.0,2
59046,Morocco,2020-07-06,B.1.221,0,0.0,2
59047,Morocco,2020-07-06,B.1.258,0,0.0,2
59048,Morocco,2020-07-06,B.1.367,0,0.0,2
59049,Morocco,2020-07-06,B.1.620,0,0.0,2
59050,Morocco,2020-07-06,Beta,0,0.0,2
59051,Morocco,2020-07-06,Delta,0,0.0,2
59052,Morocco,2020-07-06,Epsilon,0,0.0,2
59053,Morocco,2020-07-06,Eta,0,0.0,2
59054,Morocco,2020-07-06,Gamma,0,0.0,2
59055,Morocco,2020-07-06,Iota,0,0.0,2
59056,Morocco,2020-07-06,Kappa,0,0.0,2
59057,Morocco,2020-07-06,Lambda,0,0.0,2
59058,Morocco,2020-07-06,Mu,0,0.0,2
59059,Morocco,2020-07-06,Omicron,0,0.0,2
59060,Morocco,2020-07-06,S:677H.Robin1,0,0.0,2
59061,Morocco,2020-07-06,S:677P.Pelican,0,0.0,2
59062,Morocco,2020-07-06,others,2,100.0,2
59063,Morocco,2020-07-06,non_who,2,100.0,2
59064,Morocco,2020-07-20,Alpha,0,0.0,19
59065,Morocco,2020-07-20,B.1.1.277,0,0.0,19
59066,Morocco,2020-07-20,B.1.1.302,0,0.0,19
59067,Morocco,2020-07-20,B.1.1.519,0,0.0,19
59068,Morocco,2020-07-20,B.1.160,0,0.0,19
59069,Morocco,2020-07-20,B.1.177,0,0.0,19
59070,Morocco,2020-07-20,B.1.221,0,0.0,19
59071,Morocco,2020-07-20,B.1.258,0,0.0,19
59072,Morocco,2020-07-20,B.1.367,0,0.0,19
59073,Morocco,2020-07-20,B.1.620,0,0.0,19
59074,Morocco,2020-07-20,Beta,0,0.0,19
59075,Morocco,2020-07-20,Delta,0,0.0,19
59076,Morocco,2020-07-20,Epsilon,0,0.0,19
59077,Morocco,2020-07-20,Eta,0,0.0,19
59078,Morocco,2020-07-20,Gamma,0,0.0,19
59079,Morocco,2020-07-20,Iota,0,0.0,19
59080,Morocco,2020-07-20,Kappa,0,0.0,19
59081,Morocco,2020-07-20,Lambda,0,0.0,19
59082,Morocco,2020-07-20,Mu,0,0.0,19
59083,Morocco,2020-07-20,Omicron,0,0.0,19
59084,Morocco,2020-07-20,S:677H.Robin1,0,0.0,19
59085,Morocco,2020-07-20,S:677P.Pelican,0,0.0,19
59086,Morocco,2020-07-20,others,19,100.0,19
59087,Morocco,2020-07-20,non_who,19,100.0,19
59088,Morocco,2020-08-17,Alpha,0,0.0,2
59089,Morocco,2020-08-17,B.1.1.277,0,0.0,2
59090,Morocco,2020-08-17,B.1.1.302,0,0.0,2
59091,Morocco,2020-08-17,B.1.1.519,0,0.0,2
59092,Morocco,2020-08-17,B.1.160,0,0.0,2
59093,Morocco,2020-08-17,B.1.177,0,0.0,2
59094,Morocco,2020-08-17,B.1.221,0,0.0,2
59095,Morocco,2020-08-17,B.1.258,0,0.0,2
59096,Morocco,2020-08-17,B.1.367,0,0.0,2
59097,Morocco,2020-08-17,B.1.620,0,0.0,2
59098,Morocco,2020-08-17,Beta,0,0.0,2
59099,Morocco,2020-08-17,Delta,0,0.0,2
59100,Morocco,2020-08-17,Epsilon,0,0.0,2
59101,Morocco,2020-08-17,Eta,0,0.0,2
59102,Morocco,2020-08-17,Gamma,0,0.0,2
59103,Morocco,2020-08-17,Iota,0,0.0,2
59104,Morocco,2020-08-17,Kappa,0,0.0,2
59105,Morocco,2020-08-17,Lambda,0,0.0,2
59106,Morocco,2020-08-17,Mu,0,0.0,2
59107,Morocco,2020-08-17,Omicron,0,0.0,2
59108,Morocco,2020-08-17,S:677H.Robin1,0,0.0,2
59109,Morocco,2020-08-17,S:677P.Pelican,0,0.0,2
59110,Morocco,2020-08-17,others,2,100.0,2
59111,Morocco,2020-08-17,non_who,2,100.0,2
59112,Morocco,2020-09-28,Alpha,0,0.0,2
59113,Morocco,2020-09-28,B.1.1.277,0,0.0,2
59114,Morocco,2020-09-28,B.1.1.302,0,0.0,2
59115,Morocco,2020-09-28,B.1.1.519,0,0.0,2
59116,Morocco,2020-09-28,B.1.160,0,0.0,2
59117,Morocco,2020-09-28,B.1.177,0,0.0,2
59118,Morocco,2020-09-28,B.1.221,0,0.0,2
59119,Morocco,2020-09-28,B.1.258,0,0.0,2
59120,Morocco,2020-09-28,B.1.367,0,0.0,2
59121,Morocco,2020-09-28,B.1.620,0,0.0,2
59122,Morocco,2020-09-28,Beta,0,0.0,2
59123,Morocco,2020-09-28,Delta,0,0.0,2
59124,Morocco,2020-09-28,Epsilon,0,0.0,2
59125,Morocco,2020-09-28,Eta,0,0.0,2
59126,Morocco,2020-09-28,Gamma,0,0.0,2
59127,Morocco,2020-09-28,Iota,0,0.0,2
59128,Morocco,2020-09-28,Kappa,0,0.0,2
59129,Morocco,2020-09-28,Lambda,0,0.0,2
59130,Morocco,2020-09-28,Mu,0,0.0,2
59131,Morocco,2020-09-28,Omicron,0,0.0,2
59132,Morocco,2020-09-28,S:677H.Robin1,0,0.0,2
59133,Morocco,2020-09-28,S:677P.Pelican,0,0.0,2
59134,Morocco,2020-09-28,others,2,100.0,2
59135,Morocco,2020-09-28,non_who,2,100.0,2
59136,Morocco,2020-11-09,Alpha,0,0.0,1
59137,Morocco,2020-11-09,B.1.1.277,0,0.0,1
59138,Morocco,2020-11-09,B.1.1.302,0,0.0,1
59139,Morocco,2020-11-09,B.1.1.519,0,0.0,1
59140,Morocco,2020-11-09,B.1.160,0,0.0,1
59141,Morocco,2020-11-09,B.1.177,0,0.0,1
59142,Morocco,2020-11-09,B.1.221,0,0.0,1
59143,Morocco,2020-11-09,B.1.258,0,0.0,1
59144,Morocco,2020-11-09,B.1.367,0,0.0,1
59145,Morocco,2020-11-09,B.1.620,0,0.0,1
59146,Morocco,2020-11-09,Beta,0,0.0,1
59147,Morocco,2020-11-09,Delta,0,0.0,1
59148,Morocco,2020-11-09,Epsilon,0,0.0,1
59149,Morocco,2020-11-09,Eta,0,0.0,1
59150,Morocco,2020-11-09,Gamma,0,0.0,1
59151,Morocco,2020-11-09,Iota,0,0.0,1
59152,Morocco,2020-11-09,Kappa,0,0.0,1
59153,Morocco,2020-11-09,Lambda,0,0.0,1
59154,Morocco,2020-11-09,Mu,0,0.0,1
59155,Morocco,2020-11-09,Omicron,0,0.0,1
59156,Morocco,2020-11-09,S:677H.Robin1,0,0.0,1
59157,Morocco,2020-11-09,S:677P.Pelican,0,0.0,1
59158,Morocco,2020-11-09,others,1,100.0,1
59159,Morocco,2020-11-09,non_who,1,100.0,1
59160,Morocco,2020-12-21,Alpha,0,0.0,26
59161,Morocco,2020-12-21,B.1.1.277,0,0.0,26
59162,Morocco,2020-12-21,B.1.1.302,0,0.0,26
59163,Morocco,2020-12-21,B.1.1.519,0,0.0,26
59164,Morocco,2020-12-21,B.1.160,1,3.85,26
59165,Morocco,2020-12-21,B.1.177,1,3.85,26
59166,Morocco,2020-12-21,B.1.221,0,0.0,26
59167,Morocco,2020-12-21,B.1.258,0,0.0,26
59168,Morocco,2020-12-21,B.1.367,0,0.0,26
59169,Morocco,2020-12-21,B.1.620,0,0.0,26
59170,Morocco,2020-12-21,Beta,0,0.0,26
59171,Morocco,2020-12-21,Delta,0,0.0,26
59172,Morocco,2020-12-21,Epsilon,0,0.0,26
59173,Morocco,2020-12-21,Eta,0,0.0,26
59174,Morocco,2020-12-21,Gamma,0,0.0,26
59175,Morocco,2020-12-21,Iota,0,0.0,26
59176,Morocco,2020-12-21,Kappa,0,0.0,26
59177,Morocco,2020-12-21,Lambda,0,0.0,26
59178,Morocco,2020-12-21,Mu,0,0.0,26
59179,Morocco,2020-12-21,Omicron,0,0.0,26
59180,Morocco,2020-12-21,S:677H.Robin1,0,0.0,26
59181,Morocco,2020-12-21,S:677P.Pelican,0,0.0,26
59182,Morocco,2020-12-21,others,24,92.3,26
