,location,date,variant,num_sequences,perc_sequences,num_sequences_total
59736,Mozambique,2020-07-20,Alpha,0,0.0,7
59737,Mozambique,2020-07-20,B.1.1.277,0,0.0,7
59738,Mozambique,2020-07-20,B.1.1.302,0,0.0,7
59739,Mozambique,2020-07-20,B.1.1.519,0,0.0,7
59740,Mozambique,2020-07-20,B.1.160,0,0.0,7
59741,Mozambique,2020-07-20,B.1.177,0,0.0,7
59742,Mozambique,2020-07-20,B.1.221,0,0.0,7
59743,Mozambique,2020-07-20,B.1.258,0,0.0,7
59744,Mozambique,2020-07-20,B.1.367,0,0.0,7
59745,Mozambique,2020-07-20,B.1.620,0,0.0,7
59746,Mozambique,2020-07-20,Beta,0,0.0,7
59747,Mozambique,2020-07-20,Delta,0,0.0,7
59748,Mozambique,2020-07-20,Epsilon,0,0.0,7
59749,Mozambique,2020-07-20,Eta,0,0.0,7
59750,Mozambique,2020-07-20,Gamma,0,0.0,7
59751,Mozambique,2020-07-20,Iota,0,0.0,7
59752,Mozambique,2020-07-20,Kappa,0,0.0,7
59753,Mozambique,2020-07-20,Lambda,0,0.0,7
59754,Mozambique,2020-07-20,Mu,0,0.0,7
59755,Mozambique,2020-07-20,Omicron,0,0.0,7
59756,Mozambique,2020-07-20,S:677H.Robin1,0,0.0,7
59757,Mozambique,2020-07-20,S:677P.Pelican,0,0.0,7
59758,Mozambique,2020-07-20,others,7,100.0,7
59759,Mozambique,2020-07-20,non_who,7,100.0,7
59760,Mozambique,2020-08-17,Alpha,0,0.0,1
59761,Mozambique,2020-08-17,B.1.1.277,0,0.0,1
59762,Mozambique,2020-08-17,B.1.1.302,0,0.0,1
59763,Mozambique,2020-08-17,B.1.1.519,0,0.0,1
59764,Mozambique,2020-08-17,B.1.160,0,0.0,1
59765,Mozambique,2020-08-17,B.1.177,0,0.0,1
59766,Mozambique,2020-08-17,B.1.221,0,0.0,1
59767,Mozambique,2020-08-17,B.1.258,0,0.0,1
59768,Mozambique,2020-08-17,B.1.367,0,0.0,1
59769,Mozambique,2020-08-17,B.1.620,0,0.0,1
59770,Mozambique,2020-08-17,Beta,0,0.0,1
59771,Mozambique,2020-08-17,Delta,0,0.0,1
59772,Mozambique,2020-08-17,Epsilon,0,0.0,1
59773,Mozambique,2020-08-17,Eta,0,0.0,1
59774,Mozambique,2020-08-17,Gamma,0,0.0,1
59775,Mozambique,2020-08-17,Iota,0,0.0,1
59776,Mozambique,2020-08-17,Kappa,0,0.0,1
59777,Mozambique,2020-08-17,Lambda,0,0.0,1
59778,Mozambique,2020-08-17,Mu,0,0.0,1
59779,Mozambique,2020-08-17,Omicron,0,0.0,1
59780,Mozambique,2020-08-17,S:677H.Robin1,0,0.0,1
59781,Mozambique,2020-08-17,S:677P.Pelican,0,0.0,1
59782,Mozambique,2020-08-17,others,1,100.0,1
59783,Mozambique,2020-08-17,non_who,1,100.0,1
59784,Mozambique,2020-08-31,Alpha,0,0.0,10
59785,Mozambique,2020-08-31,B.1.1.277,0,0.0,10
59786,Mozambique,2020-08-31,B.1.1.302,0,0.0,10
59787,Mozambique,2020-08-31,B.1.1.519,0,0.0,10
59788,Mozambique,2020-08-31,B.1.160,0,0.0,10
59789,Mozambique,2020-08-31,B.1.177,0,0.0,10
59790,Mozambique,2020-08-31,B.1.221,0,0.0,10
59791,Mozambique,2020-08-31,B.1.258,0,0.0,10
59792,Mozambique,2020-08-31,B.1.367,0,0.0,10
59793,Mozambique,2020-08-31,B.1.620,0,0.0,10
59794,Mozambique,2020-08-31,Beta,6,60.0,10
59795,Mozambique,2020-08-31,Delta,0,0.0,10
59796,Mozambique,2020-08-31,Epsilon,0,0.0,10
59797,Mozambique,2020-08-31,Eta,0,0.0,10
59798,Mozambique,2020-08-31,Gamma,0,0.0,10
59799,Mozambique,2020-08-31,Iota,0,0.0,10
59800,Mozambique,2020-08-31,Kappa,0,0.0,10
59801,Mozambique,2020-08-31,Lambda,0,0.0,10
59802,Mozambique,2020-08-31,Mu,0,0.0,10
59803,Mozambique,2020-08-31,Omicron,0,0.0,10
59804,Mozambique,2020-08-31,S:677H.Robin1,0,0.0,10
59805,Mozambique,2020-08-31,S:677P.Pelican,0,0.0,10
59806,Mozambique,2020-08-31,others,4,40.0,10
