,location,date,variant,num_sequences,perc_sequences,num_sequences_total
61200,Netherlands,2020-05-11,Alpha,0,0.0,214
61201,Netherlands,2020-05-11,B.1.1.277,0,0.0,214
61202,Netherlands,2020-05-11,B.1.1.302,0,0.0,214
61203,Netherlands,2020-05-11,B.1.1.519,0,0.0,214
61204,Netherlands,2020-05-11,B.1.160,0,0.0,214
61205,Netherlands,2020-05-11,B.1.177,0,0.0,214
61206,Netherlands,2020-05-11,B.1.221,0,0.0,214
61207,Netherlands,2020-05-11,B.1.258,0,0.0,214
61208,Netherlands,2020-05-11,B.1.367,0,0.0,214
61209,Netherlands,2020-05-11,B.1.620,0,0.0,214
61210,Netherlands,2020-05-11,Beta,0,0.0,214
61211,Netherlands,2020-05-11,Delta,0,0.0,214
61212,Netherlands,2020-05-11,Epsilon,0,0.0,214
61213,Netherlands,2020-05-11,Eta,0,0.0,214
61214,Netherlands,2020-05-11,Gamma,0,0.0,214
61215,Netherlands,2020-05-11,Iota,0,0.0,214
61216,Netherlands,2020-05-11,Kappa,0,0.0,214
61217,Netherlands,2020-05-11,Lambda,0,0.0,214
61218,Netherlands,2020-05-11,Mu,0,0.0,214
61219,Netherlands,2020-05-11,Omicron,0,0.0,214
61220,Netherlands,2020-05-11,S:677H.Robin1,0,0.0,214
61221,Netherlands,2020-05-11,S:677P.Pelican,0,0.0,214
61222,Netherlands,2020-05-11,others,214,100.0,214
61223,Netherlands,2020-05-11,non_who,214,100.0,214
61224,Netherlands,2020-05-25,Alpha,0,0.0,226
61225,Netherlands,2020-05-25,B.1.1.277,0,0.0,226
61226,Netherlands,2020-05-25,B.1.1.302,0,0.0,226
61227,Netherlands,2020-05-25,B.1.1.519,0,0.0,226
61228,Netherlands,2020-05-25,B.1.160,0,0.0,226
61229,Netherlands,2020-05-25,B.1.177,0,0.0,226
61230,Netherlands,2020-05-25,B.1.221,0,0.0,226
61231,Netherlands,2020-05-25,B.1.258,0,0.0,226
61232,Netherlands,2020-05-25,B.1.367,0,0.0,226
61233,Netherlands,2020-05-25,B.1.620,0,0.0,226
61234,Netherlands,2020-05-25,Beta,0,0.0,226
61235,Netherlands,2020-05-25,Delta,0,0.0,226
61236,Netherlands,2020-05-25,Epsilon,0,0.0,226
61237,Netherlands,2020-05-25,Eta,0,0.0,226
61238,Netherlands,2020-05-25,Gamma,0,0.0,226
61239,Netherlands,2020-05-25,Iota,0,0.0,226
61240,Netherlands,2020-05-25,Kappa,0,0.0,226
61241,Netherlands,2020-05-25,Lambda,0,0.0,226
61242,Netherlands,2020-05-25,Mu,0,0.0,226
61243,Netherlands,2020-05-25,Omicron,0,0.0,226
61244,Netherlands,2020-05-25,S:677H.Robin1,0,0.0,226
61245,Netherlands,2020-05-25,S:677P.Pelican,0,0.0,226
61246,Netherlands,2020-05-25,others,226,100.0,226
61247,Netherlands,2020-05-25,non_who,226,100.0,226
61248,Netherlands,2020-06-08,Alpha,0,0.0,144
61249,Netherlands,2020-06-08,B.1.1.277,0,0.0,144
61250,Netherlands,2020-06-08,B.1.1.302,0,0.0,144
61251,Netherlands,2020-06-08,B.1.1.519,0,0.0,144
61252,Netherlands,2020-06-08,B.1.160,0,0.0,144
61253,Netherlands,2020-06-08,B.1.177,0,0.0,144
61254,Netherlands,2020-06-08,B.1.221,0,0.0,144
61255,Netherlands,2020-06-08,B.1.258,0,0.0,144
61256,Netherlands,2020-06-08,B.1.367,0,0.0,144
61257,Netherlands,2020-06-08,B.1.620,0,0.0,144
61258,Netherlands,2020-06-08,Beta,0,0.0,144
61259,Netherlands,2020-06-08,Delta,0,0.0,144
61260,Netherlands,2020-06-08,Epsilon,0,0.0,144
61261,Netherlands,2020-06-08,Eta,0,0.0,144
61262,Netherlands,2020-06-08,Gamma,0,0.0,144
61263,Netherlands,2020-06-08,Iota,0,0.0,144
61264,Netherlands,2020-06-08,Kappa,0,0.0,144
61265,Netherlands,2020-06-08,Lambda,0,0.0,144
61266,Netherlands,2020-06-08,Mu,0,0.0,144
61267,Netherlands,2020-06-08,Omicron,0,0.0,144
61268,Netherlands,2020-06-08,S:677H.Robin1,0,0.0,144
61269,Netherlands,2020-06-08,S:677P.Pelican,0,0.0,144
61270,Netherlands,2020-06-08,others,144,100.0,144
61271,Netherlands,2020-06-08,non_who,144,100.0,144
61272,Netherlands,2020-06-22,Alpha,0,0.0,98
61273,Netherlands,2020-06-22,B.1.1.277,0,0.0,98
61274,Netherlands,2020-06-22,B.1.1.302,0,0.0,98
61275,Netherlands,2020-06-22,B.1.1.519,0,0.0,98
61276,Netherlands,2020-06-22,B.1.160,0,0.0,98
61277,Netherlands,2020-06-22,B.1.177,1,1.02,98
61278,Netherlands,2020-06-22,B.1.221,5,5.1,98
61279,Netherlands,2020-06-22,B.1.258,0,0.0,98
61280,Netherlands,2020-06-22,B.1.367,0,0.0,98
61281,Netherlands,2020-06-22,B.1.620,0,0.0,98
61282,Netherlands,2020-06-22,Beta,0,0.0,98
61283,Netherlands,2020-06-22,Delta,0,0.0,98
61284,Netherlands,2020-06-22,Epsilon,0,0.0,98
61285,Netherlands,2020-06-22,Eta,0,0.0,98
61286,Netherlands,2020-06-22,Gamma,0,0.0,98
61287,Netherlands,2020-06-22,Iota,0,0.0,98
61288,Netherlands,2020-06-22,Kappa,0,0.0,98
61289,Netherlands,2020-06-22,Lambda,0,0.0,98
61290,Netherlands,2020-06-22,Mu,0,0.0,98
61291,Netherlands,2020-06-22,Omicron,0,0.0,98
61292,Netherlands,2020-06-22,S:677H.Robin1,0,0.0,98
61293,Netherlands,2020-06-22,S:677P.Pelican,0,0.0,98
61294,Netherlands,2020-06-22,others,92,93.88,98
61295,Netherlands,2020-06-22,non_who,98,100.0,98
61296,Netherlands,2020-07-06,Alpha,0,0.0,91
61297,Netherlands,2020-07-06,B.1.1.277,0,0.0,91
61298,Netherlands,2020-07-06,B.1.1.302,0,0.0,91
61299,Netherlands,2020-07-06,B.1.1.519,0,0.0,91
61300,Netherlands,2020-07-06,B.1.160,0,0.0,91
61301,Netherlands,2020-07-06,B.1.177,0,0.0,91
61302,Netherlands,2020-07-06,B.1.221,0,0.0,91
61303,Netherlands,2020-07-06,B.1.258,0,0.0,91
61304,Netherlands,2020-07-06,B.1.367,0,0.0,91
61305,Netherlands,2020-07-06,B.1.620,0,0.0,91
