,location,date,variant,num_sequences,perc_sequences,num_sequences_total
62280,New Zealand,2020-05-11,Alpha,0,0.0,8
62281,New Zealand,2020-05-11,B.1.1.277,0,0.0,8
62282,New Zealand,2020-05-11,B.1.1.302,0,0.0,8
62283,New Zealand,2020-05-11,B.1.1.519,0,0.0,8
62284,New Zealand,2020-05-11,B.1.160,0,0.0,8
62285,New Zealand,2020-05-11,B.1.177,0,0.0,8
62286,New Zealand,2020-05-11,B.1.221,0,0.0,8
62287,New Zealand,2020-05-11,B.1.258,0,0.0,8
62288,New Zealand,2020-05-11,B.1.367,0,0.0,8
62289,New Zealand,2020-05-11,B.1.620,0,0.0,8
62290,New Zealand,2020-05-11,Beta,0,0.0,8
62291,New Zealand,2020-05-11,Delta,0,0.0,8
62292,New Zealand,2020-05-11,Epsilon,0,0.0,8
62293,New Zealand,2020-05-11,Eta,0,0.0,8
62294,New Zealand,2020-05-11,Gamma,0,0.0,8
62295,New Zealand,2020-05-11,Iota,0,0.0,8
62296,New Zealand,2020-05-11,Kappa,0,0.0,8
62297,New Zealand,2020-05-11,Lambda,0,0.0,8
62298,New Zealand,2020-05-11,Mu,0,0.0,8
62299,New Zealand,2020-05-11,Omicron,0,0.0,8
62300,New Zealand,2020-05-11,S:677H.Robin1,0,0.0,8
62301,New Zealand,2020-05-11,S:677P.Pelican,0,0.0,8
62302,New Zealand,2020-05-11,others,8,100.0,8
62303,New Zealand,2020-05-11,non_who,8,100.0,8
62304,New Zealand,2020-05-25,Alpha,0,0.0,1
62305,New Zealand,2020-05-25,B.1.1.277,0,0.0,1
62306,New Zealand,2020-05-25,B.1.1.302,0,0.0,1
62307,New Zealand,2020-05-25,B.1.1.519,0,0.0,1
62308,New Zealand,2020-05-25,B.1.160,0,0.0,1
62309,New Zealand,2020-05-25,B.1.177,0,0.0,1
62310,New Zealand,2020-05-25,B.1.221,0,0.0,1
62311,New Zealand,2020-05-25,B.1.258,0,0.0,1
62312,New Zealand,2020-05-25,B.1.367,0,0.0,1
62313,New Zealand,2020-05-25,B.1.620,0,0.0,1
62314,New Zealand,2020-05-25,Beta,0,0.0,1
