,location,date,variant,num_sequences,perc_sequences,num_sequences_total
63336,Nigeria,2020-05-11,Alpha,0,0.0,26
63337,Nigeria,2020-05-11,B.1.1.277,0,0.0,26
63338,Nigeria,2020-05-11,B.1.1.302,0,0.0,26
63339,Nigeria,2020-05-11,B.1.1.519,0,0.0,26
63340,Nigeria,2020-05-11,B.1.160,0,0.0,26
63341,Nigeria,2020-05-11,B.1.177,0,0.0,26
63342,Nigeria,2020-05-11,B.1.221,0,0.0,26
63343,Nigeria,2020-05-11,B.1.258,0,0.0,26
63344,Nigeria,2020-05-11,B.1.367,0,0.0,26
63345,Nigeria,2020-05-11,B.1.620,0,0.0,26
63346,Nigeria,2020-05-11,Beta,0,0.0,26
63347,Nigeria,2020-05-11,Delta,0,0.0,26
63348,Nigeria,2020-05-11,Epsilon,0,0.0,26
63349,Nigeria,2020-05-11,Eta,0,0.0,26
63350,Nigeria,2020-05-11,Gamma,0,0.0,26
63351,Nigeria,2020-05-11,Iota,0,0.0,26
63352,Nigeria,2020-05-11,Kappa,0,0.0,26
63353,Nigeria,2020-05-11,Lambda,0,0.0,26
63354,Nigeria,2020-05-11,Mu,0,0.0,26
63355,Nigeria,2020-05-11,Omicron,0,0.0,26
63356,Nigeria,2020-05-11,S:677H.Robin1,0,0.0,26
63357,Nigeria,2020-05-11,S:677P.Pelican,0,0.0,26
63358,Nigeria,2020-05-11,others,26,100.0,26
63359,Nigeria,2020-05-11,non_who,26,100.0,26
63360,Nigeria,2020-05-25,Alpha,0,0.0,31
63361,Nigeria,2020-05-25,B.1.1.277,0,0.0,31
63362,Nigeria,2020-05-25,B.1.1.302,0,0.0,31
63363,Nigeria,2020-05-25,B.1.1.519,0,0.0,31
63364,Nigeria,2020-05-25,B.1.160,0,0.0,31
63365,Nigeria,2020-05-25,B.1.177,0,0.0,31
63366,Nigeria,2020-05-25,B.1.221,0,0.0,31
63367,Nigeria,2020-05-25,B.1.258,0,0.0,31
63368,Nigeria,2020-05-25,B.1.367,0,0.0,31
63369,Nigeria,2020-05-25,B.1.620,0,0.0,31
63370,Nigeria,2020-05-25,Beta,0,0.0,31
63371,Nigeria,2020-05-25,Delta,0,0.0,31
63372,Nigeria,2020-05-25,Epsilon,0,0.0,31
63373,Nigeria,2020-05-25,Eta,0,0.0,31
63374,Nigeria,2020-05-25,Gamma,0,0.0,31
63375,Nigeria,2020-05-25,Iota,0,0.0,31
63376,Nigeria,2020-05-25,Kappa,0,0.0,31
63377,Nigeria,2020-05-25,Lambda,0,0.0,31
63378,Nigeria,2020-05-25,Mu,0,0.0,31
63379,Nigeria,2020-05-25,Omicron,0,0.0,31
63380,Nigeria,2020-05-25,S:677H.Robin1,0,0.0,31
63381,Nigeria,2020-05-25,S:677P.Pelican,0,0.0,31
63382,Nigeria,2020-05-25,others,31,100.0,31
63383,Nigeria,2020-05-25,non_who,31,100.0,31
63384,Nigeria,2020-06-08,Alpha,0,0.0,16
63385,Nigeria,2020-06-08,B.1.1.277,0,0.0,16
63386,Nigeria,2020-06-08,B.1.1.302,0,0.0,16
63387,Nigeria,2020-06-08,B.1.1.519,0,0.0,16
63388,Nigeria,2020-06-08,B.1.160,0,0.0,16
63389,Nigeria,2020-06-08,B.1.177,0,0.0,16
63390,Nigeria,2020-06-08,B.1.221,0,0.0,16
63391,Nigeria,2020-06-08,B.1.258,0,0.0,16
63392,Nigeria,2020-06-08,B.1.367,0,0.0,16
63393,Nigeria,2020-06-08,B.1.620,0,0.0,16
63394,Nigeria,2020-06-08,Beta,0,0.0,16
63395,Nigeria,2020-06-08,Delta,0,0.0,16
63396,Nigeria,2020-06-08,Epsilon,0,0.0,16
63397,Nigeria,2020-06-08,Eta,0,0.0,16
63398,Nigeria,2020-06-08,Gamma,0,0.0,16
63399,Nigeria,2020-06-08,Iota,0,0.0,16
63400,Nigeria,2020-06-08,Kappa,0,0.0,16
63401,Nigeria,2020-06-08,Lambda,0,0.0,16
63402,Nigeria,2020-06-08,Mu,0,0.0,16
63403,Nigeria,2020-06-08,Omicron,0,0.0,16
63404,Nigeria,2020-06-08,S:677H.Robin1,0,0.0,16
63405,Nigeria,2020-06-08,S:677P.Pelican,0,0.0,16
63406,Nigeria,2020-06-08,others,16,100.0,16
63407,Nigeria,2020-06-08,non_who,16,100.0,16
63408,Nigeria,2020-06-22,Alpha,0,0.0,27
63409,Nigeria,2020-06-22,B.1.1.277,0,0.0,27
63410,Nigeria,2020-06-22,B.1.1.302,0,0.0,27
63411,Nigeria,2020-06-22,B.1.1.519,0,0.0,27
63412,Nigeria,2020-06-22,B.1.160,0,0.0,27
63413,Nigeria,2020-06-22,B.1.177,0,0.0,27
63414,Nigeria,2020-06-22,B.1.221,0,0.0,27
63415,Nigeria,2020-06-22,B.1.258,0,0.0,27
63416,Nigeria,2020-06-22,B.1.367,0,0.0,27
63417,Nigeria,2020-06-22,B.1.620,0,0.0,27
63418,Nigeria,2020-06-22,Beta,0,0.0,27
63419,Nigeria,2020-06-22,Delta,0,0.0,27
63420,Nigeria,2020-06-22,Epsilon,0,0.0,27
63421,Nigeria,2020-06-22,Eta,0,0.0,27
63422,Nigeria,2020-06-22,Gamma,0,0.0,27
63423,Nigeria,2020-06-22,Iota,0,0.0,27
63424,Nigeria,2020-06-22,Kappa,0,0.0,27
63425,Nigeria,2020-06-22,Lambda,0,0.0,27
63426,Nigeria,2020-06-22,Mu,0,0.0,27
63427,Nigeria,2020-06-22,Omicron,0,0.0,27
63428,Nigeria,2020-06-22,S:677H.Robin1,0,0.0,27
63429,Nigeria,2020-06-22,S:677P.Pelican,0,0.0,27
