,location,date,variant,num_sequences,perc_sequences,num_sequences_total
64368,North Macedonia,2020-05-25,Alpha,0,0.0,1
64369,North Macedonia,2020-05-25,B.1.1.277,0,0.0,1
64370,North Macedonia,2020-05-25,B.1.1.302,0,0.0,1
64371,North Macedonia,2020-05-25,B.1.1.519,0,0.0,1
64372,North Macedonia,2020-05-25,B.1.160,0,0.0,1
64373,North Macedonia,2020-05-25,B.1.177,0,0.0,1
64374,North Macedonia,2020-05-25,B.1.221,0,0.0,1
64375,North Macedonia,2020-05-25,B.1.258,0,0.0,1
64376,North Macedonia,2020-05-25,B.1.367,0,0.0,1
64377,North Macedonia,2020-05-25,B.1.620,0,0.0,1
64378,North Macedonia,2020-05-25,Beta,0,0.0,1
64379,North Macedonia,2020-05-25,Delta,0,0.0,1
64380,North Macedonia,2020-05-25,Epsilon,0,0.0,1
64381,North Macedonia,2020-05-25,Eta,0,0.0,1
64382,North Macedonia,2020-05-25,Gamma,0,0.0,1
64383,North Macedonia,2020-05-25,Iota,0,0.0,1
64384,North Macedonia,2020-05-25,Kappa,0,0.0,1
64385,North Macedonia,2020-05-25,Lambda,0,0.0,1
64386,North Macedonia,2020-05-25,Mu,0,0.0,1
64387,North Macedonia,2020-05-25,Omicron,0,0.0,1
64388,North Macedonia,2020-05-25,S:677H.Robin1,0,0.0,1
64389,North Macedonia,2020-05-25,S:677P.Pelican,0,0.0,1
64390,North Macedonia,2020-05-25,others,1,100.0,1
64391,North Macedonia,2020-05-25,non_who,1,100.0,1
64392,North Macedonia,2020-06-08,Alpha,0,0.0,17
64393,North Macedonia,2020-06-08,B.1.1.277,0,0.0,17
64394,North Macedonia,2020-06-08,B.1.1.302,0,0.0,17
64395,North Macedonia,2020-06-08,B.1.1.519,0,0.0,17
64396,North Macedonia,2020-06-08,B.1.160,0,0.0,17
64397,North Macedonia,2020-06-08,B.1.177,0,0.0,17
64398,North Macedonia,2020-06-08,B.1.221,0,0.0,17
64399,North Macedonia,2020-06-08,B.1.258,0,0.0,17
64400,North Macedonia,2020-06-08,B.1.367,0,0.0,17
64401,North Macedonia,2020-06-08,B.1.620,0,0.0,17
64402,North Macedonia,2020-06-08,Beta,0,0.0,17
64403,North Macedonia,2020-06-08,Delta,0,0.0,17
64404,North Macedonia,2020-06-08,Epsilon,0,0.0,17
64405,North Macedonia,2020-06-08,Eta,0,0.0,17
64406,North Macedonia,2020-06-08,Gamma,0,0.0,17
64407,North Macedonia,2020-06-08,Iota,0,0.0,17
64408,North Macedonia,2020-06-08,Kappa,0,0.0,17
64409,North Macedonia,2020-06-08,Lambda,0,0.0,17
64410,North Macedonia,2020-06-08,Mu,0,0.0,17
64411,North Macedonia,2020-06-08,Omicron,0,0.0,17
64412,North Macedonia,2020-06-08,S:677H.Robin1,0,0.0,17
64413,North Macedonia,2020-06-08,S:677P.Pelican,0,0.0,17
64414,North Macedonia,2020-06-08,others,17,100.0,17
64415,North Macedonia,2020-06-08,non_who,17,100.0,17
64416,North Macedonia,2020-06-22,Alpha,0,0.0,18
64417,North Macedonia,2020-06-22,B.1.1.277,0,0.0,18
64418,North Macedonia,2020-06-22,B.1.1.302,0,0.0,18
64419,North Macedonia,2020-06-22,B.1.1.519,0,0.0,18
64420,North Macedonia,2020-06-22,B.1.160,0,0.0,18
64421,North Macedonia,2020-06-22,B.1.177,0,0.0,18
64422,North Macedonia,2020-06-22,B.1.221,0,0.0,18
64423,North Macedonia,2020-06-22,B.1.258,0,0.0,18
64424,North Macedonia,2020-06-22,B.1.367,0,0.0,18
64425,North Macedonia,2020-06-22,B.1.620,0,0.0,18
64426,North Macedonia,2020-06-22,Beta,0,0.0,18
64427,North Macedonia,2020-06-22,Delta,0,0.0,18
64428,North Macedonia,2020-06-22,Epsilon,0,0.0,18
64429,North Macedonia,2020-06-22,Eta,0,0.0,18
64430,North Macedonia,2020-06-22,Gamma,0,0.0,18
64431,North Macedonia,2020-06-22,Iota,0,0.0,18
64432,North Macedonia,2020-06-22,Kappa,0,0.0,18
64433,North Macedonia,2020-06-22,Lambda,0,0.0,18
64434,North Macedonia,2020-06-22,Mu,0,0.0,18
64435,North Macedonia,2020-06-22,Omicron,0,0.0,18
64436,North Macedonia,2020-06-22,S:677H.Robin1,0,0.0,18
64437,North Macedonia,2020-06-22,S:677P.Pelican,0,0.0,18
64438,North Macedonia,2020-06-22,others,18,100.0,18
64439,North Macedonia,2020-06-22,non_who,18,100.0,18
64440,North Macedonia,2020-07-06,Alpha,0,0.0,20
64441,North Macedonia,2020-07-06,B.1.1.277,0,0.0,20
64442,North Macedonia,2020-07-06,B.1.1.302,0,0.0,20
64443,North Macedonia,2020-07-06,B.1.1.519,0,0.0,20
64444,North Macedonia,2020-07-06,B.1.160,0,0.0,20
64445,North Macedonia,2020-07-06,B.1.177,0,0.0,20
64446,North Macedonia,2020-07-06,B.1.221,0,0.0,20
64447,North Macedonia,2020-07-06,B.1.258,0,0.0,20
64448,North Macedonia,2020-07-06,B.1.367,0,0.0,20
64449,North Macedonia,2020-07-06,B.1.620,0,0.0,20
64450,North Macedonia,2020-07-06,Beta,0,0.0,20
64451,North Macedonia,2020-07-06,Delta,0,0.0,20
64452,North Macedonia,2020-07-06,Epsilon,0,0.0,20
64453,North Macedonia,2020-07-06,Eta,0,0.0,20
64454,North Macedonia,2020-07-06,Gamma,0,0.0,20
64455,North Macedonia,2020-07-06,Iota,0,0.0,20
64456,North Macedonia,2020-07-06,Kappa,0,0.0,20
64457,North Macedonia,2020-07-06,Lambda,0,0.0,20
64458,North Macedonia,2020-07-06,Mu,0,0.0,20
64459,North Macedonia,2020-07-06,Omicron,0,0.0,20
64460,North Macedonia,2020-07-06,S:677H.Robin1,0,0.0,20
64461,North Macedonia,2020-07-06,S:677P.Pelican,0,0.0,20
64462,North Macedonia,2020-07-06,others,20,100.0,20
64463,North Macedonia,2020-07-06,non_who,20,100.0,20
64464,North Macedonia,2020-07-20,Alpha,0,0.0,5
64465,North Macedonia,2020-07-20,B.1.1.277,0,0.0,5
64466,North Macedonia,2020-07-20,B.1.1.302,0,0.0,5
64467,North Macedonia,2020-07-20,B.1.1.519,0,0.0,5
64468,North Macedonia,2020-07-20,B.1.160,0,0.0,5
64469,North Macedonia,2020-07-20,B.1.177,0,0.0,5
64470,North Macedonia,2020-07-20,B.1.221,0,0.0,5
64471,North Macedonia,2020-07-20,B.1.258,0,0.0,5
64472,North Macedonia,2020-07-20,B.1.367,0,0.0,5
64473,North Macedonia,2020-07-20,B.1.620,0,0.0,5
64474,North Macedonia,2020-07-20,Beta,0,0.0,5
64475,North Macedonia,2020-07-20,Delta,0,0.0,5
64476,North Macedonia,2020-07-20,Epsilon,0,0.0,5
64477,North Macedonia,2020-07-20,Eta,0,0.0,5
64478,North Macedonia,2020-07-20,Gamma,0,0.0,5
64479,North Macedonia,2020-07-20,Iota,0,0.0,5
64480,North Macedonia,2020-07-20,Kappa,0,0.0,5
