,location,date,variant,num_sequences,perc_sequences,num_sequences_total
65184,Norway,2020-05-11,Alpha,0,0.0,28
65185,Norway,2020-05-11,B.1.1.277,0,0.0,28
65186,Norway,2020-05-11,B.1.1.302,0,0.0,28
65187,Norway,2020-05-11,B.1.1.519,0,0.0,28
65188,Norway,2020-05-11,B.1.160,0,0.0,28
65189,Norway,2020-05-11,B.1.177,0,0.0,28
65190,Norway,2020-05-11,B.1.221,0,0.0,28
65191,Norway,2020-05-11,B.1.258,0,0.0,28
65192,Norway,2020-05-11,B.1.367,0,0.0,28
65193,Norway,2020-05-11,B.1.620,0,0.0,28
65194,Norway,2020-05-11,Beta,0,0.0,28
65195,Norway,2020-05-11,Delta,0,0.0,28
65196,Norway,2020-05-11,Epsilon,0,0.0,28
65197,Norway,2020-05-11,Eta,0,0.0,28
65198,Norway,2020-05-11,Gamma,0,0.0,28
65199,Norway,2020-05-11,Iota,0,0.0,28
65200,Norway,2020-05-11,Kappa,0,0.0,28
65201,Norway,2020-05-11,Lambda,0,0.0,28
65202,Norway,2020-05-11,Mu,0,0.0,28
65203,Norway,2020-05-11,Omicron,0,0.0,28
65204,Norway,2020-05-11,S:677H.Robin1,0,0.0,28
65205,Norway,2020-05-11,S:677P.Pelican,0,0.0,28
65206,Norway,2020-05-11,others,28,100.0,28
65207,Norway,2020-05-11,non_who,28,100.0,28
65208,Norway,2020-05-25,Alpha,0,0.0,18
65209,Norway,2020-05-25,B.1.1.277,0,0.0,18
65210,Norway,2020-05-25,B.1.1.302,0,0.0,18
65211,Norway,2020-05-25,B.1.1.519,0,0.0,18
65212,Norway,2020-05-25,B.1.160,0,0.0,18
65213,Norway,2020-05-25,B.1.177,0,0.0,18
65214,Norway,2020-05-25,B.1.221,0,0.0,18
65215,Norway,2020-05-25,B.1.258,0,0.0,18
65216,Norway,2020-05-25,B.1.367,0,0.0,18
65217,Norway,2020-05-25,B.1.620,0,0.0,18
65218,Norway,2020-05-25,Beta,0,0.0,18
65219,Norway,2020-05-25,Delta,0,0.0,18
65220,Norway,2020-05-25,Epsilon,0,0.0,18
65221,Norway,2020-05-25,Eta,0,0.0,18
65222,Norway,2020-05-25,Gamma,0,0.0,18
65223,Norway,2020-05-25,Iota,0,0.0,18
65224,Norway,2020-05-25,Kappa,0,0.0,18
65225,Norway,2020-05-25,Lambda,0,0.0,18
65226,Norway,2020-05-25,Mu,0,0.0,18
65227,Norway,2020-05-25,Omicron,0,0.0,18
65228,Norway,2020-05-25,S:677H.Robin1,0,0.0,18
65229,Norway,2020-05-25,S:677P.Pelican,0,0.0,18
65230,Norway,2020-05-25,others,18,100.0,18
65231,Norway,2020-05-25,non_who,18,100.0,18
65232,Norway,2020-06-08,Alpha,0,0.0,8
65233,Norway,2020-06-08,B.1.1.277,0,0.0,8
65234,Norway,2020-06-08,B.1.1.302,0,0.0,8
65235,Norway,2020-06-08,B.1.1.519,0,0.0,8
65236,Norway,2020-06-08,B.1.160,0,0.0,8
65237,Norway,2020-06-08,B.1.177,0,0.0,8
65238,Norway,2020-06-08,B.1.221,0,0.0,8
65239,Norway,2020-06-08,B.1.258,0,0.0,8
65240,Norway,2020-06-08,B.1.367,0,0.0,8
65241,Norway,2020-06-08,B.1.620,0,0.0,8
65242,Norway,2020-06-08,Beta,0,0.0,8
65243,Norway,2020-06-08,Delta,0,0.0,8
65244,Norway,2020-06-08,Epsilon,0,0.0,8
65245,Norway,2020-06-08,Eta,0,0.0,8
65246,Norway,2020-06-08,Gamma,0,0.0,8
65247,Norway,2020-06-08,Iota,0,0.0,8
65248,Norway,2020-06-08,Kappa,0,0.0,8
65249,Norway,2020-06-08,Lambda,0,0.0,8
65250,Norway,2020-06-08,Mu,0,0.0,8
65251,Norway,2020-06-08,Omicron,0,0.0,8
65252,Norway,2020-06-08,S:677H.Robin1,0,0.0,8
65253,Norway,2020-06-08,S:677P.Pelican,0,0.0,8
65254,Norway,2020-06-08,others,8,100.0,8
65255,Norway,2020-06-08,non_who,8,100.0,8
65256,Norway,2020-06-22,Alpha,0,0.0,31
65257,Norway,2020-06-22,B.1.1.277,0,0.0,31
65258,Norway,2020-06-22,B.1.1.302,0,0.0,31
65259,Norway,2020-06-22,B.1.1.519,0,0.0,31
65260,Norway,2020-06-22,B.1.160,0,0.0,31
65261,Norway,2020-06-22,B.1.177,0,0.0,31
65262,Norway,2020-06-22,B.1.221,0,0.0,31
65263,Norway,2020-06-22,B.1.258,0,0.0,31
65264,Norway,2020-06-22,B.1.367,0,0.0,31
65265,Norway,2020-06-22,B.1.620,0,0.0,31
65266,Norway,2020-06-22,Beta,0,0.0,31
65267,Norway,2020-06-22,Delta,0,0.0,31
65268,Norway,2020-06-22,Epsilon,0,0.0,31
65269,Norway,2020-06-22,Eta,0,0.0,31
65270,Norway,2020-06-22,Gamma,0,0.0,31
65271,Norway,2020-06-22,Iota,0,0.0,31
65272,Norway,2020-06-22,Kappa,0,0.0,31
65273,Norway,2020-06-22,Lambda,0,0.0,31
65274,Norway,2020-06-22,Mu,0,0.0,31
65275,Norway,2020-06-22,Omicron,0,0.0,31
65276,Norway,2020-06-22,S:677H.Robin1,0,0.0,31
65277,Norway,2020-06-22,S:677P.Pelican,0,0.0,31
65278,Norway,2020-06-22,others,31,100.0,31
65279,Norway,2020-06-22,non_who,31,100.0,31
65280,Norway,2020-07-06,Alpha,0,0.0,61
65281,Norway,2020-07-06,B.1.1.277,0,0.0,61
65282,Norway,2020-07-06,B.1.1.302,0,0.0,61
65283,Norway,2020-07-06,B.1.1.519,0,0.0,61
