,location,date,variant,num_sequences,perc_sequences,num_sequences_total
66240,Oman,2020-05-11,Alpha,0,0.0,22
66241,Oman,2020-05-11,B.1.1.277,0,0.0,22
66242,Oman,2020-05-11,B.1.1.302,0,0.0,22
66243,Oman,2020-05-11,B.1.1.519,0,0.0,22
66244,Oman,2020-05-11,B.1.160,0,0.0,22
66245,Oman,2020-05-11,B.1.177,0,0.0,22
66246,Oman,2020-05-11,B.1.221,0,0.0,22
66247,Oman,2020-05-11,B.1.258,0,0.0,22
66248,Oman,2020-05-11,B.1.367,0,0.0,22
66249,Oman,2020-05-11,B.1.620,0,0.0,22
66250,Oman,2020-05-11,Beta,0,0.0,22
66251,Oman,2020-05-11,Delta,0,0.0,22
66252,Oman,2020-05-11,Epsilon,0,0.0,22
66253,Oman,2020-05-11,Eta,0,0.0,22
66254,Oman,2020-05-11,Gamma,0,0.0,22
66255,Oman,2020-05-11,Iota,0,0.0,22
66256,Oman,2020-05-11,Kappa,0,0.0,22
66257,Oman,2020-05-11,Lambda,0,0.0,22
66258,Oman,2020-05-11,Mu,0,0.0,22
66259,Oman,2020-05-11,Omicron,0,0.0,22
66260,Oman,2020-05-11,S:677H.Robin1,0,0.0,22
66261,Oman,2020-05-11,S:677P.Pelican,0,0.0,22
66262,Oman,2020-05-11,others,22,100.0,22
66263,Oman,2020-05-11,non_who,22,100.0,22
66264,Oman,2020-05-25,Alpha,0,0.0,55
66265,Oman,2020-05-25,B.1.1.277,0,0.0,55
66266,Oman,2020-05-25,B.1.1.302,0,0.0,55
66267,Oman,2020-05-25,B.1.1.519,0,0.0,55
66268,Oman,2020-05-25,B.1.160,0,0.0,55
66269,Oman,2020-05-25,B.1.177,0,0.0,55
66270,Oman,2020-05-25,B.1.221,0,0.0,55
66271,Oman,2020-05-25,B.1.258,0,0.0,55
66272,Oman,2020-05-25,B.1.367,0,0.0,55
66273,Oman,2020-05-25,B.1.620,0,0.0,55
66274,Oman,2020-05-25,Beta,0,0.0,55
66275,Oman,2020-05-25,Delta,0,0.0,55
66276,Oman,2020-05-25,Epsilon,0,0.0,55
66277,Oman,2020-05-25,Eta,0,0.0,55
66278,Oman,2020-05-25,Gamma,0,0.0,55
66279,Oman,2020-05-25,Iota,0,0.0,55
66280,Oman,2020-05-25,Kappa,0,0.0,55
66281,Oman,2020-05-25,Lambda,0,0.0,55
66282,Oman,2020-05-25,Mu,0,0.0,55
66283,Oman,2020-05-25,Omicron,0,0.0,55
66284,Oman,2020-05-25,S:677H.Robin1,0,0.0,55
66285,Oman,2020-05-25,S:677P.Pelican,0,0.0,55
66286,Oman,2020-05-25,others,55,100.0,55
66287,Oman,2020-05-25,non_who,55,100.0,55
66288,Oman,2020-06-08,Alpha,0,0.0,25
66289,Oman,2020-06-08,B.1.1.277,0,0.0,25
66290,Oman,2020-06-08,B.1.1.302,0,0.0,25
66291,Oman,2020-06-08,B.1.1.519,0,0.0,25
66292,Oman,2020-06-08,B.1.160,0,0.0,25
66293,Oman,2020-06-08,B.1.177,0,0.0,25
66294,Oman,2020-06-08,B.1.221,0,0.0,25
66295,Oman,2020-06-08,B.1.258,0,0.0,25
66296,Oman,2020-06-08,B.1.367,0,0.0,25
66297,Oman,2020-06-08,B.1.620,0,0.0,25
66298,Oman,2020-06-08,Beta,0,0.0,25
66299,Oman,2020-06-08,Delta,0,0.0,25
66300,Oman,2020-06-08,Epsilon,0,0.0,25
66301,Oman,2020-06-08,Eta,0,0.0,25
66302,Oman,2020-06-08,Gamma,0,0.0,25
66303,Oman,2020-06-08,Iota,0,0.0,25
66304,Oman,2020-06-08,Kappa,0,0.0,25
66305,Oman,2020-06-08,Lambda,0,0.0,25
66306,Oman,2020-06-08,Mu,0,0.0,25
66307,Oman,2020-06-08,Omicron,0,0.0,25
66308,Oman,2020-06-08,S:677H.Robin1,0,0.0,25
66309,Oman,2020-06-08,S:677P.Pelican,0,0.0,25
66310,Oman,2020-06-08,others,25,100.0,25
66311,Oman,2020-06-08,non_who,25,100.0,25
66312,Oman,2020-06-22,Alpha,0,0.0,11
66313,Oman,2020-06-22,B.1.1.277,0,0.0,11
66314,Oman,2020-06-22,B.1.1.302,0,0.0,11
66315,Oman,2020-06-22,B.1.1.519,0,0.0,11
66316,Oman,2020-06-22,B.1.160,0,0.0,11
66317,Oman,2020-06-22,B.1.177,0,0.0,11
66318,Oman,2020-06-22,B.1.221,0,0.0,11
66319,Oman,2020-06-22,B.1.258,0,0.0,11
66320,Oman,2020-06-22,B.1.367,0,0.0,11
66321,Oman,2020-06-22,B.1.620,0,0.0,11
66322,Oman,2020-06-22,Beta,0,0.0,11
66323,Oman,2020-06-22,Delta,0,0.0,11
66324,Oman,2020-06-22,Epsilon,0,0.0,11
66325,Oman,2020-06-22,Eta,0,0.0,11
66326,Oman,2020-06-22,Gamma,0,0.0,11
66327,Oman,2020-06-22,Iota,0,0.0,11
66328,Oman,2020-06-22,Kappa,0,0.0,11
66329,Oman,2020-06-22,Lambda,0,0.0,11
66330,Oman,2020-06-22,Mu,0,0.0,11
66331,Oman,2020-06-22,Omicron,0,0.0,11
66332,Oman,2020-06-22,S:677H.Robin1,0,0.0,11
66333,Oman,2020-06-22,S:677P.Pelican,0,0.0,11
66334,Oman,2020-06-22,others,11,100.0,11
66335,Oman,2020-06-22,non_who,11,100.0,11
66336,Oman,2020-07-06,Alpha,0,0.0,8
