,location,date,variant,num_sequences,perc_sequences,num_sequences_total
67008,Pakistan,2020-05-11,Alpha,0,0.0,3
67009,Pakistan,2020-05-11,B.1.1.277,0,0.0,3
67010,Pakistan,2020-05-11,B.1.1.302,0,0.0,3
67011,Pakistan,2020-05-11,B.1.1.519,0,0.0,3
67012,Pakistan,2020-05-11,B.1.160,0,0.0,3
67013,Pakistan,2020-05-11,B.1.177,0,0.0,3
67014,Pakistan,2020-05-11,B.1.221,0,0.0,3
67015,Pakistan,2020-05-11,B.1.258,0,0.0,3
67016,Pakistan,2020-05-11,B.1.367,0,0.0,3
67017,Pakistan,2020-05-11,B.1.620,0,0.0,3
67018,Pakistan,2020-05-11,Beta,0,0.0,3
67019,Pakistan,2020-05-11,Delta,0,0.0,3
67020,Pakistan,2020-05-11,Epsilon,0,0.0,3
67021,Pakistan,2020-05-11,Eta,0,0.0,3
67022,Pakistan,2020-05-11,Gamma,0,0.0,3
67023,Pakistan,2020-05-11,Iota,0,0.0,3
67024,Pakistan,2020-05-11,Kappa,0,0.0,3
67025,Pakistan,2020-05-11,Lambda,0,0.0,3
67026,Pakistan,2020-05-11,Mu,0,0.0,3
67027,Pakistan,2020-05-11,Omicron,0,0.0,3
67028,Pakistan,2020-05-11,S:677H.Robin1,0,0.0,3
67029,Pakistan,2020-05-11,S:677P.Pelican,0,0.0,3
67030,Pakistan,2020-05-11,others,3,100.0,3
67031,Pakistan,2020-05-11,non_who,3,100.0,3
67032,Pakistan,2020-05-25,Alpha,0,0.0,10
67033,Pakistan,2020-05-25,B.1.1.277,0,0.0,10
67034,Pakistan,2020-05-25,B.1.1.302,0,0.0,10
67035,Pakistan,2020-05-25,B.1.1.519,0,0.0,10
67036,Pakistan,2020-05-25,B.1.160,0,0.0,10
67037,Pakistan,2020-05-25,B.1.177,0,0.0,10
67038,Pakistan,2020-05-25,B.1.221,0,0.0,10
67039,Pakistan,2020-05-25,B.1.258,0,0.0,10
67040,Pakistan,2020-05-25,B.1.367,0,0.0,10
67041,Pakistan,2020-05-25,B.1.620,0,0.0,10
67042,Pakistan,2020-05-25,Beta,0,0.0,10
67043,Pakistan,2020-05-25,Delta,0,0.0,10
67044,Pakistan,2020-05-25,Epsilon,0,0.0,10
67045,Pakistan,2020-05-25,Eta,0,0.0,10
67046,Pakistan,2020-05-25,Gamma,0,0.0,10
67047,Pakistan,2020-05-25,Iota,0,0.0,10
67048,Pakistan,2020-05-25,Kappa,0,0.0,10
67049,Pakistan,2020-05-25,Lambda,0,0.0,10
67050,Pakistan,2020-05-25,Mu,0,0.0,10
67051,Pakistan,2020-05-25,Omicron,0,0.0,10
67052,Pakistan,2020-05-25,S:677H.Robin1,0,0.0,10
67053,Pakistan,2020-05-25,S:677P.Pelican,0,0.0,10
67054,Pakistan,2020-05-25,others,10,100.0,10
67055,Pakistan,2020-05-25,non_who,10,100.0,10
67056,Pakistan,2020-06-08,Alpha,0,0.0,24
67057,Pakistan,2020-06-08,B.1.1.277,0,0.0,24
67058,Pakistan,2020-06-08,B.1.1.302,0,0.0,24
67059,Pakistan,2020-06-08,B.1.1.519,0,0.0,24
67060,Pakistan,2020-06-08,B.1.160,0,0.0,24
67061,Pakistan,2020-06-08,B.1.177,0,0.0,24
67062,Pakistan,2020-06-08,B.1.221,0,0.0,24
67063,Pakistan,2020-06-08,B.1.258,0,0.0,24
67064,Pakistan,2020-06-08,B.1.367,0,0.0,24
67065,Pakistan,2020-06-08,B.1.620,0,0.0,24
67066,Pakistan,2020-06-08,Beta,0,0.0,24
67067,Pakistan,2020-06-08,Delta,0,0.0,24
67068,Pakistan,2020-06-08,Epsilon,0,0.0,24
67069,Pakistan,2020-06-08,Eta,0,0.0,24
67070,Pakistan,2020-06-08,Gamma,0,0.0,24
67071,Pakistan,2020-06-08,Iota,0,0.0,24
67072,Pakistan,2020-06-08,Kappa,0,0.0,24
67073,Pakistan,2020-06-08,Lambda,0,0.0,24
67074,Pakistan,2020-06-08,Mu,0,0.0,24
67075,Pakistan,2020-06-08,Omicron,0,0.0,24
67076,Pakistan,2020-06-08,S:677H.Robin1,0,0.0,24
67077,Pakistan,2020-06-08,S:677P.Pelican,0,0.0,24
67078,Pakistan,2020-06-08,others,24,100.0,24
67079,Pakistan,2020-06-08,non_who,24,100.0,24
67080,Pakistan,2020-06-22,Alpha,0,0.0,8
67081,Pakistan,2020-06-22,B.1.1.277,0,0.0,8
67082,Pakistan,2020-06-22,B.1.1.302,0,0.0,8
67083,Pakistan,2020-06-22,B.1.1.519,0,0.0,8
67084,Pakistan,2020-06-22,B.1.160,0,0.0,8
67085,Pakistan,2020-06-22,B.1.177,0,0.0,8
67086,Pakistan,2020-06-22,B.1.221,0,0.0,8
67087,Pakistan,2020-06-22,B.1.258,0,0.0,8
67088,Pakistan,2020-06-22,B.1.367,0,0.0,8
67089,Pakistan,2020-06-22,B.1.620,0,0.0,8
67090,Pakistan,2020-06-22,Beta,0,0.0,8
67091,Pakistan,2020-06-22,Delta,0,0.0,8
67092,Pakistan,2020-06-22,Epsilon,0,0.0,8
67093,Pakistan,2020-06-22,Eta,0,0.0,8
67094,Pakistan,2020-06-22,Gamma,0,0.0,8
67095,Pakistan,2020-06-22,Iota,0,0.0,8
67096,Pakistan,2020-06-22,Kappa,0,0.0,8
67097,Pakistan,2020-06-22,Lambda,0,0.0,8
67098,Pakistan,2020-06-22,Mu,0,0.0,8
67099,Pakistan,2020-06-22,Omicron,0,0.0,8
67100,Pakistan,2020-06-22,S:677H.Robin1,0,0.0,8
67101,Pakistan,2020-06-22,S:677P.Pelican,0,0.0,8
67102,Pakistan,2020-06-22,others,8,100.0,8
67103,Pakistan,2020-06-22,non_who,8,100.0,8
67104,Pakistan,2020-07-06,Alpha,0,0.0,5
67105,Pakistan,2020-07-06,B.1.1.277,0,0.0,5
67106,Pakistan,2020-07-06,B.1.1.302,0,0.0,5
67107,Pakistan,2020-07-06,B.1.1.519,0,0.0,5
67108,Pakistan,2020-07-06,B.1.160,0,0.0,5
67109,Pakistan,2020-07-06,B.1.177,0,0.0,5
67110,Pakistan,2020-07-06,B.1.221,0,0.0,5
67111,Pakistan,2020-07-06,B.1.258,0,0.0,5
67112,Pakistan,2020-07-06,B.1.367,0,0.0,5
67113,Pakistan,2020-07-06,B.1.620,0,0.0,5
67114,Pakistan,2020-07-06,Beta,0,0.0,5
67115,Pakistan,2020-07-06,Delta,0,0.0,5
67116,Pakistan,2020-07-06,Epsilon,0,0.0,5
67117,Pakistan,2020-07-06,Eta,0,0.0,5
67118,Pakistan,2020-07-06,Gamma,0,0.0,5
67119,Pakistan,2020-07-06,Iota,0,0.0,5
67120,Pakistan,2020-07-06,Kappa,0,0.0,5
67121,Pakistan,2020-07-06,Lambda,0,0.0,5
67122,Pakistan,2020-07-06,Mu,0,0.0,5
67123,Pakistan,2020-07-06,Omicron,0,0.0,5
67124,Pakistan,2020-07-06,S:677H.Robin1,0,0.0,5
67125,Pakistan,2020-07-06,S:677P.Pelican,0,0.0,5
67126,Pakistan,2020-07-06,others,5,100.0,5
67127,Pakistan,2020-07-06,non_who,5,100.0,5
67128,Pakistan,2020-07-20,Alpha,0,0.0,6
67129,Pakistan,2020-07-20,B.1.1.277,0,0.0,6
67130,Pakistan,2020-07-20,B.1.1.302,0,0.0,6
67131,Pakistan,2020-07-20,B.1.1.519,0,0.0,6
67132,Pakistan,2020-07-20,B.1.160,0,0.0,6
67133,Pakistan,2020-07-20,B.1.177,0,0.0,6
67134,Pakistan,2020-07-20,B.1.221,0,0.0,6
67135,Pakistan,2020-07-20,B.1.258,0,0.0,6
67136,Pakistan,2020-07-20,B.1.367,0,0.0,6
67137,Pakistan,2020-07-20,B.1.620,0,0.0,6
67138,Pakistan,2020-07-20,Beta,0,0.0,6
67139,Pakistan,2020-07-20,Delta,0,0.0,6
67140,Pakistan,2020-07-20,Epsilon,0,0.0,6
